Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,Dataset
0.01876605,2,22,51.4615385,GO:1902476 chloride transmembrane transport,http://amigo.geneontology.org/amigo/term/GO:1902476,Q16P14,GO Biological Process
0.01876605,2,22,51.4615385,GO:0006821 chloride transport,http://amigo.geneontology.org/amigo/term/GO:0006821,Q16P14,GO Biological Process
0.03632974,2,33,34.3076923,GO:0098661 inorganic anion transmembrane transport,http://amigo.geneontology.org/amigo/term/GO:0098661,Q16P14,GO Biological Process
0.0443229,2,39,29.0295858,GO:0015698 inorganic anion transport,http://amigo.geneontology.org/amigo/term/GO:0015698,Q16P14,GO Biological Process
0.00854482,7,652,6.07751298,GO:0051171 reg. of nitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0051171,Q17LA6 Q16I15 A0A1S4F8Q2 A0A0P6K0V3 Q16G14 A0A0P6IVL3 A0A0P6K0X9,GO Biological Process
0.00854482,7,653,6.06820591,GO:0080090 reg. of primary metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0080090,Q17LA6 Q16I15 A0A1S4F8Q2 A0A0P6K0V3 Q16G14 A0A0P6IVL3 A0A0P6K0X9,GO Biological Process
0.008626,7,719,5.51118006,GO:0060255 reg. of macromolecule metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0060255,Q17LA6 Q16I15 A0A1S4F8Q2 A0A0P6K0V3 Q16G14 A0A0P6IVL3 A0A0P6K0X9,GO Biological Process
0.00082644,2,4,283.038462,GO:0034707 chloride channel complex,http://amigo.geneontology.org/amigo/term/GO:0034707,Q16P14,GO Cellular Component
0.03523547,2,33,34.3076923,GO:0034702 ion channel complex,http://amigo.geneontology.org/amigo/term/GO:0034702,Q16P14,GO Cellular Component
0.01929418,2,17,66.5972851,GO:0005254 chloride channel activity,http://amigo.geneontology.org/amigo/term/GO:0005254,Q16P14,GO Molecular Function
0.01929418,2,19,59.5870445,GO:0005253 anion channel activity,http://amigo.geneontology.org/amigo/term/GO:0005253,Q16P14,GO Molecular Function
0.01929418,2,23,49.2240803,GO:0015108 chloride transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:0015108,Q16P14,GO Molecular Function
0.03751826,2,37,30.5987526,GO:0015103 inorganic anion transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:0015103,Q16P14,GO Molecular Function
