"species","mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","aae-mir-34-5p","GO:0007399","Nervous system development",98,1132,0.4,1.12,9.22e-14,"7159.J9EAN8,7159.Q0IG29,7159.Q16FB0,7159.Q16FK4,7159.Q16FX6,7159.Q16GL8,7159.Q16HK0,7159.Q16HX2,7159.Q16I15,7159.Q16I87,7159.Q16I88,7159.Q16IN4,7159.Q16IW8,7159.Q16JH6,7159.Q16L96,7159.Q16LK0,7159.Q16LS6,7159.Q16LX7,7159.Q16M52,7159.Q16N85,7159.Q16PL9,7159.Q16PP6,7159.Q16Q60,7159.Q16QQ5,7159.Q16R23,7159.Q16R38,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16TR7,7159.Q16VM1,7159.Q16W03,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16WX3,7159.Q16XT3,7159.Q16Y83,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q16Z01,7159.Q170K4,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q173C6,7159.Q174K3,7159.Q174T9,7159.Q174W8,7159.Q177R3,7159.Q178Y8,7159.Q179S6,7159.Q17A91,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17C93,7159.Q17CE8,7159.Q17CG1,7159.Q17D24,7159.Q17DM5,7159.Q17E44,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17FI9,7159.Q17GF2,7159.Q17GP3,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17IL0,7159.Q17J08,7159.Q17K67,7159.Q17K68,7159.Q17KY4,7159.Q17KY5,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17NC1,7159.Q17NJ1,7159.Q17NP6,7159.Q17PA2,7159.Q17PG3,7159.Q17PT9,7159.Q17PU2,7159.Q1DGR6,7159.Q1HQR4,7159.Q1HQW4","J9EAN8_AEDAE,AAEL003527,AAEL014839,AAEL014730,AAEL014602,AAEL014337,AAEL013997,AAEL013873,AAEL013830,AAEL013757,AAEL013758,AAEL013602,AAEL013529,AAEL013331,AAEL012723,AAEL012627,AAEL012541,AAEL012493,AAEL012421,AAEL012057,AAEL011604,AAEL011565,AAEL011396,AAEL011215,AAEL011105,AAEL011083,AAEL011058,AAEL010835,AAEL010643,AAEL010144,AAEL009515,AAEL009377,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL009057,AAEL008773,AAEL008634,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL008371,AAEL007888,AAEL007876,TOLL1A,AAEL007331,AAEL007190,AAEL006876,AAEL006801,GPRFZ2,AAEL006057,AAEL005736,AAEL005528,AAEL005372,AAEL004737,AAEL004715,AAEL004717,AAEL004651,AAEL004592,AAEL004549,AAEL004351,AAEL004088,AAEL003953,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL003373,AAEL003109,AAEL002938,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002287,AAEL002143,AAEL001780,AAEL001776,AAEL001536,AAEL001527,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000729,TOLL8,AAEL000597,AAEL000414,AAEL000324,AAEL000242,AAEL000247,AAEL015522,AAEL009317,AAEL007293","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.J9EAN8,7159.Q0IG29,7159.Q16FB0,7159.Q16FK4,7159.Q16FX6,7159.Q16GL8,7159.Q16HK0,7159.Q16HX2,7159.Q16I15,7159.Q16I87,7159.Q16I88,7159.Q16IN4,7159.Q16JH6,7159.Q16L96,7159.Q16LK0,7159.Q16LX7,7159.Q16M52,7159.Q16N85,7159.Q16PL9,7159.Q16PP6,7159.Q16Q60,7159.Q16R23,7159.Q16R38,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16W03,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16WX3,7159.Q16XT3,7159.Q16Y83,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q16Z01,7159.Q170K4,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q173C6,7159.Q174K3,7159.Q174T9,7159.Q174W8,7159.Q177R3,7159.Q178Y8,7159.Q179S6,7159.Q17A91,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17C93,7159.Q17CE8,7159.Q17D24,7159.Q17E44,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17FI9,7159.Q17GP3,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17IL0,7159.Q17J08,7159.Q17KY4,7159.Q17KY5,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17NC1,7159.Q17NJ1,7159.Q17NP6,7159.Q17PA2,7159.Q17PG3,7159.Q17PT9,7159.Q17PU2,7159.Q1HQR4,7159.Q1HQW4","J9EAN8_AEDAE,AAEL003527,AAEL014839,AAEL014730,AAEL014602,AAEL014337,AAEL013997,AAEL013873,AAEL013830,AAEL013757,AAEL013758,AAEL013602,AAEL013331,AAEL012723,AAEL012627,AAEL012493,AAEL012421,AAEL012057,AAEL011604,AAEL011565,AAEL011396,AAEL011105,AAEL011083,AAEL011058,AAEL010835,AAEL010643,AAEL009377,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL009057,AAEL008773,AAEL008634,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL008371,AAEL007888,AAEL007876,TOLL1A,AAEL007331,AAEL007190,AAEL006876,AAEL006801,GPRFZ2,AAEL006057,AAEL005736,AAEL005528,AAEL005372,AAEL004737,AAEL004715,AAEL004717,AAEL004651,AAEL004592,AAEL004351,AAEL003953,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL003373,AAEL002938,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002287,AAEL002143,AAEL001536,AAEL001527,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000729,TOLL8,AAEL000597,AAEL000414,AAEL000324,AAEL000242,AAEL000247,AAEL009317,AAEL007293","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048699","Generation of neurons",84,887,0.44,1.19,1.56e-13,"7159.Q0IG29,7159.Q16FB0,7159.Q16FK4,7159.Q16FX6,7159.Q16GL8,7159.Q16HK0,7159.Q16HX2,7159.Q16I15,7159.Q16I87,7159.Q16I88,7159.Q16IN4,7159.Q16JH6,7159.Q16L96,7159.Q16LK0,7159.Q16LX7,7159.Q16M52,7159.Q16N85,7159.Q16PL9,7159.Q16PP6,7159.Q16Q60,7159.Q16R23,7159.Q16R38,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16W03,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16WX3,7159.Q16XT3,7159.Q16Y83,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K4,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q173C6,7159.Q174K3,7159.Q174T9,7159.Q174W8,7159.Q177R3,7159.Q178Y8,7159.Q179S6,7159.Q17A91,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17C93,7159.Q17CE8,7159.Q17E44,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17FI9,7159.Q17GP3,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17IL0,7159.Q17J08,7159.Q17KY4,7159.Q17KY5,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17NC1,7159.Q17NJ1,7159.Q17NP6,7159.Q17PA2,7159.Q17PG3,7159.Q17PT9,7159.Q17PU2,7159.Q1HQR4,7159.Q1HQW4","AAEL003527,AAEL014839,AAEL014730,AAEL014602,AAEL014337,AAEL013997,AAEL013873,AAEL013830,AAEL013757,AAEL013758,AAEL013602,AAEL013331,AAEL012723,AAEL012627,AAEL012493,AAEL012421,AAEL012057,AAEL011604,AAEL011565,AAEL011396,AAEL011105,AAEL011083,AAEL011058,AAEL010835,AAEL010643,AAEL009377,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL009057,AAEL008773,AAEL008634,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL007888,AAEL007876,TOLL1A,AAEL007331,AAEL007190,AAEL006876,AAEL006801,GPRFZ2,AAEL006057,AAEL005736,AAEL005528,AAEL005372,AAEL004737,AAEL004715,AAEL004717,AAEL004651,AAEL004592,AAEL003953,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL003373,AAEL002938,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002287,AAEL002143,AAEL001536,AAEL001527,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000729,TOLL8,AAEL000597,AAEL000414,AAEL000324,AAEL000242,AAEL000247,AAEL009317,AAEL007293","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0030182","Neuron differentiation",80,824,0.45,1.2,2.12e-13,"7159.Q0IG29,7159.Q16FB0,7159.Q16FK4,7159.Q16FX6,7159.Q16GL8,7159.Q16HX2,7159.Q16I15,7159.Q16I87,7159.Q16I88,7159.Q16IN4,7159.Q16JH6,7159.Q16L96,7159.Q16LX7,7159.Q16M52,7159.Q16N85,7159.Q16PL9,7159.Q16PP6,7159.Q16Q60,7159.Q16R23,7159.Q16R38,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16W03,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16WX3,7159.Q16XT3,7159.Q16Y83,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K4,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q173C6,7159.Q174K3,7159.Q174T9,7159.Q174W8,7159.Q177R3,7159.Q178Y8,7159.Q179S6,7159.Q17A91,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17C93,7159.Q17CE8,7159.Q17E44,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17F71,7159.Q17FI9,7159.Q17GP3,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17J08,7159.Q17KY4,7159.Q17KY5,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17NC1,7159.Q17NJ1,7159.Q17NP6,7159.Q17PA2,7159.Q17PG3,7159.Q17PT9,7159.Q1HQR4,7159.Q1HQW4","AAEL003527,AAEL014839,AAEL014730,AAEL014602,AAEL014337,AAEL013873,AAEL013830,AAEL013757,AAEL013758,AAEL013602,AAEL013331,AAEL012723,AAEL012493,AAEL012421,AAEL012057,AAEL011604,AAEL011565,AAEL011396,AAEL011105,AAEL011083,AAEL011058,AAEL010835,AAEL010643,AAEL009377,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL009057,AAEL008773,AAEL008634,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL007888,AAEL007876,TOLL1A,AAEL007331,AAEL007190,AAEL006876,AAEL006801,GPRFZ2,AAEL006057,AAEL005736,AAEL005528,AAEL005372,AAEL004737,AAEL004715,AAEL004717,AAEL004651,AAEL004592,AAEL003953,AAEL003861,AAEL003609,AAEL003592,AAEL003506,AAEL003373,AAEL002938,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002143,AAEL001536,AAEL001527,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000729,TOLL8,AAEL000597,AAEL000414,AAEL000324,AAEL000242,AAEL009317,AAEL007293","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048666","Neuron development",70,673,0.48,1.24,7.24e-13,"7159.Q0IG29,7159.Q16FB0,7159.Q16FK4,7159.Q16FX6,7159.Q16GL8,7159.Q16HX2,7159.Q16I15,7159.Q16I87,7159.Q16I88,7159.Q16IN4,7159.Q16JH6,7159.Q16L96,7159.Q16LX7,7159.Q16M52,7159.Q16N85,7159.Q16PL9,7159.Q16PP6,7159.Q16Q60,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16XT3,7159.Q16Y83,7159.Q16YG3,7159.Q16YG8,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q171J8,7159.Q172L3,7159.Q173C6,7159.Q174K3,7159.Q174T9,7159.Q174W8,7159.Q178Y8,7159.Q17A91,7159.Q17BY7,7159.Q17C29,7159.Q17C39,7159.Q17CE8,7159.Q17EB3,7159.Q17F07,7159.Q17F08,7159.Q17FI9,7159.Q17GP3,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17J08,7159.Q17KY4,7159.Q17KY5,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17NJ1,7159.Q17NP6,7159.Q17PA2,7159.Q17PG3,7159.Q17PT9,7159.Q1HQR4,7159.Q1HQW4","AAEL003527,AAEL014839,AAEL014730,AAEL014602,AAEL014337,AAEL013873,AAEL013830,AAEL013757,AAEL013758,AAEL013602,AAEL013331,AAEL012723,AAEL012493,AAEL012421,AAEL012057,AAEL011604,AAEL011565,AAEL011396,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL008773,AAEL008634,AAEL008554,AAEL008528,AAEL008362,AAEL008372,AAEL007876,TOLL1A,AAEL007331,AAEL007190,AAEL006876,AAEL006801,GPRFZ2,AAEL005736,AAEL005372,AAEL004737,AAEL004715,AAEL004717,AAEL004592,AAEL003861,AAEL003609,AAEL003592,AAEL003373,AAEL002938,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002143,AAEL001536,AAEL001527,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000788,TOLL8,AAEL000597,AAEL000414,AAEL000324,AAEL000242,AAEL009317,AAEL007293","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0061564","Axon development",42,380,0.51,1.03,3.58e-08,"7159.Q16FB0,7159.Q16FX6,7159.Q16HX2,7159.Q16I87,7159.Q16I88,7159.Q16JH6,7159.Q16M52,7159.Q16PL9,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16XT3,7159.Q16Y83,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q173C6,7159.Q174W8,7159.Q17A91,7159.Q17BY7,7159.Q17C39,7159.Q17CE8,7159.Q17FI9,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17J08,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9,7159.Q1HQW4","AAEL014839,AAEL014602,AAEL013873,AAEL013757,AAEL013758,AAEL013331,AAEL012421,AAEL011604,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL008773,AAEL008634,AAEL008362,AAEL008372,AAEL007876,AAEL007190,GPRFZ2,AAEL005372,AAEL004737,AAEL004717,AAEL004592,AAEL003373,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002143,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000597,AAEL000324,AAEL000242,AAEL007293","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0007409","Axonogenesis",41,367,0.51,1.03,4.18e-08,"7159.Q16FB0,7159.Q16FX6,7159.Q16HX2,7159.Q16I87,7159.Q16I88,7159.Q16JH6,7159.Q16M52,7159.Q16PL9,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16XT3,7159.Q16Y83,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q173C6,7159.Q174W8,7159.Q17A91,7159.Q17BY7,7159.Q17C39,7159.Q17CE8,7159.Q17FI9,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17J08,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17NP6,7159.Q17PG3,7159.Q17PT9","AAEL014839,AAEL014602,AAEL013873,AAEL013757,AAEL013758,AAEL013331,AAEL012421,AAEL011604,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL008773,AAEL008634,AAEL008362,AAEL008372,AAEL007876,AAEL007190,GPRFZ2,AAEL005372,AAEL004737,AAEL004717,AAEL004592,AAEL003373,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002143,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000597,AAEL000324,AAEL000242","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0048667","Cell morphogenesis involved in neuron differentiation",46,456,0.47,0.97,6.74e-08,"7159.Q16FB0,7159.Q16FX6,7159.Q16HX2,7159.Q16I87,7159.Q16I88,7159.Q16JH6,7159.Q16M52,7159.Q16N85,7159.Q16PL9,7159.Q16PP6,7159.Q16R23,7159.Q16R65,7159.Q16RU6,7159.Q16SB0,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16XT3,7159.Q16Y83,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q173C6,7159.Q174W8,7159.Q178Y8,7159.Q17A91,7159.Q17BY7,7159.Q17C39,7159.Q17CE8,7159.Q17FI9,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17J08,7159.Q17MT6,7159.Q17MX1,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17NP6,7159.Q17PA2,7159.Q17PG3,7159.Q17PT9","AAEL014839,AAEL014602,AAEL013873,AAEL013757,AAEL013758,AAEL013331,AAEL012421,AAEL012057,AAEL011604,AAEL011565,AAEL011105,AAEL011058,AAEL010835,AAEL010643,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL008773,AAEL008634,AAEL008362,AAEL008372,AAEL007876,AAEL007190,GPRFZ2,AAEL005736,AAEL005372,AAEL004737,AAEL004717,AAEL004592,AAEL003373,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002143,ARK,AAEL000868,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000597,AAEL000414,AAEL000324,AAEL000242","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0097485","Neuron projection guidance",36,305,0.54,1.02,1.23e-07,"7159.Q16FB0,7159.Q16FX6,7159.Q16I87,7159.Q16I88,7159.Q16JH6,7159.Q16N85,7159.Q16PL9,7159.Q16R23,7159.Q16R65,7159.Q16SB0,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16XT3,7159.Q16Y83,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q173C6,7159.Q174W8,7159.Q17A91,7159.Q17BY7,7159.Q17C39,7159.Q17CE8,7159.Q17FI9,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17J08,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17PG3","AAEL014839,AAEL014602,AAEL013757,AAEL013758,AAEL013331,AAEL012057,AAEL011604,AAEL011105,AAEL011058,AAEL010643,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL008773,AAEL008634,AAEL008362,AAEL008372,AAEL007876,AAEL007190,GPRFZ2,AAEL005372,AAEL004737,AAEL004717,AAEL004592,AAEL003373,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002143,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000324","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0006935","Chemotaxis",37,322,0.52,1.01,1.37e-07,"7159.Q16FB0,7159.Q16FX6,7159.Q16I87,7159.Q16I88,7159.Q16JH6,7159.Q16N85,7159.Q16PL9,7159.Q16R23,7159.Q16R65,7159.Q16SB0,7159.Q16WF1,7159.Q16WI5,7159.Q16WM1,7159.Q16WM8,7159.Q16XT3,7159.Q16Y83,7159.Q16YZ8,7159.Q16YZ9,7159.Q170K8,7159.Q171J8,7159.Q173C6,7159.Q174W8,7159.Q17A91,7159.Q17BY7,7159.Q17C39,7159.Q17CE8,7159.Q17FI9,7159.Q17GQ2,7159.Q17H88,7159.Q17HS6,7159.Q17I67,7159.Q17J08,7159.Q17MX6,7159.Q17MX7,7159.Q17N01,7159.Q17N82,7159.Q17PG3","AAEL014839,AAEL014602,AAEL013757,AAEL013758,AAEL013331,AAEL012057,AAEL011604,AAEL011105,AAEL011058,AAEL010643,AAEL009240,AAEL009212,AAEL009175,AAEL009173,AAEL008773,AAEL008634,AAEL008362,AAEL008372,AAEL007876,TOLL1A,AAEL007190,GPRFZ2,AAEL005372,AAEL004737,AAEL004717,AAEL004592,AAEL003373,AAEL002932,AAEL002769,AAEL002594,AAEL002451,AAEL002143,AAEL000908,AAEL000891,AAEL000860,AAEL000788,AAEL000324","GO Biological Process","co2","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
