species,mirna,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id
Aedes albopictus,aal-mir-2a-3p,GO:0140096,"Catalytic activity, acting on a protein",14,1560,0.55,0.34,0.0352,"7160.A0A182G2Q0,7160.A0A182G3E1,7160.A0A182G721,7160.A0A182G8G8,7160.A0A182GET2,7160.A0A182GET7,7160.A0A182GFE7,7160.A0A182GV58,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H3T2,7160.A0A182H6G9,7160.A0A182H6Q3,7160.A0A182H9U8","RP20_CCG001575,RP20_CCG002064,RP20_CCG004361,RP20_CCG005153,RP20_CCG008677,RP20_CCG008684,RP20_CCG008969,RP20_CCG016309,RP20_CCG019480,RP20_CCG020338,RP20_CCG021138,RP20_CCG022742,RP20_CCG022858,RP20_CCG024920",GO Molecular Function,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-2a-3p,CL:855,"Downregulation of ERBB2:ERBB3 signaling, and AKT-mediated inactivation of FOXO1A",3,8,2.17,0.79,0.0073,"7160.A0A182GFE7,7160.A0A182GV58,7160.A0A182H6G9","RP20_CCG008969,RP20_CCG016309,RP20_CCG022742",Local Network Cluster (STRING),immune,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-33b-5p,MAP-1643685,Disease,4,59,1.67,1.02,0.0026,"7160.A0A182GDI3,7160.A0A182GNN7,7160.A0A182GX30,7160.A0A182H3T2","RP20_CCG008046,RP20_CCG013047,RP20_CCG017381,RP20_CCG021138",Reactome Pathway,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-33b-5p,MAP-5663205,Infectious disease,3,36,1.76,0.74,0.0159,"7160.A0A182GDI3,7160.A0A182GX30,7160.A0A182H3T2","RP20_CCG008046,RP20_CCG017381,RP20_CCG021138",Reactome Pathway,immune,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0009987,Cellular process,60,9172,0.19,0.36,0.00032,"7160.A0A023EI51,7160.A0A023EJP8,7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023EMB0,7160.A0A023EPV9,7160.A0A023EQ27,7160.A0A023ER47,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G1N5,7160.A0A182G1N6,7160.A0A182G2J8,7160.A0A182G353,7160.A0A182G3H6,7160.A0A182G4J4,7160.A0A182G5B9,7160.A0A182G5Y8,7160.A0A182G625,7160.A0A182G693,7160.A0A182G6F8,7160.A0A182G6K5,7160.A0A182G737,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GCM0,7160.A0A182GCT3,7160.A0A182GDI3,7160.A0A182GDW5,7160.A0A182GE93,7160.A0A182GEE1,7160.A0A182GEU8,7160.A0A182GFQ8,7160.A0A182GLJ3,7160.A0A182GMS9,7160.A0A182GP17,7160.A0A182GTH0,7160.A0A182GTN5,7160.A0A182GUE6,7160.A0A182GUY8,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H2N2,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HAX7,7160.A0A182HBT0,7160.A0A182HC90,7160.A0A182HCV9,7160.A0A182HDC1,7160.A0A182HDG4,7160.A0A182HDQ9,7160.A0A182HEZ9","RP20_CCG019423,RP20_CCG003534,RP20_CCG016093,RP20_CCG026959,RP20_CCG018786,RP20_CCG018970,RP20_CCG007979,RP20_CCG004430,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG000855,RP20_CCG000856,RP20_CCG001475,RP20_CCG001887,RP20_CCG002131,RP20_CCG002759,RP20_CCG003299,RP20_CCG003693,RP20_CCG003755,RP20_CCG003859,RP20_CCG003981,RP20_CCG004072,RP20_CCG004387,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG007587,RP20_CCG007691,RP20_CCG008046,RP20_CCG008228,RP20_CCG005310,RP20_CCG008473,RP20_CCG008698,RP20_CCG009132,RP20_CCG012016,RP20_CCG012629,RP20_CCG013225,RP20_CCG015467,RP20_CCG015582,RP20_CCG015949,RP20_CCG016202,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG020475,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG025574,RP20_CCG026128,RP20_CCG026429,RP20_CCG026807,RP20_CCG027115,RP20_CCG027185,RP20_CCG027398,RP20_CCG028242",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0044237,Cellular metabolic process,36,4264,0.3,0.33,0.0108,"7160.A0A023EI51,7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G2J8,7160.A0A182G3H6,7160.A0A182G4J4,7160.A0A182G5B9,7160.A0A182G5Y8,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GDW5,7160.A0A182GE93,7160.A0A182GFQ8,7160.A0A182GMS9,7160.A0A182GP17,7160.A0A182GTH0,7160.A0A182GUE6,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H2N2,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HBT0,7160.A0A182HC90,7160.A0A182HDC1","RP20_CCG019423,RP20_CCG016093,RP20_CCG026959,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG001475,RP20_CCG002131,RP20_CCG002759,RP20_CCG003299,RP20_CCG003693,RP20_CCG003755,RP20_CCG003981,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG008228,RP20_CCG005310,RP20_CCG009132,RP20_CCG012629,RP20_CCG013225,RP20_CCG015467,RP20_CCG015949,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG020475,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG026128,RP20_CCG026429,RP20_CCG027115",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0071704,Organic substance metabolic process,40,5262,0.26,0.3,0.015,"7160.A0A023EI51,7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G2J8,7160.A0A182G3H6,7160.A0A182G4J4,7160.A0A182G5B9,7160.A0A182G5Y8,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GDW5,7160.A0A182GE93,7160.A0A182GEU8,7160.A0A182GFQ8,7160.A0A182GLJ3,7160.A0A182GMS9,7160.A0A182GP17,7160.A0A182GQV5,7160.A0A182GTH0,7160.A0A182GUE6,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H2N2,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HBT0,7160.A0A182HC90,7160.A0A182HDC1,7160.A0A182HDQ9","RP20_CCG019423,RP20_CCG016093,RP20_CCG026959,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG001475,RP20_CCG002131,RP20_CCG002759,RP20_CCG003299,RP20_CCG003693,RP20_CCG003755,RP20_CCG003981,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG008228,RP20_CCG005310,RP20_CCG008698,RP20_CCG009132,RP20_CCG012016,RP20_CCG012629,RP20_CCG013225,RP20_CCG014148,RP20_CCG015467,RP20_CCG015949,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG020475,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG026128,RP20_CCG026429,RP20_CCG027115,RP20_CCG027398",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:1901360,Organic cyclic compound metabolic process,22,1914,0.44,0.36,0.015,"7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G2J8,7160.A0A182G3H6,7160.A0A182G4J4,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182GDW5,7160.A0A182GP17,7160.A0A182GQV5,7160.A0A182GUE6,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H2N2,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HBT0,7160.A0A182HDC1","RP20_CCG016093,RP20_CCG026959,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG001475,RP20_CCG002131,RP20_CCG002759,RP20_CCG003755,RP20_CCG003981,RP20_CCG008228,RP20_CCG013225,RP20_CCG014148,RP20_CCG015949,RP20_CCG018205,RP20_CCG019170,RP20_CCG020475,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG026128,RP20_CCG027115",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0006807,Nitrogen compound metabolic process,35,4334,0.28,0.3,0.0192,"7160.A0A023EI51,7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G2J8,7160.A0A182G3H6,7160.A0A182G4J4,7160.A0A182G5B9,7160.A0A182G5Y8,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GDW5,7160.A0A182GE93,7160.A0A182GFQ8,7160.A0A182GLJ3,7160.A0A182GMS9,7160.A0A182GTH0,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HBT0,7160.A0A182HC90,7160.A0A182HDC1,7160.A0A182HDQ9","RP20_CCG019423,RP20_CCG016093,RP20_CCG026959,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG001475,RP20_CCG002131,RP20_CCG002759,RP20_CCG003299,RP20_CCG003693,RP20_CCG003755,RP20_CCG003981,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG008228,RP20_CCG005310,RP20_CCG009132,RP20_CCG012016,RP20_CCG012629,RP20_CCG015467,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG026128,RP20_CCG026429,RP20_CCG027115,RP20_CCG027398",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0008152,Metabolic process,41,5656,0.24,0.28,0.0229,"7160.A0A023EI51,7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G2J8,7160.A0A182G3H6,7160.A0A182G4J4,7160.A0A182G5B9,7160.A0A182G5Y8,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GDW5,7160.A0A182GE93,7160.A0A182GEU8,7160.A0A182GFQ8,7160.A0A182GLI1,7160.A0A182GLJ3,7160.A0A182GMS9,7160.A0A182GP17,7160.A0A182GQV5,7160.A0A182GTH0,7160.A0A182GUE6,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H2N2,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HBT0,7160.A0A182HC90,7160.A0A182HDC1,7160.A0A182HDQ9","RP20_CCG019423,RP20_CCG016093,RP20_CCG026959,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG001475,RP20_CCG002131,RP20_CCG002759,RP20_CCG003299,RP20_CCG003693,RP20_CCG003755,RP20_CCG003981,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG008228,RP20_CCG005310,RP20_CCG008698,RP20_CCG009132,RP20_CCG012000,RP20_CCG012016,RP20_CCG012629,RP20_CCG013225,RP20_CCG014148,RP20_CCG015467,RP20_CCG015949,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG020475,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG026128,RP20_CCG026429,RP20_CCG027115,RP20_CCG027398",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
