Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,Dataset
6.59E-11,41,287,3.58882521,GO:1901135 carbohydrate derivative metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:1901135,CCG000016.1 CCG000070.1 CCG000431.1 CCG001475.1 CCG002759.1 CCG003622.1 RP20_CCG006419 CCG006713.1 RP20_CCG006745 RP20_CCG007284.3 CCG007410.1 CCG007533.1 CCG007772.1 RP20_CCG008228 RP20_CCG008931 CCG009032.1 RP20_CCG009685 CCG012164.1 RP20_CCG013131 CCG013643.1 RP20_CCG014730 RP20_CCG014760 CCG015467.1 RP20_CCG015997 RP20_CCG016415 RP20_CCG017381 RP20_CCG020662 CCG020991.1 CCG021110.1 RP20_CCG021296 RP20_CCG021297 RP20_CCG022027 RP20_CCG022363 RP20_CCG024512 RP20_CCG024703 CCG025494.1 RP20_CCG025495.2 CCG025948.4 RP20_CCG026429.2 RP20_CCG027131 CCG028549.1,GO Biological Process
2.17E-11,43,302,3.57694169,GO:0051641 cellular localization,http://amigo.geneontology.org/amigo/term/GO:0051641,CCG000856.1 RP20_CCG001881 RP20_CCG002258 CCG002937.1 CCG003235.1 CCG003534.1 RP20_CCG003859 CCG004387.1 RP20_CCG004523 CCG005953.1 CCG006243.1 RP20_CCG007408 RP20_CCG007686 CCG007727.1 CCG008116.1 RP20_CCG008844 RP20_CCG008942 CCG010390.1 RP20_CCG010796 RP20_CCG010939 RP20_CCG011217 CCG012263.1 CCG012416.1 CCG013130.1 RP20_CCG013162.2 CCG013237.1 RP20_CCG015087 CCG015800.2 RP20_CCG017125 CCG017790.2 CCG019486.1 RP20_CCG020159 CCG020315.1 CCG020475.1 RP20_CCG022348 CCG023467.1 CCG023595.1 CCG023668.1 CCG023763.1 RP20_CCG025748 CCG026170.1 RP20_CCG026517 CCG027460.1,GO Biological Process
1.75E-22,97,758,3.21479198,GO:0036211 protein modification proc.,http://amigo.geneontology.org/amigo/term/GO:0036211,CCG000856.1 CCG001217.1 RP20_CCG001575 CCG001602.1 CCG002065.1 CCG002095.1 RP20_CCG002156.2 CCG002347.1 CCG002478.1 CCG002974.1 CCG003298.1 RP20_CCG003693 CCG004362.1 CCG004698.1 RP20_CCG004782 RP20_CCG004947 CCG005153.1 RP20_CCG005310.2 RP20_CCG005441 RP20_CCG005741 RP20_CCG006265 CCG006713.1 CCG007266.1 RP20_CCG007284.3 CCG007319.1 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008040 CCG008301.1 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008969.2 RP20_CCG009002 CCG009032.1 CCG009527.1 RP20_CCG009687.2 RP20_CCG009697 CCG009895.1 CCG011691.1 CCG011885.1 CCG011982.1 RP20_CCG012046 CCG013028.1 RP20_CCG013105 RP20_CCG013131 RP20_CCG013219 RP20_CCG013914 CCG014048.1 CCG014222.1 RP20_CCG014760 RP20_CCG014779 CCG015279.1 CCG015467.1 CCG015473.1 RP20_CCG015580 CCG015971.1 RP20_CCG016309 CCG017164.1 RP20_CCG017381 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG017609.3 RP20_CCG018341 RP20_CCG018432 RP20_CCG018905 RP20_CCG019012 CCG019823.1 CCG020002.2 CCG020210.1 RP20_CCG020230.3 RP20_CCG020334 RP20_CCG020338 CCG020473.1 CCG020921.1 RP20_CCG021446 CCG021809.1 RP20_CCG022363 CCG022476.1 RP20_CCG022742.2 CCG023182.1 CCG023286.2 RP20_CCG023646 CCG024423.1 RP20_CCG024512 RP20_CCG024803 CCG024922.1 RP20_CCG026317 RP20_CCG026429.2 RP20_CCG027131 CCG027539.1 CCG027634.1 RP20_CCG027886.2 RP20_CCG028009 CCG028503.1 CCG028549.1,GO Biological Process
1.75E-22,97,758,3.21479198,GO:0006464 cellular protein modification proc.,http://amigo.geneontology.org/amigo/term/GO:0006464,CCG000856.1 CCG001217.1 RP20_CCG001575 CCG001602.1 CCG002065.1 CCG002095.1 RP20_CCG002156.2 CCG002347.1 CCG002478.1 CCG002974.1 CCG003298.1 RP20_CCG003693 CCG004362.1 CCG004698.1 RP20_CCG004782 RP20_CCG004947 CCG005153.1 RP20_CCG005310.2 RP20_CCG005441 RP20_CCG005741 RP20_CCG006265 CCG006713.1 CCG007266.1 RP20_CCG007284.3 CCG007319.1 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008040 CCG008301.1 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008969.2 RP20_CCG009002 CCG009032.1 CCG009527.1 RP20_CCG009687.2 RP20_CCG009697 CCG009895.1 CCG011691.1 CCG011885.1 CCG011982.1 RP20_CCG012046 CCG013028.1 RP20_CCG013105 RP20_CCG013131 RP20_CCG013219 RP20_CCG013914 CCG014048.1 CCG014222.1 RP20_CCG014760 RP20_CCG014779 CCG015279.1 CCG015467.1 CCG015473.1 RP20_CCG015580 CCG015971.1 RP20_CCG016309 CCG017164.1 RP20_CCG017381 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG017609.3 RP20_CCG018341 RP20_CCG018432 RP20_CCG018905 RP20_CCG019012 CCG019823.1 CCG020002.2 CCG020210.1 RP20_CCG020230.3 RP20_CCG020334 RP20_CCG020338 CCG020473.1 CCG020921.1 RP20_CCG021446 CCG021809.1 RP20_CCG022363 CCG022476.1 RP20_CCG022742.2 CCG023182.1 CCG023286.2 RP20_CCG023646 CCG024423.1 RP20_CCG024512 RP20_CCG024803 CCG024922.1 RP20_CCG026317 RP20_CCG026429.2 RP20_CCG027131 CCG027539.1 CCG027634.1 RP20_CCG027886.2 RP20_CCG028009 CCG028503.1 CCG028549.1,GO Biological Process
1.84E-10,48,390,3.09191095,GO:0071702 organic substance transport,http://amigo.geneontology.org/amigo/term/GO:0071702,RP20_CCG000432 RP20_CCG000855 CCG000856.1 RP20_CCG002258 CCG002937.1 CCG003235.1 CCG003534.1 CCG004387.1 CCG004603.1 CCG005028.1 CCG005953.1 CCG006243.1 CCG006730.1 RP20_CCG007408 CCG007477.2 CCG007727.1 RP20_CCG009367 RP20_CCG009481 RP20_CCG010796 RP20_CCG010939 RP20_CCG011217 RP20_CCG011377 CCG011829.1 CCG012263.1 CCG012416.1 CCG012694.1 RP20_CCG013162.2 CCG013237.1 RP20_CCG015087 CCG015635.1 CCG015800.2 RP20_CCG016202 CCG016755.1 RP20_CCG017125 CCG019486.1 RP20_CCG020159 CCG020315.1 CCG020475.1 RP20_CCG021443.2 RP20_CCG022348 CCG022794.1 CCG023595.1 CCG023668.1 CCG023763.1 RP20_CCG025748 CCG026170.1 RP20_CCG026517 CCG027460.1,GO Biological Process
2.71E-20,99,847,2.93631154,GO:0043412 macromolecule modification,http://amigo.geneontology.org/amigo/term/GO:0043412,CCG000856.1 CCG001217.1 RP20_CCG001575 CCG001602.1 CCG002065.1 CCG002095.1 RP20_CCG002156.2 CCG002347.1 CCG002478.1 CCG002974.1 CCG003298.1 RP20_CCG003693 CCG003755.1 CCG004362.1 CCG004698.1 RP20_CCG004782 RP20_CCG004947 CCG005153.1 RP20_CCG005310.2 RP20_CCG005441 RP20_CCG005741 RP20_CCG006265 CCG006713.1 CCG007266.1 RP20_CCG007284.3 CCG007319.1 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008040 CCG008301.1 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008969.2 RP20_CCG009002 CCG009032.1 CCG009527.1 RP20_CCG009687.2 RP20_CCG009697 CCG009895.1 CCG011691.1 CCG011885.1 CCG011982.1 RP20_CCG012046 CCG013028.1 RP20_CCG013105 RP20_CCG013131 RP20_CCG013219 RP20_CCG013914 CCG014048.1 CCG014222.1 RP20_CCG014760 RP20_CCG014779 CCG015279.1 CCG015467.1 CCG015473.1 RP20_CCG015580 CCG015971.1 RP20_CCG016309 CCG017164.1 RP20_CCG017381 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG017609.3 RP20_CCG018341 RP20_CCG018432 RP20_CCG018905 RP20_CCG019012 CCG019823.1 CCG020002.2 CCG020210.1 RP20_CCG020230.3 RP20_CCG020334 RP20_CCG020338 CCG020473.1 CCG020921.1 RP20_CCG021446 CCG021612.1 CCG021809.1 RP20_CCG022363 CCG022476.1 RP20_CCG022742.2 CCG023182.1 CCG023286.2 RP20_CCG023646 CCG024423.1 RP20_CCG024512 RP20_CCG024803 CCG024922.1 RP20_CCG026317 RP20_CCG026429.2 RP20_CCG027131 CCG027539.1 CCG027634.1 RP20_CCG027886.2 RP20_CCG028009 CCG028503.1 CCG028549.1,GO Biological Process
5.71E-13,73,679,2.70086846,GO:0006793 phosphorus metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006793,CCG000016.1 CCG000070.1 CCG000431.1 CCG001992.1 CCG002065.1 CCG002095.1 RP20_CCG002156.2 CCG002759.1 RP20_CCG003693 CCG004362.1 CCG004698.1 RP20_CCG004782 RP20_CCG005310.2 RP20_CCG005741 RP20_CCG006419 RP20_CCG006745 CCG007410.1 CCG007520.1 CCG007533.1 RP20_CCG007686 CCG007772.1 RP20_CCG008040 RP20_CCG008228 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008879 RP20_CCG008931 RP20_CCG009002 CCG009527.1 RP20_CCG009685 RP20_CCG009687.2 RP20_CCG009697 CCG009895.1 CCG010259.1 CCG010347.2 CCG011691.1 CCG011885.1 RP20_CCG012046 RP20_CCG013105 RP20_CCG013131 RP20_CCG013274 CCG013643.1 RP20_CCG014730 CCG014786.2 CCG015473.1 RP20_CCG015866 CCG015971.1 CCG017164.1 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG018341 RP20_CCG020334 RP20_CCG020338 CCG020473.1 RP20_CCG020662 CCG020991.1 CCG021110.1 RP20_CCG021296 RP20_CCG021297 CCG021809.1 RP20_CCG022027 RP20_CCG022352 CCG022476.1 RP20_CCG024512 RP20_CCG024703 CCG024922.1 CCG025015.2 CCG025494.1 RP20_CCG025495.2 CCG027011.1 CCG027539.1 CCG027634.1,GO Biological Process
1.60E-10,67,668,2.51969914,GO:0006796 phosphate-containing compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006796,CCG000016.1 CCG000431.1 CCG001992.1 CCG002065.1 CCG002095.1 RP20_CCG002156.2 CCG002759.1 RP20_CCG003693 CCG004362.1 CCG004698.1 RP20_CCG004782 RP20_CCG005310.2 RP20_CCG005741 RP20_CCG006419 RP20_CCG006745 CCG007520.1 CCG007533.1 RP20_CCG007686 RP20_CCG008040 RP20_CCG008228 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008879 RP20_CCG009002 CCG009527.1 RP20_CCG009685 RP20_CCG009687.2 RP20_CCG009697 CCG009895.1 CCG010259.1 CCG010347.2 CCG011691.1 CCG011885.1 RP20_CCG012046 RP20_CCG013105 RP20_CCG013131 RP20_CCG013274 CCG013643.1 RP20_CCG014730 CCG014786.2 CCG015473.1 RP20_CCG015866 CCG015971.1 CCG017164.1 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG018341 RP20_CCG020334 RP20_CCG020338 CCG020473.1 CCG020991.1 CCG021110.1 RP20_CCG021296 RP20_CCG021297 CCG021809.1 RP20_CCG022352 CCG022476.1 RP20_CCG024512 RP20_CCG024703 CCG024922.1 CCG025015.2 CCG025494.1 RP20_CCG025495.2 CCG027011.1 CCG027539.1 CCG027634.1,GO Biological Process
3.55E-20,125,1250,2.51217765,GO:0044267 cellular protein metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044267,CCG000856.1 CCG000915.1 CCG001217.1 RP20_CCG001575 CCG001602.1 CCG002018.1 CCG002064.1 CCG002065.1 CCG002095.1 RP20_CCG002156.2 CCG002347.1 CCG002478.1 CCG002974.1 CCG003298.1 RP20_CCG003693 RP20_CCG004030 CCG004134.1 CCG004361.1 CCG004362.1 CCG004698.1 RP20_CCG004782 RP20_CCG004947 CCG005153.1 RP20_CCG005310.2 RP20_CCG005441 RP20_CCG005741 RP20_CCG006265 CCG006713.1 RP20_CCG006876 CCG007120.1 CCG007266.1 RP20_CCG007284.3 CCG007319.1 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008040 CCG008301.1 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008969.2 RP20_CCG009002 CCG009032.1 CCG009527.1 RP20_CCG009687.2 RP20_CCG009697 CCG009705.1 CCG009895.1 RP20_CCG010133 RP20_CCG011177 CCG011691.1 CCG011885.1 CCG011982.1 RP20_CCG012046 CCG012805.1 CCG013028.1 RP20_CCG013105 RP20_CCG013131 RP20_CCG013219 RP20_CCG013914 CCG014048.1 CCG014222.1 RP20_CCG014760 RP20_CCG014779 CCG014786.2 CCG015279.1 CCG015467.1 CCG015473.1 RP20_CCG015580 RP20_CCG015866 CCG015971.1 RP20_CCG016100 CCG016238.1 RP20_CCG016309 RP20_CCG016915 CCG017164.1 RP20_CCG017381 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG017515 RP20_CCG017609.3 RP20_CCG018341 RP20_CCG018432 RP20_CCG018905 RP20_CCG019012 RP20_CCG019400 CCG019823.1 CCG020002.2 CCG020210.1 RP20_CCG020230.3 RP20_CCG020334 RP20_CCG020338 CCG020473.1 CCG020474.1 CCG020921.1 RP20_CCG021446 RP20_CCG021651 CCG021809.1 RP20_CCG022363 CCG022476.1 RP20_CCG022742.2 CCG023182.1 CCG023286.2 RP20_CCG023524 RP20_CCG023543 RP20_CCG023646 CCG024423.1 RP20_CCG024512 RP20_CCG024803 RP20_CCG024828.2 CCG024922.1 CCG025888.1 RP20_CCG026096 RP20_CCG026317 RP20_CCG026429.2 CCG027011.1 RP20_CCG027131 CCG027539.1 CCG027634.1 CCG027817.1 RP20_CCG027886.2 RP20_CCG028009 CCG028503.1 CCG028549.1,GO Biological Process
2.86E-13,105,1181,2.2335195,GO:0006810 transport,http://amigo.geneontology.org/amigo/term/GO:0006810,RP20_CCG000432 RP20_CCG000855 CCG000856.1 RP20_CCG001881 RP20_CCG002033 RP20_CCG002258 RP20_CCG002728.2 CCG002937.1 CCG002974.1 CCG003235.1 CCG003534.1 CCG004387.1 RP20_CCG004523 CCG004603.1 CCG005028.1 RP20_CCG005245 CCG005903.1 CCG005953.1 RP20_CCG005999 CCG006030.2 CCG006243.1 RP20_CCG006348 CCG006730.1 CCG007252.1 CCG007334.1 RP20_CCG007408 CCG007477.2 RP20_CCG007686 RP20_CCG007691 CCG007727.1 RP20_CCG007997 CCG008116.1 RP20_CCG008334 RP20_CCG008844 RP20_CCG008942 RP20_CCG009367 RP20_CCG009481 RP20_CCG009513 CCG010225.1 CCG010390.1 RP20_CCG010430 RP20_CCG010796 RP20_CCG010939 RP20_CCG011217 RP20_CCG011377 CCG011399.1 RP20_CCG011742 RP20_CCG011744 CCG011829.1 RP20_CCG012061 CCG012263.1 CCG012416.1 CCG012694.1 RP20_CCG012705 CCG012967.3 CCG013130.1 RP20_CCG013162.2 CCG013237.1 CCG013643.1 CCG014058.1 RP20_CCG014062 RP20_CCG014088 CCG014561.1 CCG014644.1 CCG014949.1 RP20_CCG015087 RP20_CCG015143 CCG015635.1 CCG015800.2 RP20_CCG015917 RP20_CCG016202 RP20_CCG016245 CCG016755.1 RP20_CCG016956 RP20_CCG017125 CCG017552.1 RP20_CCG018285 CCG018351.1 CCG019486.1 RP20_CCG019889 RP20_CCG020159 CCG020315.1 CCG020475.1 CCG020491.1 RP20_CCG021043 CCG021273.1 RP20_CCG021285 RP20_CCG021443.2 RP20_CCG022348 CCG022794.1 CCG023467.1 RP20_CCG023544 CCG023595.1 CCG023668.1 CCG023763.1 CCG024578.1 CCG025212.1 RP20_CCG025450 RP20_CCG025748 CCG026052.1 CCG026170.1 RP20_CCG026517 RP20_CCG027185 CCG027460.1 RP20_CCG027638,GO Biological Process
