Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,Dataset
0.01552806,2,18,45.3100775,GO:0006665 sphingolipid metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006665,CCG001475.1 CCG012626.1,GO Biological Process
0.01666517,2,21,38.8372093,GO:0016571 histone methylation,http://amigo.geneontology.org/amigo/term/GO:0016571,CCG005153.1 RP20_CCG026317,GO Biological Process
0.04116845,2,35,23.3023256,GO:1901136 carbohydrate derivative catabolic proc.,http://amigo.geneontology.org/amigo/term/GO:1901136,CCG001475.1 RP20_CCG014760,GO Biological Process
0.00153724,6,250,9.78697674,GO:0006468 protein phosphorylation,http://amigo.geneontology.org/amigo/term/GO:0006468,CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334,GO Biological Process
2.16E-05,12,758,6.45578941,GO:0036211 protein modification proc.,http://amigo.geneontology.org/amigo/term/GO:0036211,RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 RP20_CCG014760 RP20_CCG020334 RP20_CCG026317,GO Biological Process
2.16E-05,12,758,6.45578941,GO:0006464 cellular protein modification proc.,http://amigo.geneontology.org/amigo/term/GO:0006464,RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 RP20_CCG014760 RP20_CCG020334 RP20_CCG026317,GO Biological Process
0.01111325,6,422,5.797972,GO:0016310 phosphorylation,http://amigo.geneontology.org/amigo/term/GO:0016310,CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334,GO Biological Process
4.73E-05,12,847,5.77743609,GO:0043412 macromolecule modification,http://amigo.geneontology.org/amigo/term/GO:0043412,RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 RP20_CCG014760 RP20_CCG020334 RP20_CCG026317,GO Biological Process
0.01666517,7,668,4.27325581,GO:0006796 phosphate-containing compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006796,RP20_CCG003693 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334,GO Biological Process
0.00034712,13,1250,4.24102326,GO:0044267 cellular protein metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044267,RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 RP20_CCG014760 RP20_CCG020334 RP20_CCG021651 RP20_CCG026317,GO Biological Process
