species,mirna,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id
Aedes aegypti,aae-mir-276-5p,GO:0005658,Alpha DNA polymerase:primase complex,3,7,2.23,1.01,0.0019,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",GO Cellular Component,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-68952,DNA replication initiation,3,11,2.03,0.79,0.0074,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,3,15,1.9,0.76,0.0082,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-113510,E2F mediated regulation of DNA replication,3,15,1.9,0.76,0.0082,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-190239,FGFR3 ligand binding and activation,2,2,2.6,0.79,0.0082,"7159.Q16KJ5,7159.Q16KZ4","AAEL012972,AAEL012823",Reactome,other,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-190372,FGFR3c ligand binding and activation,2,2,2.6,0.79,0.0082,"7159.Q16KJ5,7159.Q16KZ4","AAEL012972,AAEL012823",Reactome,other,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-69091,Polymerase switching,3,15,1.9,0.76,0.0082,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-69109,Leading Strand Synthesis,3,15,1.9,0.76,0.0082,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-69166,Removal of the Flap Intermediate,3,19,1.79,0.76,0.0082,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-69183,Processive synthesis on the lagging strand,3,20,1.77,0.75,0.0082,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-69186,Lagging Strand Synthesis,3,26,1.66,0.74,0.0082,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,MAP-69190,DNA strand elongation,3,30,1.6,0.71,0.0097,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Reactome,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-276-5p,GOCC:0005658,Alpha DNA polymerase:primase complex,3,7,2.23,0.96,0.0026,"7159.Q16UG6,7159.Q16UG8,7159.Q17K45","AAEL009901,AAEL009905,AAEL001823",Subcellular Location,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-2945-3p,GO:0003730,mRNA 3-UTR binding,7,47,1.26,0.86,0.00049,"7159.J9HZV2,7159.Q16PQ3,7159.Q16ZQ0,7159.Q175T7,7159.Q17DB8,7159.Q17FE8,7159.Q17FE9","J9HZV2_AEDAE,AAEL011576,AAEL008122,AAEL006555,AAEL004259,AAEL003407,AAEL003414",GO Molecular Function,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-2945-3p,CL:19623,"Mixed, incl. RNA binding protein fox-1 homolog 1-like, and H zone",6,10,1.87,1.45,0.00000554,"7159.J9HZV2,7159.Q16HG5,7159.Q175T7,7159.Q17E15,7159.Q17FE8,7159.Q17FE9","J9HZV2_AEDAE,AAEL014033,AAEL006555,AAEL003979,AAEL003407,AAEL003414",Local Network Cluster String,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,aae-mir-2945-3p,CL:19626,"RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,2.09,1.38,0.0000116,"7159.J9HZV2,7159.Q175T7,7159.Q17E15,7159.Q17FE8,7159.Q17FE9","J9HZV2_AEDAE,AAEL006555,AAEL003979,AAEL003407,AAEL003414",Local Network Cluster String,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
