species,enrichment_fdr,n_genes,pathway_genes,fold_enrichment,pathway,url,genes,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,ensembl_id
Aedes albopictus,6.55E-13,20,53,9.81747942,GO:0006278 RNA-templated DNA biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0006278,RP20_CCG002747 RP20_CCG004135 RP20_CCG007352 RP20_CCG007466 CCG008772.1 CCG010296.1 RP20_CCG010352 CCG012365.1 RP20_CCG012900 RP20_CCG014064 RP20_CCG017781 RP20_CCG020479 CCG022028.1 RP20_CCG022500 CCG023342.1 CCG024568.1 RP20_CCG025211 CCG025689.1 CCG027228.2 CCG027237.3,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,2.62E-16,52,314,4.30843524,GO:0071897 DNA biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0071897,RP20_CCG000451 CCG002124.1 RP20_CCG002747 CCG003891.1 CCG003951.1 RP20_CCG004135 CCG004385.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007352 RP20_CCG007466 RP20_CCG007708 CCG008080.1 CCG008536.1 CCG008772.1 RP20_CCG009773 CCG010296.1 RP20_CCG010352 RP20_CCG010842 CCG012365.1 RP20_CCG012900 RP20_CCG014064 RP20_CCG015350 CCG015370.1 RP20_CCG015806 CCG017118.1 RP20_CCG017781 RP20_CCG018417 CCG019713.1 CCG020152.1 RP20_CCG020479 RP20_CCG020763 CCG021115.1 CCG021176.1 CCG022028.1 RP20_CCG022391.3 RP20_CCG022500 CCG023342.1 RP20_CCG023468 CCG024568.1 RP20_CCG024906 RP20_CCG025211 CCG025658.1 CCG025689.1 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027228.2 CCG027237.3 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,1.82E-13,78,742,2.73486927,GO:0006259 DNA metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006259,RP20_CCG000451 CCG002124.1 CCG002202.2 RP20_CCG002747 CCG003410.1 CCG003891.1 CCG003951.1 RP20_CCG004135 CCG004385.1 RP20_CCG004593 RP20_CCG004693 CCG005275.1 RP20_CCG005377 RP20_CCG006763 CCG006899.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007352 RP20_CCG007466 RP20_CCG007708 CCG008080.1 RP20_CCG008086 RP20_CCG008498 CCG008536.1 CCG008622.1 CCG008772.1 CCG009682.3 RP20_CCG009773 RP20_CCG010187.2 CCG010296.1 RP20_CCG010352 RP20_CCG010842 RP20_CCG011816 CCG012365.1 CCG012762.1 RP20_CCG012900 RP20_CCG012980 RP20_CCG013505 CCG013663.1 RP20_CCG014064 CCG014290.1 RP20_CCG015350 CCG015370.1 RP20_CCG015806 CCG017118.1 RP20_CCG017781 RP20_CCG018417 CCG019692.1 CCG019713.1 CCG020152.1 RP20_CCG020479 RP20_CCG020703 RP20_CCG020763 RP20_CCG020989 CCG021115.1 CCG021176.1 CCG022028.1 CCG022238.1 RP20_CCG022391.3 RP20_CCG022500 RP20_CCG022918 CCG023342.1 RP20_CCG023468 CCG024568.1 RP20_CCG024906 RP20_CCG025013 RP20_CCG025211 RP20_CCG025542 CCG025658.1 CCG025689.1 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027228.2 CCG027237.3 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,6.00E-10,84,1001,2.18318773,GO:0034654 nucleobase-containing compound biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0034654,CCG000070.1 RP20_CCG000451 RP20_CCG001034 CCG002063.1 CCG002124.1 CCG002273.1 RP20_CCG002747 CCG002759.1 CCG003891.1 CCG003951.1 CCG003978.1 RP20_CCG004135 CCG004385.1 CCG004531.1 CCG006980.1 CCG007000.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007352 CCG007410.1 RP20_CCG007466 RP20_CCG007708 RP20_CCG007976 CCG008080.1 RP20_CCG008228 CCG008406.1 CCG008536.1 RP20_CCG008658 CCG008767.3 CCG008772.1 RP20_CCG009773 CCG010296.1 RP20_CCG010352 RP20_CCG010842 CCG011519.1 CCG012242.1 CCG012365.1 CCG012680.1 RP20_CCG012900 RP20_CCG013278 RP20_CCG014064 RP20_CCG014223 CCG014727.1 RP20_CCG015350 CCG015370.1 RP20_CCG015806 RP20_CCG016301 CCG017118.1 RP20_CCG017781 CCG017793.1 RP20_CCG018417 CCG019713.1 CCG020152.1 RP20_CCG020338 RP20_CCG020479 RP20_CCG020662 RP20_CCG020763 CCG021115.1 CCG021176.1 RP20_CCG021891 RP20_CCG022027 CCG022028.1 RP20_CCG022391.3 RP20_CCG022468.2 RP20_CCG022500 CCG022981.2 CCG023342.1 CCG023352.2 RP20_CCG023468 CCG024568.1 RP20_CCG024906 RP20_CCG025211 CCG025658.1 CCG025689.1 RP20_CCG026228.2 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027228.2 CCG027237.3 CCG027786.1 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,6.00E-10,86,1035,2.16174257,GO:0019438 aromatic compound biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0019438,CCG000070.1 RP20_CCG000451 RP20_CCG001034 CCG002063.1 CCG002124.1 CCG002273.1 RP20_CCG002747 CCG002759.1 CCG003891.1 CCG003951.1 CCG003978.1 RP20_CCG004135 CCG004385.1 CCG004531.1 CCG006980.1 CCG007000.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007352 CCG007410.1 RP20_CCG007466 RP20_CCG007708 RP20_CCG007976 CCG008080.1 RP20_CCG008228 CCG008406.1 CCG008536.1 RP20_CCG008658 CCG008767.3 CCG008772.1 RP20_CCG009773 CCG010296.1 RP20_CCG010352 RP20_CCG010842 CCG011519.1 CCG012242.1 CCG012365.1 RP20_CCG012513 CCG012680.1 RP20_CCG012900 RP20_CCG013278 RP20_CCG014064 RP20_CCG014223 CCG014727.1 RP20_CCG015350 CCG015370.1 RP20_CCG015806 RP20_CCG016301 CCG017118.1 RP20_CCG017781 CCG017793.1 RP20_CCG018417 CCG019713.1 CCG020152.1 RP20_CCG020338 RP20_CCG020479 RP20_CCG020662 RP20_CCG020763 CCG021115.1 CCG021176.1 RP20_CCG021891 RP20_CCG022027 CCG022028.1 RP20_CCG022391.3 RP20_CCG022468.2 RP20_CCG022500 CCG022981.2 CCG023342.1 CCG023352.2 RP20_CCG023468 RP20_CCG023780.2 CCG024568.1 RP20_CCG024906 RP20_CCG025211 CCG025658.1 CCG025689.1 RP20_CCG026228.2 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027228.2 CCG027237.3 CCG027786.1 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,9.96E-10,86,1048,2.13492706,GO:0018130 heterocycle biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0018130,CCG000070.1 RP20_CCG000451 RP20_CCG001034 CCG002063.1 CCG002124.1 CCG002273.1 RP20_CCG002747 CCG002759.1 CCG003891.1 CCG003951.1 CCG003978.1 RP20_CCG004135 CCG004385.1 CCG004531.1 CCG006980.1 CCG007000.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007352 CCG007410.1 RP20_CCG007466 RP20_CCG007708 RP20_CCG007976 CCG008080.1 RP20_CCG008228 CCG008406.1 CCG008536.1 RP20_CCG008658 CCG008767.3 CCG008772.1 RP20_CCG009773 CCG010296.1 RP20_CCG010352 RP20_CCG010842 CCG011519.1 CCG012242.1 CCG012365.1 RP20_CCG012513 CCG012680.1 RP20_CCG012900 RP20_CCG013278 RP20_CCG014064 RP20_CCG014223 CCG014727.1 RP20_CCG015350 CCG015370.1 RP20_CCG015806 RP20_CCG016301 CCG017118.1 RP20_CCG017781 CCG017793.1 RP20_CCG018417 CCG019713.1 CCG020152.1 RP20_CCG020338 RP20_CCG020479 RP20_CCG020662 RP20_CCG020763 CCG021115.1 CCG021176.1 RP20_CCG021891 RP20_CCG022027 CCG022028.1 RP20_CCG022391.3 RP20_CCG022468.2 RP20_CCG022500 CCG022981.2 CCG023342.1 CCG023352.2 RP20_CCG023468 RP20_CCG023780.2 CCG024568.1 RP20_CCG024906 RP20_CCG025211 CCG025658.1 CCG025689.1 RP20_CCG026228.2 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027228.2 CCG027237.3 CCG027786.1 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,1.45E-09,86,1057,2.11674887,GO:1901362 organic cyclic compound biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:1901362,CCG000070.1 RP20_CCG000451 RP20_CCG001034 CCG002063.1 CCG002124.1 CCG002273.1 RP20_CCG002747 CCG002759.1 CCG003891.1 CCG003951.1 CCG003978.1 RP20_CCG004135 CCG004385.1 CCG004531.1 CCG006980.1 CCG007000.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007352 CCG007410.1 RP20_CCG007466 RP20_CCG007708 RP20_CCG007976 CCG008080.1 RP20_CCG008228 CCG008406.1 CCG008536.1 RP20_CCG008658 CCG008767.3 CCG008772.1 RP20_CCG009773 CCG010296.1 RP20_CCG010352 RP20_CCG010842 CCG011519.1 CCG012242.1 CCG012365.1 RP20_CCG012513 CCG012680.1 RP20_CCG012900 RP20_CCG013278 RP20_CCG014064 RP20_CCG014223 CCG014727.1 RP20_CCG015350 CCG015370.1 RP20_CCG015806 RP20_CCG016301 CCG017118.1 RP20_CCG017781 CCG017793.1 RP20_CCG018417 CCG019713.1 CCG020152.1 RP20_CCG020338 RP20_CCG020479 RP20_CCG020662 RP20_CCG020763 CCG021115.1 CCG021176.1 RP20_CCG021891 RP20_CCG022027 CCG022028.1 RP20_CCG022391.3 RP20_CCG022468.2 RP20_CCG022500 CCG022981.2 CCG023342.1 CCG023352.2 RP20_CCG023468 RP20_CCG023780.2 CCG024568.1 RP20_CCG024906 RP20_CCG025211 CCG025658.1 CCG025689.1 RP20_CCG026228.2 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027228.2 CCG027237.3 CCG027786.1 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,6.52E-09,99,1334,1.93074642,GO:0009059 macromolecule biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0009059,RP20_CCG000451 RP20_CCG001034 CCG002063.1 CCG002124.1 CCG002273.1 RP20_CCG002747 CCG003891.1 CCG003951.1 CCG003978.1 RP20_CCG004030 RP20_CCG004135 CCG004385.1 CCG004531.1 CCG006713.1 CCG006980.1 CCG007000.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007284.3 RP20_CCG007352 RP20_CCG007466 RP20_CCG007708 RP20_CCG007976 CCG008080.1 CCG008130.1 CCG008406.1 CCG008536.1 RP20_CCG008658 CCG008767.3 CCG008772.1 CCG009705.1 RP20_CCG009773 RP20_CCG010133 CCG010296.1 RP20_CCG010352 RP20_CCG010842 CCG011519.1 CCG011564.1 RP20_CCG011607 CCG011899.1 CCG012242.1 CCG012365.1 CCG012680.1 RP20_CCG012900 RP20_CCG013278 RP20_CCG014064 RP20_CCG014223 RP20_CCG014657 CCG014727.1 RP20_CCG015350 CCG015370.1 CCG015467.1 RP20_CCG015806 CCG016238.1 RP20_CCG016301 CCG017118.1 RP20_CCG017781 CCG017793.1 RP20_CCG018417 CCG019713.1 CCG020152.1 RP20_CCG020338 CCG020474.1 RP20_CCG020479 RP20_CCG020763 CCG021115.1 CCG021176.1 RP20_CCG021891 RP20_CCG022019 CCG022028.1 RP20_CCG022363 RP20_CCG022391.3 RP20_CCG022468.2 RP20_CCG022500 CCG022981.2 CCG023342.1 CCG023352.2 RP20_CCG023468 CCG024568.1 RP20_CCG024828.2 RP20_CCG024906 RP20_CCG025211 CCG025658.1 CCG025689.1 RP20_CCG026228.2 RP20_CCG026429.2 RP20_CCG026595 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027188.1 CCG027228.2 CCG027237.3 RP20_CCG027396 RP20_CCG027730 CCG027786.1 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,6.52E-09,102,1391,1.90773881,GO:0044271 cellular nitrogen compound biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0044271,CCG000070.1 RP20_CCG000451 RP20_CCG001034 CCG002063.1 CCG002124.1 CCG002273.1 RP20_CCG002747 CCG002759.1 RP20_CCG002897 CCG003159.1 CCG003891.1 CCG003951.1 CCG003978.1 RP20_CCG004030 RP20_CCG004135 CCG004385.1 CCG004531.1 CCG006980.1 CCG007000.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007352 CCG007410.1 RP20_CCG007466 RP20_CCG007708 RP20_CCG007976 CCG008080.1 RP20_CCG008228 CCG008406.1 CCG008536.1 RP20_CCG008658 CCG008767.3 CCG008772.1 CCG009705.1 RP20_CCG009773 RP20_CCG010133 CCG010296.1 RP20_CCG010352 RP20_CCG010842 CCG011519.1 RP20_CCG011607 CCG011899.1 CCG012242.1 CCG012365.1 RP20_CCG012513 CCG012680.1 RP20_CCG012900 RP20_CCG013278 CCG013590.1 RP20_CCG014064 RP20_CCG014223 RP20_CCG014657 CCG014727.1 RP20_CCG015350 CCG015370.1 RP20_CCG015806 CCG016238.1 RP20_CCG016301 CCG017118.1 RP20_CCG017781 CCG017793.1 RP20_CCG018417 CCG019713.1 CCG020152.1 RP20_CCG020338 CCG020474.1 RP20_CCG020479 RP20_CCG020662 RP20_CCG020763 CCG021115.1 CCG021176.1 RP20_CCG021891 RP20_CCG022019 RP20_CCG022027 CCG022028.1 RP20_CCG022391.3 RP20_CCG022468.2 RP20_CCG022500 CCG022981.2 CCG023342.1 CCG023352.2 RP20_CCG023468 RP20_CCG023780.2 CCG024568.1 RP20_CCG024828.2 RP20_CCG024906 RP20_CCG025211 CCG025658.1 CCG025689.1 RP20_CCG026228.2 RP20_CCG026595 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027188.1 CCG027228.2 CCG027237.3 RP20_CCG027730 CCG027786.1 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,1.07E-10,129,1787,1.87806678,GO:0090304 nucleic acid metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0090304,RP20_CCG000451 RP20_CCG000617 RP20_CCG001034 CCG001317.1 RP20_CCG001576 CCG002063.1 CCG002124.1 CCG002202.2 RP20_CCG002219 CCG002273.1 RP20_CCG002747 CCG003410.1 CCG003891.1 CCG003951.1 CCG003978.1 RP20_CCG004135 RP20_CCG004235 CCG004385.1 CCG004531.1 RP20_CCG004593 RP20_CCG004693 CCG004716.1 CCG005275.1 RP20_CCG005377 CCG005985.1 RP20_CCG006763 CCG006899.1 CCG006980.1 CCG007000.1 RP20_CCG007211 RP20_CCG007238 CCG007240.1 RP20_CCG007352 RP20_CCG007466 RP20_CCG007708 RP20_CCG007976 CCG008080.1 RP20_CCG008086 CCG008406.1 RP20_CCG008498 CCG008536.1 CCG008622.1 CCG008643.1 RP20_CCG008658 CCG008767.3 CCG008772.1 CCG009682.3 RP20_CCG009773 RP20_CCG010187.2 CCG010296.1 RP20_CCG010352 RP20_CCG010842 CCG011519.1 RP20_CCG011816 CCG012242.1 CCG012365.1 CCG012680.1 CCG012728.1 CCG012762.1 RP20_CCG012900 RP20_CCG012980 RP20_CCG013278 RP20_CCG013505 CCG013576.1 CCG013663.1 RP20_CCG014064 RP20_CCG014223 CCG014290.1 CCG014727.1 RP20_CCG014970 RP20_CCG015350 CCG015370.1 RP20_CCG015806 CCG016093.1 RP20_CCG016160 CCG016191.1 CCG016238.1 RP20_CCG016301 CCG017118.1 RP20_CCG017781 CCG017793.1 CCG017904.2 RP20_CCG018417 RP20_CCG019292 CCG019692.1 CCG019713.1 CCG020152.1 RP20_CCG020338 CCG020474.1 RP20_CCG020479 RP20_CCG020703 RP20_CCG020763 CCG020979.1 RP20_CCG020989 CCG021115.1 CCG021176.1 RP20_CCG021891 CCG022028.1 CCG022238.1 RP20_CCG022391.3 RP20_CCG022468.2 RP20_CCG022500 RP20_CCG022918 CCG022981.2 CCG023342.1 CCG023352.2 RP20_CCG023468 CCG023790.1 CCG024568.1 RP20_CCG024828.2 CCG024857.1 RP20_CCG024906 RP20_CCG025013 RP20_CCG025211 RP20_CCG025542 CCG025658.1 CCG025689.1 RP20_CCG026228.2 CCG026525.1 RP20_CCG026758 CCG027072.1 RP20_CCG027114 CCG027115.1 CCG027188.1 CCG027228.2 CCG027237.3 CCG027786.1 RP20_CCG027910 CCG028398.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
