species,mirna,enrichment_fdr,n_genes,pathway_genes,fold_enrichment,pathway,url,genes,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,ensembl_id
Aedes albopictus,aal-mir-2a-3p,0.00062442,2,4,292.25,GO:0045332 phospholipid translocation,http://amigo.geneontology.org/amigo/term/GO:0045332,RP20_CCG000855 CCG006730.1,GO Biological Process,phospholipid,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,6.94E-05,3,10,175.35,GO:0034204 lipid translocation,http://amigo.geneontology.org/amigo/term/GO:0034204,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,6.94E-05,3,10,175.35,GO:0097035 reg. of membrane lipid distribution,http://amigo.geneontology.org/amigo/term/GO:0097035,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00019502,3,17,103.147059,GO:0015914 phospholipid transport,http://amigo.geneontology.org/amigo/term/GO:0015914,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Biological Process,phospholipid,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00046064,3,24,73.0625,GO:0015748 organophosphate ester transport,http://amigo.geneontology.org/amigo/term/GO:0015748,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,7.75E-05,4,44,53.1363636,GO:0061024 membrane organization,http://amigo.geneontology.org/amigo/term/GO:0061024,RP20_CCG000855 CCG003235.1 CCG006730.1 RP20_CCG016202,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00648418,3,67,26.1716418,GO:0006869 lipid transport,http://amigo.geneontology.org/amigo/term/GO:0006869,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00684498,3,71,24.6971831,GO:0010876 lipid localization,http://amigo.geneontology.org/amigo/term/GO:0010876,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00055108,5,181,16.1464088,GO:0065008 reg. of biological quality,http://amigo.geneontology.org/amigo/term/GO:0065008,RP20_CCG000855 CCG006730.1 RP20_CCG016202 RP20_CCG016956 CCG027188.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00721474,5,347,8.4221902,GO:0033036 macromolecule localization,http://amigo.geneontology.org/amigo/term/GO:0033036,RP20_CCG000855 CCG003235.1 CCG006730.1 RP20_CCG016202 CCG022771.1,GO Biological Process,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,3.99E-05,3,9,194.833333,GO:0140326 ATPase-coupled intramembrane lipid transporter activity,http://amigo.geneontology.org/amigo/term/GO:0140326,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00513208,2,17,68.7647059,GO:0005347 ATP transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:0005347,CCG010630.1 CCG012319.1,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00513208,2,19,61.5263158,GO:0000295 adenine nucleotide transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:0000295,CCG010630.1 CCG012319.1,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00513208,2,19,61.5263158,GO:0005346 purine ribonucleotide transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:0005346,CCG010630.1 CCG012319.1,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00513208,2,19,61.5263158,GO:0015216 purine nucleotide transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:0015216,CCG010630.1 CCG012319.1,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00513208,2,19,61.5263158,GO:0015605 organophosphate ester transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:0015605,CCG010630.1 CCG012319.1,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00571742,2,21,55.6666667,GO:0008514 organic anion transmembrane transporter activity,http://amigo.geneontology.org/amigo/term/GO:0008514,CCG010630.1 CCG012319.1,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00102611,3,35,50.1,GO:0005319 lipid transporter activity,http://amigo.geneontology.org/amigo/term/GO:0005319,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
Aedes albopictus,aal-mir-2a-3p,0.00133899,3,42,41.75,GO:0000287 magnesium ion binding,http://amigo.geneontology.org/amigo/term/GO:0000287,RP20_CCG000855 CCG006730.1 RP20_CCG016202,GO Molecular Function,NA,shinygo,ensembl_metazoa,7160,Aedes albopictus genes AaloF1,aalbopictus_eg_gene
