species,mirna,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id
Aedes albopictus,aal-mir-87,CL:15720,"Mixed, incl. Reverse transcriptase (RNA-dependent DNA polymerase), and Multifunctional anion exchangers",7,102,1.28,0.98,0.00037,"7160.A0A182G6N9,7160.A0A182GC69,7160.A0A182GEI8,7160.A0A182GQQ4,7160.A0A182H7E8,7160.A0A182H9B0,7160.A0A182HDI8","RP20_CCG004135,RP20_CCG007352,RP20_CCG008536,RP20_CCG014064,RP20_CCG023342,RP20_CCG024568,RP20_CCG027228",Local Network Cluster,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-193-5p,CL:27341,Endonuclease-reverse transcriptase,3,5,2.28,0.81,0.0048,"7160.A0A182G4I0,7160.A0A182HB25,7160.A0A182HDJ1","RP20_CCG002743,RP20_CCG025658,RP20_CCG027237",Local Network Cluster,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-276-5p,IPR021109,Aspartic peptidase domain superfamily,4,28,1.71,0.73,0.0076,"7160.A0A182GCB3,7160.A0A182H373,7160.A0A182H681,7160.A0A182HEI5","RP20_CCG007416,RP20_CCG010842,RP20_CCG022561,RP20_CCG015806",InterPro,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-276-5p,SM00875,BTB And C-terminal Kelch,3,13,1.92,0.79,0.0058,"7160.A0A182G4U6,7160.A0A182GDY7,7160.A0A182GYP6","RP20_CCG002972,RP20_CCG008258,RP20_CCG018278",SMART,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-622,MAP-5694530,Cargo concentration in the ER,5,36,1.36,0.62,0.0063,"7160.A0A182GJU2,7160.A0A182GSS4,7160.A0A182H4Q0,7160.A0A182H4Q1,7160.A0A182H581","RP20_CCG011177,RP20_CCG015087,RP20_CCG021652,RP20_CCG021653,RP20_CCG021961",Reactome,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-970-3p,CL:11834,"Mixed, incl. Attenuation phase, and Cyclosporin A binding",3,14,2.15,0.93,0.006,"7160.A0A182G5M6,7160.A0A182G5Y8,7160.A0A182HB57","RP20_CCG003480,RP20_CCG003693,RP20_CCG025714",Local Network Cluster,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-1951,KW-0880,Kelch repeat,2,4,2.54,0.9,8.20E-03,"7160.A0A182G4U6,7160.A0A182GYP6","RP20_CCG002972,RP20_CCG018278",UniProt Keywords,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-1951,SM00875,BTB And C-terminal Kelch,3,13,2.2,1.31,0.00078,"7160.A0A182G4U6,7160.A0A182GDY7,7160.A0A182GYP6","RP20_CCG002972,RP20_CCG008258,RP20_CCG018278",SMART,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-1951,SM00612,Kelch,2,4,2.54,0.91,0.008,"7160.A0A182G4U6,7160.A0A182GYP6","RP20_CCG002972,RP20_CCG018278",SMART,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-4728-5p,GO:0042221,Response to chemical,31,1351,0.43,0.48,0.0028,"7160.A0A023EK43,7160.A0A182G2A3,7160.A0A182G2L9,7160.A0A182G4R2,7160.A0A182G4S8,7160.A0A182G786,7160.A0A182G8P0,7160.A0A182G9G7,7160.A0A182GDP6,7160.A0A182GE86,7160.A0A182GIH3,7160.A0A182GKR1,7160.A0A182GL59,7160.A0A182GLJ0,7160.A0A182GMX7,7160.A0A182GP53,7160.A0A182GPT4,7160.A0A182GUV4,7160.A0A182GV54,7160.A0A182H3V6,7160.A0A182H443,7160.A0A182H4G7,7160.A0A182H540,7160.A0A182H6W8,7160.A0A182H8T1,7160.A0A182H8W0,7160.A0A182H9E6,7160.A0A182HAA9,7160.A0A182HC86,7160.A0A182HE06,7160.A0A182HEJ7","RP20_CCG011742,RP20_CCG001269,RP20_CCG001505,RP20_CCG002897,RP20_CCG002937,RP20_CCG004462,RP20_CCG005275,RP20_CCG005741,RP20_CCG008130,RP20_CCG008406,RP20_CCG010480,RP20_CCG011607,RP20_CCG011816,RP20_CCG012009,RP20_CCG012705,RP20_CCG013278,RP20_CCG013590,RP20_CCG016161,RP20_CCG016301,RP20_CCG021176,RP20_CCG021323,RP20_CCG021504,RP20_CCG021891,RP20_CCG022981,RP20_CCG024251,RP20_CCG024306,RP20_CCG024628,RP20_CCG025206,RP20_CCG026423,RP20_CCG018728,RP20_CCG027949",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
