"species","mirna","enrichment_fdr","n_genes","pathway_genes","fold_enrichment","pathway","url","genes","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","ensembl_id"
"Aedes aegypti","aae-mir-34-5p",0.006766145238,8,39,6.924488356,"GO:0015698 inorganic anion transport","http://amigo.geneontology.org/amigo/term/GO:0015698","Q17AX2 Q173U8 A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.02260406145,7,48,4.92287844,"GO:0098656 anion transmembrane transport","http://amigo.geneontology.org/amigo/term/GO:0098656","Q17AX2 A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.007028063064,11,82,4.52836205,"GO:0048513 animal organ development","http://amigo.geneontology.org/amigo/term/GO:0048513","Q17NT7 A0A1S4EWB0 A0A1S4F874 Q16KR1 A0A1S4FKJ6 A0A1S4FWE5 A0A1S4G219 A0A1S4G744 Q170K4 Q16LX7 Q16WM1","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.01809083963,8,60,4.500917431,"GO:0006820 anion transport","http://amigo.geneontology.org/amigo/term/GO:0006820","Q17AX2 Q173U8 A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.01080377934,22,308,2.411205767,"GO:0048856 anatomical structure development","http://amigo.geneontology.org/amigo/term/GO:0048856","Q17NT7 A0A1S4EWB0 Q17LA6 Q17H88 A0A1S4F874 Q16KR1 Q17A79 Q174T9 A0A1S4FJQ9 A0A1S4FKJ6 A0A1S4FWE5 A0A1S4G219 A0A1S4G744 Q17G69 A0A1S4EYV5 Q16FB0 Q170K4 Q16LX7 A0A1S4G017 Q17DL2 Q16Q60 Q16WM1","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.01617872623,22,327,2.271105126,"GO:0032502 developmental proc.","http://amigo.geneontology.org/amigo/term/GO:0032502","Q17NT7 A0A1S4EWB0 Q17LA6 Q17H88 A0A1S4F874 Q16KR1 Q17A79 Q174T9 A0A1S4FJQ9 A0A1S4FKJ6 A0A1S4FWE5 A0A1S4G219 A0A1S4G744 Q17G69 A0A1S4EYV5 Q16FB0 Q170K4 Q16LX7 A0A1S4G017 Q17DL2 Q16Q60 Q16WM1","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.01080377934,31,510,2.051888829,"GO:0009889 reg. of biosynthetic proc.","http://amigo.geneontology.org/amigo/term/GO:0009889","A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FJ71 A0A1S4FM75 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G0T1 A0A1S4G1X1 Q16G14 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.02294669732,27,461,1.977084121,"GO:1903506 reg. of nucleic acid-templated transcription","http://amigo.geneontology.org/amigo/term/GO:1903506","A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.02294669732,27,461,1.977084121,"GO:0006355 reg. of transcription DNA-templated","http://amigo.geneontology.org/amigo/term/GO:0006355","A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti","aae-mir-34-5p",0.02294669732,27,461,1.977084121,"GO:2001141 reg. of RNA biosynthetic proc.","http://amigo.geneontology.org/amigo/term/GO:2001141","A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 Q174A4 A0A1S4FR12 A0A0P6K0V3 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 A0A0P6K0X9 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q17NE5 A0A1S4FG91 A0A0N8ERY6","GO Biological Process",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
