"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q0IG29","AAEL003527","AAEL003527-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q16I15","AAEL013830","Bmp-induced factor.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q16N85","AAEL012057","Enhancer of polycomb-like protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q16XT3","AAEL008773","AAEL008773-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q17C29","AAEL004715","AAEL004715-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q17C39","AAEL004717","AAEL004717-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q17EB3","AAEL003861","AAEL003861-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q17KY4","AAEL001536","Homeobox protein abdominal-A, putative.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048666","Neuron development",9,673,0.86,0.63,0.0035,"7159.Q17KY5","AAEL001527","AAEL001527-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-1236974","ER-Phagosome pathway",2,4,2.43,0.65,0.0269,"7159.Q16HG5","AAEL014033","AAEL014033-PA.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-1236974","ER-Phagosome pathway",2,4,2.43,0.65,0.0269,"7159.Q17E15","AAEL003979","Deadenylation factor EDEN-BP, putative.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-190239","FGFR3 ligand binding and activation",2,2,2.74,0.65,0.0269,"7159.Q16KJ5","AAEL012972","Polypeptide N-acetylgalactosaminyltransferase.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-190239","FGFR3 ligand binding and activation",2,2,2.74,0.65,0.0269,"7159.Q16KZ4","AAEL012823","Polypeptide N-acetylgalactosaminyltransferase.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-190372","FGFR3c ligand binding and activation",2,2,2.74,0.65,0.0269,"7159.Q16KJ5","AAEL012972","Polypeptide N-acetylgalactosaminyltransferase.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-190372","FGFR3c ligand binding and activation",2,2,2.74,0.65,0.0269,"7159.Q16KZ4","AAEL012823","Polypeptide N-acetylgalactosaminyltransferase.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-5654741","Signaling by FGFR3",3,32,1.71,0.62,0.0269,"7159.Q16IP4","AAEL013596","Phosphatidylinositol 3-kinase regulatory subunit.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-5654741","Signaling by FGFR3",3,32,1.71,0.62,0.0269,"7159.Q16KJ5","AAEL012972","Polypeptide N-acetylgalactosaminyltransferase.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-5654741","Signaling by FGFR3",3,32,1.71,0.62,0.0269,"7159.Q16KZ4","AAEL012823","Polypeptide N-acetylgalactosaminyltransferase.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","MAP-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",2,8,2.13,0.57,0.04,"7159.Q16HG5","AAEL014033","AAEL014033-PA.","Reactome Pathway","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
