"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"J9EBD1","J9EBD1_AEDAE","AAEL017382-PA; Belongs to the protein kinase superfamily.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q0IFC5","AAEL005895","AAEL005895-PA.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q16G89","AAEL014485","AAEL014485-PA.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q16KA6","AAEL013066","AAEL013066-PA.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q16RU6","AAEL010835","Mitogen-activated protein kinase kinase kinase.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q16Y82","AAEL008622","AAEL008622-PA.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q171J8","TOLL1A","Toll-like receptor; Belongs to the Toll-like receptor family.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q179A9","AAEL005679","AAEL005679-PA.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q17C93","AAEL004651","Multiple ankyrin repeats single kh domain protein.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q17DL2","AAEL004133","AAEL004133-PA.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0009611","Response to wounding",11,116,0.57,0.45,0.0097,"Q17G69","AAEL003169","AAEL003169-PA.","GO Biological Process","immune","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182G158","RP20_CCG000451","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182G4I0","RP20_CCG002743","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182G6A9","RP20_CCG003891","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GB50","RP20_CCG006763","Integrase catalytic domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GBY5","RP20_CCG007211","Reverse transcriptase domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GBZ5","RP20_CCG007238","Integrase catalytic domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GGV5","RP20_CCG009682","Integrase catalytic domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GM03","RP20_CCG012239","Integrase catalytic domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GM87","RP20_CCG012365","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GT83","RP20_CCG015350","Reverse transcriptase domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H373","RP20_CCG010842","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H3K8","RP20_CCG020989","Integrase catalytic domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H3T1","RP20_CCG021137","Reverse transcriptase domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H637","RP20_CCG022500","Integrase catalytic domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182H681","RP20_CCG022561","Reverse transcriptase domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HA07","RP20_CCG025029","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HB25","RP20_CCG025658","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HB39","RP20_CCG025689","Integrase catalytic domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HDC0","RP20_CCG027114","Reverse transcriptase domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HDJ1","RP20_CCG027237","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HE13","RP20_CCG027595","Integrase catalytic domain-containing protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182HEI5","RP20_CCG015806","Uncharacterized protein.","Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
