species,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,annotation,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id,protein_name,gene_primary,cc_function,go_p,go_f
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,J9HTN1,GPRGHP4,GPCR Growth Hormone Releasing Hormone Family; Belongs to the G-protein coupled receptor 1 family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,GPRGHP4,NA,NA,neuromedin U receptor activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,J9HTV7,AAEL801114,AAEL017419-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,CCHC-type domain-containing protein,23687839,NA,NA,nucleic acid binding; zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,J9HZD6,J9HZD6_AEDAE,Phosphoinositide phospholipase C.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Phosphoinositide phospholipase C,NA,NA,G protein-coupled receptor signaling pathway; lipid catabolic process; phosphatidylinositol metabolic process; phosphatidylinositol-mediated signaling; release of sequestered calcium ion into cytosol,"phosphatidylinositol-4,5-bisphosphate phospholipase C activity"
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,J9HZV2,J9HZV2_AEDAE,AAEL017168-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome",mRNA binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q0IEC2,AAEL011420,AAEL011420-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,mRNA processing; RNA splicing,RNA binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q0IFQ3,AAEL004167,AAEL004167-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Branchpoint-bridging protein,5564257,Necessary for the ATP-dependent first step of spliceosome assembly. Binds to the intron branch point sequence (BPS) 5'-UACUAAC-3' of the pre-mRNA. May act as transcription repressor,"mRNA splicing, via spliceosome; regulation of mRNA splicing, via spliceosome",mRNA binding; pre-mRNA branch point binding; zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16G66,AAEL014507,AAEL014507-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,NA,"Specifically deglycosylates the denatured form of N-linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl-glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high-mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins",glycoprotein catabolic process,metal ion binding; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16HG5,AAEL014033,AAEL014033-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,RNA binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16HZ7,AAEL013847,"Diacylglycerol kinase, zeta, iota.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,phospholipase C-activating G protein-coupled receptor signaling pathway,ATP binding; ATP-dependent diacylglycerol kinase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16HZ8,AAEL013849,"Diacylglycerol kinase, zeta, iota.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,phospholipase C-activating G protein-coupled receptor signaling pathway,ATP binding; ATP-dependent diacylglycerol kinase activity
