"name","type"
"J9EAN8","protein"
"aae-mir-34-5p","miRNA"
"System development","enriched term"
"Q0IG29","protein"
"Q16FK4","protein"
"Q16GL8","protein"
"Q16HK0","protein"
"Q16I15","protein"
"Q16I75","protein"
"Q16I88","protein"
"Q16IN4","protein"
"Q16IW8","protein"
"Q16KQ8","protein"
"Q16KQ9","protein"
"Q16KR0","protein"
"Q16L96","protein"
"Q16LK0","protein"
"Q16LS6","protein"
"Q16LX7","protein"
"Q16MK4","protein"
"Q16N85","protein"
"Q16PP6","protein"
"Q16PT5","protein"
"Q16R23","protein"
"Q16R65","protein"
"Q16RM1","protein"
"Q16RU6","protein"
"Q16SB0","protein"
"Q16TR7","protein"
"Q16U10","protein"
"Q16VM1","protein"
"Q16W03","protein"
"Q16WF1","protein"
"Q16WM1","protein"
"Q16XT3","protein"
"Q16YG3","protein"
"Q16YG8","protein"
"Q16YZ8","protein"
"Q16YZ9","protein"
"Q16Z01","protein"
"Q170K4","protein"
"Q170K8","protein"
"Q171J8","protein"
"Q172L3","protein"
"Q173B0","protein"
"Q174K3","protein"
"Q174W8","protein"
"Q177R3","protein"
"Q17BK4","protein"
"Q17BN5","protein"
"Q17BY7","protein"
"Q17C29","protein"
"Q17C39","protein"
"Q17C93","protein"
"Q17CG1","protein"
"Q17D24","protein"
"Q17DB6","protein"
"Q17DL2","protein"
"Q17DM5","protein"
"Q17E44","protein"
"Q17EB3","protein"
"Q17F07","protein"
"Q17F08","protein"
"Q17F71","protein"
"Q17G69","protein"
"Q17GF2","protein"
"Q17GP3","protein"
"Q17H75","protein"
"Q17HS6","protein"
"Q17I67","protein"
"Q17IK5","protein"
"Q17IL0","protein"
"Q17J33","protein"
"Q17JY3","protein"
"Q17K58","protein"
"Q17K67","protein"
"Q17K68","protein"
"Q17KU1","protein"
"Q17L13","protein"
"Q17LA6","protein"
"Q17MT6","protein"
"Q17MX1","protein"
"Q17MX6","protein"
"Q17MX7","protein"
"Q17N01","protein"
"Q17NC1","protein"
"Q17NE5","protein"
"Q17NJ1","protein"
"Q17NP6","protein"
"Q17PG3","protein"
"Q17PT9","protein"
"Q17PU2","protein"
"J9EAF0","protein"
"Developmental process","enriched term"
"J9HTV7","protein"
"Q0C745","protein"
"Q0C7B1","protein"
"Q0IF14","protein"
"Q16G14","protein"
"Q16GK5","protein"
"Q16JC3","protein"
"Q16JN7","protein"
"Q16KR1","protein"
"Q16M45","protein"
"Q16N83","protein"
"Q16NB0","protein"
"Q16NC7","protein"
"Q16R88","protein"
"Q16S36","protein"
"Q16SL7","protein"
"Q16TM2","protein"
"Q16U87","protein"
"Q16U90","protein"
"Q16VP6","protein"
"Q16XA3","protein"
"Q16YG5","protein"
"Q16ZB6","protein"
"Q170V1","protein"
"Q172A6","protein"
"Q174R8","protein"
"Q174R9","protein"
"Q176B9","protein"
"Q176R2","protein"
"Q178N5","protein"
"Q178X8","protein"
"Q17A00","protein"
"Q17FE8","protein"
"Q17FE9","protein"
"Q17G70","protein"
"Q17GP4","protein"
"Q17HP2","protein"
