"protein_name","enriched_term"
"HECA","Salivary gland cell autophagic cell death"
"PAK3","Salivary gland cell autophagic cell death"
"BRWD3","Salivary gland cell autophagic cell death"
"PAK3","Salivary gland cell autophagic cell death"
"ARK","Salivary gland cell autophagic cell death"
"ELF2","Salivary gland cell autophagic cell death"
"CHEK1","Response to wounding"
"APLP2","Response to wounding"
"Q16G89","Response to wounding"
"CHEK1","Response to wounding"
"MAP3K13","Response to wounding"
"Q16Y82","Response to wounding"
"TOLL1A","Response to wounding"
"CHEK1","Response to wounding"
"Q17C93","Response to wounding"
"igcm-1","Response to wounding"
"igcm-1","Response to wounding"
"CDK2","Regulation of receptor signaling pathway via JAK-STAT"
"Q16N45","Regulation of receptor signaling pathway via JAK-STAT"
"CNOT4","Regulation of receptor signaling pathway via JAK-STAT"
"CNOT4","Regulation of receptor signaling pathway via JAK-STAT"
"LIN28A","Regulation of receptor signaling pathway via JAK-STAT"
