"protein_name","mirna/enriched_term"
"RBFOX2","aae-mir-2945-3p"
"RBFOX2","RNA binding protein fox-1 homolog 1-like and H zone"
"CELF3","aae-mir-2945-3p"
"CELF3","RNA binding protein fox-1 homolog 1-like and H zone"
"RBFOX2","aae-mir-2945-3p"
"RBFOX2","RNA binding protein fox-1 homolog 1-like and H zone"
"CELF3","aae-mir-2945-3p"
"CELF3","RNA binding protein fox-1 homolog 1-like and H zone"
"Q17FE8","aae-mir-2945-3p"
"Q17FE8","RNA binding protein fox-1 homolog 1-like and H zone"
"Q17FE9","aae-mir-2945-3p"
"Q17FE9","RNA binding protein fox-1 homolog 1-like and H zone"
"RBFOX2","aae-mir-2945-3p"
"RBFOX2","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"RBFOX2","aae-mir-2945-3p"
"RBFOX2","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"CELF3","aae-mir-2945-3p"
"CELF3","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"Q17FE8","aae-mir-2945-3p"
"Q17FE8","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"Q17FE9","aae-mir-2945-3p"
"Q17FE9","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"RBFOX2","aae-mir-2945-3p"
"RBFOX2","mRNA 3-UTR binding"
"SECISBP2L","aae-mir-2945-3p"
"SECISBP2L","mRNA 3-UTR binding"
"SECISBP2L","aae-mir-2945-3p"
"SECISBP2L","mRNA 3-UTR binding"
"RBFOX2","aae-mir-2945-3p"
"RBFOX2","mRNA 3-UTR binding"
"LIN28A","aae-mir-2945-3p"
"LIN28A","mRNA 3-UTR binding"
"Q17FE8","aae-mir-2945-3p"
"Q17FE8","mRNA 3-UTR binding"
"Q17FE9","aae-mir-2945-3p"
"Q17FE9","mRNA 3-UTR binding"
"POLA2","aae-mir-276-5p"
"POLA2","Alpha DNA polymerase:primase complex"
"POLA2","aae-mir-276-5p"
"POLA2","Alpha DNA polymerase:primase complex"
"POLA2","aae-mir-276-5p"
"POLA2","Alpha DNA polymerase:primase complex"
"POLA2","aae-mir-276-5p"
"POLA2","Alpha DNA polymerase:primase complex"
"POLA2","aae-mir-276-5p"
"POLA2","Alpha DNA polymerase:primase complex"
"POLA2","aae-mir-276-5p"
"POLA2","Alpha DNA polymerase:primase complex"
"POLA2","aae-mir-276-5p"
"POLA2","DNA replication initiation"
"POLA2","aae-mir-276-5p"
"POLA2","DNA replication initiation"
"POLA2","aae-mir-276-5p"
"POLA2","DNA replication initiation"
"POLA2","aae-mir-276-5p"
"POLA2","E2F mediated regulation of DNA replication"
"POLA2","aae-mir-276-5p"
"POLA2","E2F mediated regulation of DNA replication"
"POLA2","aae-mir-276-5p"
"POLA2","E2F mediated regulation of DNA replication"
"Q16KJ5","aae-mir-276-5p"
"Q16KJ5","FGFR3 ligand binding and activation"
"Q16KZ4","aae-mir-276-5p"
"Q16KZ4","FGFR3 ligand binding and activation"
"Q16KJ5","aae-mir-276-5p"
"Q16KJ5","FGFR3c ligand binding and activation"
"Q16KZ4","aae-mir-276-5p"
"Q16KZ4","FGFR3c ligand binding and activation"
"POLA2","aae-mir-276-5p"
"POLA2","Inhibition of replication initiation of damaged DNA by RB1/E2F1"
"POLA2","aae-mir-276-5p"
"POLA2","Inhibition of replication initiation of damaged DNA by RB1/E2F1"
"POLA2","aae-mir-276-5p"
"POLA2","Inhibition of replication initiation of damaged DNA by RB1/E2F1"
"POLA2","aae-mir-276-5p"
"POLA2","Lagging Strand Synthesis"
"POLA2","aae-mir-276-5p"
"POLA2","Lagging Strand Synthesis"
"POLA2","aae-mir-276-5p"
"POLA2","Lagging Strand Synthesis"
"POLA2","aae-mir-276-5p"
"POLA2","Leading Strand Synthesis"
"POLA2","aae-mir-276-5p"
"POLA2","Leading Strand Synthesis"
"POLA2","aae-mir-276-5p"
"POLA2","Leading Strand Synthesis"
"POLA2","aae-mir-276-5p"
"POLA2","Polymerase switching"
"POLA2","aae-mir-276-5p"
"POLA2","Polymerase switching"
"POLA2","aae-mir-276-5p"
"POLA2","Polymerase switching"
"POLA2","aae-mir-276-5p"
"POLA2","Processive synthesis on the lagging strand"
"POLA2","aae-mir-276-5p"
"POLA2","Processive synthesis on the lagging strand"
"POLA2","aae-mir-276-5p"
"POLA2","Processive synthesis on the lagging strand"
"POLA2","aae-mir-276-5p"
"POLA2","Removal of the Flap Intermediate"
"POLA2","aae-mir-276-5p"
"POLA2","Removal of the Flap Intermediate"
"POLA2","aae-mir-276-5p"
"POLA2","Removal of the Flap Intermediate"
"POLA2","aae-mir-276-5p"
"POLA2","DNA strand elongation"
"POLA2","aae-mir-276-5p"
"POLA2","DNA strand elongation"
"POLA2","aae-mir-276-5p"
"POLA2","DNA strand elongation"
