"X.node","identifier","uniprot_id","id","protein_name","node_degree"
"MED19","7160.A0A182H615","A0A182H615","aalb:109426522","MED19",3
"RP20_CCG000039","7160.A0A182GSA0","A0A182GSA0","aalb:109411694","A0A182GSA0",2
"RP20_CCG000070","7160.A0A182G0L9","A0A182G0L9","aalb:109428091","UXS1",6
"RP20_CCG000101","7160.A0A182G0N5","A0A182G0N5","aalb:109404964","GAS2L1",1
"RP20_CCG000121","7160.A0A182G0Q0","A0A182G0Q0","aalb:109404611","A0A182G0Q0",3
"RP20_CCG000220","7160.A0A182G0T6","A0A182G0T6","aalb:109433376","A0A182G0T6",0
"RP20_CCG000245","7160.A0A182G0U6","A0A182G0U6","aalb:115253976","A0A182G0U6",2
"RP20_CCG000405","7160.A0A182G131","A0A182G131","aalb:109406924","BOD1L1",0
"RP20_CCG000408","7160.A0A182G134","A0A182G134","aalb:109406930","A0A182G134",9
"RP20_CCG000432","7160.A0A182G149","A0A182G149","aalb:109412654","A0A182G149",1
"RP20_CCG000617","7160.A0A182G1E7","A0A182G1E7","aalb:109426577","REXO5",2
"RP20_CCG000723","7160.A0A182G1I1","A0A182G1I1","aalb:109432678","A0A182G1I1",2
"RP20_CCG000855","7160.A0A182G1N5","A0A182G1N5","aalb:115256044","A0A182G1N5",1
"RP20_CCG001108","7160.A0A182G204","A0A182G204","aalb:109430219","A0A182G204",3
"RP20_CCG001121","7160.A0A182G215","A0A182G215","aalb:109402493","A0A182G215",0
"RP20_CCG001269","7160.A0A182G2A3","A0A182G2A3","aalb:115253602","NCAM2",1
"RP20_CCG001317","7160.A0A182G9V6","A0A182G9V6","aalb:109430248","RPP14",3
"RP20_CCG001321","7160.A0A182G2C1","A0A182G2C1","aalb:109414266","SCYL3",0
"RP20_CCG001475","7160.A0A182G2J8","A0A182G2J8","aalb:109432905","A0A182G2J8",2
"RP20_CCG001505","7160.A0A182G2L9","A0A182G2L9","aalb:109410168","A0A182G2L9",3
"RP20_CCG001549","7160.A0A182G2N5","A0A182G2N5","aalb:109409843","A0A182G2N5",6
"RP20_CCG001556","7160.A0A182G2N8","A0A182G2N8","aalb:115257440","A0A182G2N8",3
"RP20_CCG001575","7160.A0A182G2Q0","A0A182G2Q0","aalb:109404949","A0A182G2Q0",4
"RP20_CCG001576","7160.A0A182G2Q1","A0A182G2Q1","aalb:109413505","NUDT21",9
"RP20_CCG001881","7160.A0A182G352","A0A182G352","aalb:109621707","A0A182G352",3
"RP20_CCG001887","7160.A0A182G353","A0A182G353","aalb:109425970","A0A182G353",0
