#node	identifier	node_degree
MED19	7160.A0A182H615	3
RP20_CCG000039	7160.A0A182GSA0	2
RP20_CCG000070	7160.A0A182G0L9	6
RP20_CCG000101	7160.A0A182G0N5	1
RP20_CCG000121	7160.A0A182G0Q0	3
RP20_CCG000220	7160.A0A182G0T6	0
RP20_CCG000245	7160.A0A182G0U6	2
RP20_CCG000405	7160.A0A182G131	0
RP20_CCG000408	7160.A0A182G134	9
RP20_CCG000426	7160.A0A182GXQ2	0
RP20_CCG000432	7160.A0A182G149	1
RP20_CCG000437	7160.A0A182G151	0
RP20_CCG000451	7160.A0A182G158	0
RP20_CCG000613	7160.A0A182G1E4	4
RP20_CCG000617	7160.A0A182G1E7	2
RP20_CCG000723	7160.A0A182G1I1	2
RP20_CCG000855	7160.A0A182G1N5	1
RP20_CCG000983	7160.A0A182G1U3	2
RP20_CCG001108	7160.A0A182G204	3
RP20_CCG001121	7160.A0A182G215	0
RP20_CCG001269	7160.A0A182G2A3	1
RP20_CCG001317	7160.A0A182G9V6	3
RP20_CCG001321	7160.A0A182G2C1	0
RP20_CCG001337	7160.A0A182G2D0	0
RP20_CCG001475	7160.A0A182G2J8	2
RP20_CCG001505	7160.A0A182G2L9	3
RP20_CCG001521	7160.A0A182G2M7	1
RP20_CCG001549	7160.A0A182G2N5	6
RP20_CCG001556	7160.A0A182G2N8	3
RP20_CCG001575	7160.A0A182G2Q0	4
RP20_CCG001576	7160.A0A182G2Q1	9
RP20_CCG001707	7160.A0A182G2Y4	2
RP20_CCG001813	7160.A0A182G335	0
RP20_CCG001881	7160.A0A182G352	3
RP20_CCG001887	7160.A0A182G353	0
RP20_CCG001937	7160.A0A182G364	0
RP20_CCG002028	7160.A0A182G3B9	8
RP20_CCG002053	7160.A0A182G3D4	0
RP20_CCG002124	7160.A0A182G3H4	0
RP20_CCG002131	7160.A0A182G3H6	8
RP20_CCG002133	7160.A0A182G3H7	1
RP20_CCG002156	7160.A0A182G3J1	3
RP20_CCG002202	7160.A0A182G3M2	0
RP20_CCG002230	7160.A0A182G3N4	1
RP20_CCG002233	7160.A0A182G3N7	1
RP20_CCG002273	7160.A0A182G3Q9	0
RP20_CCG002280	7160.A0A182G3R2	0
RP20_CCG002318	7160.A0A182G3U2	1
RP20_CCG002568	7160.A0A182G473	0
RP20_CCG002589	7160.A0A182G484	0
RP20_CCG002728	7160.A0A182G4H0	2
RP20_CCG002743	7160.A0A182G4I0	0
RP20_CCG002759	7160.A0A182G4J4	8
RP20_CCG002897	7160.A0A182G4R2	2
RP20_CCG002936	7160.A0A182G4S7	2
RP20_CCG002937	7160.A0A182G4S8	4
RP20_CCG002972	7160.A0A182G4U6	0
RP20_CCG002974	7160.A0A182G4U8	1
RP20_CCG002976	7160.A0A182G4V0	0
RP20_CCG003006	7160.A0A182G4X0	3
RP20_CCG003160	7160.A0A182G948	0
RP20_CCG003196	7160.A0A182G573	5
RP20_CCG003235	7160.A0A182G593	8
RP20_CCG003245	7160.A0A182G598	2
RP20_CCG003299	7160.A0A182G5B9	3
RP20_CCG003330	7160.A0A182G5D5	0
RP20_CCG003366	7160.A0A182G5F4	0
RP20_CCG003410	7160.A0A023EJQ3	1
RP20_CCG003480	7160.A0A182G5M6	10
RP20_CCG003534	7160.A0A023EJP8	3
RP20_CCG003603	7160.A0A182G5U1	0
RP20_CCG003693	7160.A0A182G5Y8	2
RP20_CCG003697	7160.A0A023EIB6	12
RP20_CCG003706	7160.A0A182G5Z9	0
RP20_CCG003762	7160.A0A182G632	0
RP20_CCG003867	7160.A0A182G698	1
RP20_CCG003891	7160.A0A182G6A9	1
RP20_CCG003951	7160.A0A182G6D5	0
RP20_CCG003954	7160.A0A182G6D8	0
RP20_CCG003981	7160.A0A182G6F8	2
RP20_CCG004030	7160.A0A023ED66	10
RP20_CCG004117	7160.A0A182G6M7	0
RP20_CCG004132	7160.A0A182G6N6	2
RP20_CCG004135	7160.A0A182G6N9	0
RP20_CCG004137	7160.A0A182G6P1	2
RP20_CCG004148	7160.A0A182G6Q0	0
RP20_CCG004244	7160.A0A182G6V7	4
RP20_CCG004255	7160.A0A182G6W1	1
RP20_CCG004387	7160.A0A182G737	0
RP20_CCG004462	7160.A0A182G786	1
RP20_CCG004464	7160.A0A182G788	2
RP20_CCG004536	7160.A0A182G7C0	0
RP20_CCG004560	7160.A0A182G7D1	1
RP20_CCG004573	7160.A0A182G7E3	0
RP20_CCG004593	7160.A0A182G7F0	7
RP20_CCG004603	7160.A0A182G7F5	3
RP20_CCG004658	7160.A0A182G7J1	0
RP20_CCG004693	7160.A0A182G7L0	1
RP20_CCG004716	7160.A0A182G7M8	0
RP20_CCG004756	7160.A0A182G7Q9	0
RP20_CCG004768	7160.A0A182G7R3	1
RP20_CCG004770	7160.A0A182G7R5	1
RP20_CCG004781	7160.A0A182G7S1	0
RP20_CCG005275	7160.A0A182G8P0	1
RP20_CCG005310	7160.A0A182GE93	0
RP20_CCG005400	7160.A0A182G8W7	0
RP20_CCG005408	7160.A0A182G8X1	0
RP20_CCG005431	7160.A0A182G8Y8	0
RP20_CCG005533	7160.A0A182G944	0
RP20_CCG005712	7160.A0A182G9F1	0
RP20_CCG005741	7160.A0A182G9G7	4
RP20_CCG005748	7160.A0A182G9H4	0
RP20_CCG005764	7160.A0A182G9I6	0
RP20_CCG005983	7160.A0A182G9V4	0
RP20_CCG006076	7160.A0A182GA07	0
RP20_CCG006156	7160.A0A182GA53	4
RP20_CCG006184	7160.A0A182GA62	0
RP20_CCG006215	7160.A0A182GA81	1
RP20_CCG006265	7160.A0A182GAB6	7
RP20_CCG006378	7160.A0A182GAI3	0
RP20_CCG006404	7160.A0A182GAK2	1
RP20_CCG006466	7160.A0A182GAN6	0
RP20_CCG006470	7160.A0A182GAN8	0
RP20_CCG006622	7160.A0A182GAX4	1
RP20_CCG006673	7160.A0A182GAZ9	0
RP20_CCG006713	7160.A0A182GB21	1
RP20_CCG006763	7160.A0A182GB50	1
RP20_CCG006898	7160.A0A182GBE1	0
RP20_CCG006899	7160.A0A182GBE2	3
RP20_CCG006965	7160.A0A182GBH6	2
RP20_CCG007000	7160.A0A182GBK3	3
RP20_CCG007010	7160.A0A182GBK9	0
RP20_CCG007119	7160.A0A182GBS7	1
RP20_CCG007128	7160.A0A182GBT2	0
RP20_CCG007174	7160.A0A182GBV7	3
RP20_CCG007211	7160.A0A182GBY5	6
RP20_CCG007218	7160.A0A182GBY9	0
RP20_CCG007238	7160.A0A182GBZ5	8
RP20_CCG007284	7160.A0A182GC25	0
RP20_CCG007310	7160.A0A182GC41	3
RP20_CCG007311	7160.A0A182GC42	1
RP20_CCG007352	7160.A0A182GC69	0
RP20_CCG007410	7160.A0A023EIL7	1
RP20_CCG007416	7160.A0A182GCB3	0
RP20_CCG007423	7160.A0A182GCC0	1
RP20_CCG007427	7160.A0A182GCC4	1
RP20_CCG007463	7160.A0A182GCE9	2
RP20_CCG007490	7160.A0A182GCG5	1
RP20_CCG007527	7160.A0A182GCI3	0
RP20_CCG007750	7160.A0A182GCX7	8
RP20_CCG007786	7160.A0A182GD08	0
RP20_CCG007836	7160.A0A182GD47	1
RP20_CCG007886	7160.A0A182GD72	2
RP20_CCG007915	7160.A0A182H691	0
RP20_CCG007967	7160.A0A182GDB5	0
RP20_CCG007976	7160.A0A182GDC3	0
RP20_CCG008046	7160.A0A182GDI3	3
RP20_CCG008080	7160.A0A182GDL1	0
RP20_CCG008086	7160.A0A182GDL6	1
RP20_CCG008130	7160.A0A182GDP6	5
RP20_CCG008133	7160.A0A023EHT5	0
RP20_CCG008228	7160.A0A182GDW5	11
RP20_CCG008258	7160.A0A182GDY7	0
RP20_CCG008318	7160.A0A182GE25	0
RP20_CCG008319	7160.A0A182GE26	6
RP20_CCG008334	7160.A0A182GE35	3
RP20_CCG008406	7160.A0A182GE86	6
RP20_CCG008439	7160.A0A182GEB4	1
RP20_CCG008456	7160.A0A182GEC6	0
RP20_CCG008473	7160.A0A182GEE1	0
RP20_CCG008498	7160.A0A182GEG3	0
RP20_CCG008536	7160.A0A182GEI8	0
RP20_CCG008617	7160.A0A182GEP3	5
RP20_CCG008622	7160.A0A182GEP8	0
RP20_CCG008643	7160.A0A182GEQ8	2
RP20_CCG008646	7160.A0A182GER1	3
RP20_CCG008658	7160.A0A182GER9	0
RP20_CCG008706	7160.A0A182GEV4	0
RP20_CCG008758	7160.A0A182GEY8	3
RP20_CCG008767	7160.A0A182GEZ6	4
RP20_CCG008798	7160.A0A182GF18	0
RP20_CCG008879	7160.A0A182GF70	2
RP20_CCG008946	7160.A0A182GFC5	0
RP20_CCG008947	7160.A0A182GFC6	3
RP20_CCG008969	7160.A0A182GFE7	0
RP20_CCG008983	7160.A0A182GFF5	0
RP20_CCG008994	7160.A0A182GFG3	1
RP20_CCG009017	7160.A0A023EE18	1
RP20_CCG009046	7160.A0A182GFK3	1
RP20_CCG009132	7160.A0A182GFQ8	4
RP20_CCG009151	7160.A0A182GFS4	1
RP20_CCG009155	7160.A0A023ER33	3
RP20_CCG009226	7160.A0A182GFX2	2
RP20_CCG009285	7160.A0A182GG15	0
RP20_CCG009300	7160.A0A182GG23	1
RP20_CCG009340	7160.A0A182GUP1	1
RP20_CCG009367	7160.A0A182GG74	0
RP20_CCG009412	7160.A0A182GGA9	0
RP20_CCG009444	7160.A0A182GGD0	0
RP20_CCG009530	7160.A0A182GGJ1	0
RP20_CCG009668	7160.A0A182GGU3	0
RP20_CCG009682	7160.A0A182GGV5	0
RP20_CCG009705	7160.A0A182GGX6	14
RP20_CCG009707	7160.A0A182GGX8	5
RP20_CCG009737	7160.A0A182GH02	1
RP20_CCG009773	7160.A0A182GH29	0
RP20_CCG010047	7160.A0A182GHM7	0
RP20_CCG010133	7160.A0A182GHS1	8
RP20_CCG010182	7160.A0A182GHU5	2
RP20_CCG010187	7160.A0A182GHU9	1
RP20_CCG010259	7160.A0A182GI06	4
RP20_CCG010296	7160.A0A182GI38	0
RP20_CCG010314	7160.A0A023EFS1	2
RP20_CCG010352	7160.A0A182GI84	1
RP20_CCG010358	7160.A0A182GI88	0
RP20_CCG010372	7160.A0A182GI96	0
RP20_CCG010397	7160.A0A182GIB7	0
RP20_CCG010480	7160.A0A182GIH3	0
RP20_CCG010481	7160.A0A182GIH4	0
RP20_CCG010498	7160.A0A182GII8	0
RP20_CCG010567	7160.A0A182GIN2	9
RP20_CCG010630	7160.A0A182GIS9	1
RP20_CCG010658	7160.A0A182GIV3	1
RP20_CCG010717	7160.A0A182GIZ3	0
RP20_CCG010763	7160.A0A182GJ26	0
RP20_CCG010799	7160.A0A182GJ49	0
RP20_CCG010842	7160.A0A182H373	1
RP20_CCG010898	7160.A0A182GJ96	0
RP20_CCG010956	7160.A0A182GJD7	3
RP20_CCG010977	7160.A0A182GJE9	0
RP20_CCG011049	7160.A0A182GJK2	0
RP20_CCG011177	7160.A0A182GJU2	1
RP20_CCG011190	7160.A0A182GJV0	2
RP20_CCG011195	7160.A0A182GJV2	0
RP20_CCG011270	7160.A0A182GK16	7
RP20_CCG011302	7160.A0A182GK33	1
RP20_CCG011363	7160.A0A182GK76	1
RP20_CCG011501	7160.A0A182GKJ0	0
RP20_CCG011530	7160.A0A182GKK8	0
RP20_CCG011598	7160.A0A182GKQ4	0
RP20_CCG011607	7160.A0A182GKR1	0
RP20_CCG011608	7160.A0A182GKR2	0
RP20_CCG011742	7160.A0A023EK43	0
RP20_CCG011766	7160.A0A182GL31	0
RP20_CCG011773	7160.A0A182GL33	0
RP20_CCG011816	7160.A0A182GL59	1
RP20_CCG011827	7160.A0A182GL68	0
RP20_CCG011829	7160.A0A182GVZ2	0
RP20_CCG011874	7160.A0A023EQV8	8
RP20_CCG011899	7160.A0A182GLB9	4
RP20_CCG011919	7160.A0A182GLC9	0
RP20_CCG011959	7160.A0A182GLF1	2
RP20_CCG012000	7160.A0A182GLI1	1
RP20_CCG012009	7160.A0A182GLJ0	1
RP20_CCG012060	7160.A0A182GLN0	0
RP20_CCG012103	7160.A0A182GLR2	0
RP20_CCG012145	7160.A0A182GLU1	1
RP20_CCG012161	7160.A0A182GLV4	3
RP20_CCG012181	7160.A0A182GLX2	0
RP20_CCG012239	7160.A0A182GM03	5
RP20_CCG012242	7160.A0A182GM05	0
RP20_CCG012262	7160.A0A023EGI5	0
RP20_CCG012281	7160.A0A182GM34	2
RP20_CCG012306	7160.A0A182GM48	4
RP20_CCG012320	7160.A0A182GM61	0
RP20_CCG012359	7160.A0A182GM81	0
RP20_CCG012365	7160.A0A182GM87	4
RP20_CCG012416	7160.A0A182GMC1	7
RP20_CCG012454	7160.A0A182GMD7	7
RP20_CCG012545	7160.A0A182GMK4	1
RP20_CCG012595	7160.A0A182GMQ0	0
RP20_CCG012611	7160.A0A182GMR2	1
RP20_CCG012629	7160.A0A182GMS9	1
RP20_CCG012679	7160.A0A182GMV2	1
RP20_CCG012680	7160.A0A182GMV3	0
RP20_CCG012702	7160.A0A182GMX4	0
RP20_CCG012705	7160.A0A182GMX7	2
RP20_CCG012708	7160.A0A182GMX8	0
RP20_CCG012728	7160.A0A182GMZ4	2
RP20_CCG012762	7160.A0A182GN18	0
RP20_CCG012769	7160.A0A182GN25	1
RP20_CCG012894	7160.A0A182GNC4	0
RP20_CCG012980	7160.A0A182GNJ3	1
RP20_CCG013108	7160.A0A182GNT2	0
RP20_CCG013111	7160.A0A023EFH1	1
RP20_CCG013127	7160.A0A182GNU5	1
RP20_CCG013130	7160.A0A182GNU8	0
RP20_CCG013157	7160.A0A182GNX0	0
RP20_CCG013178	7160.A0A182GNY6	2
RP20_CCG013219	7160.A0A182GP12	7
RP20_CCG013225	7160.A0A182GP17	20
RP20_CCG013278	7160.A0A182GP53	1
RP20_CCG013415	7160.A0A182GPF1	2
RP20_CCG013476	7160.A0A182GPJ4	0
RP20_CCG013505	7160.A0A182GPM1	1
RP20_CCG013506	7160.A0A182GPM2	0
RP20_CCG013514	7160.A0A182GPM8	0
RP20_CCG013528	7160.A0A182GPN4	0
RP20_CCG013576	7160.A0A182GPS6	0
RP20_CCG013590	7160.A0A182GPT4	0
RP20_CCG013595	7160.A0A182GPT7	0
RP20_CCG013614	7160.A0A182GPU8	3
RP20_CCG013663	7160.A0A182GPX9	2
RP20_CCG013710	7160.A0A182GQ07	1
RP20_CCG013827	7160.A0A182GQ91	0
RP20_CCG013868	7160.A0A182GQC8	0
RP20_CCG014045	7160.A0A182GQP1	1
RP20_CCG014061	7160.A0A182GQQ1	0
RP20_CCG014064	7160.A0A182GQQ4	2
RP20_CCG014126	7160.A0A182GQU6	0
RP20_CCG014130	7160.A0A182GQU7	0
RP20_CCG014223	7160.A0A182GR14	0
RP20_CCG014226	7160.A0A182GR17	3
RP20_CCG014290	7160.A0A182GR75	4
RP20_CCG014302	7160.A0A182GR85	1
RP20_CCG014429	7160.A0A182GRG7	0
RP20_CCG014445	7160.A0A182GRH9	0
RP20_CCG014586	7160.A0A182GRR4	0
RP20_CCG014597	7160.A0A182GRS0	0
RP20_CCG014643	7160.A0A182GRU6	1
RP20_CCG014657	7160.A0A182GRV8	0
RP20_CCG014756	7160.A0A023EQ67	2
RP20_CCG014779	7160.A0A182GS49	3
RP20_CCG015087	7160.A0A182GSS4	5
RP20_CCG015324	7160.A0A182GT68	0
RP20_CCG015350	7160.A0A182GT83	4
RP20_CCG015370	7160.A0A182GTA2	0
RP20_CCG015467	7160.A0A182GTH0	0
RP20_CCG015560	7160.A0A182GTM1	0
RP20_CCG015568	7160.A0A182GTM7	3
RP20_CCG015580	7160.A0A182GTN3	8
RP20_CCG015582	7160.A0A182GTN5	0
RP20_CCG015594	7160.A0A182GTP3	0
RP20_CCG015609	7160.A0A182GTQ3	11
RP20_CCG015621	7160.A0A182GTR5	0
RP20_CCG015806	7160.A0A182HEI5	4
RP20_CCG015811	7160.A0A182GU57	0
RP20_CCG015869	7160.A0A182GU89	5
RP20_CCG015915	7160.A0A182GUD0	1
RP20_CCG015997	7160.A0A182GUI2	2
RP20_CCG016021	7160.A0A182GUJ6	3
RP20_CCG016050	7160.A0A182GUL1	0
RP20_CCG016093	7160.A0A023EKS2	6
RP20_CCG016099	7160.A0A182GUQ1	4
RP20_CCG016160	7160.A0A182GUV3	5
RP20_CCG016161	7160.A0A182GUV4	1
RP20_CCG016191	7160.A0A182GUX7	7
RP20_CCG016202	7160.A0A182GUY8	1
RP20_CCG016231	7160.A0A182GV08	0
RP20_CCG016238	7160.A0A182GV15	5
RP20_CCG016301	7160.A0A182GV54	1
RP20_CCG016419	7160.A0A182GVE2	0
RP20_CCG016448	7160.A0A182GVG0	1
RP20_CCG016454	7160.A0A182GVG6	6
RP20_CCG016461	7160.A0A182GVH2	0
RP20_CCG016471	7160.A0A182GVH7	0
RP20_CCG016546	7160.A0A182GVL4	1
RP20_CCG016583	7160.A0A182GVN2	5
RP20_CCG016632	7160.A0A182GVQ8	0
