#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MED19	RP20_CCG000613	7160.A0A182H615	7160.A0A182G1E4	0	0	0	0	0.117	0.356	0.278	0.235	0.643
MED19	RP20_CCG003196	7160.A0A182H615	7160.A0A182G573	0	0	0	0	0	0.393	0.209	0.073	0.516
MED19	RP20_CCG012306	7160.A0A182H615	7160.A0A182GM48	0	0	0	0	0	0.942	0.633	0.526	0.989
RP20_CCG000039	RP20_CCG013225	7160.A0A182GSA0	7160.A0A182GP17	0	0	0	0	0.108	0	0.619	0.201	0.704
RP20_CCG000039	RP20_CCG022841	7160.A0A182GSA0	7160.A0A182H6P5	0	0	0	0	0	0.497	0.477	0.165	0.761
RP20_CCG000070	RP20_CCG004030	7160.A0A182G0L9	7160.A0A023ED66	0	0	0	0	0.143	0.587	0	0.051	0.634
RP20_CCG000070	RP20_CCG024828	7160.A0A182G0L9	7160.A0A182H9P7	0	0	0	0	0.052	0.396	0	0	0.402
RP20_CCG000070	RP20_CCG008130	7160.A0A182G0L9	7160.A0A182GDP6	0.077	0	0	0	0.184	0	0.318	0.148	0.503
RP20_CCG000070	RP20_CCG008046	7160.A0A182G0L9	7160.A0A182GDI3	0.111	0	0	0	0.042	0.071	0.510	0.104	0.589
RP20_CCG000070	RP20_CCG021775	7160.A0A182G0L9	7160.A0A182H4X0	0	0	0	0	0.174	0.408	0.276	0.049	0.618
RP20_CCG000070	RP20_CCG022027	7160.A0A182G0L9	7160.A0A182H5B7	0.111	0	0	0	0.352	0.092	0.510	0.271	0.779
RP20_CCG000101	RP20_CCG015609	7160.A0A182G0N5	7160.A0A182GTQ3	0	0	0	0	0	0.527	0.111	0.128	0.601
RP20_CCG000121	RP20_CCG025494	7160.A0A182G0Q0	7160.A0A023EPY3	0.078	0	0	0	0.046	0.110	0	0.527	0.580
RP20_CCG000121	RP20_CCG008228	7160.A0A182G0Q0	7160.A0A182GDW5	0	0	0	0	0	0	0	0.451	0.451
