#node	identifier	x_position	y_position	color	annotation
MED19	7160.A0A182H615	0.6424409448818897	0.5510584250635057	rgb(239,198,117)	Mediator of RNA polymerase II transcription subunit 19; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.
RP20_CCG000039	7160.A0A182GSA0	0.4776771653543307	0.32129551227773073	rgb(117,117,239)	Uncharacterized protein.
RP20_CCG000070	7160.A0A182G0L9	0.3880314960629921	0.5887806943268418	rgb(197,239,117)	NAD(P)-bd_dom domain-containing protein.
RP20_CCG000101	7160.A0A182G0N5	0.7366929133858268	0.5461049957662998	rgb(170,239,117)	GAR domain-containing protein.
RP20_CCG000121	7160.A0A182G0Q0	0.5145275590551182	0.7080440304826419	rgb(198,239,117)	Cytidine deaminase; This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis; Belongs to the cytidine and deoxycytidylate deaminase family.
RP20_CCG000220	7160.A0A182G0T6	0.36570866141732283	0.25194750211685013	rgb(239,168,117)	CRAL-TRIO domain-containing protein.
RP20_CCG000245	7160.A0A182G0U6	0.5768897637795276	0.26147332768839965	rgb(169,239,117)	SAC domain-containing protein.
RP20_CCG000405	7160.A0A182G131	0.5527952755905513	0.2458509737510584	rgb(153,239,117)	Uncharacterized protein.
RP20_CCG000408	7160.A0A182G134	0.5021259842519685	0.5323878069432685	rgb(117,153,239)	zf_UBZ domain-containing protein.
RP20_CCG000426	7160.A0A182GXQ2	0.26933070866141734	0.8311176968670618	rgb(144,239,117)	Uncharacterized protein.
RP20_CCG000432	7160.A0A182G149	0.5124015748031496	0.1787891617273497	rgb(117,239,145)	MFS domain-containing protein; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
RP20_CCG000437	7160.A0A182G151	0.626496062992126	0.6969940728196444	rgb(239,235,117)	Uncharacterized protein.
RP20_CCG000451	7160.A0A182G158	0.2806692913385827	0.6969940728196444	rgb(189,239,117)	Uncharacterized protein.
RP20_CCG000613	7160.A0A182G1E4	0.6300393700787402	0.47256562235393734	rgb(117,212,239)	Uncharacterized protein.
RP20_CCG000617	7160.A0A182G1E7	0.5669685039370079	0.6265029635901779	rgb(239,220,117)	Exonuclease domain-containing protein.
RP20_CCG000723	7160.A0A182G1I1	0.4213385826771654	0.193268416596105	rgb(117,117,239)	Sodium channel protein; Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.
RP20_CCG000855	7160.A0A182G1N5	0.3104330708661417	0.8242591024555462	rgb(152,239,117)	Phospholipid-transporting ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily.
RP20_CCG000983	7160.A0A182G1U3	0.11661417322834645	0.6276460626587639	rgb(239,234,117)	Uncharacterized protein.
RP20_CCG001108	7160.A0A182G204	0.32637795275590553	0.2481371718882303	rgb(204,239,117)	Uncharacterized protein.
