"uniprot_id","enriched_term"
"J9EAN8","System development"
"Q0IE98","System development"
"Q0IE99","System development"
"Q0IFC5","System development"
"Q0IG29","System development"
"Q16FK4","System development"
"Q16GL8","System development"
"Q16HK0","System development"
"Q16I15","System development"
"Q16I75","System development"
"Q16I88","System development"
"Q16IN4","System development"
"Q16IW8","System development"
"Q16KQ8","System development"
"Q16KQ9","System development"
"Q16KR0","System development"
"Q16L96","System development"
"Q16LK0","System development"
"Q16LS6","System development"
"Q16LU2","System development"
"Q16LX7","System development"
"Q16M53","System development"
"Q16M54","System development"
"Q16MK4","System development"
"Q16N85","System development"
"Q16PP6","System development"
"Q16PT5","System development"
"Q16R23","System development"
"Q16R65","System development"
"Q16RM1","System development"
"Q16RU6","System development"
"Q16SB0","System development"
"Q16TR7","System development"
"Q16U10","System development"
"Q16UC4","System development"
"Q16VM1","System development"
"Q16W03","System development"
"Q16WF1","System development"
"Q16WM1","System development"
"Q16XT3","System development"
"Q16Y82","System development"
"Q16YG3","System development"
"Q16YG8","System development"
"Q16YZ8","System development"
"Q16YZ9","System development"
"Q16Z01","System development"
"Q170K4","System development"
"Q170K8","System development"
"Q171J8","System development"
"Q172L3","System development"
"Q173B0","System development"
"Q174K3","System development"
"Q174W8","System development"
"Q177R3","System development"
"Q177S2","System development"
"Q17BK4","System development"
"Q17BN5","System development"
"Q17BY7","System development"
"Q17C29","System development"
"Q17C39","System development"
"Q17C93","System development"
"Q17CG1","System development"
"Q17D24","System development"
"Q17DB6","System development"
"Q17DL2","System development"
"Q17DM5","System development"
"Q17E44","System development"
"Q17EB3","System development"
"Q17EP7","System development"
"Q17F07","System development"
"Q17F08","System development"
"Q17F71","System development"
"Q17G69","System development"
"Q17GF2","System development"
"Q17GI1","System development"
"Q17GP3","System development"
"Q17H75","System development"
"Q17HA9","System development"
"Q17HG6","System development"
"Q17HS6","System development"
"Q17I67","System development"
"Q17IA0","System development"
"Q17IK5","System development"
"Q17IL0","System development"
"Q17J33","System development"
"Q17JY3","System development"
"Q17K20","System development"
"Q17K58","System development"
"Q17K67","System development"
"Q17K68","System development"
"Q17KU1","System development"
"Q17L13","System development"
"Q17LA6","System development"
"Q17M42","System development"
"Q17MT6","System development"
"Q17MX1","System development"
"Q17MX6","System development"
"Q17MX7","System development"
"Q17N01","System development"
"Q17NC1","System development"
"Q17NE5","System development"
"Q17NJ1","System development"
"Q17NP6","System development"
"Q17PG3","System development"
"Q17PT9","System development"
"Q17PU2","System development"
"J9EAF0","Cell differentiation"
"J9EAN8","Cell differentiation"
"Q0IE98","Cell differentiation"
"Q0IE99","Cell differentiation"
"Q0IFC5","Cell differentiation"
"Q0IG29","Cell differentiation"
"Q16FK4","Cell differentiation"
"Q16G14","Cell differentiation"
"Q16GK5","Cell differentiation"
"Q16GL8","Cell differentiation"
"Q16HK0","Cell differentiation"
"Q16I15","Cell differentiation"
"Q16I75","Cell differentiation"
"Q16I88","Cell differentiation"
"Q16IN4","Cell differentiation"
"Q16JN7","Cell differentiation"
"Q16L96","Cell differentiation"
"Q16LK0","Cell differentiation"
"Q16LU2","Cell differentiation"
"Q16LX7","Cell differentiation"
"Q16M53","Cell differentiation"
"Q16M54","Cell differentiation"
"Q16MK4","Cell differentiation"
"Q16N83","Cell differentiation"
"Q16N85","Cell differentiation"
"Q16NB0","Cell differentiation"
"Q16NC7","Cell differentiation"
"Q16PP6","Cell differentiation"
"Q16PT5","Cell differentiation"
"Q16R23","Cell differentiation"
"Q16R65","Cell differentiation"
"Q16RM1","Cell differentiation"
"Q16RU6","Cell differentiation"
"Q16SB0","Cell differentiation"
"Q16TM2","Cell differentiation"
"Q16U87","Cell differentiation"
"Q16U90","Cell differentiation"
"Q16UC4","Cell differentiation"
"Q16W03","Cell differentiation"
"Q16WF1","Cell differentiation"
"Q16WM1","Cell differentiation"
"Q16XA3","Cell differentiation"
"Q16XT3","Cell differentiation"
"Q16Y82","Cell differentiation"
"Q16YG3","Cell differentiation"
"Q16YG5","Cell differentiation"
"Q16YG8","Cell differentiation"
"Q16YZ8","Cell differentiation"
"Q16YZ9","Cell differentiation"
"Q16Z01","Cell differentiation"
"Q16ZB6","Cell differentiation"
"Q170K4","Cell differentiation"
"Q170K8","Cell differentiation"
"Q170V1","Cell differentiation"
"Q171J8","Cell differentiation"
"Q172L3","Cell differentiation"
"Q174K3","Cell differentiation"
"Q174W8","Cell differentiation"
"Q176B9","Cell differentiation"
"Q176R2","Cell differentiation"
"Q177R3","Cell differentiation"
"Q177S2","Cell differentiation"
"Q178N5","Cell differentiation"
"Q178X8","Cell differentiation"
"Q17AZ6","Cell differentiation"
"Q17BN5","Cell differentiation"
"Q17BY7","Cell differentiation"
"Q17C29","Cell differentiation"
"Q17C39","Cell differentiation"
"Q17C93","Cell differentiation"
"Q17D24","Cell differentiation"
"Q17DB6","Cell differentiation"
"Q17DL2","Cell differentiation"
"Q17E44","Cell differentiation"
"Q17EB3","Cell differentiation"
"Q17F07","Cell differentiation"
"Q17F08","Cell differentiation"
"Q17F71","Cell differentiation"
"Q17FE8","Cell differentiation"
"Q17FE9","Cell differentiation"
"Q17G69","Cell differentiation"
"Q17GI1","Cell differentiation"
"Q17GP3","Cell differentiation"
"Q17HA9","Cell differentiation"
"Q17HG6","Cell differentiation"
"Q17HS6","Cell differentiation"
"Q17I67","Cell differentiation"
"Q17IA0","Cell differentiation"
"Q17IK5","Cell differentiation"
"Q17IL0","Cell differentiation"
"Q17J33","Cell differentiation"
"Q17JY3","Cell differentiation"
"Q17K20","Cell differentiation"
"Q17KU1","Cell differentiation"
