"uniprot_id","mirna/enriched_term"
"J9EAN8","aae-mir-34-5p"
"J9EAN8","System development"
"Q0IG29","aae-mir-34-5p"
"Q0IG29","System development"
"Q16FK4","aae-mir-34-5p"
"Q16FK4","System development"
"Q16GL8","aae-mir-34-5p"
"Q16GL8","System development"
"Q16HK0","aae-mir-34-5p"
"Q16HK0","System development"
"Q16I15","aae-mir-34-5p"
"Q16I15","System development"
"Q16I75","aae-mir-34-5p"
"Q16I75","System development"
"Q16I88","aae-mir-34-5p"
"Q16I88","System development"
"Q16IN4","aae-mir-34-5p"
"Q16IN4","System development"
"Q16IW8","aae-mir-34-5p"
"Q16IW8","System development"
"Q16KQ8","aae-mir-34-5p"
"Q16KQ8","System development"
"Q16KQ9","aae-mir-34-5p"
"Q16KQ9","System development"
"Q16KR0","aae-mir-34-5p"
"Q16KR0","System development"
"Q16L96","aae-mir-34-5p"
"Q16L96","System development"
"Q16LK0","aae-mir-34-5p"
"Q16LK0","System development"
"Q16LS6","aae-mir-34-5p"
"Q16LS6","System development"
"Q16LX7","aae-mir-34-5p"
"Q16LX7","System development"
"Q16MK4","aae-mir-34-5p"
"Q16MK4","System development"
"Q16N85","aae-mir-34-5p"
"Q16N85","System development"
"Q16PP6","aae-mir-34-5p"
"Q16PP6","System development"
"Q16PT5","aae-mir-34-5p"
"Q16PT5","System development"
"Q16R23","aae-mir-34-5p"
"Q16R23","System development"
"Q16R65","aae-mir-34-5p"
"Q16R65","System development"
"Q16RM1","aae-mir-34-5p"
"Q16RM1","System development"
"Q16RU6","aae-mir-34-5p"
"Q16RU6","System development"
"Q16SB0","aae-mir-34-5p"
"Q16SB0","System development"
"Q16TR7","aae-mir-34-5p"
"Q16TR7","System development"
"Q16U10","aae-mir-34-5p"
"Q16U10","System development"
"Q16VM1","aae-mir-34-5p"
"Q16VM1","System development"
"Q16W03","aae-mir-34-5p"
"Q16W03","System development"
"Q16WF1","aae-mir-34-5p"
"Q16WF1","System development"
"Q16WM1","aae-mir-34-5p"
"Q16WM1","System development"
"Q16XT3","aae-mir-34-5p"
"Q16XT3","System development"
"Q16YG3","aae-mir-34-5p"
"Q16YG3","System development"
"Q16YG8","aae-mir-34-5p"
"Q16YG8","System development"
"Q16YZ8","aae-mir-34-5p"
"Q16YZ8","System development"
"Q16YZ9","aae-mir-34-5p"
"Q16YZ9","System development"
"Q16Z01","aae-mir-34-5p"
"Q16Z01","System development"
"Q170K4","aae-mir-34-5p"
"Q170K4","System development"
"Q170K8","aae-mir-34-5p"
"Q170K8","System development"
"Q171J8","aae-mir-34-5p"
"Q171J8","System development"
