uniprot_id,enriched_term
A0A023EBS4,Intracellular
A0A023ECJ9,Intracellular
A0A023ED66,Intracellular
A0A023EDY3,Intracellular
A0A023EE18,Intracellular
A0A023EFH1,Intracellular
A0A023EFS1,Intracellular
A0A023EGI5,Intracellular
A0A023EIB6,Intracellular
A0A023EID3,Intracellular
A0A023EIL7,Intracellular
A0A023EJK9,Intracellular
A0A023EJP8,Intracellular
A0A023EJQ3,Intracellular
A0A023EK43,Intracellular
A0A023EKS2,Intracellular
A0A023EMA3,Intracellular
A0A023EPY3,Intracellular
A0A023EQ67,Intracellular
A0A023EQE1,Intracellular
A0A023EQV8,Intracellular
A0A023ER33,Intracellular
A0A023ETF7,Intracellular
A0A182G0L9,Intracellular
A0A182G0N5,Intracellular
A0A182G0Q0,Intracellular
A0A182G0T6,Intracellular
A0A182G131,Intracellular
A0A182G134,Intracellular
A0A182G151,Intracellular
A0A182G1E4,Intracellular
A0A182G1E7,Intracellular
A0A182G2A3,Intracellular
A0A182G2C1,Intracellular
A0A182G2J8,Intracellular
A0A182G2M7,Intracellular
A0A182G2N5,Intracellular
A0A182G2Q0,Intracellular
A0A182G2Q1,Intracellular
A0A182G2Y4,Intracellular
A0A182G364,Intracellular
A0A182G3D4,Intracellular
A0A182G3H4,Intracellular
A0A182G3H6,Intracellular
A0A182G3H7,Intracellular
A0A182G3J1,Intracellular
A0A182G3N4,Intracellular
A0A182G3N7,Intracellular
A0A182G3U2,Intracellular
A0A182G473,Intracellular
A0A182G484,Intracellular
A0A182G4I0,Intracellular
A0A182G4J4,Intracellular
A0A182G4S7,Intracellular
A0A182G4S8,Intracellular
A0A182G4U6,Intracellular
A0A182G4U8,Intracellular
A0A182G4X0,Intracellular
A0A182G573,Intracellular
A0A182G593,Intracellular
A0A182G598,Intracellular
A0A182G5B9,Intracellular
A0A182G5D5,Intracellular
A0A182G5F4,Intracellular
A0A182G5M6,Intracellular
A0A182G5U1,Intracellular
A0A182G5Y8,Intracellular
A0A182G5Z9,Intracellular
A0A182G6A9,Intracellular
A0A182G6D5,Intracellular
A0A182G6F8,Intracellular
A0A182G6M7,Intracellular
A0A182G6N6,Intracellular
A0A182G6N9,Intracellular
A0A182G6P1,Intracellular
A0A182G6V7,Intracellular
A0A182G6W1,Intracellular
A0A182G737,Intracellular
A0A182G786,Intracellular
A0A182G788,Intracellular
A0A182G7D1,Intracellular
A0A182G7F0,Intracellular
A0A182G7F5,Intracellular
A0A182G7Q9,Intracellular
A0A182G7R3,Intracellular
A0A182G7R5,Intracellular
A0A182G7S1,Intracellular
A0A182G8W7,Intracellular
A0A182G9H4,Intracellular
A0A182G9V6,Intracellular
A0A182GA07,Intracellular
A0A182GA53,Intracellular
A0A182GAK2,Intracellular
A0A182GAN6,Intracellular
A0A182GAN8,Intracellular
A0A182GAX4,Intracellular
A0A182GAZ9,Intracellular
A0A182GB21,Intracellular
A0A182GBE2,Intracellular
A0A182GBH6,Intracellular
A0A182GBK3,Intracellular
A0A182GBS7,Intracellular
A0A182GBV7,Intracellular
A0A182GBY5,Intracellular
A0A182GBY9,Intracellular
A0A182GC25,Intracellular
A0A182GC42,Intracellular
A0A182GC69,Intracellular
A0A182GCC0,Intracellular
A0A182GCC4,Intracellular
A0A182GCG5,Intracellular
A0A182GD47,Intracellular
A0A182GD72,Intracellular
A0A182GDB5,Intracellular
A0A182GDI3,Intracellular
A0A182GDL1,Intracellular
A0A182GDP6,Intracellular
A0A182GDW5,Intracellular
A0A182GDY7,Intracellular
A0A182GE25,Intracellular
A0A182GE26,Intracellular
A0A182GE35,Intracellular
A0A182GE86,Intracellular
A0A182GE93,Intracellular
A0A182GEB4,Intracellular
A0A182GEC6,Intracellular
A0A182GEG3,Intracellular
A0A182GEI8,Intracellular
A0A182GEP3,Intracellular
A0A182GEP8,Intracellular
A0A182GEQ8,Intracellular
A0A182GER1,Intracellular
A0A182GER9,Intracellular
A0A182GEY8,Intracellular
A0A182GEZ6,Intracellular
A0A182GFC5,Intracellular
A0A182GFC6,Intracellular
A0A182GFE7,Intracellular
A0A182GFG3,Intracellular
A0A182GFK3,Intracellular
A0A182GFQ8,Intracellular
A0A182GFS4,Intracellular
A0A182GFX2,Intracellular
A0A182GG23,Intracellular
A0A182GGX6,Intracellular
A0A182GH02,Intracellular
A0A182GH29,Intracellular
A0A182GHS1,Intracellular
A0A182GHU5,Intracellular
A0A182GHU9,Intracellular
A0A182GIH4,Intracellular
A0A182GIN2,Intracellular
A0A182GIS9,Intracellular
A0A182GIZ3,Intracellular
A0A182GJ49,Intracellular
A0A182GJ96,Intracellular
A0A182GJD7,Intracellular
A0A182GJV0,Intracellular
A0A182GK16,Intracellular
A0A182GK33,Intracellular
A0A182GKJ0,Intracellular
A0A182GKK8,Intracellular
A0A182GKQ4,Intracellular
A0A182GKR1,Intracellular
A0A182GL31,Intracellular
A0A182GL33,Intracellular
A0A182GLB9,Intracellular
A0A182GLF1,Intracellular
A0A182GLI1,Intracellular
A0A182GLJ0,Intracellular
A0A182GLV4,Intracellular
A0A182GM05,Intracellular
A0A182GM34,Intracellular
A0A182GM48,Intracellular
A0A182GMC1,Intracellular
A0A182GMD7,Intracellular
A0A182GMK4,Intracellular
A0A182GMR2,Intracellular
A0A182GMS9,Intracellular
A0A182GMV3,Intracellular
A0A182GMX8,Intracellular
A0A182GMZ4,Intracellular
A0A182GN25,Intracellular
A0A182GNT2,Intracellular
A0A182GNU5,Intracellular
A0A182GNU8,Intracellular
A0A182GNX0,Intracellular
A0A182GP12,Intracellular
A0A182GP53,Intracellular
A0A182GPF1,Intracellular
A0A182GPM1,Intracellular
A0A182GPN4,Intracellular
A0A182GPS6,Intracellular
A0A182GPU8,Intracellular
A0A182GQ91,Intracellular
A0A182GQU6,Intracellular
A0A182GR14,Intracellular
A0A182GR75,Intracellular
A0A182GR85,Intracellular
A0A182GRH9,Intracellular
A0A182GRS0,Intracellular
A0A182GS49,Intracellular
A0A182GSS4,Intracellular
A0A182GT83,Intracellular
A0A182GTH0,Intracellular
A0A182GTM1,Intracellular
A0A182GTM7,Intracellular
A0A182GTN3,Intracellular
A0A182GTN5,Intracellular
A0A182GTQ3,Intracellular
A0A182GTR5,Intracellular
A0A182GU89,Intracellular
A0A182GUI2,Intracellular
A0A182GUJ6,Intracellular
A0A182GUP1,Intracellular
A0A182GUQ1,Intracellular
A0A182GUV3,Intracellular
A0A182GUV4,Intracellular
A0A182GUX7,Intracellular
A0A182GV08,Intracellular
A0A182GV15,Intracellular
A0A182GV54,Intracellular
A0A182GVG0,Intracellular
A0A182GVG6,Intracellular
A0A182GVH7,Intracellular
A0A182GVN2,Intracellular
A0A182GWS6,Intracellular
A0A182GX42,Intracellular
A0A182GXI3,Intracellular
A0A182GXI4,Intracellular
A0A182GXK9,Intracellular
A0A182GXQ2,Intracellular
A0A182GY18,Intracellular
A0A182GY39,Intracellular
A0A182GYJ6,Intracellular
A0A182GYP6,Intracellular
A0A182GYQ8,Intracellular
A0A182GZ11,Intracellular
A0A182GZ82,Intracellular
A0A182GZG4,Intracellular
A0A182GZU3,Intracellular
A0A182GZZ1,Intracellular
A0A182H006,Intracellular
A0A182H022,Intracellular
A0A182H044,Intracellular
A0A182H086,Intracellular
A0A182H0K9,Intracellular
A0A182H0R7,Intracellular
A0A182H0V3,Intracellular
A0A182H0X1,Intracellular
A0A182H0Y8,Intracellular
A0A182H108,Intracellular
A0A182H146,Intracellular
A0A182H186,Intracellular
A0A182H197,Intracellular
A0A182H1A1,Intracellular
A0A182H1J3,Intracellular
A0A182H1S6,Intracellular
A0A182H207,Intracellular
A0A182H2D7,Intracellular
A0A182H2J8,Intracellular
A0A182H2N1,Intracellular
A0A182H2X0,Intracellular
A0A182H338,Intracellular
A0A182H345,Intracellular
A0A182H362,Intracellular
A0A182H373,Intracellular
A0A182H391,Intracellular
A0A182H3G2,Intracellular
A0A182H3K3,Intracellular
A0A182H3L7,Intracellular
A0A182H3T1,Intracellular
A0A182H3T2,Intracellular
A0A182H404,Intracellular
A0A182H432,Intracellular
A0A182H443,Intracellular
A0A182H4D2,Intracellular
A0A182H4G7,Intracellular
A0A182H4L0,Intracellular
A0A182H4X0,Intracellular
A0A182H530,Intracellular
A0A182H537,Intracellular
A0A182H540,Intracellular
A0A182H556,Intracellular
A0A182H5B1,Intracellular
A0A182H5B7,Intracellular
A0A182H5J7,Intracellular
A0A182H5K1,Intracellular
A0A182H5Q9,Intracellular
A0A182H5V2,Intracellular
A0A182H5W3,Intracellular
A0A182H615,Intracellular
A0A182H656,Intracellular
A0A182H6P5,Intracellular
A0A182H6T4,Intracellular
A0A182H6T8,Intracellular
A0A182H6W8,Intracellular
A0A182H742,Intracellular
A0A182H786,Intracellular
A0A182H7A4,Intracellular
A0A182H7I4,Intracellular
A0A182H7L6,Intracellular
A0A182H812,Intracellular
A0A182H856,Intracellular
A0A182H8F6,Intracellular
A0A182H8J7,Intracellular
A0A182H8T1,Intracellular
A0A182H8W0,Intracellular
A0A182H959,Intracellular
A0A182H9A7,Intracellular
A0A182H9B0,Intracellular
A0A182H9C6,Intracellular
A0A182H9P7,Intracellular
A0A182H9T9,Intracellular
A0A182HA21,Intracellular
A0A182HA79,Intracellular
A0A182HAA6,Intracellular
A0A182HAA9,Intracellular
A0A182HAG7,Intracellular
A0A182HAS2,Intracellular
A0A182HAT0,Intracellular
A0A182HAW0,Intracellular
A0A182HB08,Intracellular
A0A182HB25,Intracellular
A0A182HB57,Intracellular
A0A182HB86,Intracellular
A0A182HBD0,Intracellular
A0A182HBL3,Intracellular
A0A182HBY3,Intracellular
A0A182HBZ8,Intracellular
A0A182HC20,Intracellular
A0A182HC61,Intracellular
A0A182HC72,Intracellular
A0A182HC76,Intracellular
A0A182HC86,Intracellular
A0A182HC90,Intracellular
A0A182HCF0,Intracellular
A0A182HCS9,Intracellular
A0A182HCT5,Intracellular
A0A182HD84,Intracellular
A0A182HDC0,Intracellular
A0A182HDC1,Intracellular
A0A182HDE5,Intracellular
A0A182HDF6,Intracellular
A0A182HDG6,Intracellular
A0A182HDI8,Intracellular
A0A182HDJ1,Intracellular
A0A182HDN9,Intracellular
A0A182HDP9,Intracellular
A0A182HDQ7,Intracellular
A0A182HE06,Intracellular
A0A182HE33,Intracellular
A0A182HE88,Intracellular
A0A182HE94,Intracellular
A0A182HEB8,Intracellular
A0A182HEH2,Intracellular
A0A182HEI5,Intracellular
A0A182HEJ7,Intracellular
A0A182HEP5,Intracellular
A0A182HET5,Intracellular
A0A182HET8,Intracellular
A0A182HEW6,Intracellular
A0A182HEZ9,Intracellular
A0A182HF73,Intracellular
A0A182HFD9,Intracellular
A0A182G158,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182G4I0,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182G6A9,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182GB50,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182GBY5,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182GBZ5,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182GGV5,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182GM03,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182GM87,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182GT83,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
A0A182H373,DDE transposase retroviral integrase sub-family and Reverse transcriptase/Diguanylate cyclase domain
