"uniprot_id","enriched_term"
"Q16RM1","Salivary gland cell autophagic cell death"
"Q16SB0","Salivary gland cell autophagic cell death"
"Q177S2","Salivary gland cell autophagic cell death"
"Q17HS6","Salivary gland cell autophagic cell death"
"Q17MT6","Salivary gland cell autophagic cell death"
"Q17NE5","Salivary gland cell autophagic cell death"
"J9EBD1","Response to wounding"
"Q0IFC5","Response to wounding"
"Q16G89","Response to wounding"
"Q16KA6","Response to wounding"
"Q16RU6","Response to wounding"
"Q16Y82","Response to wounding"
"Q171J8","Response to wounding"
"Q179A9","Response to wounding"
"Q17C93","Response to wounding"
"Q17DL2","Response to wounding"
"Q17G69","Response to wounding"
"Q16JH7","Regulation of receptor signaling pathway via JAK-STAT"
"Q16N45","Regulation of receptor signaling pathway via JAK-STAT"
"Q16VT5","Regulation of receptor signaling pathway via JAK-STAT"
"Q175E6","Regulation of receptor signaling pathway via JAK-STAT"
"Q17DB8","Regulation of receptor signaling pathway via JAK-STAT"
