"name","type"
"A0A182G158","protein"
"DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain","enriched term"
"A0A182G4I0","protein"
"A0A182G6A9","protein"
"A0A182GB50","protein"
"A0A182GBY5","protein"
"A0A182GBZ5","protein"
"A0A182GGV5","protein"
"A0A182GM03","protein"
"A0A182GM87","protein"
"A0A182GT83","protein"
"A0A182H373","protein"
"A0A182H3K8","protein"
"A0A182H3T1","protein"
"A0A182H637","protein"
"A0A182H681","protein"
"A0A182HA07","protein"
"A0A182HB25","protein"
"A0A182HB39","protein"
"A0A182HDC0","protein"
"A0A182HDJ1","protein"
"A0A182HE13","protein"
"A0A182HEI5","protein"
