name,type
A0A182G6N9,protein
aal-mir-87,miRNA
Reverse transcriptase RNA-dependent DNA polymerase and Multifunctional anion exchangers,enriched term
A0A182GC69,protein
A0A182GEI8,protein
A0A182GQQ4,protein
A0A182H7E8,protein
A0A182H9B0,protein
A0A182HDI8,protein
A0A182G4I0,protein
aal-mir-193-5p,miRNA
Endonuclease-reverse transcriptase,enriched term
A0A182HB25,protein
A0A182HDJ1,protein
A0A182G5M6,protein
aal-mir-970-3p,miRNA
Attenuation phase and Cyclosporin A binding,enriched term
A0A182G5Y8,protein
A0A182HB57,protein
