"uniprot_id","enriched_term"
"J9HZV2","RNA binding protein fox-1 homolog 1-like and H zone"
"Q16HG5","RNA binding protein fox-1 homolog 1-like and H zone"
"Q175T7","RNA binding protein fox-1 homolog 1-like and H zone"
"Q17E15","RNA binding protein fox-1 homolog 1-like and H zone"
"Q17FE8","RNA binding protein fox-1 homolog 1-like and H zone"
"Q17FE9","RNA binding protein fox-1 homolog 1-like and H zone"
"J9HZV2","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"Q175T7","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"Q17E15","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"Q17FE8","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"Q17FE9","RNA binding protein fox-1 homolog 1-like and Regulation of striated muscle cell differentiation"
"J9HTV7","Scramblase and Regulation of alternative mRNA splicing via spliceosome"
"J9HZV2","Scramblase and Regulation of alternative mRNA splicing via spliceosome"
"Q16HG5","Scramblase and Regulation of alternative mRNA splicing via spliceosome"
"Q175T7","Scramblase and Regulation of alternative mRNA splicing via spliceosome"
"Q17E15","Scramblase and Regulation of alternative mRNA splicing via spliceosome"
"Q17FE8","Scramblase and Regulation of alternative mRNA splicing via spliceosome"
"Q17FE9","Scramblase and Regulation of alternative mRNA splicing via spliceosome"
"J9HTN1","Biological regulation"
"J9HTV7","Biological regulation"
"J9HZD6","Biological regulation"
"J9HZV2","Biological regulation"
"Q0IEC2","Biological regulation"
"Q0IFQ3","Biological regulation"
"Q0IGB5","Biological regulation"
"Q16F45","Biological regulation"
"Q16G66","Biological regulation"
"Q16HG5","Biological regulation"
"Q16HZ7","Biological regulation"
"Q16HZ8","Biological regulation"
"Q16JH7","Biological regulation"
"Q16JQ3","Biological regulation"
"Q16JV4","Biological regulation"
"Q16JZ7","Biological regulation"
"Q16K82","Biological regulation"
"Q16LF8","Biological regulation"
"Q16LV3","Biological regulation"
"Q16M89","Biological regulation"
"Q16MZ3","Biological regulation"
"Q16N45","Biological regulation"
"Q16NT2","Biological regulation"
"Q16NV1","Biological regulation"
"Q16PA7","Biological regulation"
"Q16PQ3","Biological regulation"
"Q16PY9","Biological regulation"
"Q16Q37","Biological regulation"
"Q16QS4","Biological regulation"
"Q16RM3","Biological regulation"
"Q16TH4","Biological regulation"
"Q16TJ0","Biological regulation"
"Q16TV2","Biological regulation"
"Q16U75","Biological regulation"
"Q16U83","Biological regulation"
"Q16VE7","Biological regulation"
"Q16VT5","Biological regulation"
"Q16W25","Biological regulation"
"Q16W86","Biological regulation"
"Q16WA7","Biological regulation"
"Q16WI5","Biological regulation"
"Q16WN0","Biological regulation"
"Q16XQ1","Biological regulation"
"Q16YV5","Biological regulation"
"Q16ZQ0","Biological regulation"
"Q171F2","Biological regulation"
"Q171F9","Biological regulation"
"Q173I2","Biological regulation"
"Q174F6","Biological regulation"
"Q174S1","Biological regulation"
"Q175E6","Biological regulation"
"Q175Q0","Biological regulation"
"Q175T7","Biological regulation"
"Q176D4","Biological regulation"
"Q176R3","Biological regulation"
"Q177Z0","Biological regulation"
"Q179N7","Biological regulation"
"Q17AN7","Biological regulation"
"Q17AN8","Biological regulation"
"Q17B94","Biological regulation"
"Q17BB1","Biological regulation"
"Q17BL6","Biological regulation"
"Q17C29","Biological regulation"
"Q17C40","Biological regulation"
"Q17C42","Biological regulation"
"Q17CH0","Biological regulation"
"Q17CU7","Biological regulation"
"Q17CY1","Biological regulation"
"Q17DB8","Biological regulation"
"Q17E14","Biological regulation"
"Q17E15","Biological regulation"
"Q17E51","Biological regulation"
"Q17E87","Biological regulation"
"Q17EP7","Biological regulation"
"Q17ET2","Biological regulation"
"Q17F60","Biological regulation"
"Q17FE8","Biological regulation"
"Q17FE9","Biological regulation"
"Q17FH2","Biological regulation"
"Q17FK6","Biological regulation"
"Q17FK7","Biological regulation"
"Q17FQ2","Biological regulation"
"Q17FY6","Biological regulation"
"Q17G33","Biological regulation"
"Q17GF1","Biological regulation"
"Q17GH6","Biological regulation"
"Q17GN3","Biological regulation"
"Q17GU4","Biological regulation"
"Q17ID1","Biological regulation"
"Q17JX3","Biological regulation"
"Q17KB4","Biological regulation"
"Q17KU9","Biological regulation"
"Q17L17","Biological regulation"
"Q17MT2","Biological regulation"
"Q17NP6","Biological regulation"
"Q17NS1","Biological regulation"
"Q1DGD9","Biological regulation"
"Q1DGJ8","Biological regulation"
"Q1HR82","Biological regulation"
"J9HTN1","Regulation of biological process"
"J9HTV7","Regulation of biological process"
"J9HZD6","Regulation of biological process"
"J9HZV2","Regulation of biological process"
"Q0IEC2","Regulation of biological process"
"Q0IFQ3","Regulation of biological process"
"Q16G66","Regulation of biological process"
