"name","type"
"A0A023EBS4","protein"
"Intracellular","enriched term"
"A0A023ECJ9","protein"
"A0A023ED66","protein"
"A0A023EDY3","protein"
"A0A023EE18","protein"
"A0A023EFH1","protein"
"A0A023EFS1","protein"
"A0A023EGI5","protein"
"A0A023EIB6","protein"
"A0A023EID3","protein"
"A0A023EIL7","protein"
"A0A023EJK9","protein"
"A0A023EJP8","protein"
"A0A023EJQ3","protein"
"A0A023EK43","protein"
"A0A023EKS2","protein"
"A0A023EMA3","protein"
"A0A023EPY3","protein"
"A0A023EQ67","protein"
"A0A023EQE1","protein"
"A0A023EQV8","protein"
"A0A023ER33","protein"
"A0A023ETF7","protein"
"A0A182G0L9","protein"
"A0A182G0N5","protein"
"A0A182G0Q0","protein"
"A0A182G0T6","protein"
"A0A182G131","protein"
"A0A182G134","protein"
"A0A182G151","protein"
"A0A182G1E4","protein"
"A0A182G1E7","protein"
"A0A182G2A3","protein"
"A0A182G2C1","protein"
"A0A182G2J8","protein"
"A0A182G2M7","protein"
"A0A182G2N5","protein"
"A0A182G2Q0","protein"
"A0A182G2Q1","protein"
"A0A182G2Y4","protein"
"A0A182G364","protein"
"A0A182G3D4","protein"
"A0A182G3H4","protein"
"A0A182G3H6","protein"
"A0A182G3H7","protein"
"A0A182G3J1","protein"
"A0A182G3N4","protein"
"A0A182G3N7","protein"
"A0A182G3U2","protein"
"A0A182G473","protein"
"A0A182G484","protein"
"A0A182G4I0","protein"
"A0A182G4J4","protein"
"A0A182G4S7","protein"
"A0A182G4S8","protein"
"A0A182G4U6","protein"
"A0A182G4U8","protein"
"A0A182G4X0","protein"
"A0A182G573","protein"
"A0A182G593","protein"
"A0A182G598","protein"
"A0A182G5B9","protein"
"A0A182G5D5","protein"
"A0A182G5F4","protein"
"A0A182G5M6","protein"
"A0A182G5U1","protein"
"A0A182G5Y8","protein"
"A0A182G5Z9","protein"
"A0A182G6A9","protein"
"A0A182G6D5","protein"
"A0A182G6F8","protein"
"A0A182G6M7","protein"
"A0A182G6N6","protein"
"A0A182G6N9","protein"
"A0A182G6P1","protein"
"A0A182G6V7","protein"
"A0A182G6W1","protein"
"A0A182G737","protein"
"A0A182G786","protein"
"A0A182G788","protein"
"A0A182G7D1","protein"
"A0A182G7F0","protein"
"A0A182G7F5","protein"
"A0A182G7Q9","protein"
"A0A182G7R3","protein"
"A0A182G7R5","protein"
"A0A182G7S1","protein"
"A0A182G8W7","protein"
"A0A182G9H4","protein"
"A0A182G9V6","protein"
"A0A182GA07","protein"
"A0A182GA53","protein"
"A0A182GAK2","protein"
"A0A182GAN6","protein"
"A0A182GAN8","protein"
"A0A182GAX4","protein"
"A0A182GAZ9","protein"
"A0A182GB21","protein"
"A0A182GBE2","protein"
"A0A182GBH6","protein"
"A0A182GBK3","protein"
"A0A182GBS7","protein"
"A0A182GBV7","protein"
"A0A182GBY5","protein"
"A0A182GBY9","protein"
"A0A182GC25","protein"
"A0A182GC42","protein"
"A0A182GC69","protein"
"A0A182GCC0","protein"
"A0A182GCC4","protein"
"A0A182GCG5","protein"
"A0A182GD47","protein"
"A0A182GD72","protein"
"A0A182GDB5","protein"
"A0A182GDI3","protein"
"A0A182GDL1","protein"
"A0A182GDP6","protein"
"A0A182GDW5","protein"
"A0A182GDY7","protein"
"A0A182GE25","protein"
"A0A182GE26","protein"
"A0A182GE35","protein"
"A0A182GE86","protein"
"A0A182GE93","protein"
"A0A182GEB4","protein"
"A0A182GEC6","protein"
"A0A182GEG3","protein"
"A0A182GEI8","protein"
"A0A182GEP3","protein"
"A0A182GEP8","protein"
"A0A182GEQ8","protein"
"A0A182GER1","protein"
"A0A182GER9","protein"
"A0A182GEY8","protein"
"A0A182GEZ6","protein"
"A0A182GFC5","protein"
"A0A182GFC6","protein"
"A0A182GFE7","protein"
"A0A182GFG3","protein"
"A0A182GFK3","protein"
"A0A182GFQ8","protein"
"A0A182GFS4","protein"
"A0A182GFX2","protein"
"A0A182GG23","protein"
"A0A182GGX6","protein"
"A0A182GH02","protein"
"A0A182GH29","protein"
"A0A182GHS1","protein"
"A0A182GHU5","protein"
"A0A182GHU9","protein"
"A0A182GIH4","protein"
"A0A182GIN2","protein"
"A0A182GIS9","protein"
"A0A182GIZ3","protein"
"A0A182GJ49","protein"
"A0A182GJ96","protein"
"A0A182GJD7","protein"
"A0A182GJV0","protein"
"A0A182GK16","protein"
"A0A182GK33","protein"
"A0A182GKJ0","protein"
"A0A182GKK8","protein"
"A0A182GKQ4","protein"
"A0A182GKR1","protein"
"A0A182GL31","protein"
"A0A182GL33","protein"
"A0A182GLB9","protein"
"A0A182GLF1","protein"
"A0A182GLI1","protein"
"A0A182GLJ0","protein"
"A0A182GLV4","protein"
"A0A182GM05","protein"
"A0A182GM34","protein"
"A0A182GM48","protein"
"A0A182GMC1","protein"
"A0A182GMD7","protein"
"A0A182GMK4","protein"
"A0A182GMR2","protein"
"A0A182GMS9","protein"
"A0A182GMV3","protein"
"A0A182GMX8","protein"
"A0A182GMZ4","protein"
"A0A182GN25","protein"
"A0A182GNT2","protein"
"A0A182GNU5","protein"
"A0A182GNU8","protein"
"A0A182GNX0","protein"
"A0A182GP12","protein"
"A0A182GP53","protein"
"A0A182GPF1","protein"
"A0A182GPM1","protein"
"A0A182GPN4","protein"
"A0A182GPS6","protein"
"A0A182GPU8","protein"
"A0A182GQ91","protein"
"A0A182GQU6","protein"
"A0A182GR14","protein"
"A0A182GR75","protein"
"A0A182GR85","protein"
"A0A182GRH9","protein"
"A0A182GRS0","protein"
"A0A182GS49","protein"
"A0A182GSS4","protein"
"A0A182GT83","protein"
"A0A182GTH0","protein"
"A0A182GTM1","protein"
"A0A182GTM7","protein"
"A0A182GTN3","protein"
"A0A182GTN5","protein"
"A0A182GTQ3","protein"
"A0A182GTR5","protein"
"A0A182GU89","protein"
"A0A182GUI2","protein"
"A0A182GUJ6","protein"
"A0A182GUP1","protein"
"A0A182GUQ1","protein"
"A0A182GUV3","protein"
"A0A182GUV4","protein"
"A0A182GUX7","protein"
"A0A182GV08","protein"
"A0A182GV15","protein"
"A0A182GV54","protein"
"A0A182GVG0","protein"
"A0A182GVG6","protein"
"A0A182GVH7","protein"
"A0A182GVN2","protein"
"A0A182GWS6","protein"
"A0A182GX42","protein"
"A0A182GXI3","protein"
"A0A182GXI4","protein"
"A0A182GXK9","protein"
"A0A182GXQ2","protein"
"A0A182GY18","protein"
"A0A182GY39","protein"
"A0A182GYJ6","protein"
"A0A182GYP6","protein"
"A0A182GYQ8","protein"
"A0A182GZ11","protein"
"A0A182GZ82","protein"
"A0A182GZG4","protein"
"A0A182GZU3","protein"
"A0A182GZZ1","protein"
"A0A182H006","protein"
"A0A182H022","protein"
"A0A182H044","protein"
"A0A182H086","protein"
"A0A182H0K9","protein"
"A0A182H0R7","protein"
"A0A182H0V3","protein"
"A0A182H0X1","protein"
"A0A182H0Y8","protein"
"A0A182H108","protein"
"A0A182H146","protein"
"A0A182H186","protein"
"A0A182H197","protein"
"A0A182H1A1","protein"
"A0A182H1J3","protein"
"A0A182H1S6","protein"
"A0A182H207","protein"
"A0A182H2D7","protein"
"A0A182H2J8","protein"
"A0A182H2N1","protein"
"A0A182H2X0","protein"
"A0A182H338","protein"
"A0A182H345","protein"
"A0A182H362","protein"
"A0A182H373","protein"
"A0A182H391","protein"
"A0A182H3G2","protein"
"A0A182H3K3","protein"
"A0A182H3L7","protein"
"A0A182H3T1","protein"
"A0A182H3T2","protein"
"A0A182H404","protein"
"A0A182H432","protein"
"A0A182H443","protein"
"A0A182H4D2","protein"
"A0A182H4G7","protein"
"A0A182H4L0","protein"
