"name","type"
"A0A182GC42","protein"
"aal-miR-5706","miRNA"
"A0A023ESH8,A0A182GRV8","protein"
"aal-miR-2943","miRNA"
"A0A023EMU5,A0A182GQQ1","protein"
"A0A182G4X0","protein"
"aal-miR-190-5p","miRNA"
"A0A182H6J3","protein"
"aal-miR-2a-3p","miRNA"
"A0A182GEQ8","protein"
"aal-miR-4110-5p","miRNA"
"A0A182G2Y4","protein"
"aal-miR-424-3p","miRNA"
"A0A023EQE2,A0A182GXK9","protein"
"A0A023EI86,A0A182H1K9,A0A1W7R5K6","protein"
"A0A023ETG1,A0A182G3U1,A0A1W7R8D2,A0A1W7R8H3,A0A1W7R8K9","protein"
"A0A182H7L6","protein"
"aal-miR-622","miRNA"
"A0A182GBK9","protein"
"A0A023EXG8,A0A182HB39,A0A1W7R638,A0A1W7R6G5","protein"
"aal-miR-87","miRNA"
"A0A023ETU3,A0A182GF10","protein"
"A0A182GV72","protein"
"A0A182GTN5","protein"
"A0A023EHV6,A0A182GMZ4","protein"
"A0A182H6P5","protein"
"A0A182HDA0","protein"
"aal-miR-2945-3p","miRNA"
"A0A023EUH1,A0A182G8X1","protein"
"A0A182H343","protein"
"A0A182GL68","protein"
"aal-miR-1951","miRNA"
"A0A182GLF1","protein"
"A0A023EDA0,A0A182GDC3","protein"
"aal-miR-4728-5p","miRNA"
"A0A023EPH3,A0A182GCC0","protein"
"aal-miR-281-3p","miRNA"
"A0A182G7J1","protein"
"A0A023EHT6,A0A023EI65,A0A023EJF7,A0A023EMA2,A0A023EN63,A0A182H186","protein"
"A0A023EV69,A0A182GKQ4","protein"
"A0A023EWE1,A0A182GTQ3","protein"
"A0A182H044","protein"
"A0A182HDC1","protein"
"A0A182H9Z6","protein"
"A0A023EWS1,A0A182G1N5,A0A1W7R5G6","protein"
"A0A182GUY8","protein"
"A0A182GLC9","protein"
"A0A182GAZ9","protein"
"aal-miR-1767","miRNA"
"A0A182H655","protein"
"A0A182HET8,A0A1W7R852","protein"
"A0A182GEG3","protein"
"A0A182GEP8","protein"
"A0A182GAX4","protein"
"A0A182G7Q7","protein"
"A0A182GWS6","protein"
"aal-miR-976-5p","miRNA"
"A0A023EV39,A0A182GMH5","protein"
"A0A182GQU7","protein"
"A0A182G8V3","protein"
"aal-miR-2945b-3p","miRNA"
"A0A182G1U3","protein"
"aal-miR-252b-5p","miRNA"
"A0A182GKJ0","protein"
"aal-miR-998","miRNA"
"A0A023ETE2,A0A182GTR5","protein"
"A0A023EV26,A0A182GXV2","protein"
"A0A182GQA0","protein"
"A0A182G6A9,A0A1W7R6A7","protein"
"aal-miR-993-3p","miRNA"
"A0A182G6D8","protein"
"A0A182G3H4","protein"
"A0A023EG21,A0A182GAT9","protein"
"A0A023EXB9,A0A182GRH9","protein"
"A0A023EUS3,A0A023EW10,A0A182GS49","protein"
"A0A023EK43","protein"
"A0A182G179","protein"
"A0A182G5Y8","protein"
"A0A182HAG7","protein"
"A0A182H8Q6","protein"
"A0A023EIZ6","protein"
"A0A182H7J3","protein"
"A0A023EH14,A0A182G1E4","protein"
"A0A182GDA5","protein"
"A0A182HBZ8","protein"
"A0A182GJK2","protein"
"A0A182GSH8","protein"
"A0A182HFA2","protein"
"aal-miR-970-3p","miRNA"
"A0A182GVC4","protein"
"A0A023EQG2,A0A182H1S6","protein"
"A0A023ER33,A0A023ES98","protein"
"A0A182G3N7","protein"
"A0A182GU89","protein"
"A0A182GMI5","protein"
"A0A182HEN7","protein"
"A0A182GBV7","protein"
"aal-miR-1889b-3p","miRNA"
"A0A023EQB6,A0A182GNX0","protein"
"A0A182GRP7","protein"
"A0A182HDG6","protein"
"A0A182GUX7","protein"
"aal-miR-193-5p","miRNA"
"A0A182HEK1","protein"
"A0A023EWC5,A0A182GE25","protein"
"A0A182H4Y9","protein"
"A0A023EQQ3","protein"
"A0A182GE35","protein"
"A0A182GXQ2","protein"
"A0A182GUL1","protein"
"A0A182HC90","protein"
"A0A182GH02","protein"
"A0A023EQX8,A0A023ERS1,A0A182GE26,A0A1W7R702","protein"
"A0A182GPI3","protein"
"A0A182GBC6","protein"
"A0A023EWR1,A0A182GH27","protein"
"A0A182GUV3","protein"
"A0A182G3E0","protein"
"A0A023EVH8,A0A023EWB3,A0A023EWJ7,A0A182GZY2,A0A1W7R886,A0A1W7R8A8,A0A1W7R8C5","protein"
"A0A182GM61","protein"
"A0A182H2D5","protein"
"A0A182G8W7","protein"
"A0A182G2Q0","protein"
"A0A182H432","protein"
"A0A182GLU1,A0A1W7R4L6","protein"
"A0A023EIT4,A0A023EN89,A0A182HDU3","protein"
"A0A182GAI3","protein"
"A0A182H100","protein"
"A0A182GVL4,A0A1W7R911","protein"
"A0A182H6R0","protein"
"A0A023EX39,A0A182GDD5","protein"
"A0A023EUU3,A0A182GTH0","protein"
"A0A023EFX5,A0A023EHN3,A0A182GS04","protein"
"A0A023ETE8,A0A182H4W0","protein"
"A0A182G6F5","protein"
"A0A182GT68","protein"
"A0A182HAW0","protein"
"A0A023EKS2","protein"
"A0A182H6R2","protein"
"A0A182G134","protein"
"A0A182H8M9","protein"
"A0A182GTP3","protein"
"A0A023EP88,A0A182HBI6","protein"
"A0A182HEP9,A0A1W7R5J9","protein"
"A0A182HF73,A0A1W7R640","protein"
"A0A182H296","protein"
"A0A182GYL1","protein"
"A0A182GJV0","protein"
"A0A023ENJ3,A0A182GD47","protein"
"A0A182HCS9","protein"
"aal-miR-2796-3p","miRNA"
"A0A182HFD9","protein"
"A0A023ENA7,A0A182GPF1","protein"
"A0A182H5Q9","protein"
"A0A023EVB3,A0A182H338","protein"
"A0A182G3H7","protein"
"A0A023ER06,A0A182GYJ6","protein"
"A0A023EDK2,A0A023EFH1","protein"
"A0A182GQV8","protein"
"A0A182GPJ4","protein"
"A0A182GJE9","protein"
"A0A182H7W6","protein"
"A0A023EUT3,A0A182GWA7","protein"
"A0A182H811","protein"
"A0A182HBR2,A0A1W7R6V5,A0A1W7R6Y6","protein"
"aal-miR-276-5p","miRNA"
"A0A182GUQ1","protein"
"A0A182GF70","protein"
"A0A182G2J8","protein"
"A0A182H5V2","protein"
"A0A023EJC8,A0A182GVG0","protein"
"A0A023ET57,A0A182G3J1","protein"
"A0A182GT04","protein"
"A0A182GXI3","protein"
"A0A023EHR3,A0A182G2Q1","protein"
"A0A182GCS6","protein"
"A0A182HDN9","protein"
"A0A023ERC5,A0A023ESN6,A0A182G2V5","protein"
"A0A182H2B4","protein"
"A0A182H0G0","protein"
"A0A023EQ28,A0A182GL33","protein"
"A0A023ETA1,A0A182HDD4","protein"
"A0A182GBX9","protein"
"A0A182G6D5","protein"
"A0A182H5K8","protein"
