miRNA,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,Dataset
miR-1175-5p,0.0006460662846,3,8,69.95345745,GO:0016050 vesicle organization,http://amigo.geneontology.org/amigo/term/GO:0016050,RP20_CCG015087 CCG015800.2 CCG020315.1,GO Biological Process
miR-1175-5p,0.01287644361,2,6,62.18085106,GO:0090114 COPII-coated vesicle budding,http://amigo.geneontology.org/amigo/term/GO:0090114,RP20_CCG015087 CCG015800.2,GO Biological Process
miR-1175-5p,0.01287644361,2,6,62.18085106,GO:0006900 vesicle budding from membrane,http://amigo.geneontology.org/amigo/term/GO:0006900,RP20_CCG015087 CCG015800.2,GO Biological Process
miR-1175-5p,0.01437493755,2,7,53.29787234,GO:0030148 sphingolipid biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0030148,CCG005765.1 CCG012626.1,GO Biological Process
miR-1175-5p,0.01287644361,3,29,19.2975055,GO:0046467 membrane lipid biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0046467,CCG005765.1 CCG012626.1 RP20_CCG024512,GO Biological Process
miR-1175-5p,0.01287644361,7,250,5.223191489,GO:0046907 intracellular transport,http://amigo.geneontology.org/amigo/term/GO:0046907,CCG002937.1 CCG010390.1 CCG012263.1 RP20_CCG015087 CCG015800.2 CCG020315.1 CCG027460.1,GO Biological Process
miR-1175-5p,0.01476595578,7,274,4.765685665,GO:0051649 establishment of localization in cell,http://amigo.geneontology.org/amigo/term/GO:0051649,CCG002937.1 CCG010390.1 CCG012263.1 RP20_CCG015087 CCG015800.2 CCG020315.1 CCG027460.1,GO Biological Process
miR-1175-5p,6.51E-05,17,758,4.183672037,GO:0036211 protein modification proc.,http://amigo.geneontology.org/amigo/term/GO:0036211,CCG002478.1 RP20_CCG003693 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG020338 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-5p,6.51E-05,17,758,4.183672037,GO:0006464 cellular protein modification proc.,http://amigo.geneontology.org/amigo/term/GO:0006464,CCG002478.1 RP20_CCG003693 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG020338 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-5p,6.51E-05,18,847,3.964304554,GO:0043412 macromolecule modification,http://amigo.geneontology.org/amigo/term/GO:0043412,CCG002478.1 RP20_CCG003693 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG020338 CCG021612.1 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-5p,0.0006460662846,20,1250,2.984680851,GO:0044267 cellular protein metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044267,CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG016915 RP20_CCG020338 RP20_CCG021651 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-5p,0.01287644361,22,1909,2.149783222,GO:0019538 protein metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0019538,RP20_CCG002030 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG016915 RP20_CCG019046.2 RP20_CCG020338 RP20_CCG021651 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-5p,0.01287644361,23,2068,2.074699576,GO:0044260 cellular macromolecule metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044260,CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 CCG010378.2 RP20_CCG014779 RP20_CCG016915 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG024512 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
miR-1175-5p,0.01287644361,25,2264,2.059878017,GO:1901564 organonitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:1901564,RP20_CCG002030 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 CCG012626.1 RP20_CCG014779 RP20_CCG016915 RP20_CCG019046.2 RP20_CCG020338 RP20_CCG021651 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-5p,0.005900334351,40,4298,1.736087047,GO:0044238 primary metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044238,RP20_CCG002030 RP20_CCG002219 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 RP20_CCG007786 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG008894 RP20_CCG009002 CCG009373.1 CCG010378.2 CCG012626.1 CCG013880.1 RP20_CCG014779 CCG015949.1 RP20_CCG016915 CCG017793.1 RP20_CCG019046.2 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG021891 CCG021925.1 CCG023775.1 RP20_CCG024512 CCG025948.4 CCG027115.1 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
miR-1175-5p,0.01582367626,33,3628,1.696776256,GO:0043170 macromolecule metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0043170,RP20_CCG002030 RP20_CCG002219 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 CCG010378.2 CCG013880.1 RP20_CCG014779 RP20_CCG016915 CCG017793.1 RP20_CCG019046.2 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG021891 CCG021925.1 CCG023775.1 RP20_CCG024512 CCG027115.1 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
miR-1175-5p,0.01476595578,34,3743,1.694482182,GO:0044237 cellular metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044237,RP20_CCG002219 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG008894 RP20_CCG009002 CCG009373.1 CCG010378.2 CCG012626.1 RP20_CCG014779 RP20_CCG016915 CCG017793.1 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG021891 CCG021925.1 CCG023775.1 RP20_CCG024512 CCG027115.1 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
miR-1175-5p,0.01582367626,35,3945,1.65500364,GO:0006807 nitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006807,RP20_CCG002030 RP20_CCG002219 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 CCG010378.2 CCG012626.1 CCG013880.1 RP20_CCG014779 RP20_CCG016915 CCG017793.1 RP20_CCG019046.2 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG021891 CCG021925.1 CCG023775.1 RP20_CCG024512 CCG027115.1 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
miR-1175-5p,0.01287644361,40,4512,1.653746039,GO:0071704 organic substance metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0071704,RP20_CCG002030 RP20_CCG002219 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 RP20_CCG007786 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG008894 RP20_CCG009002 CCG009373.1 CCG010378.2 CCG012626.1 CCG013880.1 RP20_CCG014779 CCG015949.1 RP20_CCG016915 CCG017793.1 RP20_CCG019046.2 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG021891 CCG021925.1 CCG023775.1 RP20_CCG024512 CCG025948.4 CCG027115.1 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
