#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
1	tr|A0A1S4EVT9|A0A1S4EVT9_AEDAE	7159.Q17PA7	96.8	563.1	AAEL000431	AAEL000431-PA.
2	tr|Q16LQ3|Q16LQ3_AEDAE	7159.Q16LQ3	100	1705.6	AAEL012561	Prominin (prom) protein.
3	tr|A0A1S4G219|A0A1S4G219_AEDAE	7159.Q16GK5	99.7	6007.9	AAEL014347	AAEL014347-PA.
4	UPI000B77E0A9	7159.Q16TR7	99.2	1578.5	AAEL010144	AAEL010144-PA.
5	tr|Q17J24|Q17J24_AEDAE	7159.Q17J24	100	349	AAEL002164	AAEL002164-PA.
6	UPI000B76D631	7159.Q17C39	100	318.9	AAEL004717	AAEL004717-PA.
7	tr|A0A1S4FZD5|A0A1S4FZD5_AEDAE	7159.Q16MM1	90.5	117.1	AAEL012259	AAEL012259-PA.
8	UPI000B785947	7159.Q17PT9	99.8	865.9	AAEL000242	AAEL000242-PA; Belongs to the potassium channel family.
9	UPI00043BB479	7159.Q17K38	100	874.4	AAEL001818	AAEL001818-PA.
10	UPI000B791FF5	7159.Q16EF2	90.9	1273.5	AAEL015231	AAEL015231-PA.
11	tr|Q16NR7|Q16NR7_AEDAE	7159.Q16NR7	100	368.2	AAEL011890	AAEL011890-PA.
12	UPI00043BCD87	7159.Q17GH6	100	564.7	AAEL003014	AAEL003014-PA.
13	tr|Q1HRS1|Q1HRS1_AEDAE	7159.Q16IV3	98.2	523.1	AAEL013532	AAEL013532-PA.
14	tr|Q17MI1|Q17MI1_AEDAE	7159.Q17MI1	100	570.1	AAEL001005	Calreticulin.
15	UPI000B774CBB	7159.Q17DX6	100	595.5	AAEL004035	AAEL004035-PA.
16	tr|Q16QU1|Q16QU1_AEDAE	7159.Q16QU1	100	925.6	GPRgr11	AAEL011174-PA.
17	UPI00043BB581	7159.Q16ML9	100	535.8	AAEL012256	AAEL012256-PA.
18	tr|Q16KW9|Q16KW9_AEDAE	7159.Q16KW9	100	396	AAEL012850	AAEL012850-PA.
19	tr|Q17H51|Q17H51_AEDAE	7159.Q17H51	100	206.5	AAEL002813	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain; Belongs to the eukaryotic ATPase subunit F6 family.
21	UPI000B7911C7	7159.Q16YZ8	74.7	1272.7	AAEL008362	AAEL008362-PA.
22	UPI000B796997	7159.Q16VA1	97.5	1234.2	AAEL009630	Phosphodiesterase.
24	tr|Q17NT7|Q17NT7_AEDAE	7159.Q17NT7	100	1056.2	DNR1	AAEL000590-PA.
25	UPI000B7973BE	7159.Q17KG8	100	201.8	AAEL001702	AAEL001702-PA.
26	tr|J9HZ23|J9HZ23_AEDAE	7159.J9HIM6	100	891.3	J9HIM6_AEDAE	AAEL017462-PB.
