#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAEL000597	AAEL008421	7159.Q17NP6	7159.Q16YV5	0	0	0	0.553	0.043	0.471	0.141	0.220	0.615
AAEL000807	AAEL005314	7159.Q17N59	7159.Q17AE0	0.059	0	0	0	0.363	0.186	0.155	0.105	0.563
AAEL002896	AAEL003092	7159.Q17GU4	7159.Q17GF1	0	0	0.387	0	0	0.083	0.052	0	0.420
AAEL003118	AAEL003122	7159.Q17GC9	7159.Q17GD1	0	0.456	0	0	0.062	0	0	0	0.468
AAEL003252	AAEL003901	7159.Q17FY6	7159.Q17E87	0	0	0	0	0	0.281	0.218	0.083	0.439
AAEL003375	AAEL006596	7159.Q17FK6	7159.Q175Q0	0	0.791	0	0	0	0	0	0	0.791
AAEL003375	AAEL003381	7159.Q17FK6	7159.Q17FK7	0	0.828	0	0	0	0	0	0	0.828
AAEL003407	J9HZV2_AEDAE	7159.Q17FE8	7159.J9HZV2	0	0	0.480	0	0.077	0.506	0	0.105	0.759
AAEL003407	AAEL014033	7159.Q17FE8	7159.Q16HG5	0	0	0.394	0	0	0	0	0.538	0.708
AAEL003407	AAEL006555	7159.Q17FE8	7159.Q175T7	0	0	0	0	0.077	0.506	0	0.105	0.556
AAEL003407	AAEL003979	7159.Q17FE8	7159.Q17E15	0	0	0.461	0	0	0	0	0.538	0.740
AAEL003407	AAEL003414	7159.Q17FE8	7159.Q17FE9	0	0.679	0	0	0	0	0	0	0.679
AAEL003414	J9HZV2_AEDAE	7159.Q17FE9	7159.J9HZV2	0	0	0	0	0.077	0.506	0	0.105	0.556
AAEL003414	AAEL014033	7159.Q17FE9	7159.Q16HG5	0	0	0	0	0	0	0	0.538	0.538
AAEL003414	AAEL006555	7159.Q17FE9	7159.Q175T7	0	0	0	0	0.077	0.506	0	0.105	0.556
AAEL003414	AAEL003979	7159.Q17FE9	7159.Q17E15	0	0	0	0	0	0	0	0.538	0.538
AAEL003548	AAEL008421	7159.Q0IG40	7159.Q16YV5	0	0	0	0	0	0	0	0.508	0.508
AAEL003901	AAEL014507	7159.Q17E87	7159.Q16G66	0	0	0	0	0	0.437	0.341	0.220	0.685
AAEL003901	AAEL014367	7159.Q17E87	7159.Q16GJ0	0	0	0	0	0	0.171	0.349	0	0.437
AAEL003901	AAEL007144	7159.Q17E87	7159.Q173I2	0	0	0	0	0	0.057	0.534	0.459	0.741
