"uniprot_id","mirna/enriched_term"
"A0A182G4U6","aal-mir-276-5p"
"A0A182G4U6","BTB And C-terminal Kelch"
"A0A182GDY7","aal-mir-276-5p"
"A0A182GDY7","BTB And C-terminal Kelch"
"A0A182GYP6","aal-mir-276-5p"
"A0A182GYP6","BTB And C-terminal Kelch"
"A0A182GCB3","aal-mir-276-5p"
"A0A182GCB3","Aspartic peptidase domain superfamily"
"A0A182H373","aal-mir-276-5p"
"A0A182H373","Aspartic peptidase domain superfamily"
"A0A182H681","aal-mir-276-5p"
"A0A182H681","Aspartic peptidase domain superfamily"
"A0A182HEI5","aal-mir-276-5p"
"A0A182HEI5","Aspartic peptidase domain superfamily"
