microRNA	mRNA	energy	targetStart	targetEnd	score
aae-miR-305-5p	AALF011532-RA.1	-18.98	2944	2966	152.00
aae-miR-305-5p	AALF022474-RA.1	-14.54	564	587	141.00
aae-miR-305-5p	AALF000758-RA.1	-17.91	331	356	148.00
aae-miR-305-5p	AALF024628-RA.1	-14.76	328	349	153.00
aae-miR-305-5p	AALF023794-RA.1	-15.70	658	683	153.00
aae-miR-305-5p	AALF025948-RA.1	-15.25	1431	1453	162.00
aae-miR-305-5p	AALF025948-RA.1	-18.00	11255	11275	154.00
aae-miR-305-5p	AALF025159-RA.1	-18.00	1370	1393	150.00
aae-miR-305-5p	AALF020986-RA.1	-20.59	122	145	140.00
aae-miR-305-5p	AALF001345-RA.1	-23.65	3463	3486	141.00
aae-miR-305-5p	AALF012901-RA.1	-16.27	368	392	144.00
aae-miR-305-5p	AALF016243-RA.1	-28.45	73	97	172.00
aae-miR-305-5p	AALF022731-RA.1	-16.94	109	131	156.00
aae-miR-305-5p	AALF006624-RA.1	-12.73	284	307	145.00
aae-miR-305-5p	AALF011003-RA.1	-16.34	79	102	141.00
aae-miR-305-5p	AALF002605-RA.1	-23.08	510	534	141.00
aae-miR-305-5p	AALF023047-RA.1	-24.93	2002	2026	150.00
aae-miR-305-5p	AALF023047-RA.1	-10.90	706	730	149.00
aae-miR-305-5p	AALF004301-RA.1	-12.88	1	18	151.00
aae-miR-305-5p	AALF006898-RA.1	-14.05	663	686	146.00
aae-miR-305-5p	AALF022833-RA.1	-20.97	49	70	147.00
aae-miR-305-5p	AALF016454-RA.1	-12.96	538	562	142.00
aae-miR-305-5p	AALF001602-RA.1	-14.47	66	88	151.00
aae-miR-305-5p	AALF007211-RA.1	-17.79	780	804	140.00
aae-miR-305-5p	AALF027115-RA.1	-12.69	4466	4489	153.00
aae-miR-305-5p	AALF027115-RA.1	-18.00	10283	10306	141.00
aae-miR-305-5p	AALF014293-RA.1	-27.25	196	219	154.00
aae-miR-305-5p	AALF004459-RA.1	-17.98	5130	5156	158.00
aae-miR-305-5p	AALF004459-RA.1	-22.82	494	520	153.00
aae-miR-305-5p	AALF004459-RA.1	-18.53	1662	1685	146.00
aae-miR-305-5p	AALF004459-RA.1	-20.45	3677	3705	141.00
aae-miR-305-5p	AALF002133-RA.1	-11.72	30	53	146.00
aae-miR-305-5p	AALF022037-RA.1	-16.64	1	22	155.00
aae-miR-305-5p	AALF021886-RA.1	-11.79	217	239	152.00
aae-miR-305-5p	AALF006937-RA.1	-13.50	60	83	154.00
aae-miR-305-5p	AALF024740-RA.1	-19.64	131	154	143.00
aae-miR-305-5p	AALF027432-RA.1	-12.80	821	844	141.00
aae-miR-305-5p	AALF014226-RA.1	-16.06	6080	6103	143.00
aae-miR-305-5p	AALF025274-RA.1	-15.00	662	683	140.00
aae-miR-305-5p	AALF013114-RA.1	-16.64	649	672	155.00
aae-miR-305-5p	AALF008629-RA.1	-20.69	99	122	144.00
aae-miR-305-5p	AALF012900-RA.1	-17.22	165	189	149.00
aae-miR-305-5p	AALF024264-RA.1	-15.38	193	216	150.00
aae-miR-305-5p	AALF014761-RA.1	-18.01	319	340	146.00
aae-miR-305-5p	AALF004782-RA.1	-15.90	803	829	157.00
aae-miR-305-5p	AALF011530-RA.1	-10.57	3514	3537	140.00
aae-miR-305-5p	AALF010939-RA.1	-16.74	205	231	140.00
aae-miR-305-5p	AALF009737-RA.1	-22.92	7879	7903	158.00
aae-miR-305-5p	AALF010259-RA.1	-20.89	410	434	159.00
aae-miR-305-5p	AALF000185-RA.1	-22.71	412	436	145.00
aae-miR-305-5p	AALF009106-RA.1	-10.57	647	670	140.00
aae-miR-305-5p	AALF003712-RA.1	-12.73	514	539	141.00
aae-miR-305-5p	AALF028176-RA.1	-10.98	185	207	141.00
aae-miR-305-5p	AALF014760-RA.1	-17.15	5205	5228	143.00
aae-miR-305-5p	AALF007054-RA.1	-10.95	832	855	140.00
aae-miR-305-5p	AALF019989-RA.1	-15.30	95	118	145.00
aae-miR-305-5p	AALF008592-RA.1	-10.76	125	149	140.00
aae-miR-305-5p	AALF026170-RA.1	-14.69	94	118	140.00
aae-miR-305-5p	AALF004781-RA.1	-10.70	1	12	140.00
aae-miR-305-5p	AALF010480-RA.1	-12.84	552	576	141.00
aae-miR-305-5p	AALF010480-RA.1	-12.80	791	814	140.00
aae-miR-305-5p	AALF015551-RA.1	-13.92	291	312	150.00
aae-miR-305-5p	AALF015551-RA.1	-15.47	929	953	145.00
aae-miR-305-5p	AALF007691-RA.1	-16.32	665	690	140.00
aae-miR-305-5p	AALF021708-RA.1	-19.96	159	181	146.00
aae-miR-305-5p	AALF013386-RA.1	-14.08	160	185	141.00
aae-miR-305-5p	AALF005248-RA.1	-12.49	782	805	141.00
aae-miR-305-5p	AALF008380-RA.1	-14.00	19	44	147.00
aae-miR-305-5p	AALF000008-RA.1	-15.13	866	888	151.00
aae-miR-305-5p	AALF008947-RA.1	-19.42	1	22	170.00
aae-miR-305-5p	AALF008947-RA.1	-18.67	6571	6594	162.00
aae-miR-305-5p	AALF008947-RA.1	-14.30	275	299	145.00
aae-miR-305-5p	AALF008947-RA.1	-14.30	6847	6871	145.00
aae-miR-305-5p	AALF026525-RA.1	-19.09	3081	3104	147.00
aae-miR-305-5p	AALF011056-RA.1	-16.12	80	102	140.00
aae-miR-305-5p	AALF003978-RA.1	-15.65	10083	10108	156.00
aae-miR-305-5p	AALF003978-RA.1	-14.24	6752	6774	150.00
aae-miR-305-5p	AALF003978-RA.1	-18.92	10176	10203	149.00
aae-miR-305-5p	AALF003978-RA.1	-17.15	5012	5035	143.00
aae-miR-305-5p	AALF003978-RA.1	-10.70	10984	11007	140.00
aae-miR-305-5p	AALF003978-RA.1	-17.76	11803	11825	140.00
aae-miR-305-5p	AALF009524-RA.1	-19.75	833	856	151.00
aae-miR-305-5p	AALF007937-RA.1	-17.71	11343	11364	160.00
aae-miR-305-5p	AALF020338-RA.1	-13.13	25	49	147.00
aae-miR-305-5p	AALF020338-RA.1	-21.37	535	558	143.00
aae-miR-305-5p	AALF025409-RA.1	-15.88	242	268	140.00
aae-miR-305-5p	AALF007310-RA.1	-10.57	649	672	140.00
aae-miR-305-5p	AALF025053-RA.1	-18.50	211	231	144.00
aae-miR-305-5p	AALF012742-RA.1	-18.85	324	346	152.00
aae-miR-305-5p	AALF012742-RA.1	-17.54	291	317	140.00
aae-miR-305-5p	AALF023790-RA.1	-14.40	20806	20828	152.00
aae-miR-305-5p	AALF023790-RA.1	-10.57	9318	9340	150.00
aae-miR-305-5p	AALF023790-RA.1	-10.70	12678	12702	149.00
aae-miR-305-5p	AALF023790-RA.1	-10.70	19607	19631	149.00
aae-miR-305-5p	AALF023790-RA.1	-14.43	2019	2040	147.00
aae-miR-305-5p	AALF023790-RA.1	-21.88	20621	20643	140.00
aae-miR-305-5p	AALF013058-RA.1	-13.48	953	976	144.00
aae-miR-305-5p	AALF025155-RA.1	-15.98	477	499	144.00
aae-miR-305-5p	AALF026591-RA.1	-14.43	349	372	150.00
aae-miR-305-5p	AALF012171-RA.1	-13.54	322	343	142.00
aae-miR-305-5p	AALF028181-RA.1	-15.97	598	625	140.00
aae-miR-305-5p	AALF026369-RA.1	-19.28	15	37	156.00
aae-miR-305-5p	AALF012055-RA.1	-11.72	119	143	140.00
aae-miR-305-5p	AALF009104-RA.1	-19.96	159	181	146.00
aae-miR-305-5p	AALF023892-RA.1	-17.66	47	72	148.00
