"target_id","mfe","p_value","position","GU_seed","GU_flank"
"AAEL014289",-24.1,0.00208,6,0,1
"AAEL019661",-23.1,0.002236,2,0,3
"AAEL023018",-20.1,0.003704,3,0,0
"AAEL001106",-26.6,0.004189,48,0,2
"AAEL029093",-24.3,0.004195,35,0,3
"AAEL008234",-26.9,0.004328,95,0,2
"AAEL013098",-28.9,0.005033,179,0,1
"AAEL008221",-22.4,0.005656,9,0,1
"AAEL026114",-26.2,0.006328,27,0,0
"AAEL012388",-28.6,0.006482,74,0,1
"AAEL011967",-27.9,0.00666,112,0,0
"AAEL000714",-29.6,0.006833,175,0,0
"AAEL014760",-24.9,0.007113,1,0,1
"AAEL003564",-26.4,0.007498,59,0,0
"AAEL002191",-24.3,0.007822,4,0,1
"AAEL022005",-31,0.008338,346,0,0
"AAEL000937",-26.1,0.008346,51,0,0
"AAEL002912",-24.7,0.008588,5,0,1
"AAEL011193",-27.9,0.008728,162,0,2
"AAEL005355",-26.4,0.008743,1,0,2
"AAEL000008",-30.9,0.008838,77,0,1
"AAEL012793",-26.6,0.009182,111,0,2
"AAEL027034",-28,0.009617,183,0,2
"AAEL014244",-26.1,0.009791,28,0,1
"AAEL024236",-24.8,0.01007,62,0,0
"AAEL000703",-31.1,0.01018,38,0,0
"AAEL021467",-20.4,0.010725,2,0,0
"AAEL003226",-25.2,0.010914,22,0,1
"AAEL009342",-30.8,0.011901,215,0,3
"AAEL013453",-26.9,0.012188,101,0,2
"AAEL009924",-23.8,0.012459,1,0,0
"AAEL007303",-26.8,0.012617,16,0,3
"AAEL009801",-24,0.012883,26,0,2
"AAEL005445",-26,0.013325,54,0,1
"AAEL003473",-29,0.013783,345,0,2
"AAEL019580",-23.3,0.014129,41,0,1
"AAEL014644",-27.7,0.014469,256,0,0
"AAEL024330",-30.9,0.01457,22,0,0
"AAEL015216",-23.8,0.01527,42,0,3
"AAEL024941",-27.4,0.015438,201,0,1
"AAEL019425",-28.8,0.015766,101,0,2
"AAEL027512",-23.7,0.015976,61,0,0
"AAEL023309",-22.7,0.016276,22,0,2
"AAEL009846",-25.4,0.016479,108,0,2
"AAEL011890",-25.6,0.018225,44,0,2
"AAEL018195",-29.3,0.018226,283,0,3
"AAEL019709",-29.4,0.018766,33,0,1
"AAEL019798",-24.7,0.01884,73,0,3
"AAEL004668",-32.1,0.018981,383,0,0
"AAEL019694",-27.6,0.018994,214,0,2
"AAEL010797",-27.1,0.019215,37,0,2
"AAEL024347",-23.6,0.019236,25,0,0
"AAEL001969",-27.9,0.019761,154,0,2
"AAEL014840",-23.7,0.020031,18,0,2
"AAEL003377",-23.3,0.020086,1,0,2
"AAEL009731",-23.9,0.020958,3,0,2
"AAEL004712",-24.7,0.021193,91,0,3
"AAEL000805",-33.7,0.021564,357,0,0
"AAEL014571",-24.7,0.023024,39,0,2
"AAEL011105",-32.5,0.02402,22,0,3
"AAEL001074",-25.8,0.024335,57,0,1
"AAEL012383",-27.5,0.024347,338,0,2
"AAEL000026",-25.1,0.02449,121,0,2
"AAEL003801",-21.4,0.024572,1,0,0
"AAEL007315",-23,0.025329,72,0,0
"AAEL002812",-24.5,0.026912,82,0,0
"AAEL001177",-25.4,0.027,92,0,1
"AAEL014594",-24.8,0.027054,81,0,2
"AAEL026813",-24.8,0.027054,81,0,2
"AAEL000199",-21.8,0.029123,1,0,2
"AAEL019486",-27.3,0.029644,48,0,0
"AAEL027539",-22.2,0.029945,53,0,1
"AAEL011624",-25.5,0.030549,98,0,0
"AAEL024673",-22,0.030638,27,0,0
"AAEL002790",-22.5,0.030935,32,0,0
"AAEL010464",-29.6,0.030949,121,0,1
"AAEL014347",-28.8,0.03102,524,0,3
"AAEL019682",-21.2,0.031029,2,0,0
"AAEL005143",-23.4,0.032129,90,0,1
"AAEL008600",-24,0.032504,107,0,2
"AAEL003883",-23.7,0.032656,51,0,2
"AAEL004034",-21.2,0.033628,3,0,1
"AAEL012266",-23.1,0.033933,17,0,1
"AAEL005437",-24.4,0.034502,12,0,1
"AAEL021199",-24.4,0.034502,12,0,1
"AAEL023616",-23.4,0.036171,10,0,1
"AAEL027714",-28.5,0.036417,194,0,3
"AAEL013756",-24.8,0.036721,123,0,1
"AAEL008163",-20.8,0.036751,13,0,1
"AAEL022361",-23.7,0.036807,99,0,1
"AAEL013156",-28.2,0.037026,418,0,1
"AAEL002967",-26.9,0.0373,154,0,1
"AAEL003748",-20.4,0.037503,21,0,1
"AAEL023935",-21.7,0.037921,1,0,1
"AAEL013941",-29.8,0.039346,582,0,0
"AAEL020192",-24.4,0.039384,114,0,1
"AAEL020804",-28.8,0.03983,509,0,1
"AAEL026676",-23.5,0.040144,49,0,1
"AAEL024451",-28.8,0.04015,508,0,1
"AAEL025165",-23.7,0.040573,104,0,0
"AAEL004734",-24,0.040997,61,0,2
"AAEL017556",-29.4,0.041503,476,0,2
"AAEL022061",-23.6,0.04155,90,0,1
"AAEL006122",-29.4,0.041567,145,0,1
"AAEL002051",-25.7,0.04214,65,0,3
"AAEL014271",-27.8,0.043195,9,0,2
"AAEL006251",-24.5,0.043419,39,0,1
"AAEL027120",-26,0.044131,28,0,2
"AAEL013959",-29.5,0.044201,312,0,2
"AAEL012349",-23.7,0.044458,76,0,1
"AAEL004841",-23.4,0.044731,50,0,1
"AAEL013322",-23.4,0.046641,23,0,2
"AAEL024753",-25.2,0.049633,102,0,2
