"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF005953-RA","WD-repeat protein [Source:Projected from Aedes aegypti (AAEL006075) VB Community Annotation]","A0A182G9T6","aae-miR-276-3p",-14.05,486,539,0.999854513814404
"AALF025948-RA","Glucosamine-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:A0A182HBI6]","A0A023EP88,A0A182HBI6","aae-miR-276-3p",-14.48,10677,10727,0.999850070385964
"AALF027539-RA","protein phosphatase 2c [Source:Projected from Aedes aegypti (AAEL011567) VB Community Annotation]","A0A182HDY2,A0A1W7R6Z1","aae-miR-276-3p",-21.58,26,72,0.999823752361028
"AALF000656-RA","Cecropin-A2 [Source:UniProtKB/Swiss-Prot;Acc:Q963B0]","A0A2Z6YGV8,Q963B0","aae-miR-276-3p",-15.02,3,48,0.999602655047595
"AALF023668-RA","ER lumen protein-retaining receptor [Source:UniProtKB/TrEMBL;Acc:A0A023EJP8]","A0A023EJP8","aae-miR-276-3p",-14,1101,1120,0.999351254264843
"AALF017793-RA","circadian protein clock/arnt/bmal/pas [Source:Projected from Aedes aegypti (AAEL002049) VB Community Annotation]","A0A023EV26,A0A182GXV2","aae-miR-276-3p",-15.81,2690,2744,0.999170822433293
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aae-miR-276-3p",-18.11,24481,24525,0.998954033776522
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aae-miR-276-3p",-14.79,18854,18874,0.998730951170402
"AALF010259-RA","phosphatidylinositol 3-kinase catalytic subunit alpha, beta, delta [Source:Projected from Aedes aegypti (AAEL002903) VB Community Annotation]","A0A182GI06","aae-miR-276-3p",-16.7,892,931,0.998537789521872
"AALF010378-RA","DNA polymerase [Source:UniProtKB/TrEMBL;Acc:A0A182GIA0]","A0A182GIA0","aae-miR-276-3p",-15.3,17,37,0.99851552654539
"AALF007403-RA","meiotic checkpoint regulator cut4 [Source:Projected from Aedes aegypti (AAEL004064) VB Community Annotation]","A0A182GCA5","aae-miR-276-3p",-14.9,84,106,0.99740747933053
"AALF019911-RA","Kelch-like protein diablo [Source:Projected from Aedes aegypti (AAEL010911) UniProtKB/Swiss-Prot;Acc:Q16RL8]","A0A023ETG5,A0A182H1L9","aae-miR-276-3p",-16.6,585,604,0.995852624557941
"AALF023775-RA","DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:A0A182H837]","A0A182H837","aae-miR-276-3p",-19.3,1,19,0.995106787934141
"AALF017917-RA","WD-repeat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL013866) VB Community Annotation]","A0A182GY22","aae-miR-276-3p",-15.2,778,798,0.99131303549548
"AALF020090-RA","sentrin/sumo-specific protease senp7 [Source:Projected from Aedes aegypti lvpagwg (AAEL001372) VB Community Annotation]","A0A182H1X2","aae-miR-276-3p",-14.5,154,176,0.99131303549548
