"uniprot_id","microRNA"
"Q17G54","aae-miR-34-5p"
"Q17G52","aae-miR-34-5p"
"A0A0P6J0D7","aae-miR-34-5p"
"A0A1S4FD07","aae-miR-34-5p"
"Q176R2","aae-miR-34-5p"
"UPI000B785995","aae-miR-34-5p"
"Q17BE2","aae-miR-34-5p"
"UPI000B79780A","aae-miR-34-5p"
"UPI000B785B5C","aae-miR-34-5p"
"Q179Z3","aae-miR-34-5p"
"A0A1S4G7G9","aae-miR-34-5p"
"Q17EZ8","aae-miR-34-5p"
"Q17EZ7","aae-miR-34-5p"
"A0A1S4F5I3","aae-miR-34-5p"
"UPI000B77B720","aae-miR-5119-5p"
"Q16ZY1","aae-miR-5119-5p"
"Q16UW3","aae-miR-34-5p"
"Q17NJ1","aae-miR-34-5p"
"UPI000B782236","aae-miR-34-5p"
"UPI000B76E5E5","aae-miR-34-5p"
"UPI000B7776C9","aae-miR-34-5p"
"J9EAF0","aae-miR-34-5p"
"Q16QS7","aae-miR-34-5p"
"A0A1S4EUV1","aae-miR-34-5p"
"Q0C745","aae-miR-34-5p"
"UPI000B78D999","aae-miR-34-5p"
"UPI000B791FF5","aae-miR-34-5p"
"Q16EF2","aae-miR-34-5p"
"A0A1S4G248","aae-miR-34-5p"
"Q16G51","aae-miR-34-5p"
"Q16HZ9","aae-miR-34-5p"
"Q17CM5","aae-miR-34-5p"
"Q171W2","aae-miR-34-5p"
"A0A1S4G7M5","aae-miR-34-5p"
"Q175T9","aae-miR-34-5p"
"Q175T8","aae-miR-34-5p"
"UPI000B777752","aae-miR-34-5p"
"UPI000B76E93A","aae-miR-34-5p"
"Q17MX6","aae-miR-34-5p"
"Q17MX7","aae-miR-34-5p"
"Q17MX1","aae-miR-34-5p"
"UPI000B78E496","aae-miR-34-5p"
"UPI000B790AD5","aae-miR-34-5p"
"UPI000B791F85","aae-miR-34-5p"
"A0A1S4G779","aae-miR-34-5p"
"J9EBD1","aae-miR-34-5p"
"Q16KA6","aae-miR-34-5p"
"A0A0P6J4M7","aae-miR-34-5p"
"Q179A9","aae-miR-34-5p"
"UPI000B77E1A6","aae-miR-34-5p"
"A0A1S4FCG3","aae-miR-5119-5p"
"Q177S2","aae-miR-5119-5p"
"A0A1S4G149","aae-miR-34-5p"
"Q16H74","aae-miR-34-5p"
"Q16MK4","aae-miR-34-5p"
"A0A1S4FH10","aae-miR-5119-5p"
"Q8MQU9","aae-miR-5119-5p"
"Q171K9","aae-miR-5119-5p"
"UPI000B799053","aae-miR-5119-5p"
"UPI000B77D0FA","aae-miR-34-5p"
"UPI000B792947","aae-miR-34-5p"
"UPI000B76EEE3","aae-miR-34-5p"
"Q17KJ5","aae-miR-34-5p"
"UPI000B7935C2","aae-miR-34-5p"
"UPI000B78B2E9","aae-miR-34-5p"
"Q16P14","aae-miR-34-5p"
"UPI000B7821AD","aae-miR-34-5p"
"A0A1S4G7M0","aae-miR-34-5p"
"Q176T6","aae-miR-34-5p"
"Q176T7","aae-miR-34-5p"
"A0A0P6IVP9","aae-miR-34-5p"
"Q17ET2","aae-miR-34-5p"
"Q16RM1","aae-miR-34-5p"
"Q17NG8","aae-miR-34-5p"
"Q17NG1","aae-miR-34-5p"
"A0A1S4EWJ6","aae-miR-34-5p"
"Q16UD8","aae-miR-34-5p"
"UPI000B784315","aae-miR-5119-5p"
"A0A0P6IVU8","aae-miR-5119-5p"
"Q174H3","aae-miR-34-5p"
"Q16NS4","aae-miR-5119-5p"
"UPI000B76F93D","aae-miR-5119-5p"
"Q17HA9","aae-miR-5119-5p"
"A0A411JKA7","aae-miR-5119-5p"
"Q16KP5","aae-miR-5119-5p"
"Q16YP6","aae-miR-34-5p"
"Q16LG8","aae-miR-34-5p"
"A0A0P6J4J0","aae-miR-34-5p"
"Q174W8","aae-miR-34-5p"
"A0A1S4FER6","aae-miR-34-5p"
"A0A1S4F8Q2","aae-miR-34-5p"
"Q17C39","aae-miR-34-5p"
"UPI000B76D631","aae-miR-34-5p"
"Q16GZ8","aae-miR-34-5p"
"Q16MJ6","aae-miR-34-5p"
"UPI000B7888F2","aae-miR-34-5p"
"Q172J0","aae-miR-5119-5p"
"A0A1S4FGJ8","aae-miR-5119-5p"
"Q175K5","aae-miR-34-5p"
"A0A0P6IXL7","aae-miR-34-5p"
"A0A1S4FEP4","aae-miR-34-5p"
"Q1HRW3","aae-miR-5119-5p"
"A0A0P6K0W1","aae-miR-5119-5p"
"Q5UG09","aae-miR-5119-5p"
"Q17N40","aae-miR-34-5p"
"Q175B9","aae-miR-34-5p"
"A0A1S4EZX0","aae-miR-5119-5p"
"Q17K20","aae-miR-5119-5p"
"Q17H75","aae-miR-34-5p"
"Q17H76","aae-miR-34-5p"
"UPI000937A525","aae-miR-34-5p"
"UPI000B78270F","aae-miR-34-5p"
"UPI000B7720D4","aae-miR-34-5p"
"UPI000B780D15","aae-miR-34-5p"
"Q16PT5","aae-miR-34-5p"
"Q58I85","aae-miR-34-5p"
"UPI000B771ADF","aae-miR-5119-5p"
"UPI000B795A59","aae-miR-5119-5p"
"UPI000B78940C","aae-miR-5119-5p"
"Q17LA6","aae-miR-5119-5p"
"Q16S81","aae-miR-34-5p"
"UPI000B79ABF9","aae-miR-34-5p"
"UPI000B781E4B","aae-miR-34-5p"
"UPI000B78E7BB","aae-miR-34-5p"
"UPI000B78908C","aae-miR-34-5p"
"UPI000B775075","aae-miR-34-5p"
"UPI000B77A5CA","aae-miR-34-5p"
"UPI000B78ECD8","aae-miR-34-5p"
"UPI000B78D731","aae-miR-34-5p"
"UPI000B798EB2","aae-miR-34-5p"
"UPI000B789C4B","aae-miR-34-5p"
"UPI000B7875A6","aae-miR-34-5p"
"UPI000B789F16","aae-miR-34-5p"
"UPI000B7930E3","aae-miR-34-5p"
"Q17E44","aae-miR-34-5p"
"UPI000B79719A","aae-miR-34-5p"
"UPI000B79A431","aae-miR-34-5p"
"UPI000B781EDE","aae-miR-34-5p"
"UPI000B76D873","aae-miR-34-5p"
"Q174F7","aae-miR-5119-5p"
"UPI000B788DD6","aae-miR-5119-5p"
"UPI000B796407","aae-miR-5119-5p"
"Q17E80","aae-miR-5119-5p"
"A0A1S4F5Z6","aae-miR-5119-5p"
"UPI000B780601","aae-miR-5119-5p"
"Q16NP6","aae-miR-34-5p"
"UPI000B796997","aae-miR-34-5p"
"UPI000B788CE7","aae-miR-34-5p"
"Q16VA1","aae-miR-34-5p"
"UPI000B76F52D","aae-miR-34-5p"
"Q17D93","aae-miR-34-5p"
"A0A1S4F361","aae-miR-5119-5p"
"Q17GS0","aae-miR-5119-5p"
"UPI000B79710F","aae-miR-34-5p"
"Q17IL0","aae-miR-34-5p"
"Q17N01","aae-miR-34-5p"
"A0A1S4FSQ2","aae-miR-34-5p"
"A0A1S4FS85","aae-miR-34-5p"
"Q17MM5","aae-miR-5119-5p"
"Q17MM4","aae-miR-5119-5p"
"Q6Q9G8","aae-miR-5119-5p"
"UPI000B772208","aae-miR-34-5p"
"UPI000B77B119","aae-miR-34-5p"
"Q17MT6","aae-miR-34-5p"
"UPI000B77F4D6","aae-miR-5119-5p"
"Q16M53","aae-miR-5119-5p"
"UPI000B782065","aae-miR-5119-5p"
"Q16M54","aae-miR-5119-5p"
"UPI000B789C7F","aae-miR-5119-5p"
"Q16NR7","aae-miR-34-5p"
"UPI000B77B64D","aae-miR-34-5p"
"UPI000B79AEA8","aae-miR-34-5p"
"Q17NC4","aae-miR-34-5p"
"A0A1S4FPW1","aae-miR-34-5p"
"Q0IEI4","aae-miR-34-5p"
"Q1HRS1","aae-miR-34-5p"
"Q16IV3","aae-miR-34-5p"
"UPI000B787142","aae-miR-34-5p"
"UPI000B793B72","aae-miR-34-5p"
"Q16I75","aae-miR-34-5p"
"Q17DB6","aae-miR-34-5p"
"UPI000B78DAEE","aae-miR-34-5p"
"A0A1S4F1I8","aae-miR-34-5p"
"Q17IC7","aae-miR-34-5p"
"UPI000B771DEC","aae-miR-34-5p"
"Q17IU2","aae-miR-34-5p"
"Q178K1","aae-miR-34-5p"
"A0A1S4FBT4","aae-miR-34-5p"
"UPI000B779535","aae-miR-34-5p"
"Q0PHP1","aae-miR-34-5p"
"Q0PHP0","aae-miR-34-5p"
"Q17GX9","aae-miR-34-5p"
"Q16XT3","aae-miR-34-5p"
"A0A1S4FKJ6","aae-miR-34-5p"
"Q16T61","aae-miR-34-5p"
"Q17L13","aae-miR-34-5p"
"Q17BK4","aae-miR-34-5p"
"A0A0P6IY67","aae-miR-34-5p"
"UPI000B788758","aae-miR-34-5p"
"A0A0P6IY86","aae-miR-34-5p"
"Q17FU6","aae-miR-34-5p"
"Q17FU7","aae-miR-34-5p"
"A0A1S4G7P7","aae-miR-34-5p"
