Gene stable ID,Transcript stable ID,Gene name,UniProtKB/TrEMBL ID,UniParc ID
AAEL012458,AAEL012458-RD,,Q16M19,UPI000B776101
AAEL012458,AAEL012458-RC,,Q16M20,UPI000B76CD8B
AAEL012458,AAEL012458-RB,,,UPI000B77A70C
AAEL006471,AAEL006471-RB,,Q176A7,UPI000B76FA6C
AAEL021257,AAEL021257-RB,,Q16KK7,UPI000B77C2AE
AAEL021257,AAEL021257-RB,,A0A1S4FXL6,UPI000B77C2AE
AAEL021257,AAEL021257-RB,,Q16UV3,UPI000B77C2AE
AAEL021257,AAEL021257-RA,,,UPI000B79137C
AAEL020088,AAEL020088-RB,,,UPI000B792DD8
AAEL008603,AAEL008603-RG,,,UPI000B797A09
AAEL008603,AAEL008603-RC,,,UPI000B797A09
AAEL008603,AAEL008603-RA,,Q16YB1,UPI0000DAA4B5
AAEL008603,AAEL008603-RB,,,UPI000B797A09
AAEL008603,AAEL008603-RE,,,UPI000B797A09
AAEL008603,AAEL008603-RF,,,UPI000B797A09
AAEL008603,AAEL008603-RD,,,UPI000B797A09
AAEL008603,AAEL008603-RH,,,UPI000B797A09
AAEL008327,AAEL008327-RA,,Q16Z39,UPI0000DAA3AE
AAEL012475,AAEL012475-RF,,,UPI000B76E385
AAEL012475,AAEL012475-RE,,Q16LZ1,UPI000B79AE5B
AAEL012475,AAEL012475-RE,,Q16LZ0,UPI000B79AE5B
AAEL012475,AAEL012475-RD,,,UPI000B76E385
AAEL012475,AAEL012475-RC,,,UPI000B779854
AAEL024624,AAEL024624-RA,,,UPI000B76DC1F
AAEL005907,AAEL005907-RA,,A0A1S4FC24,UPI000B776AD4
AAEL005907,AAEL005907-RA,,Q0IFC4,UPI000B776AD4
AAEL001803,AAEL001803-RH,,,UPI000B77FF4B
AAEL001803,AAEL001803-RG,,,UPI000B77FF4B
AAEL001803,AAEL001803-RF,,,UPI000B77FF4B
AAEL001803,AAEL001803-RE,,A0A1S4EZV8,UPI000B77FF4B
AAEL001803,AAEL001803-RE,,Q17K50,UPI000B77FF4B
AAEL001803,AAEL001803-RD,,,UPI000B77FF4B
AAEL001803,AAEL001803-RC,,,UPI000B77FF4B
AAEL001803,AAEL001803-RB,,,UPI000B77FF4B
AAEL021395,AAEL021395-RA,,Q16HF8,UPI000B786E96
AAEL011216,AAEL011216-RJ,,Q16QP8,UPI0000DAAEAF
AAEL011216,AAEL011216-RJ,,Q175R2,UPI0000DAAEAF
AAEL011216,AAEL011216-RI,,Q16QP8,UPI0000DAAEAF
AAEL011216,AAEL011216-RH,,Q16QP8,UPI0000DAAEAF
AAEL011216,AAEL011216-RG,,Q16QP8,UPI0000DAAEAF
AAEL011216,AAEL011216-RD,,Q16QP8,UPI0000DAAEAF
AAEL011216,AAEL011216-RC,,Q16QP8,UPI0000DAAEAF
AAEL005817,AAEL005817-RA,RpL26,Q178R6,UPI0000DA9A49
AAEL005817,AAEL005817-RA,RpL26,Q1HRJ6,UPI0000DA9A49
AAEL008715,AAEL008715-RA,,A0A1S4FKJ4,UPI000B76BB33
AAEL008715,AAEL008715-RA,,Q16Y08,UPI000B76BB33
AAEL013350,AAEL013350-RA,,A7UDX2,UPI00015C2A60
AAEL013350,AAEL013350-RA,,Q16JG4,UPI00015C2A60
AAEL019973,AAEL019973-RA,,Q16P14,UPI000B7857FA
AAEL010360,AAEL010360-RB,,A0A1S4FQ10,UPI000B7769F5
AAEL018055,AAEL018055-RB,,,UPI000B76F337
AAEL018055,AAEL018055-RE,,,UPI000B783488
AAEL018055,AAEL018055-RD,,,UPI000B783488
AAEL018055,AAEL018055-RC,,Q17MS8,UPI000B78215A
AAEL018055,AAEL018055-RA,,A0A1S4G6P0,UPI00043BAA15
AAEL018055,AAEL018055-RA,,Q17MS9,UPI00043BAA15
AAEL004151,AAEL004151-RF,,Q1HRL5,UPI0000D76DEA
AAEL004151,AAEL004151-RF,,Q0IFR8,UPI0000D76DEA
AAEL024751,AAEL024751-RA,,,UPI000B77E69B
AAEL013700,AAEL013700-RA,,Q16IF1,UPI0000DAB82B
AAEL012355,AAEL012355-RB,,Q16MC2,UPI000B7887FA
AAEL012355,AAEL012355-RB,,A0A1S4FW14,UPI000B7887FA
AAEL012355,AAEL012355-RB,,A0A0P6IY78,UPI000B7887FA
AAEL002449,AAEL002449-RA,,Q17I57,UPI0000DA8E69
AAEL012184,AAEL012184-RA,,A0A1S4FVW0,UPI000B7908C7
AAEL012184,AAEL012184-RA,,Q16MV2,UPI000B7908C7
AAEL025226,AAEL025226-RC,,,UPI000B795ED9
AAEL025226,AAEL025226-RB,,,UPI000B795ED9
AAEL025226,AAEL025226-RA,,Q17AM2,UPI000B795ED9
AAEL025226,AAEL025226-RA,,A0A1S4G7G4,UPI000B795ED9
AAEL025226,AAEL025226-RA,,Q17AM3,UPI000B795ED9
AAEL002208,AAEL002208-RA,,Q17IX6,UPI0000DA8D68
AAEL022598,AAEL022598-RA,,,UPI000B787863
AAEL020618,AAEL020618-RA,,,UPI000B77A6BC
AAEL024480,AAEL024480-RB,,,UPI000B791FA6
AAEL024480,AAEL024480-RA,,Q171A7,UPI000B791FA6
AAEL003864,AAEL003864-RA,,A0A1S4F5W8,UPI000B77ECBF
AAEL003864,AAEL003864-RA,,Q17EC1,UPI000B77ECBF
AAEL024894,AAEL024894-RA,,,UPI000B76F7D1
AAEL000058,AAEL000058-RB,,A0A1S4EUT7,UPI000B794137
AAEL000058,AAEL000058-RB,,Q0C771,UPI000B794137
AAEL018025,AAEL018025-RA,,A0A1S4G7D2,UPI0003936BDE
AAEL020271,AAEL020271-RA,,,UPI000B774A10
AAEL026015,AAEL026015-RA,,,UPI000B79169C
AAEL009892,AAEL009892-RA,,A0A1S4FP31,UPI000B789AEB
AAEL009892,AAEL009892-RA,,Q16UI1,UPI000B789AEB
AAEL009892,AAEL009892-RA,,Q1DGS4,UPI000B789AEB
AAEL009892,AAEL009892-RA,,A0A1S4G4W4,UPI000B789AEB
AAEL014066,AAEL014066-RD,,,UPI000B776200
AAEL014066,AAEL014066-RC,,Q16HC6,UPI0000DAB98F
AAEL014066,AAEL014066-RC,,Q16N10,UPI0000DAB98F
AAEL014066,AAEL014066-RB,,Q16HC6,UPI0000DAB98F
AAEL023048,AAEL023048-RA,,Q16IE4,UPI0000000B5E
AAEL002456,AAEL002456-RC,,Q17I64,UPI000B7941E5
AAEL002456,AAEL002456-RB,,,UPI000B78DE08
AAEL013598,AAEL013598-RA,,A0A1S4G7B5,UPI00039338FA
AAEL013598,AAEL013598-RA,,Q16IN7,UPI00039338FA
AAEL010911,AAEL010911-RA,dbo,,UPI0000DAAD7A
AAEL006958,AAEL006958-RE,,,UPI000B7797FD
AAEL006958,AAEL006958-RC,,A0A1S4FFB1,UPI00043B9757
AAEL006958,AAEL006958-RB,,A0A1S4FFB1,UPI00043B9757
AAEL006958,AAEL006958-RB,,Q174B0,UPI00043B9757
AAEL002186,AAEL002186-RA,,Q17IW3,UPI0000DA8D75
AAEL020899,AAEL020899-RA,,,UPI000B77ECCE
AAEL025665,AAEL025665-RA,,,UPI000B774B79
AAEL000229,AAEL000229-RA,,,UPI0000DA8590
AAEL024717,AAEL024717-RA,,Q16UQ2,UPI000B77463D
AAEL024717,AAEL024717-RA,,Q1HRA6,UPI000B77463D
AAEL024717,AAEL024717-RA,,Q2KQA1,UPI000B77463D
AAEL024717,AAEL024717-RA,,Q16H96,UPI000B77463D
AAEL009689,AAEL009689-RA,,Q16V53,UPI0000DAA8E4
