species,mirna,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,annotation,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id,protein_name,gene_primary,cc_function,go_p,go_f
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q16EP6,AAEL015071,AAEL015071-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,sweet taste receptor activity
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q16FK4,AAEL014730,AAEL014730-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein localization,protein kinase binding
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q16IW8,AAEL013529,AAEL013529-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,neurotransmitter secretion,NA
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q16LS6,AAEL012541,AAEL012541-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,neurotransmitter secretion,NA
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q16P38,AAEL011773,AAEL011773-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Calreticulin,NA,NA,ERAD pathway; protein folding,calcium ion binding; carbohydrate binding; unfolded protein binding
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q16QU1,GPRgr11,AAEL011174-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5574457,NA,NA,sweet taste receptor activity
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q16Z01,AAEL008371,AAEL008371-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,GTPase activator activity
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q17B43,AAEL005099,Rap GTPase-activating protein.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,regulation of small GTPase mediated signal transduction,GTPase activator activity
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q17B44,AAEL005089,AAEL005089-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q17CG1,AAEL004549,AAEL004549-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,neurotransmitter secretion,NA
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q17D24,AAEL004351,AAEL004351-PC; Belongs to the protein kinase superfamily.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,non-specific serine/threonine protein kinase,NA,NA,Wnt signaling pathway,ATP binding; protein serine/threonine kinase activity
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q17F07,AAEL003609,AAEL003609-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein localization,protein kinase binding
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q17F08,AAEL003592,AAEL003592-PA.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein localization,protein kinase binding
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q17MI1,AAEL001005,Calreticulin.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Calreticulin,NA,"Molecular calcium-binding chaperone promoting folding, oligomeric assembly and quality control in the ER via the calreticulin/calnexin cycle. This lectin may interact transiently with almost all of the monoglucosylated glycoproteins that are synthesized in the ER",ERAD pathway; protein folding,calcium ion binding; carbohydrate binding; unfolded protein binding
Aedes aegypti,aae-mir-34-5p,GO:0007635,Chemosensory behavior,15,86,0.89,1.21,1.26e-06,Q17PT9,AAEL000242,AAEL000242-PA; Belongs to the potassium channel family.,GO Biological Process,co2,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,action potential; protein homooligomerization,delayed rectifier potassium channel activity
Aedes aegypti,aae-mir-34-5p,GO:0048731,System development,90,1578,0.41,1.05,1.07e-12,J9EAN8,J9EAN8_AEDAE,AAEL010145-PC.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5572931,"This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane",intracellular potassium ion homeostasis; intracellular sodium ion homeostasis; potassium ion import across plasma membrane; sodium ion export across plasma membrane,ATPase activator activity
Aedes aegypti,aae-mir-34-5p,GO:0048731,System development,90,1578,0.41,1.05,1.07e-12,Q0IG29,AAEL003527,AAEL003527-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,SET and MYND domain-containing protein 4,NA,Plays a critical role in cardiac development. Acts as a key epigenetic regulator of gene expression during cardiac development via its dual activities as a methyltransferase and negative regulator of HDAC1,compound eye photoreceptor development; methylation,histone deacetylase binding; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding
Aedes aegypti,aae-mir-34-5p,GO:0048731,System development,90,1578,0.41,1.05,1.07e-12,Q16FK4,AAEL014730,AAEL014730-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein localization,protein kinase binding
Aedes aegypti,aae-mir-34-5p,GO:0048731,System development,90,1578,0.41,1.05,1.07e-12,Q16GL8,AAEL014337,"Mitotic protein phosphatase 1 regulator, putative.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0048731,System development,90,1578,0.41,1.05,1.07e-12,Q16HK0,AAEL013997,AAEL013997-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5579061,NA,signal transduction,NA
