miRNA-transcript	Coordinates	numberTargets
hsa-miR-548ba#ENST00000222511.11	526-532,3145-3152	2
hsa-let-7b-3p#ENST00000315273.4	1486-1494,1476-1484	2
hsa-let-7b-3p#ENST00000369252.8	3103-3109,1550-1556	2
hsa-miR-548ba#ENST00000681638.1	2790-2796,691-698,3004-3011	3
hsa-miR-548ba#ENST00000551456.5	61-68,35-42	2
hsa-miR-548ba#ENST00000289707.10	1009-1015,1196-1202	2
hsa-miR-548ba#ENST00000428386.5	948-955,963-970,2367-2374	3
hsa-miR-548ba#ENST00000638103.1	11007-11013,1844-1856	2
hsa-miR-548ba#ENST00000395750.6	3276-3283,3296-3302	2
hsa-miR-548ba#ENST00000642246.1	3525-3532,1757-1763	2
hsa-miR-548ba#ENST00000610884.4	55-62,42-50	2
hsa-miR-548ba#ENST00000435320.1	5660-5667,1205-1212	2
hsa-miR-548ba#ENST00000467062.5	55-62,42-50	2
hsa-miR-548ba#ENST00000451215.6	1568-1574,2215-2223,2141-2147	3
hsa-miR-548ba#ENST00000611426.4	401-407,1030-1036	2
hsa-let-7b-3p#ENST00000382753.5	251-257,463-469	2
hsa-miR-548ba#ENST00000262094.10	5777-5783,3107-3114	2
hsa-miR-548ba#ENST00000533028.8	261-268,13047-13053	2
hsa-let-7b-3p#ENST00000537916.2	11195-11202,6107-6114	2
hsa-miR-548ba#ENST00000359685.7	1182-1188,3381-3387	2
hsa-miR-548ba#ENST00000663165.1	5543-5549,4002-4009	2
hsa-miR-548ba#ENST00000679368.1	2578-2585,265-272,2364-2370	3
hsa-miR-548ba#ENST00000632012.1	1383-1389,1195-1202	2
hsa-miR-548ba#ENST00000321521.13	4132-4138,6324-6331	2
hsa-let-7b-3p#ENST00000552695.6	1432-1439,228-235	2
hsa-let-7b-3p#ENST00000543189.5	276-283,670-676	2
hsa-miR-548ba#ENST00000389286.9	8210-8216,2404-2411	2
hsa-miR-548ba#ENST00000454786.5	97-103,907-913	2
hsa-miR-548ba#ENST00000677182.1	44-51,2470-2477	2
hsa-miR-548ba#ENST00000376131.8	11143-11149,843-849	2
hsa-miR-548ba#ENST00000370249.3	1495-1501,4741-4747	2
hsa-miR-548ba#ENST00000433529.7	204-210,212-219,584-590	3
hsa-let-7b-3p#ENST00000454497.6	636-643,1032-1039	2
hsa-miR-548ba#ENST00000358070.10	4204-4210,5286-5292	2
hsa-miR-548ba#ENST00000680331.1	1493-1499,1707-1714	2
hsa-miR-548ba#ENST00000434457.7	155-161,1910-1916	2
hsa-let-7b-3p#ENST00000370521.8	511-517,945-951	2
hsa-miR-548ba#ENST00000394767.3	649-655,1476-1482	2
hsa-miR-548ba#ENST00000355086.8	17296-17303,5276-5283	2
hsa-miR-548ba#ENST00000513761.6	498-505,1246-1253	2
hsa-let-7b-5p#ENST00000403559.8	1509-1515,1994-2000,3086-3092	3
hsa-miR-548ba#ENST00000395771.7	713-719,668-675	2
hsa-let-7b-3p#ENST00000396144.8	816-822,829-837	2
hsa-miR-548ba#ENST00000529359.5	740-746,754-760	2
hsa-let-7b-3p#ENST00000395603.7	644-650,2334-2342	2
hsa-let-7b-3p#ENST00000602022.5	731-738,743-750	2
hsa-let-7b-5p#ENST00000325192.8	1656-1664,1690-1696,437-444,1608-1615	4
hsa-miR-548ba#ENST00000331200.8	886-892,111-117	2
hsa-miR-548ba#ENST00000621494.1	245-252,6000-6007,9522-9528	3
hsa-miR-548ba#ENST00000379151.9	1323-1330,1351-1357	2
hsa-miR-548ba#ENST00000299163.7	2755-2762,1009-1016	2
hsa-let-7b-5p#ENST00000679491.1	16145-16151,9428-9435	2
hsa-miR-548ba#ENST00000679563.1	1176-1183,1164-1172	2
hsa-miR-548ba#ENST00000455976.6	886-892,111-117	2
hsa-let-7b-5p#ENST00000261192.12	6423-6431,5865-5872	2
hsa-miR-548ba#ENST00000338981.7	562-569,551-559	2
hsa-miR-548ba#ENST00000368655.5	2240-2252,2844-2850	2
hsa-miR-548ba#ENST00000585682.6	2780-2786,1263-1269	2
hsa-let-7b-3p#ENST00000240093.8	11195-11202,6107-6114	2
hsa-let-7b-3p#ENST00000613446.4	730-737,717-723	2
hsa-let-7b-3p#ENST00000299163.7	3693-3700,8253-8259	2
hsa-miR-548ba#ENST00000676488.1	707-713,841-847	2
hsa-miR-548ba#ENST00000530028.3	965-971,1266-1282	2
hsa-miR-548ba#ENST00000497979.5	75-83,85-91	2
hsa-miR-548ba#ENST00000335670.11	8860-8866,9082-9089	2
hsa-miR-548ba#ENST00000257749.9	2516-2524,5697-5704	2
hsa-miR-548ba#ENST00000393051.5	1493-1499,1707-1714	2
hsa-miR-548ba#ENST00000480683.2	663-669,650-658	2
hsa-let-7b-5p#ENST00000493669.2	1320-1327,2641-2647	2
hsa-miR-548ba#ENST00000436909.8	5194-5201,3037-3044	2
hsa-miR-548ba#ENST00000304543.10	300-307,2060-2067	2
hsa-miR-548ba#ENST00000521727.5	1322-1328,497-503	2
hsa-let-7b-3p#ENST00000447906.8	636-643,1032-1039	2
hsa-let-7b-3p#ENST00000441290.6	4098-4105,6866-6873	2
hsa-let-7b-3p#ENST00000512467.6	9518-9525,4099-4106	2
hsa-let-7b-3p#ENST00000286548.9	4991-4998,4274-4281	2
hsa-miR-548ba#ENST00000340353.11	2111-2118,1880-1887	2
hsa-miR-548ba#ENST00000378168.8	376-383,4113-4119	2
hsa-miR-548ba#ENST00000635795.1	4204-4210,5286-5292	2
hsa-miR-548ba#ENST00000636413.1	4724-4731,756-764,2129-2135	3
hsa-let-7b-3p#ENST00000498165.6	3646-3652,9155-9161,3225-3231	3
hsa-miR-548ba#ENST00000262160.11	8630-8636,14637-14644,30320-30326	3
hsa-miR-548ba#ENST00000262096.13	1275-1282,452-460,2180-2187	3
hsa-miR-548ba#ENST00000404951.5	1207-1213,1222-1230	2
hsa-let-7b-3p#ENST00000241502.9	3360-3366,1902-1909	2
hsa-miR-548ba#ENST00000424479.7	740-746,754-760	2
hsa-miR-548ba#ENST00000504930.5	450-457,162-169	2
hsa-miR-548ba#ENST00000646673.2	197-203,1965-1972	2
hsa-let-7b-5p#ENST00000383314.7	4354-4361,2993-3000	2
hsa-let-7b-3p#ENST00000367731.5	238-245,1693-1699	2
hsa-let-7b-3p#ENST00000375250.9	816-822,829-837	2
hsa-miR-548ba#ENST00000682755.1	2508-2515,2820-2827	2
hsa-miR-548ba#ENST00000616417.5	7815-7821,4464-4471	2
hsa-miR-548ba#ENST00000372584.5	3989-3996,3612-3619	2
hsa-miR-548ba#ENST00000375169.7	515-522,1667-1673	2
hsa-miR-548ba#ENST00000622755.4	401-407,1051-1058	2
hsa-miR-548ba#ENST00000296328.9	3803-3810,4965-4972	2
hsa-miR-548ba#ENST00000258704.3	1176-1183,1364-1370	2
hsa-let-7b-5p#ENST00000355832.10	125-132,2210-2216	2
hsa-let-7b-3p#ENST00000610020.2	14815-14822,5607-5613	2
hsa-let-7b-5p#ENST00000681873.1	16929-16935,10212-10219	2
hsa-let-7b-3p#ENST00000422005.7	3840-3847,2527-2533	2
hsa-miR-548ba#ENST00000295092.3	2189-2196,4683-4690	2
hsa-miR-548ba#ENST00000409583.5	3412-3419,3832-3840	2
hsa-let-7b-3p#ENST00000627582.3	238-245,1693-1699	2
hsa-miR-548ba#ENST00000615946.4	2588-2595,2971-2984	2
hsa-let-7b-3p#ENST00000375245.8	816-822,829-837	2
hsa-let-7b-3p#ENST00000338086.9	1815-1821,1239-1246	2
hsa-let-7b-3p#ENST00000607373.6	742-748,3901-3908	2
hsa-let-7b-5p#ENST00000262173.7	4354-4361,2993-3000	2
hsa-miR-548ba#ENST00000358350.9	1922-1929,1487-1494	2
hsa-miR-548ba#ENST00000525964.6	215-221,416-422	2
hsa-miR-548ba#ENST00000610735.4	2517-2524,2900-2913	2
hsa-miR-548ba#ENST00000503401.1	687-694,570-576	2
hsa-miR-548ba#ENST00000564206.2	3943-3949,12263-12269,7832-7838	3
hsa-miR-548ba#ENST00000435504.9	2749-2756,3281-3287,2772-2779	3
hsa-miR-548ba#ENST00000371993.7	4232-4238,5314-5320	2
hsa-miR-548ba#ENST00000561878.2	3009-3015,3920-3927	2
hsa-miR-548ba#ENST00000357613.8	3009-3015,3920-3927	2
hsa-miR-548ba#ENST00000621302.4	2917-2930,2534-2541	2
hsa-let-7b-3p#ENST00000647837.1	5117-5123,216-223	2
hsa-let-7b-3p#ENST00000379221.4	5600-5606,6560-6567	2
hsa-miR-548ba#ENST00000369244.7	2662-2676,223-229	2
hsa-miR-548ba#ENST00000568559.1	3500-3507,2589-2595	2
hsa-let-7b-3p#ENST00000398261.6	3579-3585,5097-5103	2
hsa-miR-548ba#ENST00000672084.1	2251-2257,1353-1360	2
hsa-miR-548ba#ENST00000671876.2	8768-8774,737-743	2
hsa-miR-548ba#ENST00000619294.4	2927-2940,2544-2551	2
hsa-let-7b-3p#ENST00000379887.9	571-577,4733-4739	2
hsa-miR-548ba#ENST00000680777.1	1859-1865,310-316	2
hsa-miR-548ba#ENST00000578049.4	1245-1251,5896-5903,4730-4742	3
hsa-miR-548ba#ENST00000509633.1	2063-2071,1770-1776,2080-2087	3
hsa-let-7b-3p#ENST00000400156.4	1477-1483,2396-2402	2
hsa-let-7b-5p#ENST00000408937.7	1509-1515,1994-2000,3086-3092	3
hsa-miR-548ba#ENST00000370251.3	1697-1703,4943-4949	2
hsa-miR-548ba#ENST00000394480.6	258-265,16380-16387	2
hsa-let-7b-3p#ENST00000261491.9	6890-6896,7017-7024	2
hsa-miR-548ba#ENST00000445593.6	968-974,990-996	2
hsa-miR-548ba#ENST00000469921.5	401-407,1030-1036	2
hsa-miR-548ba#ENST00000316407.9	6106-6112,5376-5383	2
hsa-miR-548ba#ENST00000372583.6	3989-3996,3612-3619	2
hsa-miR-548ba#ENST00000360515.7	1335-1341,1318-1325,2584-2590	3
hsa-let-7b-3p#ENST00000518321.6	83-90,294-301	2
hsa-miR-548ba#ENST00000679698.1	754-760,1209-1216	2
hsa-miR-548ba#ENST00000379188.7	300-307,2060-2067	2
hsa-miR-548ba#ENST00000676629.1	800-806,934-940	2
hsa-miR-548ba#ENST00000521654.7	5353-5361,7259-7265,6134-6140	3
hsa-let-7b-3p#ENST00000438257.9	3217-3224,1904-1910	2
hsa-let-7b-5p#ENST00000556492.6	5529-5537,1495-1501	2
hsa-miR-548ba#ENST00000453424.7	713-719,3492-3498	2
hsa-let-7b-3p#ENST00000337179.9	7373-7379,7364-7371,2794-2801	3
hsa-miR-548ba#ENST00000622612.4	2790-2803,2407-2414	2
hsa-let-7b-3p#ENST00000361078.7	1815-1821,1239-1246	2
hsa-miR-548ba#ENST00000642171.1	3403-3409,3383-3390	2
hsa-miR-548ba#ENST00000462683.6	404-410,1689-1696	2
hsa-miR-548ba#ENST00000616540.5	2297-2303,4007-4014	2
hsa-let-7b-3p#ENST00000675732.1	644-650,2334-2342	2
hsa-let-7b-5p#ENST00000674175.1	793-801,805-812	2
hsa-let-7b-3p#ENST00000521654.7	9099-9106,6506-6512	2
hsa-miR-548ba#ENST00000644072.2	2190-2197,1629-1636	2
hsa-miR-548ba#ENST00000627532.3	4724-4731,756-764,2129-2135	3
hsa-miR-548ba#ENST00000295736.9	948-955,963-970,2367-2374	3
hsa-miR-548ba#ENST00000370944.9	3229-3235,2116-2123	2
hsa-miR-548ba#ENST00000539115.5	300-307,2060-2067	2
hsa-miR-548ba#ENST00000244040.4	4574-4580,5815-5821	2
hsa-miR-548ba#ENST00000282574.8	204-210,212-219,584-590	3
hsa-miR-548ba#ENST00000319836.7	713-719,3492-3498	2
hsa-miR-548ba#ENST00000674710.1	179-185,1156-1162	2
hsa-miR-548ba#ENST00000612128.1	1041-1048,175-181	2
hsa-miR-548ba#ENST00000551354.1	2274-2280,897-904	2
hsa-miR-548ba#ENST00000619747.1	968-974,990-996	2
hsa-miR-548ba#ENST00000622509.4	2532-2539,2915-2928	2
hsa-let-7b-5p#ENST00000616986.5	7806-7813,14523-14529	2
hsa-let-7b-3p#ENST00000373344.11	644-650,2334-2342	2
hsa-miR-548ba#ENST00000341162.8	358-365,2612-2619	2
hsa-miR-548ba#ENST00000675540.1	6621-6628,1693-1699	2
hsa-let-7b-3p#ENST00000220597.4	2907-2913,4515-4522	2
hsa-miR-548ba#ENST00000341376.11	299-305,3003-3018	2
hsa-let-7b-3p#ENST00000503128.5	3579-3585,5097-5103	2
hsa-let-7b-3p#ENST00000295087.13	3163-3169,2176-2182	2
hsa-miR-548ba#ENST00000328550.6	1065-1071,2105-2112	2
hsa-miR-548ba#ENST00000400968.7	124-131,2344-2350	2
hsa-miR-548ba#ENST00000339488.9	8805-8812,1923-1929	2
hsa-miR-548ba#ENST00000637045.1	4724-4731,756-764,2129-2135	3
hsa-miR-548ba#ENST00000371103.8	3042-3048,4719-4727,4083-4089	3
hsa-miR-548ba#ENST00000676681.1	707-713,841-847	2
hsa-miR-548ba#ENST00000539354.6	2997-3003,2059-2065	2
hsa-miR-548ba#ENST00000267460.9	69-76,2147-2154	2
hsa-miR-548ba#ENST00000318240.8	1130-1136,2948-2954	2
hsa-let-7b-3p#ENST00000431842.6	1254-1261,386-392	2
hsa-miR-548ba#ENST00000368865.9	3314-3321,1629-1636	2
hsa-miR-548ba#ENST00000280346.11	1493-1499,1707-1714	2
hsa-miR-548ba#ENST00000314940.7	3645-3651,3322-3329	2
hsa-miR-548ba#ENST00000275820.4	1880-1886,1493-1500	2
hsa-miR-548ba#ENST00000381237.6	2189-2195,294-300	2
hsa-miR-548ba#ENST00000002596.6	4491-4497,5478-5484	2
hsa-miR-548ba#ENST00000367265.9	2252-2259,1446-1453,4082-4090	3
hsa-miR-548ba#ENST00000304195.8	3194-3201,3178-3184	2
hsa-miR-548ba#ENST00000576342.2	2240-2252,2844-2850	2
hsa-miR-548ba#ENST00000336112.9	2749-2756,3281-3287,2772-2779	3
hsa-let-7b-3p#ENST00000394670.9	770-777,1551-1559	2
hsa-miR-548ba#ENST00000641002.1	4760-4766,4748-4756	2
hsa-let-7b-5p#ENST00000681146.1	9943-9950,16660-16666	2
hsa-let-7b-3p#ENST00000424646.6	1633-1640,1015-1021	2
hsa-miR-548ba#ENST00000310528.9	8596-8602,3566-3573,588-595,12525-12531	4
hsa-miR-548ba#ENST00000261845.7	1859-1865,310-316	2
hsa-let-7b-5p#ENST00000680484.1	16820-16826,10103-10110	2
hsa-let-7b-3p#ENST00000473414.6	911-917,1354-1361	2
hsa-let-7b-5p#ENST00000678528.1	4446-4467,609-617	2
hsa-miR-548ba#ENST00000651687.1	450-457,162-169	2
hsa-miR-548ba#ENST00000372844.8	1504-1511,1029-1036,3591-3607	3
hsa-miR-548ba#ENST00000504131.6	498-505,1246-1253	2
hsa-miR-548ba#ENST00000355780.9	1322-1328,497-503	2
hsa-let-7b-3p#ENST00000568344.5	3849-3856,9449-9456	2
hsa-miR-548ba#ENST00000681339.1	1493-1499,1707-1714	2
hsa-miR-548ba#ENST00000341948.6	1166-1173,151-158	2
hsa-let-7b-3p#ENST00000372146.5	5937-5943,1797-1804	2
hsa-let-7b-5p#ENST00000437205.5	4147-4154,2636-2642	2
hsa-miR-548ba#ENST00000371244.9	2089-2095,1460-1466,1939-1945	3
hsa-let-7b-3p#ENST00000319933.7	239-246,1605-1612	2
hsa-miR-548ba#ENST00000399107.6	695-702,407-414	2
