transcript	miRNAs	numberMiRNAs
AALF002649-RA.1	aae-miR-5108-5p	1
AALF002957-RA.1	aae-miR-1000-5p,aae-miR-3722-5p	2
AALF012728-RA.1	aae-miR-308-3p	1
AALF003128-RA.1	aae-miR-5119-5p	1
AALF007044-RA.1	aae-miR-308-3p	1
AALF015524-RA.1	aae-miR-932-5p	1
AALF015139-RA.1	aae-miR-305-5p,aae-miR-308-3p	2
AALF024816-RA.1	aae-miR-305-5p,aae-miR-11900,aae-miR-210-5p	3
AALF014789-RA.1	aae-miR-4275-5p	1
AALF012703-RA.1	aae-miR-932-5p	1
AALF012626-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-10-5p,aae-miR-308-3p,aae-miR-1000-5p,aae-bantam-5p,aae-miR-1175-3p,aae-miR-5108-5p	8
AALF015884-RA.1	aae-bantam-5p	1
AALF014302-RA.1	aae-miR-3722-5p	1
AALF005395-RA.1	aae-miR-4275-5p,aae-bantam-3p	2
AALF014148-RA.1	aae-miR-4275-5p,aae-bantam-3p	2
AALF013028-RA.1	aae-miR-11900,aae-bantam-3p,aae-miR-5119-5p	3
AALF012524-RA.1	aae-miR-276-3p	1
AALF025039-RA.1	aae-miR-305-5p	1
AALF020927-RA.1	aae-miR-5108-5p	1
AALF024458-RA.1	aae-miR-11900	1
AALF024843-RA.1	aae-miR-2945-3p,aae-miR-3722-5p	2
AALF015551-RA.1	aae-miR-305-5p	1
AALF019082-RA.1	aae-miR-1000-5p	1
AALF024920-RA.1	aae-miR-308-3p	1
AALF023646-RA.1	aae-miR-1175-3p	1
AALF014277-RA.1	aae-bantam-5p	1
AALF022449-RA.1	aae-miR-5119-5p	1
AALF015680-RA.1	aae-miR-3368-5p	1
AALF024279-RA.1	aae-miR-11900	1
AALF023467-RA.1	aae-miR-3722-5p	1
AALF027460-RA.1	aae-miR-4275-5p,aae-miR-1175-3p,aae-miR-3722-5p	3
AALF023544-RA.1	aae-miR-305-5p	1
AALF022347-RA.1	aae-miR-308-3p	1
AALF022578-RA.1	aae-miR-305-5p,aae-miR-308-3p	2
AALF025297-RA.1	aae-miR-276-3p,aae-miR-4275-5p,aae-bantam-5p,aae-miR-2945-3p,aae-miR-3722-5p,aae-miR-932-5p	6
AALF020954-RA.1	aae-bantam-5p	1
AALF028170-RA.1	aae-miR-308-3p	1
AALF027050-RA.1	aae-miR-305-5p	1
AALF021741-RA.1	aae-miR-4275-5p	1
AALF018909-RA.1	aae-miR-11900	1
AALF007916-RA.1	aae-miR-5119-5p	1
AALF009207-RA.1	aae-miR-308-3p,aae-miR-3368-5p	2
AALF008318-RA.1	aae-miR-932-5p	1
AALF009105-RA.1	aae-miR-11900	1
AALF009850-RA.1	aae-miR-999-3p	1
AALF018526-RA.1	aae-miR-2945-3p	1
AALF009773-RA.1	aae-miR-10-5p	1
AALF008961-RA.1	aae-miR-124-3p	1
AALF008576-RA.1	aae-miR-5119-5p	1
AALF019544-RA.1	aae-miR-305-5p,aae-miR-3368-5p	2
AALF013219-RA.1	aae-miR-932-5p	1
AALF006142-RA.1	aae-miR-308-3p	1
AALF005253-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF002432-RA.1	aae-miR-10-5p	1
AALF024316-RA.1	aae-bantam-5p	1
AALF010604-RA.1	aae-miR-1000-5p	1
AALF013323-RA.1	aae-miR-11900	1
AALF012742-RA.1	aae-miR-1000-5p	1
AALF011237-RA.1	aae-miR-3722-5p	1
AALF022513-RA.1	aae-let-7	1
