"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF004362-RA","rac serine/threonine kinase [Source:Projected from Aedes aegypti (AAEL008823) VB Community Annotation]","A0A182G722","aae-bantam-5p",-24.5,1512,1532,174
"AALF005731-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL002390) VB Community Annotation]","A0A182G9G0","aae-bantam-5p",-17.84,2311,2333,170
"AALF022187-RA","PHD finger domain [Source:Projected from Aedes aegypti lvpagwg (AAEL009416) UniProtKB/TrEMBL;Acc:A0A1S4FM94]","A0A182H5K2","aae-bantam-5p",-19.68,62,83,167
"AALF024740-RA","cell adhesion molecule [Source:Projected from Aedes aegypti (AAEL008827) VB Community Annotation]","A0A182H9K9","aae-bantam-5p",-16.17,884,906,167
"AALF027200-RA","ADP-ribosylation factor [Source:Projected from Aedes aegypti (AAEL007065) VB Community Annotation]","A0A023EIG2,A0A182HDH0","aae-bantam-5p",-18.37,248,271,165
"AALF005612-RA","macroglobulin/complement [Source:Projected from Aedes aegypti (AAEL012267) VB Community Annotation]","A0A023EWE3,A0A182G988,A0A1W7R8N4","aae-bantam-5p",-18.1,4,26,165
"AALF014760-RA","alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182GS33]","A0A182GS33,A0A1W7R8J6","aae-bantam-5p",-16.38,8332,8354,163
"AALF028084-RA","Putative dnaj chaperone [Source:UniProtKB/TrEMBL;Acc:A0A023EQF7]","A0A023EQF7","aae-bantam-5p",-21.23,717,737,162
"AALF026471-RA","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023EQI8]","A0A023EQI8","aae-bantam-5p",-15.12,67,88,162
"AALF019823-RA","peptidyl-prolyl cis-trans isomerase (cyclophilin) [Source:Projected from Aedes aegypti (AAEL009282) VB Community Annotation]","A0A182H1F5","aae-bantam-5p",-17.74,828,852,161
"AALF012249-RA","Aconitate hydratase, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182GM09]","A0A023EW32,A0A023EXR0,A0A023EXU2,A0A182GM09,G8GID4","aae-bantam-5p",-15.64,573,596,161
"AALF023350-RA","Aconitate hydratase, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182H7F2]","A0A182H7F2","aae-bantam-5p",-15.64,623,646,161
"AALF013437-RA","Pyridoxal phosphate homeostasis protein [Source:UniProtKB/TrEMBL;Acc:A0A182GPG5]","A0A023ELI6,A0A182GPG5","aae-bantam-5p",-26.33,158,179,160
"AALF016804-RA","proline synthetase associated protein [Source:Projected from Aedes aegypti (AAEL003491) VB Community Annotation]","A0A182GPG5","aae-bantam-5p",-26.33,155,176,160
"AALF013183-RA","Putative trypsin [Source:UniProtKB/TrEMBL;Acc:A0A023EST5]","A0A023EST5","aae-bantam-5p",-16.64,58,81,160
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aae-bantam-5p",-14.47,19653,19678,160
"AALF004603-RA","brefeldin a-inhibited guanine nucleotide-exchange protein [Source:Projected from Aedes aegypti (AAEL013012) VB Community Annotation]","A0A182G7F5","aae-bantam-5p",-14.12,1525,1548,160
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aae-bantam-5p",-18.88,17438,17462,159
"AALF002028-RA","ran-binding protein [Source:Projected from Aedes aegypti (AAEL009884) VB Community Annotation]","A0A182G3B9","aae-bantam-5p",-28.49,203,225,158
"AALF019386-RA","Putative cytochrome c oxidase subunit viia [Source:UniProtKB/TrEMBL;Acc:A0A023EED7]","A0A023EED7","aae-bantam-5p",-22.32,53,78,158
"AALF006215-RA","alanyl aminopeptidase [Source:Projected from Aedes aegypti (AAEL005821) VB Community Annotation]","A0A182GA81,A0A1W7R8K5","aae-bantam-5p",-17.86,273,293,158
"AALF013058-RA","Putative signal transduction [Source:UniProtKB/TrEMBL;Acc:A0A023ERS7]","A0A023ERS7","aae-bantam-5p",-15.44,843,865,158
"AALF007520-RA","srpk [Source:Projected from Aedes aegypti lvpagwg (AAEL008507) VB Community Annotation]","A0A182GCI0","aae-bantam-5p",-24.53,220,240,157
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aae-bantam-5p",-24.53,219,239,157
"AALF014779-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL013028) VB Community Annotation]","A0A023EUS3,A0A023EW10,A0A182GS49","aae-bantam-5p",-19.86,1396,1420,157
"AALF000856-RA","Rab GDP dissociation inhibitor [Source:UniProtKB/TrEMBL;Acc:A0A182G1N6]","A0A023EWM5,A0A182G1N6,A0A1W7R713","aae-bantam-5p",-18.39,785,811,157
"AALF025102-RA","Putative ecdysone-inducible protein l2 [Source:UniProtKB/TrEMBL;Acc:A0A023ELU8]","A0A023ELU8","aae-bantam-5p",-16.72,152,173,157
"AALF017164-RA","P21-activated kinase, pak [Source:Projected from Aedes aegypti (AAEL000489) VB Community Annotation]","A0A182GWN6","aae-bantam-5p",-14.18,86,108,157
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aae-bantam-5p",-14.09,10832,10853,157
"AALF009351-RA","40S ribosomal protein S23","Q5MIS0","aae-bantam-5p",-16.95,9,28,156
"AALF012962-RA","odd Oz protein [Source:Projected from Aedes aegypti (AAEL000405) VB Community Annotation]","A0A182GNI2","aae-bantam-5p",-14.56,1265,1288,156
"AALF014147-RA","Putative glutamate/leucine/phenylalanine/valine dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A023ETW6]","A0A023ESQ8,A0A023ETW6","aae-bantam-5p",-14.29,879,901,156
"AALF018351-RA","ABC transporter [Source:Projected from Aedes aegypti (AAEL008632) VB Community Annotation]","A0A182GYW0","aae-bantam-5p",-23.56,1237,1258,155
"AALF018204-RA","RNA binding motif protein 4,lark [Source:Projected from Aedes aegypti (AAEL013982) VB Community Annotation]","A0A023ER06,A0A182GYJ6","aae-bantam-5p",-22.8,47,68,155
"AALF008942-RA","Putative vacuolar assembly/sorting protein did2 [Source:UniProtKB/TrEMBL;Acc:A0A023EJE6]","A0A023EJE6","aae-bantam-5p",-21.4,3662,3688,154
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aae-bantam-5p",-21.22,6742,6762,154
"AALF028352-RA","Putative e3 ubiquitin-protein ligase herc2 [Source:Projected from Aedes aegypti (AAEL006116) UniProtKB/TrEMBL;Acc:A0A0P6J635]","A0A182HF47","aae-bantam-5p",-25.46,24,45,153
"AALF013439-RA","cationic amino acid transporter [Source:Projected from Aedes aegypti (AAEL003387) VB Community Annotation]","A0A023ESK2,A0A182GPG7","aae-bantam-5p",-20.67,631,653,153
"AALF001217-RA","Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A182G277]","A0A182G277","aae-bantam-5p",-19.99,857,879,153
"AALF005441-RA","Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A182G8Z3]","A0A182G8Z3","aae-bantam-5p",-19.99,865,887,153
"AALF021891-RA","forkhead protein/ forkhead protein domain [Source:Projected from Aedes aegypti (AAEL003163) VB Community Annotation]","A0A182H540","aae-bantam-5p",-19.38,826,848,153
"AALF025948-RA","Glucosamine-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:A0A182HBI6]","A0A023EP88,A0A182HBI6","aae-bantam-5p",-18.71,3803,3825,153
"AALF021348-RA","nucleolar complex protein [Source:Projected from Aedes aegypti lvpagwg (AAEL003367) VB Community Annotation]","A0A023ETC8,A0A182H461","aae-bantam-5p",-17.48,927,948,153
"AALF027115-RA","poly a polymerase [Source:Projected from Aedes aegypti (AAEL005356) VB Community Annotation]","A0A182HDC1","aae-bantam-5p",-17.21,9799,9819,153
"AALF015143-RA","ABC transporter [Source:Projected from Aedes aegypti (AAEL014428) VB Community Annotation]","A0A182GSV9","aae-bantam-5p",-20.36,355,377,152
"AALF015294-RA","ubiquitin-protein ligase [Source:Projected from Aedes aegypti (AAEL004790) VB Community Annotation]","A0A182GT51","aae-bantam-5p",-14.79,36,58,152
"AALF020977-RA","leucine-rich transmembrane protein [Source:Projected from Aedes aegypti (AAEL002307) VB Community Annotation]","A0A023EQP1,A0A023EUJ3,A0A182H3K1","aae-bantam-5p",-14.38,1130,1151,152
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aae-bantam-5p",-26.21,35696,35721,151
"AALF024599-RA","Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:A0A182H9C7]","A0A182H9C7","aae-bantam-5p",-21.55,377,401,151
"AALF000855-RA","Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A182G1N5]","A0A023EWS1,A0A182G1N5,A0A1W7R5G6","aae-bantam-5p",-15.48,1651,1672,151
"AALF001630-RA","Putative cargo transport protein erv29 [Source:UniProtKB/TrEMBL;Acc:A0A023EN48]","A0A023EIR7,A0A023EN48","aae-bantam-5p",-21.04,506,530,150
"AALF002001-RA","developmentally regulated RNA-binding protein [Source:Projected from Aedes aegypti (AAEL000385) VB Community Annotation]","A0A023EI42,A0A023ERT5,A0A023ETN3,A0A182G3A0","aae-bantam-5p",-20.31,283,305,150
"AALF000636-RA","Putative rho-associated coiled-coil [Source:UniProtKB/TrEMBL;Acc:A0A023EN14]","A0A023EN14","aae-bantam-5p",-16.9,296,318,150
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aae-bantam-5p",-16.63,35436,35462,150
