species,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,annotation,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id,protein_name,gene_primary,cc_function,go_p,go_f
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,J9EAN8,J9EAN8_AEDAE,AAEL010145-PC.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5572931,"This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane",intracellular potassium ion homeostasis; intracellular sodium ion homeostasis; potassium ion import across plasma membrane; sodium ion export across plasma membrane,ATPase activator activity
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q0IE98,AAEL012979,AAEL012979-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q0IE99,AAEL012977,AAEL012977-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,protein kinase activity
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q0IFC5,AAEL005895,AAEL005895-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,axonogenesis; central nervous system development,heparin binding; transition metal ion binding
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q0IG29,AAEL003527,AAEL003527-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,SET and MYND domain-containing protein 4,NA,Plays a critical role in cardiac development. Acts as a key epigenetic regulator of gene expression during cardiac development via its dual activities as a methyltransferase and negative regulator of HDAC1,compound eye photoreceptor development; methylation,histone deacetylase binding; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q16FK4,AAEL014730,AAEL014730-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein localization,protein kinase binding
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q16GL8,AAEL014337,"Mitotic protein phosphatase 1 regulator, putative.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q16HK0,AAEL013997,AAEL013997-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5579061,NA,signal transduction,NA
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q16I15,AAEL013830,Bmp-induced factor.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,animal organ development; developmental process involved in reproduction; neuron development; regulation of transcription by RNA polymerase II,zinc ion binding
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q16I75,AAEL013770,Zinc finger protein.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,cell fate commitment,"DNA-binding transcription repressor activity, RNA polymerase II-specific; N-methyltransferase activity; protein methyltransferase activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding"
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q16I88,AAEL013758,AAEL013758-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0048731,System development,106,1578,0.42,1.18,3.37e-16,Q16IN4,AAEL013602,AAEL013602-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
