"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF023467-RA","Putative gtp-binding adp-ribosylation factor arf6 darf3 [Source:UniProtKB/TrEMBL;Acc:A0A023EID3]","A0A023EID3","aal-miR-71-3p",-26.45,261,284,173
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-71-3p",-18.98,20542,20563,168
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-71-3p",-22.32,13311,13334,166
"AALF014786-RA","Eukaryotic translation initiation factor 3 subunit I [Source:UniProtKB/TrEMBL;Acc:A0A182GS55]","A0A023EN80,A0A023EPT4,A0A182GS55","aal-miR-71-3p",-21.59,121,144,165
"AALF003603-RA","ga binding protein beta chain (transcription factor e4tf1-47) [Source:Projected from Aedes aegypti (AAEL013278) VB Community Annotation]","A0A182G5U1","aal-miR-71-3p",-17.08,341,360,163
"AALF008894-RA","fatty acid synthase [Source:Projected from Aedes aegypti (AAEL001194) VB Community Annotation]","A0A182GF80","aal-miR-71-3p",-15.73,645,667,162
"AALF010378-RA","DNA polymerase [Source:UniProtKB/TrEMBL;Acc:A0A182GIA0]","A0A182GIA0","aal-miR-71-3p",-20.22,1137,1158,161
"AALF001576-RA","pre-mRNA cleavage factor im, 25kD subunit [Source:Projected from Aedes aegypti (AAEL001371) VB Community Annotation]","A0A023EHR3,A0A182G2Q1","aal-miR-71-3p",-18.29,252,273,160
"AALF017498-RA","sorting nexin [Source:Projected from Aedes aegypti (AAEL008020) VB Community Annotation]","A0A182GXA4","aal-miR-71-3p",-14.07,160,181,160
"AALF021446-RA","WD-repeat protein [Source:Projected from Aedes aegypti (AAEL003539) VB Community Annotation]","A0A182H4C2","aal-miR-71-3p",-18.49,172,195,157
"AALF023779-RA","alkaline ceramidase [Source:Projected from Aedes aegypti (AAEL001645) VB Community Annotation]","A0A182H840","aal-miR-71-3p",-15.34,195,216,156
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-71-3p",-14.93,27416,27437,156
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-71-3p",-19.52,26855,26877,155
"AALF003235-RA","syntaxin [Source:Projected from Aedes aegypti (AAEL004168) VB Community Annotation]","A0A023EP12,A0A182G593","aal-miR-71-3p",-16.36,325,346,155
"AALF007886-RA","protein cactus (TOLL pathway signalling)","A0A023EQW0,A0A182GD72","aal-miR-71-3p",-14.45,387,409,154
"AALF016282-RA","protein cactus (TOLL pathway signalling)","A0A182GD72","aal-miR-71-3p",-14.45,387,409,154
"AALF017400-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL006539) VB Community Annotation]","A0A182GX42","aal-miR-71-3p",-14.11,188,212,154
"AALF002438-RA","disulfide oxidoreductase [Source:Projected from Aedes aegypti (AAEL011158) VB Community Annotation]","A0A023EWI7,A0A182G3Z5","aal-miR-71-3p",-16.66,191,213,151
"AALF012857-RA","skd/vacuolar sorting [Source:Projected from Aedes aegypti (AAEL002938) VB Community Annotation]","A0A023EUM0,A0A182GN96","aal-miR-71-3p",-16.02,266,287,151
"AALF020799-RA","Peptidoglycan Recognition Protein (Short) [Source:Projected from Aedes aegypti (AAEL009474) VB Community Annotation]","A0A023EII2,A0A023EJC7,A0A023ELB9,A0A023EMB9,A0A182H390","aal-miR-71-3p",-15.95,2,24,151
"AALF014779-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL013028) VB Community Annotation]","A0A023EUS3,A0A023EW10,A0A182GS49","aal-miR-71-3p",-15.4,2015,2039,150
"AALF006248-RA","cGMP 3',5'-cyclic phosphodiesterase subunit delta  [Source:Projected from Aedes aegypti (AAEL003437) VB Community Annotation]","A0A182GAA3","aal-miR-71-3p",-14.95,255,277,150
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-71-3p",-15.77,18637,18660,147
"AALF005506-RA","myosin heavy chain, nonmuscle or smooth muscle [Source:Projected from Aedes aegypti (AAEL001411) VB Community Annotation]","A0A023EWV0,A0A182G930","aal-miR-71-3p",-26.8,75,97,146
"AALF027185-RA","Phosphate transporter [Source:UniProtKB/TrEMBL;Acc:A0A182HDG4]","A0A023EVK2,A0A023EVU8,A0A182HDG4","aal-miR-71-3p",-19.69,42,68,146
"AALF021332-RA","Defective in cullin neddylation protein [Source:UniProtKB/TrEMBL;Acc:A0A182H447]","A0A182H447","aal-miR-71-3p",-19.06,7,28,146
"AALF017397-RA","WD-repeat protein [Source:Projected from Aedes aegypti (AAEL006552) VB Community Annotation]","A0A182GX40","aal-miR-71-3p",-17.53,6943,6965,146
"AALF008947-RA","heterogeneous nuclear ribonucleoprotein [Source:Projected from Aedes aegypti lvpagwg (AAEL010467) VB Community Annotation]","A0A023ET39,A0A182GFC6","aal-miR-71-3p",-15.92,806,827,146
"AALF014149-RA","heterogeneous nuclear ribonucleoprotein [Source:Projected from Aedes aegypti (AAEL010467) VB Community Annotation]","A0A182GFC6","aal-miR-71-3p",-15.92,807,828,146
"AALF008919-RA","als2cr7 [Source:Projected from Aedes aegypti (AAEL012915) VB Community Annotation]","A0A023ESY4,A0A182GFA1","aal-miR-71-3p",-15.86,316,339,146
"AALF027539-RA","protein phosphatase 2c [Source:Projected from Aedes aegypti (AAEL011567) VB Community Annotation]","A0A182HDY2,A0A1W7R6Z1","aal-miR-71-3p",-15.79,367,387,146
"AALF003361-RA","nucleosome assembly protein [Source:Projected from Aedes aegypti (AAEL005567) VB Community Annotation]","A0A182G5F1","aal-miR-71-3p",-21.83,2563,2585,145
"AALF020491-RA","sulphate transporter [Source:Projected from Aedes aegypti (AAEL003548) VB Community Annotation]","A0A182H2P2","aal-miR-71-3p",-16.04,205,224,145
"AALF002335-RA","Putative ef-hand domain family member d2 [Source:UniProtKB/TrEMBL;Acc:A0A023EHS3]","A0A023EHS3,A0A023EIR1","aal-miR-71-3p",-14.61,783,804,145
"AALF018786-RA","Putative nogo-b receptor [Source:UniProtKB/TrEMBL;Acc:A0A023EMB0]","A0A023EMB0","aal-miR-71-3p",-16.28,619,643,144
"AALF008040-RA","muscle-specific tyrosine kinase receptor [Source:Projected from Aedes aegypti (AAEL001370) VB Community Annotation]","A0A182GDH7","aal-miR-71-3p",-23.88,1033,1054,143
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-71-3p",-23.88,369,390,143
"AALF015139-RA","ankyrin repeat-rich membrane-spanning protein [Source:Projected from Aedes aegypti (AAEL008389) VB Community Annotation]","A0A182GSV6","aal-miR-71-3p",-22.09,501,528,143
"AALF021374-RA","rhoGTPase [Source:Projected from Aedes aegypti (AAEL014636) VB Community Annotation]","A0A182H480","aal-miR-71-3p",-22.09,9577,9604,143
"AALF006223-RA","perixosomal biogenesis factor [Source:Projected from Aedes aegypti (AAEL011781) VB Community Annotation]","A0A182GA89","aal-miR-71-3p",-15.32,162,183,143
"AALF025916-RA","PIWI [Source:Projected from Aedes aegypti (AAEL007823) VB Community Annotation]","A0A023EVW0,A0A182HBG4","aal-miR-71-3p",-14.25,586,607,143
"AALF025919-RA","PIWI [Source:Projected from Aedes aegypti lvpagwg (AAEL007823) VB Community Annotation]","A0A182HBG7","aal-miR-71-3p",-14.25,559,580,143
"AALF016705-RA","peroxisomal targeting signal 2 receptor [Source:Projected from Aedes aegypti (AAEL003117) VB Community Annotation]","A0A023ENI5,A0A182GVV8","aal-miR-71-3p",-14.21,332,353,143
"AALF015997-RA","uracil phosphoribosyltransferase [Source:Projected from Aedes aegypti (AAEL012973) VB Community Annotation]","A0A182GUI2","aal-miR-71-3p",-18.07,246,267,142
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aal-miR-71-3p",-16.15,12849,12870,141
"AALF026729-RA","peroxisome biogenesis factor 1 (peroxin-1) [Source:Projected from Aedes aegypti (AAEL000895) VB Community Annotation]","A0A182HCR9","aal-miR-71-3p",-19.35,1,21,140
"AALF007266-RA","n-acetyltransferase mak3 [Source:Projected from Aedes aegypti (AAEL012413) VB Community Annotation]","A0A182GC15","aal-miR-71-3p",-19.13,219,240,140
"AALF011552-RA","single stranded DNA binding protein [Source:Projected from Aedes aegypti (AAEL000888) VB Community Annotation]","A0A023ERP6,A0A182GKM7","aal-miR-71-3p",-18.62,934,957,140
"AALF027115-RA","poly a polymerase [Source:Projected from Aedes aegypti (AAEL005356) VB Community Annotation]","A0A182HDC1","aal-miR-71-3p",-16.69,5639,5660,140
"AALF020998-RA","phosphatidylethanolamine-binding protein [Source:Projected from Aedes aegypti (AAEL012955) VB Community Annotation]","A0A182H3L7","aal-miR-71-3p",-16.68,65,86,140
"AALF015949-RA","triacylglycerol lipase [Source:Projected from Aedes aegypti (AAEL005706) VB Community Annotation]","A0A182GUE6","aal-miR-71-3p",-14.74,34,55,140
