#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
1	tr|Q175E6|Q175E6_AEDAE	7159.Q175E6	100.0	493.8	AAEL006664	AAEL006664-PA.
2	UPI000B76BBAF	7159.Q16WF9	99.9	1411.7	AAEL009232	AAEL009232-PA.
3	tr|A0A0P6IXI5|A0A0P6IXI5_AEDAE	7159.Q16NV1	99.8	949.1	CYP315A1	AAEL011850-PA.
4	tr|Q16XQ1|Q16XQ1_AEDAE	7159.Q16XQ1	100.0	865.5	AAEL008816	Vesicular monoamine transporter, putative.
5	tr|A0A1S4EX30|A0A1S4EX30_AEDAE	7159.Q17MT2	98.9	909.4	AAEL000857	AAEL000857-PA.
6	UPI0006453894	7159.Q175E6	100.0	493.8	AAEL006664	AAEL006664-PA.
7	UPI000B7959F9	7159.Q174F6	70.7	442.2	AAEL006911	Microtubule-associated protein.
8	UPI000B792245	7159.Q17EX5	99.7	726.1	AAEL003642	Serine protease; Belongs to the peptidase S1 family.
9	tr|Q0IG40|Q0IG40_AEDAE	7159.Q0IG40	100.0	1253.4	AAEL003548	AAEL003548-PA.
10	tr|Q17E15|Q17E15_AEDAE	7159.Q17E15	100.0	573.2	AAEL003979	Deadenylation factor EDEN-BP, putative.
11	tr|Q16PF2|Q16PF2_AEDAE	7159.Q16PF2	100.0	1516.5	AAEL011654	AAEL011654-PA.
12	tr|Q17B94|Q17B94_AEDAE	7159.Q17B94	100.0	2122.1	AAEL005014	AAEL005014-PA; Belongs to the transient receptor (TC 1.A.4) family.
13	UPI000B76C64D	7159.Q17EP7	85.7	977.2	AAEL003731	Nuclear body associated kinase, putative.
14	UPI00043BB878	7159.Q17CY1	70.8	789.6	AAEL004391	AAEL004391-PA.
15	tr|Q17F60|Q17F60_AEDAE	7159.Q17F60	100.0	707.2	AAEL003560	POU domain protein.
16	tr|Q0IGE3|Q0IGE3_AEDAE	7159.Q0IGE3	100.0	698.7	AAEL000383	Hexosyltransferase.
17	UPI000B797CF8	7159.Q17GF1	98.2	3159.8	AAEL003092	AAEL003092-PA.
18	tr|Q17FQ2|Q17FQ2_AEDAE	7159.Q17FQ2	100.0	1266.1	AAEL003357	AAEL003357-PA.
19	UPI000B783905	7159.Q16K82	39.4	62.4	AAEL013086	AAEL013086-PA.
20	tr|Q16W25|Q16W25_AEDAE	7159.Q16W25	100.0	669.5	AAEL009364	AAEL009364-PA; Belongs to the protein kinase superfamily.
21	UPI000B783B59	7159.Q17KB4	94.5	378.3	AAEL001738	AAEL001738-PA.
22	UPI000B7802C4	7159.Q174F6	75.6	387.5	AAEL006911	Microtubule-associated protein.
23	UPI000B791BC7	7159.Q16M76	98.9	730.3	AAEL012388	AAEL012388-PA.
24	tr|Q0IFQ3|Q0IFQ3_AEDAE	7159.Q0IFQ3	100.0	746.5	AAEL004167	AAEL004167-PA.
25	UPI000B772C6B	7159.Q17MK0	100.0	1020.0	AAEL000981	AAEL000981-PA.
26	tr|Q16QS4|Q16QS4_AEDAE	7159.Q16QS4	100.0	932.9	AAEL011191	AAEL011191-PA.
27	tr|Q17K00|Q17K00_AEDAE	7159.Q17K00	100.0	2528.8	AAEL001847	DNA-directed RNA polymerase; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Belongs to the phage and mitochondrial RNA polymerase family.
28	UPI000B7718C9	7159.Q16TJ0	100.0	1273.5	AAEL010222	AAEL010222-PA.
29	UPI000B76BF2B	7159.Q16F45	100.0	736.9	AAEL014902	Cation efflux protein/ zinc transporter.
30	UPI000B76C397	7159.Q16TV2	100.0	1402.9	AAEL010124	Phosphoinositide phospholipase C.
31	tr|Q16EP2|Q16EP2_AEDAE	7159.Q16EP2	100.0	760.0	AAEL015076	AAEL015076-PA.
32	UPI000B776C74	7159.Q17L17	86.2	2079.3	AAEL001503	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
33	UPI000B779E7B	7159.Q17CH0	93.5	960.3	AAEL004542	AAEL004542-PA.
34	tr|J9HTV7|J9HTV7_AEDAE	7159.J9HTV7	100.0	67.8	AAEL801114	AAEL017419-PA.
