#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AAEL000383	7159.Q0IGE3	Hexosyltransferase.	https://smart.embl.de/smart/DDvec.cgi?smart=334:TRANS(13|35)+Pfam_Galactosyl_T(99|291)+	2.4.1.-,AAEL000383,Hexosyltransferase,Q0IGE3,Q0IGE3_AEDAE,XM_001656025.1,XP_001656075.1
AAEL000469	7159.Q17PB0	AAEL000469-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=530:ZnF_ZZ(3|48)+ZnF_C2H2(78|101)+	2.3.2.27,5577342,AAEL000469,AAEL000469-PA,E3 ubiquitin-protein ligase KCMF1,EC 2.3.2.27,Q17PB0,Q17PB0_AEDAE,XM_001656370.1,XP_001656420,XP_001656420.1,aag:5577342
AAEL000532	7159.Q17NX4	AAEL000532-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=901:CUB(120|275)+LDLa(778|815)+TRANS(823|845)+	5563680,AAEL000532,AAEL000532-PA,Q17NX4,Q17NX4_AEDAE,Uncharacterized protein LOC5563680 isoform X1,XM_001647926.1,XP_001647976.1,XP_021709325,aag:5563680
AAEL000534	7159.Q17NW2	AAEL000534-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.	https://smart.embl.de/smart/DDvec.cgi?smart=583:Pfam_ASC(54|553)+	5563697,AAEL000534,AAEL000534-PA,Acid-sensing ion channel, other,Pickpocket protein 28,Q17NW2,Q17NW2_AEDAE,XM_001647938.1,XP_001647988.1,XP_021708162,aag:5563697
AAEL000538	7159.Q17NX3	AAEL000538-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=180:LDLa(141|179)+	AAEL000538,AAEL000538-PA,Q17NX3,Q17NX3_AEDAE,XM_001647927.1,XP_001647977.1
AAEL000597	7159.Q17NP6	AAEL000597-PA; Cadherins are calcium-dependent cell adhesion proteins.	https://smart.embl.de/smart/DDvec.cgi?smart=1743:CA(84|160)+CA(186|276)+CA(300|388)+CA(415|507)+CA(531|612)+CA(634|729)+EGF(994|1027)+LamG(1048|1217)+EGF(1240|1277)+LamG(1302|1445)+EGF(1476|1513)+EGF_CA(1514|1552)+TRANS(1565|1587)+Pfam_Cadherin_C(1589|1734)+	5564848,AAEL000597,AAEL000597-PA,Neural-cadherin,Q17NP6,Q17NP6_AEDAE,XM_001649146.1,XP_001649196.1,XP_021703014,aag:5564848
AAEL000623	7159.Q17NS1	AAEL000623-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=545:Pfam_GCM(37|177)+	5564834,AAEL000623,AAEL000623-PA,Chorion-specific transcription factor GCM,Q17NS1,Q17NS1_AEDAE,Transcription factor glial cells missing,XM_001649121.1,XP_001649171,XP_001649171.1,aag:5564834
AAEL000807	7159.Q17N59	AAEL000807-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=499:SIGNAL(1|36)+TPR(44|77)+TPR(78|111)+TPR(112|145)+TPR(226|259)+TPR(343|376)+DnaJ(396|456)+	5566888,AAEL000807,AAEL000807-PA,DnaJ homolog subfamily C member 3,Q17N59,Q17N59_AEDAE,XM_001651207.1,XP_001651257,XP_001651257.1,aag:5566888
AAEL000857	7159.Q17MT2	AAEL000857-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=705:zf-AD(54|132)+ZnF_C2H2(341|363)+ZnF_C2H2(368|391)+ZnF_C2H2(396|419)+ZnF_C2H2(425|447)+ZnF_C2H2(647|670)+ZnF_C2H2(676|698)+	5567241,AAEL000857,AAEL000857-PA,Q17MT2,Q17MT2_AEDAE,XM_001651621.1,XP_001651671,XP_001651671.1,Zinc finger protein 236 isoform X1,aag:5567241
AAEL000863	7159.Q17MV9	AAEL000863-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.	https://smart.embl.de/smart/DDvec.cgi?smart=471:Pfam_ASC(21|109)+Pfam_ASC(102|433)+	5567215,AAEL000863,AAEL000863-PA,Acid-sensing ion channel, other,Pickpocket protein 28,Q17MV9,Q17MV9_AEDAE,XM_001651593.1,XP_001651643,XP_001651643.1,aag:5567215
AAEL000917	7159.Q17MX4	AAEL000917-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.	https://smart.embl.de/smart/DDvec.cgi?smart=475:Pfam_ASC(97|434)+	AAEL000917,AAEL000917-PA,Q17MX4,Q17MX4_AEDAE,XM_001651579.1,XP_001651629.1
AAEL000981	7159.Q17MK0	AAEL000981-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=776:Pfam_BCL9(443|481)+	5567823,AAEL000981,AAEL000981-PA,Collagen type III alpha,Protein pygopus isoform X1,Q17MK0,Q17MK0_AEDAE,XM_001657679.1,XP_001657729,XP_001657729.1,aag:5567823
AAEL001503	7159.Q17L17	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.	https://smart.embl.de/smart/DDvec.cgi?smart=1179:Pfam_Na_H_Exchanger(254|656)+	AAEL001503,Q17L17,Q17L17_AEDAE,Sodium/hydrogen exchanger,XM_001653352.1,XP_001653402.1
AAEL001543	7159.Q17KR6	AAEL001543-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1427:Pfam_SecA_DEAD(755|1047)+	5571300,AAEL001543,AAEL001543-PA,Q17KR6,Q17KR6_AEDAE,Uncharacterized protein LOC5571300 isoform X2,XM_001653554.1,XP_001653604,XP_001653604.1,aag:5571300
AAEL001556	7159.Q17KS1	AAEL001556-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=148:Pfam_Sen15(30|133)+	5571295,AAEL001556,AAEL001556-PA,Q17KS1,Q17KS1_AEDAE,Uncharacterized protein LOC5571295 isoform X2,XM_001653548.1,XP_001653598,XP_001653598.1,aag:5571295
AAEL001571	7159.Q17KU9	AAEL001571-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=587:Pfam_Ras(375|538)+	5571269,AAEL001571,AAEL001571-PA,Q17KU9,Q17KU9_AEDAE,Rad and Gem related GTP binding protein 1,Uncharacterized protein LOC5571269 isoform X2,XM_001653517.1,XP_001653567,XP_001653567.1,aag:5571269
AAEL001639	7159.Q17KK3	AAEL001639-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=474:TRANS(29|51)+TRANS(56|78)+TRANS(99|121)+	5571683,AAEL001639,AAEL001639-PA,Q17KK3,Q17KK3_AEDAE,Uncharacterized protein LOC5571683,XM_001653702.1,XP_001653752.1,XP_021701183,aag:5571683
AAEL001738	7159.Q17KB4	AAEL001738-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=231:Pfam_Ras(36|196)+	5579997,AAEL001738,AAEL001738-PA,Q17KB4,Q17KB4_AEDAE,Ras-like protein family member 11A,XM_001660213.1,XP_001660263,XP_001660263.1,aag:5579997
AAEL001823	7159.Q17K45	AAEL001823-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=321:	AAEL001823,AAEL001823-PA,Q17K45,Q17K45_AEDAE,XM_001660337.1,XP_001660387.1
AAEL001847	7159.Q17K00	DNA-directed RNA polymerase; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Belongs to the phage and mitochondrial RNA polymerase family.	https://smart.embl.de/smart/DDvec.cgi?smart=1271:RPOL_N(423|738)+Pfam_RNA_pol(865|1271)+	2.7.7.6,5572646,AAEL001847,DNA-directed RNA polymerase,DNA-directed RNA polymerase, mitochondrial,EC 2.7.7.6,Q17K00,Q17K00_AEDAE,XM_001654095.1,XP_001654145,XP_001654145.1,aag:5572646
