#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
UPI0007D45369	7159.AAEL013902-PA	5.69e-198	554	"KOG2061@1|root,KOG2061@2759|Eukaryota,38E03@33154|Opisthokonta,3BE9K@33208|Metazoa,3CU4H@33213|Bilateria,41XA5@6656|Arthropoda,3SJWQ@50557|Insecta,44XK2@7147|Diptera,45DPR@7148|Nematocera"	33208|Metazoa	S	"Programmed cell death protein 2, C-terminal putative domain"	PDCD2	"GO:0000003,GO:0002376,GO:0002520,GO:0002682,GO:0002684,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006417,GO:0006915,GO:0006919,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0008150,GO:0008219,GO:0008270,GO:0008283,GO:0008284,GO:0009790,GO:0009889,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010604,GO:0010608,GO:0010941,GO:0010942,GO:0010950,GO:0010952,GO:0012501,GO:0017145,GO:0019222,GO:0019899,GO:0019953,GO:0022412,GO:0022414,GO:0022613,GO:0030097,GO:0030154,GO:0030162,GO:0031323,GO:0031325,GO:0031326,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032504,GO:0034248,GO:0035162,GO:0042127,GO:0042254,GO:0042274,GO:0042981,GO:0043021,GO:0043024,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043280,GO:0043281,GO:0044085,GO:0044093,GO:0044424,GO:0044464,GO:0044703,GO:0044877,GO:0045595,GO:0045862,GO:0046872,GO:0046914,GO:0048103,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048522,GO:0048534,GO:0048568,GO:0048609,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0051094,GO:0051171,GO:0051173,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051301,GO:0051336,GO:0051345,GO:0051704,GO:0052547,GO:0052548,GO:0060255,GO:0065007,GO:0065009,GO:0071840,GO:0072091,GO:0080090,GO:1901532,GO:1902033,GO:1902035,GO:1903706,GO:1903708,GO:2000026,GO:2000112,GO:2000116,GO:2000648,GO:2000765,GO:2001056"	-	ko:K14801	-	-	-	-	"ko00000,ko03009"	-	-	-	"PDCD2_C,zf-MYND"
tr|A0A182H8W0|A0A182H8W0_AEDAL	7159.AAEL013093-PA	1.33e-226	625	"COG0596@1|root,KOG1454@2759|Eukaryota,39U8B@33154|Opisthokonta,3BE1T@33208|Metazoa,3D2T1@33213|Bilateria,41XTZ@6656|Arthropoda,3SR7C@50557|Insecta,458AZ@7147|Diptera,45MIZ@7148|Nematocera"	33208|Metazoa	S	"Serine aminopeptidase, S33"	-	"GO:0003674,GO:0003824,GO:0007586,GO:0008150,GO:0009636,GO:0016787,GO:0017171,GO:0032501,GO:0042221,GO:0050896"	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
UPI0007D32D50	7176.CPIJ013035-PA	7.03e-64	211	"KOG4441@1|root,KOG4441@2759|Eukaryota,38CWG@33154|Opisthokonta,3BH03@33208|Metazoa,3D1IW@33213|Bilateria,41XID@6656|Arthropoda,3SH7V@50557|Insecta,4500U@7147|Diptera,45GM3@7148|Nematocera"	33208|Metazoa	T	Kelch motif	KLHL18	"GO:0000151,GO:0002009,GO:0002165,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006807,GO:0007275,GO:0007444,GO:0007552,GO:0007560,GO:0008092,GO:0008150,GO:0008152,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009987,GO:0016567,GO:0019538,GO:0031461,GO:0031463,GO:0032446,GO:0032501,GO:0032502,GO:0032991,GO:0035239,GO:0035295,GO:0036211,GO:0042802,GO:0042803,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0046528,GO:0046529,GO:0046983,GO:0048513,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048856,GO:0051865,GO:0060429,GO:0060562,GO:0070647,GO:0071704,GO:1901564,GO:1902494,GO:1990234"	-	ko:K10455	-	-	-	-	"ko00000,ko04121"	-	-	-	"BACK,BTB,Kelch_1"
tr|A0A023EK43|A0A023EK43_AEDAL	7159.AAEL007383-PB	6.33e-117	339	"COG1528@1|root,KOG2332@2759|Eukaryota,3A3S9@33154|Opisthokonta,3BRZQ@33208|Metazoa,3D8HF@33213|Bilateria,4200B@6656|Arthropoda,3SN9E@50557|Insecta,45355@7147|Diptera,45K6E@7148|Nematocera"	33208|Metazoa	Q	"Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation"	Fer2LCH	"GO:0000041,GO:0002376,GO:0003674,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0006810,GO:0006811,GO:0006812,GO:0006826,GO:0006873,GO:0006875,GO:0006879,GO:0006880,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0007599,GO:0007610,GO:0007622,GO:0007623,GO:0007626,GO:0008043,GO:0008150,GO:0008198,GO:0009605,GO:0009607,GO:0009611,GO:0009620,GO:0009636,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0012505,GO:0019725,GO:0030001,GO:0030003,GO:0032501,GO:0032991,GO:0034220,GO:0034755,GO:0042060,GO:0042221,GO:0042381,GO:0042592,GO:0043167,GO:0043169,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0045087,GO:0045475,GO:0046872,GO:0046914,GO:0046916,GO:0048511,GO:0048512,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051235,GO:0051238,GO:0051641,GO:0051651,GO:0051704,GO:0051707,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0061687,GO:0065007,GO:0065008,GO:0070288,GO:0097286,GO:0097577,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098711,GO:0098739,GO:0098754,GO:0098771,GO:0099587,GO:1990461"	-	-	-	-	-	-	-	-	-	-	Ferritin
tr|A0A182GR14|A0A182GR14_AEDAL	7159.AAEL012600-PA	1.07e-168	479	"2E7AJ@1|root,2SDXC@2759|Eukaryota,3ABQX@33154|Opisthokonta,3BWEF@33208|Metazoa,3DC4U@33213|Bilateria,421JR@6656|Arthropoda,3SPPH@50557|Insecta,454FR@7147|Diptera,45KN0@7148|Nematocera"	33208|Metazoa	-	-	-	-	-	ko:K21548	-	-	-	-	"ko00000,ko03000"	-	-	-	-
UPI0007D6531F	7159.AAEL011708-PA	0	1288	"COG0326@1|root,KOG0019@2759|Eukaryota,38B7K@33154|Opisthokonta,3BFAG@33208|Metazoa,3CVM1@33213|Bilateria,41V1T@6656|Arthropoda,3SHJ9@50557|Insecta,44XE9@7147|Diptera,45G5Z@7148|Nematocera"	33208|Metazoa	O	Heat shock protein	HSP90AB1	"GO:0000003,GO:0000086,GO:0000166,GO:0000226,GO:0000278,GO:0000323,GO:0000578,GO:0000723,GO:0000902,GO:0000904,GO:0001505,GO:0001568,GO:0001654,GO:0001726,GO:0001745,GO:0001751,GO:0001752,GO:0001754,GO:0001764,GO:0001775,GO:0001817,GO:0001818,GO:0001882,GO:0001883,GO:0001884,GO:0001890,GO:0001932,GO:0001934,GO:0001944,GO:0001959,GO:0002134,GO:0002135,GO:0002252,GO:0002253,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002429,GO:0002431,GO:0002433,GO:0002443,GO:0002444,GO:0002446,GO:0002682,GO:0002684,GO:0002694,GO:0002696,GO:0002757,GO:0002764,GO:0002768,GO:0003002,GO:0003006,GO:0003008,GO:0003009,GO:0003012,GO:0003674,GO:0003676,GO:0003723,GO:0003725,GO:0003729,GO:0003824,GO:0004672,GO:0004713,GO:0005102,GO:0005488,GO:0005515,GO:0005524,GO:0005525,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005694,GO:0005700,GO:0005705,GO:0005737,GO:0005739,GO:0005764,GO:0005765,GO:0005773,GO:0005774,GO:0005775,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0005886,GO:0005903,GO:0005929,GO:0006139,GO:0006259,GO:0006278,GO:0006355,GO:0006357,GO:0006403,GO:0006457,GO:0006464,GO:0006468,GO:0006518,GO:0006605,GO:0006606,GO:0006607,GO:0006626,GO:0006725,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0006809,GO:0006810,GO:0006839,GO:0006886,GO:0006887,GO:0006897,GO:0006898,GO:0006909,GO:0006913,GO:0006914,GO:0006915,GO:0006928,GO:0006936,GO:0006937,GO:0006941,GO:0006942,GO:0006950,GO:0006955,GO:0006970,GO:0006986,GO:0006996,GO:0007004,GO:0007005,GO:0007006,GO:0007010,GO:0007015,GO:0007017,GO:0007028,GO:0007049,GO:0007098,GO:0007154,GO:0007163,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007308,GO:0007309,GO:0007314,GO:0007315,GO:0007316,GO:0007346,GO:0007350,GO:0007351,GO:0007389,GO:0007399,GO:0007409,GO:0007417,GO:0007423,GO:0007465,GO:0008016,GO:0008092,GO:0008104,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0008285,GO:0008293,GO:0008298,GO:0008358,GO:0008361,GO:0008595,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009409,GO:0009410,GO:0009628,GO:0009631,GO:0009651,GO:0009653,GO:0009790,GO:0009798,GO:0009880,GO:0009887,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009896,GO:0009948,GO:0009952,GO:0009966,GO:0009967,GO:0009986,GO:0009987,GO:0009994,GO:0010033,GO:0010035,GO:0010038,GO:0010243,GO:0010389,GO:0010468,GO:0010528,GO:0010529,GO:0010556,GO:0010557,GO:0010562,GO:0010564,GO:0010591,GO:0010592,GO:0010604,GO:0010605,GO:0010646,GO:0010647,GO:0010657,GO:0010658,GO:0010659,GO:0010833,GO:0010921,GO:0010922,GO:0010927,GO:0010941,GO:0010948,GO:0012501,GO:0012505,GO:0014070,GO:0014866,GO:0015031,GO:0015630,GO:0015833,GO:0016020,GO:0016032,GO:0016043,GO:0016049,GO:0016192,GO:0016234,GO:0016301,GO:0016310,GO:0016323,GO:0016324,GO:0016462,GO:0016477,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017015,GO:0017038,GO:0017076,GO:0017098,GO:0017111,GO:0017144,GO:0018108,GO:0018130,GO:0018193,GO:0018212,GO:0019001,GO:0019058,GO:0019062,GO:0019094,GO:0019103,GO:0019219,GO:0019220,GO:0019221,GO:0019222,GO:0019438,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0019902,GO:0019903,GO:0019904,GO:0019953,GO:0021700,GO:0021953,GO:0021954,GO:0021955,GO:0022008,GO:0022402,GO:0022406,GO:0022407,GO:0022409,GO:0022412,GO:0022414,GO:0022607,GO:0022610,GO:0022613,GO:0022618,GO:0023051,GO:0023052,GO:0023056,GO:0030010,GO:0030016,GO:0030017,GO:0030018,GO:0030029,GO:0030030,GO:0030031,GO:0030036,GO:0030139,GO:0030141,GO:0030154,GO:0030155,GO:0030162,GO:0030163,GO:0030182,GO:0030234,GO:0030235,GO:0030239,GO:0030240,GO:0030241,GO:0030424,GO:0030425,GO:0030426,GO:0030427,GO:0030511,GO:0030554,GO:0030911,GO:0031012,GO:0031023,GO:0031032,GO:0031033,GO:0031034,GO:0031072,GO:0031090,GO:0031175,GO:0031252,GO:0031253,GO:0031256,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031330,GO:0031331,GO:0031334,GO:0031341,GO:0031342,GO:0031344,GO:0031346,GO:0031347,GO:0031396,GO:0031399,GO:0031401,GO:0031410,GO:0031514,GO:0031526,GO:0031625,GO:0031647,GO:0031674,GO:0031974,GO:0031981,GO:0031982,GO:0031983,GO:0032092,GO:0032200,GO:0032268,GO:0032269,GO:0032270,GO:0032271,GO:0032273,GO:0032386,GO:0032388,GO:0032434,GO:0032435,GO:0032501,GO:0032502,GO:0032504,GO:0032516,GO:0032535,GO:0032549,GO:0032550,GO:0032551,GO:0032552,GO:0032553,GO:0032554,GO:0032555,GO:0032557,GO:0032558,GO:0032559,GO:0032561,GO:0032564,GO:0032587,GO:0032768,GO:0032879,GO:0032880,GO:0032940,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0033135,GO:0033138,GO:0033157,GO:0033158,GO:0033160,GO:0033218,GO:0033267,GO:0033365,GO:0033554,GO:0033674,GO:0034097,GO:0034504,GO:0034605,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0034751,GO:0034774,GO:0035282,GO:0035303,GO:0035304,GO:0035306,GO:0035307,GO:0035639,GO:0035690,GO:0035966,GO:0036094,GO:0036126,GO:0036211,GO:0036230,GO:0036477,GO:0038093,GO:0038094,GO:0038096,GO:0038127,GO:0038128,GO:0040007,GO:0040011,GO:0042026,GO:0042119,GO:0042127,GO:0042133,GO:0042136,GO:0042176,GO:0042177,GO:0042220,GO:0042221,GO:0042277,GO:0042306,GO:0042307,GO:0042325,GO:0042327,GO:0042493,GO:0042592,GO:0042623,GO:0042692,GO:0042706,GO:0042749,GO:0042752,GO:0042802,GO:0042803,GO:0042826,GO:0042886,GO:0042981,GO:0042995,GO:0043005,GO:0043008,GO:0043025,GO:0043066,GO:0043067,GO:0043069,GO:0043085,GO:0043167,GO:0043168,GO:0043170,GO:0043202,GO:0043209,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043235,GO:0043248,GO:0043254,GO:0043279,GO:0043292,GO:0043299,GO:0043312,GO:0043335,GO:0043393,GO:0043412,GO:0043523,GO:0043524,GO:0043549,GO:0043603,GO:0043627,GO:0043666,GO:0043933,GO:0044057,GO:0044085,GO:0044087,GO:0044089,GO:0044093,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044292,GO:0044294,GO:0044295,GO:0044297,GO:0044325,GO:0044389,GO:0044403,GO:0044406,GO:0044419,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044427,GO:0044428,GO:0044430,GO:0044433,GO:0044437,GO:0044441,GO:0044444,GO:0044446,GO:0044449,GO:0044459,GO:0044463,GO:0044464,GO:0044650,GO:0044703,GO:0044770,GO:0044772,GO:0044782,GO:0044839,GO:0045040,GO:0045055,GO:0045088,GO:0045165,GO:0045177,GO:0045184,GO:0045187,GO:0045321,GO:0045428,GO:0045429,GO:0045466,GO:0045580,GO:0045582,GO:0045583,GO:0045585,GO:0045595,GO:0045597,GO:0045619,GO:0045621,GO:0045732,GO:0045785,GO:0045786,GO:0045787,GO:0045793,GO:0045823,GO:0045859,GO:0045860,GO:0045861,GO:0045933,GO:0045935,GO:0045937,GO:0045989,GO:0046209,GO:0046483,GO:0046530,GO:0046552,GO:0046677,GO:0046822,GO:0046824,GO:0046903,GO:0046907,GO:0046983,GO:0048010,GO:0048156,GO:0048468,GO:0048469,GO:0048471,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048588,GO:0048589,GO:0048592,GO:0048599,GO:0048608,GO:0048609,GO:0048646,GO:0048663,GO:0048666,GO:0048667,GO:0048675,GO:0048699,GO:0048731,GO:0048749,GO:0048769,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050776,GO:0050778,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050795,GO:0050821,GO:0050863,GO:0050865,GO:0050867,GO:0050870,GO:0050879,GO:0050881,GO:0050896,GO:0050900,GO:0050999,GO:0051020,GO:0051021,GO:0051022,GO:0051049,GO:0051050,GO:0051052,GO:0051054,GO:0051082,GO:0051094,GO:0051098,GO:0051099,GO:0051128,GO:0051130,GO:0051131,GO:0051146,GO:0051169,GO:0051170,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051186,GO:0051219,GO:0051222,GO:0051223,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051249,GO:0051251,GO:0051252,GO:0051276,GO:0051336,GO:0051338,GO:0051341,GO:0051345,GO:0051347,GO:0051640,GO:0051641,GO:0051649,GO:0051674,GO:0051704,GO:0051716,GO:0051726,GO:0051896,GO:0051897,GO:0051972,GO:0051973,GO:0055001,GO:0055002,GO:0055085,GO:0055117,GO:0060205,GO:0060249,GO:0060255,GO:0060271,GO:0060330,GO:0060334,GO:0060338,GO:0060341,GO:0060359,GO:0060452,GO:0060491,GO:0060548,GO:0060560,GO:0060759,GO:0060810,GO:0060811,GO:0061024,GO:0061061,GO:0061136,GO:0061458,GO:0061564,GO:0061635,GO:0061684,GO:0061741,GO:0061827,GO:0061919,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070182,GO:0070201,GO:0070585,GO:0070670,GO:0070727,GO:0070887,GO:0070925,GO:0071156,GO:0071157,GO:0071310,GO:0071345,GO:0071353,GO:0071407,GO:0071466,GO:0071634,GO:0071635,GO:0071682,GO:0071688,GO:0071702,GO:0071704,GO:0071705,GO:0071806,GO:0071826,GO:0071840,GO:0071897,GO:0071900,GO:0071902,GO:0071944,GO:0072321,GO:0072347,GO:0072358,GO:0072359,GO:0072593,GO:0072594,GO:0072655,GO:0072657,GO:0080090,GO:0080134,GO:0080135,GO:0090066,GO:0090087,GO:0090092,GO:0090100,GO:0090150,GO:0090151,GO:0090257,GO:0090287,GO:0090304,GO:0090316,GO:0090596,GO:0097110,GO:0097159,GO:0097223,GO:0097226,GO:0097367,GO:0097435,GO:0097447,GO:0097458,GO:0097524,GO:0097708,GO:0097711,GO:0097718,GO:0097729,GO:0098588,GO:0098590,GO:0098657,GO:0098687,GO:0098772,GO:0098805,GO:0098852,GO:0098862,GO:0099080,GO:0099081,GO:0099503,GO:0099512,GO:0101002,GO:0120025,GO:0120031,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:0120039,GO:0140056,GO:0140096,GO:0150034,GO:1900034,GO:1900180,GO:1900182,GO:1901214,GO:1901215,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901388,GO:1901389,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901698,GO:1901700,GO:1901799,GO:1901987,GO:1901990,GO:1902105,GO:1902107,GO:1902531,GO:1902533,GO:1902743,GO:1902745,GO:1902749,GO:1902947,GO:1902949,GO:1903037,GO:1903039,GO:1903047,GO:1903050,GO:1903051,GO:1903320,GO:1903362,GO:1903363,GO:1903364,GO:1903409,GO:1903426,GO:1903428,GO:1903506,GO:1903522,GO:1903524,GO:1903659,GO:1903660,GO:1903706,GO:1903708,GO:1903827,GO:1903829,GO:1903844,GO:1903846,GO:1904029,GO:1904031,GO:1904407,GO:1904589,GO:1904591,GO:1904813,GO:1904951,GO:1905323,GO:1990138,GO:1990226,GO:1990782,GO:1990913,GO:1990917,GO:2000008,GO:2000010,GO:2000026,GO:2000058,GO:2000059,GO:2000112,GO:2000278,GO:2000377,GO:2000379,GO:2000573,GO:2001057,GO:2001141"	-	ko:K04079	"ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418"	-	-	-	"ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147"	-	-	-	"HATPase_c,HSP90"
tr|A0A182GLJ0|A0A182GLJ0_AEDAL	7159.AAEL001304-PA	0	1412	"KOG3575@1|root,KOG3575@2759|Eukaryota,39XIE@33154|Opisthokonta,3BBR6@33208|Metazoa,3CUUH@33213|Bilateria,41U8D@6656|Arthropoda,3SFYK@50557|Insecta,44ZPI@7147|Diptera,45BH5@7148|Nematocera"	33208|Metazoa	K	Nuclear hormone receptor ftz-f1 beta	Hr39	"GO:0000003,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000987,GO:0001012,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003700,GO:0004879,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0006355,GO:0006357,GO:0007154,GO:0007165,GO:0007275,GO:0007610,GO:0007617,GO:0007618,GO:0007619,GO:0008049,GO:0008150,GO:0009653,GO:0009719,GO:0009725,GO:0009755,GO:0009887,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016545,GO:0019098,GO:0019219,GO:0019222,GO:0019953,GO:0022414,GO:0023052,GO:0030522,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032502,GO:0032504,GO:0032870,GO:0032991,GO:0035211,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044703,GO:0044798,GO:0045433,GO:0045893,GO:0045935,GO:0045944,GO:0048065,GO:0048513,GO:0048518,GO:0048522,GO:0048609,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051704,GO:0051716,GO:0060179,GO:0060255,GO:0060968,GO:0065007,GO:0070887,GO:0071310,GO:0071495,GO:0080090,GO:0090575,GO:0097159,GO:0098531,GO:0140110,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141"	-	ko:K08705	-	-	-	-	"ko00000,ko03000,ko03310"	-	-	-	"Hormone_recep,zf-C4"
tr|A0A182GMD7|A0A182GMD7_AEDAL	7159.AAEL017164-PB	1.99e-217	626	"KOG4849@1|root,KOG4849@2759|Eukaryota,39R98@33154|Opisthokonta,3BGSA@33208|Metazoa,3CU9K@33213|Bilateria,41Y4S@6656|Arthropoda,3SJPD@50557|Insecta,4513C@7147|Diptera,45CQN@7148|Nematocera"	33208|Metazoa	A	RNA recognition motif	CPSF6	"GO:0000228,GO:0000785,GO:0000790,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005726,GO:0005737,GO:0005847,GO:0005849,GO:0006139,GO:0006378,GO:0006379,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0010468,GO:0016043,GO:0016070,GO:0016071,GO:0016604,GO:0016607,GO:0019219,GO:0019222,GO:0022607,GO:0022613,GO:0022618,GO:0031123,GO:0031124,GO:0031323,GO:0031440,GO:0031974,GO:0031981,GO:0032239,GO:0032241,GO:0032386,GO:0032388,GO:0032879,GO:0032991,GO:0034622,GO:0034641,GO:0035061,GO:0042382,GO:0043021,GO:0043023,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043631,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044451,GO:0044454,GO:0044464,GO:0044877,GO:0046483,GO:0046822,GO:0046824,GO:0046831,GO:0046833,GO:0048518,GO:0050684,GO:0050789,GO:0050794,GO:0051049,GO:0051050,GO:0051171,GO:0051252,GO:0051259,GO:0051262,GO:0051290,GO:0051291,GO:0060255,GO:0060341,GO:0065003,GO:0065007,GO:0070013,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0098787,GO:0098789,GO:0110104,GO:1900363,GO:1901360,GO:1901363,GO:1903311,GO:1990120,GO:1990448,GO:1990904"	-	"ko:K13911,ko:K14398"	"ko03015,ko04970,map03015,map04970"	-	-	-	"ko00000,ko00001,ko03019"	-	-	-	RRM_1
UPI0007D5AAD5	7159.AAEL012151-PA	1.09e-193	552	"KOG3417@1|root,KOG3417@2759|Eukaryota,38HVP@33154|Opisthokonta,3BB33@33208|Metazoa,3CT9B@33213|Bilateria,41VYS@6656|Arthropoda,3SJ7X@50557|Insecta,44XVM@7147|Diptera,45CZB@7148|Nematocera"	33208|Metazoa	T	"Ral guanine nucleotide exchange factor with ph domain and sh3 binding motif, ralgps"	RALGPS2	"GO:0003674,GO:0005085,GO:0005088,GO:0005488,GO:0005515,GO:0007154,GO:0007165,GO:0008150,GO:0008321,GO:0009966,GO:0009987,GO:0010646,GO:0017016,GO:0017160,GO:0019899,GO:0023051,GO:0023052,GO:0031267,GO:0032485,GO:0035556,GO:0046578,GO:0048583,GO:0050789,GO:0050794,GO:0050896,GO:0051020,GO:0051056,GO:0051716,GO:0065007,GO:0065009,GO:0098772,GO:1902531"	-	-	-	-	-	-	-	-	-	-	"PH,RasGEF"
tr|A0A182H812|A0A182H812_AEDAL	7159.AAEL012019-PA	0	1550	"KOG2437@1|root,KOG2437@2759|Eukaryota,38E9J@33154|Opisthokonta,3BFKC@33208|Metazoa,3CUEM@33213|Bilateria,41VD3@6656|Arthropoda,3SGJ1@50557|Insecta,451Q8@7147|Diptera,45C1T@7148|Nematocera"	33208|Metazoa	T	Muskelin N-terminus	MKLN1	"GO:0000003,GO:0001556,GO:0001726,GO:0001952,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005938,GO:0006996,GO:0007010,GO:0007154,GO:0007155,GO:0007160,GO:0007165,GO:0007276,GO:0007281,GO:0007292,GO:0008150,GO:0008360,GO:0009987,GO:0009994,GO:0010810,GO:0016043,GO:0019953,GO:0021700,GO:0022412,GO:0022414,GO:0022603,GO:0022604,GO:0022610,GO:0023052,GO:0030029,GO:0030036,GO:0030154,GO:0030155,GO:0031252,GO:0031532,GO:0031589,GO:0032501,GO:0032502,GO:0032504,GO:0042802,GO:0042995,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0048468,GO:0048469,GO:0048477,GO:0048599,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051128,GO:0051704,GO:0051716,GO:0065007,GO:0065008,GO:0071695,GO:0071840,GO:0071944,GO:0099568,GO:0120025"	-	-	-	-	-	-	-	-	-	-	"Kelch_1,Kelch_3,Muskelin_N"
