transcript	miRNAs	numberMiRNAs
ENST00000683081.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000341376.11	hsa-miR-548ba	1
ENST00000667466.1	hsa-let-7b-3p	1
ENST00000622509.4	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000535187.5	hsa-let-7b-3p	1
ENST00000627745.2	hsa-let-7b-3p	1
ENST00000216223.10	hsa-miR-548ba	1
ENST00000368990.7	hsa-miR-548ba	1
ENST00000586604.5	hsa-let-7b-3p	1
ENST00000229179.9	hsa-let-7b-5p	1
ENST00000238831.9	hsa-miR-548ba	1
ENST00000336735.9	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000375915.4	hsa-let-7b-5p	1
ENST00000314527.9	hsa-miR-548ba	1
ENST00000382100.8	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000394115.6	hsa-let-7b-5p	1
ENST00000680012.1	hsa-miR-548ba	1
ENST00000320985.14	hsa-miR-548ba	1
ENST00000448880.6	hsa-let-7b-3p	1
ENST00000295571.9	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000482871.6	hsa-miR-548ba	1
ENST00000353442.10	hsa-miR-548ba	1
ENST00000358011.8	hsa-miR-548ba	1
ENST00000350592.7	hsa-miR-548ba	1
ENST00000341162.8	hsa-miR-548ba	1
ENST00000361219.11	hsa-let-7b-3p	1
ENST00000396976.6	hsa-miR-548ba	1
ENST00000370272.9	hsa-let-7b-5p	1
ENST00000392427.7	hsa-miR-548ba	1
ENST00000407610.8	hsa-let-7b-3p	1
ENST00000672902.1	hsa-let-7b-3p	1
ENST00000649785.1	hsa-miR-548ba	1
ENST00000675540.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000389567.9	hsa-let-7b-5p	1
ENST00000542498.5	hsa-miR-548ba	1
ENST00000367435.5	hsa-miR-548ba	1
ENST00000620443.2	hsa-let-7b-3p	1
ENST00000282356.9	hsa-miR-548ba	1
ENST00000454658.6	hsa-let-7b-3p	1
ENST00000296468.8	hsa-let-7b-5p	1
ENST00000249344.7	hsa-let-7b-3p	1
ENST00000582365.1	hsa-miR-548ba	1
ENST00000554659.6	hsa-miR-548ba	1
ENST00000644672.1	hsa-miR-548ba	1
ENST00000319595.7	hsa-miR-548ba	1
ENST00000534548.7	hsa-miR-548ba	1
ENST00000394070.7	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000677130.1	hsa-miR-548ba	1
ENST00000502346.2	hsa-let-7b-5p	1
ENST00000519096.5	hsa-miR-548ba	1
ENST00000611777.2	hsa-miR-548ba	1
ENST00000357727.7	hsa-miR-548ba	1
ENST00000446330.6	hsa-let-7b-5p	1
ENST00000353231.9	hsa-miR-548ba	1
ENST00000681318.1	hsa-let-7b-5p	1
ENST00000618556.4	hsa-miR-548ba,hsa-let-7b-3p,hsa-let-7b-5p	3
ENST00000372725.6	hsa-let-7b-3p	1
ENST00000296953.6	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000361099.8	hsa-miR-548ba	1
ENST00000565324.5	hsa-miR-548ba	1
ENST00000396954.8	hsa-miR-548ba	1
ENST00000531101.5	hsa-let-7b-5p	1
ENST00000682851.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000296877.3	hsa-let-7b-3p	1
ENST00000374746.5	hsa-miR-548ba	1
ENST00000367390.7	hsa-let-7b-5p	1
ENST00000317552.9	hsa-miR-548ba	1
ENST00000645214.2	hsa-miR-548ba	1
ENST00000344641.8	hsa-let-7b-3p	1
ENST00000639716.1	hsa-let-7b-3p	1
ENST00000451899.7	hsa-let-7b-3p	1
ENST00000399161.7	hsa-miR-548ba	1
ENST00000674749.1	hsa-let-7b-3p	1
ENST00000262233.11	hsa-let-7b-3p	1
ENST00000679507.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000368521.10	hsa-miR-548ba	1
ENST00000452085.7	hsa-let-7b-3p	1
ENST00000539261.6	hsa-miR-548ba	1
ENST00000664330.1	hsa-miR-548ba	1
ENST00000642122.1	hsa-let-7b-3p	1
ENST00000322002.5	hsa-miR-548ba	1
ENST00000684289.1	hsa-miR-548ba	1
ENST00000513775.1	hsa-miR-548ba	1
ENST00000641482.1	hsa-let-7b-5p	1
ENST00000575774.5	hsa-miR-548ba	1
ENST00000651546.1	hsa-miR-548ba	1
ENST00000370606.3	hsa-miR-548ba	1
ENST00000359726.7	hsa-let-7b-3p	1
ENST00000451037.7	hsa-miR-548ba	1
ENST00000423407.7	hsa-miR-548ba	1
ENST00000334636.10	hsa-miR-548ba	1
ENST00000590772.1	hsa-miR-548ba	1
ENST00000422843.8	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000507846.5	hsa-let-7b-3p	1
ENST00000400559.7	hsa-miR-548ba	1
ENST00000637650.1	hsa-miR-548ba	1
ENST00000684774.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000397042.7	hsa-miR-548ba,hsa-let-7b-3p,hsa-let-7b-5p	3
ENST00000358731.9	hsa-miR-548ba	1
ENST00000253692.11	hsa-miR-548ba	1
ENST00000645116.1	hsa-miR-548ba	1
ENST00000434503.5	hsa-miR-548ba	1
ENST00000431842.6	hsa-let-7b-3p	1
ENST00000642379.1	hsa-let-7b-5p	1
ENST00000650399.1	hsa-miR-548ba	1
ENST00000274242.10	hsa-miR-548ba	1
ENST00000400128.5	hsa-miR-548ba	1
ENST00000677289.1	hsa-miR-548ba	1
ENST00000260526.11	hsa-let-7b-3p	1
ENST00000678921.2	hsa-let-7b-3p	1
ENST00000451522.6	hsa-let-7b-3p	1
ENST00000280979.9	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000331968.11	hsa-miR-548ba	1
ENST00000328550.6	hsa-miR-548ba	1
ENST00000648594.1	hsa-miR-548ba	1
ENST00000473578.5	hsa-miR-548ba	1
ENST00000641460.1	hsa-let-7b-5p	1
ENST00000400968.7	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000395430.5	hsa-miR-548ba	1
ENST00000398015.8	hsa-miR-548ba	1
