#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAEL000597	AAEL008421	7159.Q17NP6	7159.Q16YV5	0	0	0	0.553	0.043	0.471	0.141	0.220	0.615
AAEL000807	AAEL005314	7159.Q17N59	7159.Q17AE0	0.059	0	0	0	0.363	0.186	0.155	0.105	0.563
AAEL002896	AAEL003092	7159.Q17GU4	7159.Q17GF1	0	0	0.387	0	0	0.083	0.052	0	0.420
AAEL003118	AAEL003122	7159.Q17GC9	7159.Q17GD1	0	0.456	0	0	0.062	0	0	0	0.468
AAEL003375	AAEL006596	7159.Q17FK6	7159.Q175Q0	0	0.791	0	0	0	0	0	0	0.791
AAEL003375	AAEL003381	7159.Q17FK6	7159.Q17FK7	0	0.828	0	0	0	0	0	0	0.828
AAEL003407	J9HZV2_AEDAE	7159.Q17FE8	7159.J9HZV2	0	0	0.480	0	0.077	0.506	0	0.105	0.759
AAEL003407	AAEL014033	7159.Q17FE8	7159.Q16HG5	0	0	0.394	0	0	0	0	0.538	0.708
AAEL003407	AAEL006555	7159.Q17FE8	7159.Q175T7	0	0	0	0	0.077	0.506	0	0.105	0.556
AAEL003407	AAEL003979	7159.Q17FE8	7159.Q17E15	0	0	0.461	0	0	0	0	0.538	0.740
AAEL003407	AAEL003414	7159.Q17FE8	7159.Q17FE9	0	0.679	0	0	0	0	0	0	0.679
AAEL003414	J9HZV2_AEDAE	7159.Q17FE9	7159.J9HZV2	0	0	0	0	0.077	0.506	0	0.105	0.556
AAEL003414	AAEL014033	7159.Q17FE9	7159.Q16HG5	0	0	0	0	0	0	0	0.538	0.538
AAEL003414	AAEL006555	7159.Q17FE9	7159.Q175T7	0	0	0	0	0.077	0.506	0	0.105	0.556
AAEL003414	AAEL003979	7159.Q17FE9	7159.Q17E15	0	0	0	0	0	0	0	0.538	0.538
AAEL003979	J9HZV2_AEDAE	7159.Q17E15	7159.J9HZV2	0	0	0.434	0	0.070	0.080	0	0.536	0.745
AAEL003979	AAEL006555	7159.Q17E15	7159.Q175T7	0	0	0	0	0.070	0.080	0	0.536	0.568
AAEL003989	AAEL007659	7159.Q17E14	7159.Q171F9	0	0	0	0	0	0.638	0.213	0.159	0.739
AAEL004389	AAEL006074	7159.Q17CX9	7159.Q177N4	0	0	0	0	0	0	0	0.482	0.482
AAEL004715	AAEL010226	7159.Q17C29	7159.Q16TH4	0	0	0	0	0	0	0	0.439	0.439
AAEL005014	AAEL012513	7159.Q17B94	7159.Q16LV3	0	0	0	0	0	0.312	0	0.215	0.436
AAEL005246	AAEL005247	7159.Q17AN7	7159.Q17AN8	0	0.887	0	0	0	0	0	0	0.887
AAEL005824	AAEL005836	7159.Q178M8	7159.Q178M9	0	0.894	0	0	0	0	0	0	0.894
AAEL006555	J9HZV2_AEDAE	7159.Q175T7	7159.J9HZV2	0	0.812	0	0	0	0	0	0	0.812
AAEL006555	AAEL014033	7159.Q175T7	7159.Q16HG5	0	0	0	0	0.070	0.080	0	0.536	0.568
AAEL008122	AAEL011576	7159.Q16ZQ0	7159.Q16PQ3	0	0.899	0	0	0	0	0	0	0.899
AAEL008816	AAEL012657	7159.Q16XQ1	7159.Q16LF8	0	0	0	0	0	0	0.376	0.131	0.434
AAEL008816	AAEL009304	7159.Q16XQ1	7159.Q16WA7	0	0	0	0	0	0	0.376	0.131	0.434
AAEL010124	J9HZD6_AEDAE	7159.Q16TV2	7159.J9HZD6	0	0.900	0.467	0	0	0	0	0	0.944
AAEL010124	AAEL013849	7159.Q16TV2	7159.Q16HZ8	0	0	0	0	0	0	0.900	0.100	0.906
AAEL011469	AAEL011479	7159.Q16PZ1	7159.Q16PZ2	0	0.883	0	0	0	0	0	0	0.883
AAEL014033	J9HZV2_AEDAE	7159.Q16HG5	7159.J9HZV2	0	0	0.348	0	0.070	0.080	0	0.536	0.706
