"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL012925-RB","AAEL012925","Q16J28","aae-miR-1175-3p",-23.24,544,568,173
"AAEL012925-RB","AAEL012925","Q16KP3","aae-miR-1175-3p",-23.24,544,568,173
"AAEL012925-RB","AAEL012925","A0A0P6IV40","aae-miR-1175-3p",-23.24,544,568,173
"AAEL008292-RA","AAEL008292","A0A1S4FJ63","aae-miR-1175-3p",-21.81,346,370,172
"AAEL008292-RB","AAEL008292","UPI000B77E124","aae-miR-1175-3p",-21.81,346,370,172
"AAEL008292-RC","AAEL008292","Q16Z71","aae-miR-1175-3p",-21.81,346,370,172
"AAEL008292-RF","AAEL008292","UPI000B7753E2","aae-miR-1175-3p",-21.81,426,450,172
"AAEL019696-RA","AAEL019696","A0A1S4F317","aae-miR-1175-3p",-20.11,489,511,172
"AAEL019696-RA","AAEL019696","Q17GW3","aae-miR-1175-3p",-20.11,489,511,172
"AAEL019696-RB","AAEL019696","Q17GW2","aae-miR-1175-3p",-20.11,489,511,172
"AAEL002055-RA","AAEL002055","Q17JE9","aae-miR-1175-3p",-22.62,926,949,171
"AAEL004559-RE","AAEL004559","UPI000937A841","aae-miR-1175-3p",-23.26,2975,3000,170
"AAEL004559-RF","AAEL004559","UPI000936EDAA","aae-miR-1175-3p",-23.26,3042,3067,170
"AAEL004559-RH","AAEL004559","UPI0009371A80","aae-miR-1175-3p",-23.26,3042,3067,170
"AAEL004559-RK","AAEL004559","UPI00093616D8","aae-miR-1175-3p",-23.26,2975,3000,170
"AAEL027899-RA","AAEL027899","UPI000B779C37","aae-miR-1175-3p",-17.61,478,501,170
"AAEL002572-RA","AAEL002572","Q17HX1","aae-miR-1175-3p",-23.69,661,684,167
"AAEL008090-RA","AAEL008090","Q16ZR9","aae-miR-1175-3p",-26.61,1856,1879,166
"AAEL008090-RA","AAEL008090","A0A1S4FIQ8","aae-miR-1175-3p",-26.61,1856,1879,166
"AAEL008090-RA","AAEL008090","Q16IF5","aae-miR-1175-3p",-26.61,1856,1879,166
"AAEL008090-RA","AAEL008090","A0A1S4G051","aae-miR-1175-3p",-26.61,1856,1879,166
"AAEL008090-RB","AAEL008090","UPI000B78473E","aae-miR-1175-3p",-26.61,1856,1879,166
"AAEL027527-RA","AAEL027527","UPI000B78183E","aae-miR-1175-3p",-24.64,175,198,166
"AAEL027527-RB","AAEL027527","Q172U5","aae-miR-1175-3p",-24.64,175,198,166
"AAEL027527-RB","AAEL027527","Q17I09","aae-miR-1175-3p",-24.64,175,198,166
"AAEL027527-RC","AAEL027527","UPI000B773ECE","aae-miR-1175-3p",-24.64,175,198,166
"AAEL027527-RD","AAEL027527","UPI000B778904","aae-miR-1175-3p",-24.64,175,198,166
"AAEL026039-RA","AAEL026039","UPI000B76F0D0","aae-miR-1175-3p",-24.24,124,145,166
"AAEL021054-RC","AAEL021054","Q16GV9","aae-miR-1175-3p",-19.32,132,154,166
"AAEL021054-RC","AAEL021054","A0A1S4G1U4","aae-miR-1175-3p",-19.32,132,154,166
"AAEL011320-RA","AAEL011320","Q16QE3","aae-miR-1175-3p",-28.77,20,48,164
"AAEL025717-RB","AAEL025717","UPI000B785FF2","aae-miR-1175-3p",-21.67,407,433,164
"AAEL025717-RA","AAEL025717","A0A0P6IW36","aae-miR-1175-3p",-20.02,398,424,164
"AAEL025717-RA","AAEL025717","Q16LJ5","aae-miR-1175-3p",-20.02,398,424,164
"AAEL010712-RA","AAEL010712","A0A1S4FRK7","aae-miR-1175-3p",-24.64,3369,3395,163
"AAEL010712-RB","AAEL010712","Q16S43","aae-miR-1175-3p",-24.64,3369,3395,163
"AAEL017184-RB","AAEL017184","J9HYT2","aae-miR-1175-3p",-15.71,632,655,163
"AAEL017184-RB","AAEL017184","A0A0P6IW23","aae-miR-1175-3p",-15.71,632,655,163
"AAEL020889-RA","AAEL020889","Q17BU4","aae-miR-1175-3p",-14.7,148,171,163
"AAEL017301-RA","AAEL017301","J9HYQ9","aae-miR-1175-3p",-31.16,1328,1351,162
"AAEL004875-RA","AAEL004875","A0A1S4F8W1","aae-miR-1175-3p",-23.4,499,524,162
"AAEL004875-RC","AAEL004875","Q17BQ9","aae-miR-1175-3p",-23.4,499,524,162
"AAEL004875-RC","AAEL004875","A0A0P6ISR2","aae-miR-1175-3p",-23.4,499,524,162
"AAEL023253-RA","AAEL023253","UPI000B785C03","aae-miR-1175-3p",-22.49,755,778,162
"AAEL023253-RC","AAEL023253","Q175L9","aae-miR-1175-3p",-22.49,755,778,162
"AAEL001604-RB","AAEL001604","UPI000B78ECBF","aae-miR-1175-3p",-20.05,125,147,162
"AAEL001604-RC","AAEL001604","A0A0P6ITS9","aae-miR-1175-3p",-20.05,125,147,162
"AAEL001604-RC","AAEL001604","Q17KQ1","aae-miR-1175-3p",-20.05,125,147,162
"AAEL022465-RA","AAEL022465","Q172E7","aae-miR-1175-3p",-15.75,431,454,162
"AAEL007736-RB","AAEL007736","Q16JF2","aae-miR-1175-3p",-20.97,419,444,161
"AAEL026867-RA","AAEL026867","UPI000B77ECCC","aae-miR-1175-3p",-20.29,89,111,161
"AAEL026867-RB","AAEL026867","A0A0P6IUA9","aae-miR-1175-3p",-20.29,89,111,161
"AAEL026867-RC","AAEL026867","UPI000B77C457","aae-miR-1175-3p",-20.29,89,111,161
"AAEL026867-RD","AAEL026867","UPI000B79348F","aae-miR-1175-3p",-20.29,89,111,161
"AAEL019794-RA","AAEL019794","UPI000B79728B","aae-miR-1175-3p",-19.64,158,182,161
"AAEL019794-RC","AAEL019794","Q17AG5","aae-miR-1175-3p",-19.64,158,182,161
"AAEL019794-RC","AAEL019794","Q16ND4","aae-miR-1175-3p",-19.64,158,182,161
"AAEL002838-RA","AAEL002838","Q17GZ7","aae-miR-1175-3p",-19.43,50,73,161
"AAEL002838-RA","AAEL002838","A0A1S4F2W0","aae-miR-1175-3p",-19.43,50,73,161
"AAEL005651-RA","AAEL005651","Q179F9","aae-miR-1175-3p",-19.17,507,532,161
