"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"J9HZV2","Aedes aegypti","CL:19623","Mixed, incl. RNA binding protein fox-1 homolog 1-like, and H zone",6,10,1.75,1.24,2.71e-05,"J9HZV2_AEDAE","AAEL017168-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","nucleotide binding","RBFOX2","Fox-1_C,RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HG5","Aedes aegypti","CL:19623","Mixed, incl. RNA binding protein fox-1 homolog 1-like, and H zone",6,10,1.75,1.24,2.71e-05,"AAEL014033","AAEL014033-PA.",NA,NA,NA,"RNA binding","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","CELF3","RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q175T7","Aedes aegypti","CL:19623","Mixed, incl. RNA binding protein fox-1 homolog 1-like, and H zone",6,10,1.75,1.24,2.71e-05,"AAEL006555","AAEL006555-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","nucleotide binding","RBFOX2","Fox-1_C,RRM_1",NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17E15","Aedes aegypti","CL:19623","Mixed, incl. RNA binding protein fox-1 homolog 1-like, and H zone",6,10,1.75,1.24,2.71e-05,"AAEL003979","Deadenylation factor EDEN-BP, putative.",NA,NA,NA,"mRNA binding","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","CELF3","RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FE8","Aedes aegypti","CL:19623","Mixed, incl. RNA binding protein fox-1 homolog 1-like, and H zone",6,10,1.75,1.24,2.71e-05,"AAEL003407","AAEL003407-PA.",NA,NA,NA,"mRNA 3'-UTR binding","RNA recognition motif",NA,"RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FE9","Aedes aegypti","CL:19623","Mixed, incl. RNA binding protein fox-1 homolog 1-like, and H zone",6,10,1.75,1.24,2.71e-05,"AAEL003414","AAEL003414-PA.",NA,NA,NA,NA,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",NA,"RRM_1",NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HZV2","Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"J9HZV2_AEDAE","AAEL017168-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","nucleotide binding","RBFOX2","Fox-1_C,RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q175T7","Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"AAEL006555","AAEL006555-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","nucleotide binding","RBFOX2","Fox-1_C,RRM_1",NA,NA,"Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17E15","Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"AAEL003979","Deadenylation factor EDEN-BP, putative.",NA,NA,NA,"mRNA binding","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","CELF3","RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FE8","Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"AAEL003407","AAEL003407-PA.",NA,NA,NA,"mRNA 3'-UTR binding","RNA recognition motif",NA,"RRM_1","RNA recognition motif domain","RNA recognition motif","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
