#node	identifier	category	term ID	term description
MED19	7160.A0A182H615	GO Process	GO:0006355	Regulation of transcription, DNA-templated
MED19	7160.A0A182H615	GO Process	GO:0006357	Regulation of transcription by RNA polymerase II
MED19	7160.A0A182H615	GO Process	GO:0009889	Regulation of biosynthetic process
MED19	7160.A0A182H615	GO Process	GO:0010468	Regulation of gene expression
MED19	7160.A0A182H615	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
MED19	7160.A0A182H615	GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process
MED19	7160.A0A182H615	GO Process	GO:0019222	Regulation of metabolic process
MED19	7160.A0A182H615	GO Process	GO:0031323	Regulation of cellular metabolic process
MED19	7160.A0A182H615	GO Process	GO:0031326	Regulation of cellular biosynthetic process
MED19	7160.A0A182H615	GO Process	GO:0050789	Regulation of biological process
MED19	7160.A0A182H615	GO Process	GO:0050794	Regulation of cellular process
MED19	7160.A0A182H615	GO Process	GO:0051171	Regulation of nitrogen compound metabolic process
MED19	7160.A0A182H615	GO Process	GO:0051252	Regulation of RNA metabolic process
MED19	7160.A0A182H615	GO Process	GO:0060255	Regulation of macromolecule metabolic process
MED19	7160.A0A182H615	GO Process	GO:0065007	Biological regulation
MED19	7160.A0A182H615	GO Process	GO:0080090	Regulation of primary metabolic process
MED19	7160.A0A182H615	GO Process	GO:1903506	Regulation of nucleic acid-templated transcription
MED19	7160.A0A182H615	GO Process	GO:2001141	Regulation of RNA biosynthetic process
MED19	7160.A0A182H615	GO Function	GO:0003712	Transcription coregulator activity
MED19	7160.A0A182H615	GO Function	GO:0140110	Transcription regulator activity
MED19	7160.A0A182H615	GO Component	GO:0005622	Intracellular anatomical structure
MED19	7160.A0A182H615	GO Component	GO:0005634	Nucleus
MED19	7160.A0A182H615	GO Component	GO:0016592	Mediator complex
MED19	7160.A0A182H615	GO Component	GO:0032991	Protein-containing complex
MED19	7160.A0A182H615	GO Component	GO:0043226	Organelle
MED19	7160.A0A182H615	GO Component	GO:0043227	Membrane-bounded organelle
MED19	7160.A0A182H615	GO Component	GO:0043229	Intracellular organelle
MED19	7160.A0A182H615	GO Component	GO:0043231	Intracellular membrane-bounded organelle
MED19	7160.A0A182H615	GO Component	GO:0110165	Cellular anatomical entity
MED19	7160.A0A182H615	GO Component	GO:0140513	Nuclear protein-containing complex
MED19	7160.A0A182H615	STRING clusters	CL:13831	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13834	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13836	Cytochrome P450, and Mediator complex
MED19	7160.A0A182H615	STRING clusters	CL:13839	Cytochrome P450, and Mediator complex
