"X.query","uniprot_id","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"tr|Q16LG8|Q16LG8_AEDAE","Q16LG8","7159.AAEL012655-PA","8.16e-303","826","KOG0254@1|root,KOG0254@2759|Eukaryota,39VSB@33154|Opisthokonta,3BM3T@33208|Metazoa,3D5F3@33213|Bilateria,41XDS@6656|Arthropoda,3SJR9@50557|Insecta,4563M@7147|Diptera,45F90@7148|Nematocera","33208|Metazoa","P","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family",NA,NA,NA,"ko:K08145,ko:K14258",NA,NA,NA,NA,"ko00000,ko02000","2.A.1.1,2.A.1.1.46",NA,NA,"Sugar_tr"
"tr|Q1DGK7|Q1DGK7_AEDAE","Q1DGK7","7159.AAEL012561-PA","4.83e-288","806","KOG4331@1|root,KOG4331@2759|Eukaryota,39RQ5@33154|Opisthokonta,3BCE4@33208|Metazoa,3CY1Z@33213|Bilateria,41XE1@6656|Arthropoda,3SIW4@50557|Insecta,44WQY@7147|Diptera,45F4A@7148|Nematocera","33208|Metazoa","S","Prominin","PROM1","GO:0000902,GO:0001654,GO:0001655,GO:0001750,GO:0001754,GO:0001822,GO:0001894,GO:0001895,GO:0003407,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005793,GO:0005886,GO:0005887,GO:0005902,GO:0005903,GO:0005929,GO:0007275,GO:0007399,GO:0007423,GO:0008092,GO:0008150,GO:0009653,GO:0009887,GO:0009888,GO:0009986,GO:0009987,GO:0010842,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016324,GO:0022008,GO:0030030,GO:0030154,GO:0030182,GO:0030855,GO:0030856,GO:0030858,GO:0031090,GO:0031175,GO:0031224,GO:0031226,GO:0031253,GO:0031982,GO:0032420,GO:0032421,GO:0032501,GO:0032502,GO:0032835,GO:0032989,GO:0032990,GO:0035850,GO:0042592,GO:0042622,GO:0042805,GO:0042995,GO:0043005,GO:0043010,GO:0043226,GO:0043227,GO:0043229,GO:0043230,GO:0043231,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044441,GO:0044444,GO:0044459,GO:0044463,GO:0044464,GO:0045177,GO:0045296,GO:0045494,GO:0045595,GO:0045597,GO:0046530,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048592,GO:0048593,GO:0048646,GO:0048666,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048871,GO:0050789,GO:0050793,GO:0050794,GO:0050839,GO:0051094,GO:0051239,GO:0051240,GO:0060041,GO:0060042,GO:0060170,GO:0060219,GO:0060249,GO:0060429,GO:0061005,GO:0061318,GO:0065007,GO:0065008,GO:0070062,GO:0071840,GO:0071914,GO:0071944,GO:0072001,GO:0072006,GO:0072009,GO:0072010,GO:0072073,GO:0072112,GO:0072139,GO:0072182,GO:0072311,GO:0090183,GO:0090184,GO:0090596,GO:0097458,GO:0097730,GO:0097731,GO:0097733,GO:0098588,GO:0098590,GO:0098858,GO:0098862,GO:0120025,GO:0120036,GO:0120038,GO:0120039,GO:1903561,GO:2000026,GO:2000696,GO:2000698,GO:2000768",NA,"ko:K06532","ko05202,map05202",NA,NA,NA,"ko00000,ko00001,ko04090,ko04147",NA,NA,NA,"Prominin"
"tr|Q17EP1|Q17EP1_AEDAE","Q17EP1","7159.AAEL003733-PA","0","2306","KOG1871@1|root,KOG1871@2759|Eukaryota,38D2C@33154|Opisthokonta,3BE30@33208|Metazoa,3CUMU@33213|Bilateria,41XDE@6656|Arthropoda,3SJER@50557|Insecta,44ZGI@7147|Diptera,45BYC@7148|Nematocera","33208|Metazoa","O","Belongs to the peptidase C19 family","USP10","GO:0000731,GO:0002039,GO:0003674,GO:0003824,GO:0004175,GO:0004197,GO:0004843,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005768,GO:0005769,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006301,GO:0006464,GO:0006508,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0008593,GO:0009058,GO:0009059,GO:0009894,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010033,GO:0010506,GO:0010646,GO:0010647,GO:0010648,GO:0012505,GO:0016579,GO:0016787,GO:0018130,GO:0019222,GO:0019438,GO:0019538,GO:0019783,GO:0019985,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030330,GO:0031323,GO:0031329,GO:0031410,GO:0031974,GO:0031981,GO:0031982,GO:0032991,GO:0033554,GO:0034097,GO:0034641,GO:0034645,GO:0034654,GO:0035556,GO:0036211,GO:0036459,GO:0042221,GO:0042770,GO:0043122,GO:0043124,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044325,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045747,GO:0046483,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0070011,GO:0070013,GO:0070555,GO:0070646,GO:0070647,GO:0070887,GO:0071310,GO:0071345,GO:0071347,GO:0071704,GO:0071897,GO:0072331,GO:0090304,GO:0097708,GO:0101005,GO:0140096,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1902531,GO:1902532","3.4.19.12","ko:K11841,ko:K13958","ko04139,map04139",NA,NA,NA,"ko00000,ko00001,ko01000,ko01002,ko04121",NA,NA,NA,"PAM2,UCH"
"tr|Q16SL7|Q16SL7_AEDAE","Q16SL7","7159.AAEL010555-PA","0","1665","KOG2588@1|root,KOG2588@2759|Eukaryota,39IEW@33154|Opisthokonta,3BABD@33208|Metazoa,3CRAA@33213|Bilateria,41U6N@6656|Arthropoda,3SIRA@50557|Insecta,451DJ@7147|Diptera,45GUP@7148|Nematocera","33208|Metazoa","K","Sterol regulatory element-binding","SREBF2","GO:0000003,GO:0000122,GO:0000139,GO:0000902,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0001012,GO:0001067,GO:0001077,GO:0001078,GO:0001101,GO:0001227,GO:0001228,GO:0001889,GO:0002027,GO:0002791,GO:0002792,GO:0003062,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003700,GO:0004879,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005654,GO:0005737,GO:0005739,GO:0005783,GO:0005789,GO:0005794,GO:0005798,GO:0005829,GO:0006066,GO:0006082,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006629,GO:0006631,GO:0006633,GO:0006725,GO:0006807,GO:0006950,GO:0006984,GO:0006991,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007276,GO:0007283,GO:0007568,GO:0007623,GO:0008016,GO:0008022,GO:0008047,GO:0008150,GO:0008152,GO:0008202,GO:0008203,GO:0008286,GO:0008340,GO:0008610,GO:0009058,GO:0009059,GO:0009267,GO:0009299,GO:0009605,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009743,GO:0009746,GO:0009749,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010243,GO:0010259,GO:0010288,GO:0010467,GO:0010468,GO:0010506,GO:0010556,GO:0010557,GO:0010558,GO:0010565,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010638,GO:0010646,GO:0010648,GO:0010817,GO:0010821,GO:0010866,GO:0010867,GO:0010874,GO:0010883,GO:0010884,GO:0010885,GO:0010886,GO:0010893,GO:0012505,GO:0012506,GO:0012507,GO:0014070,GO:0014074,GO:0016020,GO:0016021,GO:0016043,GO:0016053,GO:0016070,GO:0016071,GO:0016125,GO:0018130,GO:0019216,GO:0019217,GO:0019218,GO:0019219,GO:0019222,GO:0019438,GO:0019752,GO:0019899,GO:0019900,GO:0019901,GO:0019953,GO:0022414,GO:0023051,GO:0023052,GO:0023057,GO:0030133,GO:0030134,GO:0030135,GO:0030154,GO:0030176,GO:0030234,GO:0030323,GO:0030324,GO:0030425,GO:0030522,GO:0030658,GO:0030659,GO:0030660,GO:0030662,GO:0031056,GO:0031058,GO:0031063,GO:0031065,GO:0031090,GO:0031224,GO:0031227,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031329,GO:0031399,GO:0031401,GO:0031410,GO:0031647,GO:0031667,GO:0031668,GO:0031669,GO:0031965,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0031982,GO:0031984,GO:0032094,GO:0032268,GO:0032270,GO:0032368,GO:0032369,GO:0032371,GO:0032372,GO:0032374,GO:0032375,GO:0032386,GO:0032501,GO:0032502,GO:0032504,GO:0032526,GO:0032570,GO:0032774,GO:0032787,GO:0032810,GO:0032868,GO:0032869,GO:0032870,GO:0032879,GO:0032880,GO:0032933,GO:0032937,GO:0032989,GO:0032991,GO:0033043,GO:0033044,GO:0033157,GO:0033554,GO:0033762,GO:0033993,GO:0034059,GO:0034284,GO:0034405,GO:0034616,GO:0034641,GO:0034645,GO:0034654,GO:0035295,GO:0036293,GO:0036477,GO:0040008,GO:0040011,GO:0040014,GO:0042175,GO:0042221,GO:0042304,GO:0042493,GO:0042592,GO:0042594,GO:0042632,GO:0042789,GO:0042995,GO:0043005,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043434,GO:0043436,GO:0043565,GO:0044057,GO:0044093,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044271,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044431,GO:0044432,GO:0044433,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044877,GO:0045444,GO:0045540,GO:0045542,GO:0045723,GO:0045834,GO:0045892,GO:0045893,GO:0045923,GO:0045934,GO:0045935,GO:0045940,GO:0045944,GO:0046394,GO:0046483,GO:0046676,GO:0046683,GO:0046883,GO:0046888,GO:0046889,GO:0046890,GO:0048232,GO:0048511,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048609,GO:0048638,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0048878,GO:0050708,GO:0050709,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050796,GO:0050801,GO:0050810,GO:0050896,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051223,GO:0051224,GO:0051239,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051254,GO:0051591,GO:0051704,GO:0051716,GO:0055081,GO:0055088,GO:0055089,GO:0055092,GO:0055094,GO:0060255,GO:0060341,GO:0060541,GO:0061008,GO:0062012,GO:0062013,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070201,GO:0070482,GO:0070542,GO:0070887,GO:0070888,GO:0071229,GO:0071310,GO:0071375,GO:0071396,GO:0071398,GO:0071402,GO:0071404,GO:0071417,GO:0071495,GO:0071496,GO:0071498,GO:0071499,GO:0071501,GO:0071704,GO:0071840,GO:0072330,GO:0072367,GO:0072368,GO:0080090,GO:0090087,GO:0090181,GO:0090205,GO:0090207,GO:0090208,GO:0090276,GO:0090278,GO:0090304,GO:0090311,GO:0090312,GO:0090370,GO:0097159,GO:0097447,GO:0097458,GO:0097659,GO:0097708,GO:0098531,GO:0098588,GO:0098772,GO:0098791,GO:0098796,GO:0098805,GO:0098827,GO:0106118,GO:0106120,GO:0120025,GO:0120038,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901615,GO:1901652,GO:1901653,GO:1901654,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902275,GO:1902652,GO:1902679,GO:1902680,GO:1902893,GO:1902895,GO:1902930,GO:1902932,GO:1903146,GO:1903214,GO:1903506,GO:1903507,GO:1903508,GO:1903522,GO:1903530,GO:1903531,GO:1903533,GO:1903747,GO:1903827,GO:1904950,GO:1905269,GO:1905952,GO:1905953,GO:1905954,GO:1990837,GO:2000112,GO:2000113,GO:2001141,GO:2001252",NA,"ko:K07197,ko:K09107","ko04152,ko04910,ko04931,ko04932,map04152,map04910,map04931,map04932",NA,NA,NA,"ko00000,ko00001,ko03000,ko04131",NA,NA,NA,"HLH"
"tr|Q171W2|Q171W2_AEDAE","Q171W2","7159.AAEL007508-PA","7.06e-217","597","COG5640@1|root,KOG3627@2759|Eukaryota,38FR4@33154|Opisthokonta,3BEIG@33208|Metazoa,3D134@33213|Bilateria,41VHS@6656|Arthropoda,3SK60@50557|Insecta,4563D@7147|Diptera,45BIX@7148|Nematocera","33208|Metazoa","O","Belongs to the peptidase S1 family",NA,"GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564",NA,"ko:K09640",NA,NA,NA,NA,"ko00000,ko01000,ko01002",NA,NA,NA,"Trypsin"
"tr|Q16U90|Q16U90_AEDAE","Q16U90","7159.AAEL009987-PA","0","1177","COG1525@1|root,KOG2039@2759|Eukaryota,3A70W@33154|Opisthokonta,3BUDG@33208|Metazoa,3D9Z1@33213|Bilateria,421EC@6656|Arthropoda,3SPP3@50557|Insecta,453X7@7147|Diptera,45E2R@7148|Nematocera","33208|Metazoa","L","Tudor domain",NA,"GO:0000003,GO:0003002,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006417,GO:0006996,GO:0007049,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007308,GO:0007309,GO:0007310,GO:0007319,GO:0007389,GO:0008150,GO:0009798,GO:0009889,GO:0009890,GO:0009892,GO:0009950,GO:0009953,GO:0009987,GO:0009994,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0016043,GO:0017148,GO:0019222,GO:0019953,GO:0021700,GO:0022402,GO:0022412,GO:0022414,GO:0030154,GO:0030717,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0034248,GO:0034249,GO:0035770,GO:0036464,GO:0043186,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0045495,GO:0046011,GO:0048468,GO:0048469,GO:0048471,GO:0048477,GO:0048519,GO:0048523,GO:0048599,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0051276,GO:0051321,GO:0051704,GO:0060255,GO:0060293,GO:0061982,GO:0061988,GO:0065007,GO:0070192,GO:0071840,GO:0080090,GO:1903046,GO:1990904,GO:2000112,GO:2000113",NA,"ko:K18405,ko:K18413",NA,NA,NA,NA,"ko00000,ko03036",NA,NA,NA,"TUDOR"
"tr|Q16M45|Q16M45_AEDAE","Q16M45","7159.AAEL012429-PA","1e-174","488","COG5069@1|root,KOG4678@2759|Eukaryota,39T4V@33154|Opisthokonta,3BJGV@33208|Metazoa,3CS2T@33213|Bilateria,42019@6656|Arthropoda,3SZ7X@50557|Insecta,458PZ@7147|Diptera","33208|Metazoa","Z","Smoothelin cytoskeleton protein","SMTN","GO:0003008,GO:0003012,GO:0003013,GO:0003073,GO:0003085,GO:0003674,GO:0003779,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0006936,GO:0006937,GO:0006939,GO:0006942,GO:0007275,GO:0007498,GO:0007517,GO:0008015,GO:0008016,GO:0008092,GO:0008150,GO:0008217,GO:0008307,GO:0009888,GO:0015629,GO:0032501,GO:0032502,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044057,GO:0044424,GO:0044464,GO:0045776,GO:0045823,GO:0045933,GO:0045989,GO:0048513,GO:0048518,GO:0048731,GO:0048856,GO:0050789,GO:0051239,GO:0051240,GO:0055117,GO:0060452,GO:0061061,GO:0065007,GO:0065008,GO:0090257,GO:1903522,GO:1903524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CH,Smoothelin"
"tr|Q16ZN0|Q16ZN0_AEDAE","Q16ZN0","7159.AAEL008149-PA","1.99e-40","133","KOG4138@1|root,KOG4138@2759|Eukaryota,3A87G@33154|Opisthokonta,3BU0B@33208|Metazoa,3DASW@33213|Bilateria,421I4@6656|Arthropoda,3SPWZ@50557|Insecta,454P4@7147|Diptera","33208|Metazoa","S","Cytochrome c oxidase assembly factor 4 homolog, mitochondrial-like","COA4","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005758,GO:0006996,GO:0007005,GO:0008150,GO:0008535,GO:0009987,GO:0016043,GO:0017004,GO:0022607,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0033108,GO:0033617,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0065003,GO:0070013,GO:0071840",NA,"ko:K18177","ko04714,map04714",NA,NA,NA,"ko00000,ko00001,ko03029",NA,NA,NA,"CHCH"
"tr|Q17DL2|Q17DL2_AEDAE","Q17DL2","7159.AAEL004133-PA","0","2630","KOG3515@1|root,KOG3515@2759|Eukaryota,38F8P@33154|Opisthokonta,3BN19@33208|Metazoa,3D374@33213|Bilateria,41Y36@6656|Arthropoda,3SG6P@50557|Insecta,4507S@7147|Diptera,45DZI@7148|Nematocera","33208|Metazoa","T","Echinoid","igcm-1","GO:0000003,GO:0001654,GO:0001700,GO:0001736,GO:0001738,GO:0001745,GO:0001763,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0002165,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005911,GO:0005912,GO:0005913,GO:0006950,GO:0006996,GO:0007010,GO:0007015,GO:0007154,GO:0007155,GO:0007156,GO:0007163,GO:0007164,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007173,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007304,GO:0007306,GO:0007389,GO:0007391,GO:0007399,GO:0007423,GO:0007424,GO:0007444,GO:0007472,GO:0007476,GO:0007517,GO:0007552,GO:0007560,GO:0008150,GO:0008360,GO:0009611,GO:0009653,GO:0009790,GO:0009791,GO:0009792,GO:0009886,GO:0009887,GO:0009888,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0009996,GO:0010453,GO:0010454,GO:0010646,GO:0010647,GO:0010648,GO:0010721,GO:0010927,GO:0016020,GO:0016021,GO:0016043,GO:0016318,GO:0016331,GO:0019953,GO:0022008,GO:0022412,GO:0022414,GO:0022603,GO:0022604,GO:0022607,GO:0022610,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030029,GO:0030036,GO:0030038,GO:0030054,GO:0030154,GO:0030703,GO:0030707,GO:0030855,GO:0031224,GO:0032501,GO:0032502,GO:0032504,GO:0032956,GO:0032970,GO:0032989,GO:0033043,GO:0035107,GO:0035114,GO:0035120,GO:0035146,GO:0035147,GO:0035157,GO:0035220,GO:0035239,GO:0035295,GO:0035330,GO:0035332,GO:0038127,GO:0042058,GO:0042059,GO:0042060,GO:0042067,GO:0042659,GO:0044085,GO:0044425,GO:0044464,GO:0044703,GO:0045595,GO:0045596,GO:0046843,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048569,GO:0048583,GO:0048584,GO:0048585,GO:0048592,GO:0048598,GO:0048609,GO:0048644,GO:0048646,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048749,GO:0048754,GO:0048856,GO:0048869,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051017,GO:0051093,GO:0051128,GO:0051239,GO:0051241,GO:0051493,GO:0051704,GO:0051716,GO:0051960,GO:0051961,GO:0060284,GO:0060429,GO:0060446,GO:0060541,GO:0060562,GO:0061061,GO:0061138,GO:0061572,GO:0065007,GO:0065008,GO:0070161,GO:0071840,GO:0071944,GO:0090138,GO:0090596,GO:0097435,GO:0098609,GO:0098742,GO:1901184,GO:1901185,GO:1902531,GO:1902533,GO:2000026",NA,"ko:K06491,ko:K16680","ko04391,ko04514,ko05020,map04391,map04514,map05020",NA,NA,NA,"ko00000,ko00001,ko00536,ko00537,ko04090,ko04131,ko04516,ko04812",NA,NA,NA,"C2-set_2,I-set,Ig_3,V-set,fn3,ig"
"tr|Q16YZ9|Q16YZ9_AEDAE","Q16YZ9","7159.AAEL008372-PA","2.24e-190","527","COG3119@1|root,KOG3731@2759|Eukaryota,38FCG@33154|Opisthokonta,3BBI1@33208|Metazoa,3CU4U@33213|Bilateria,41V6X@6656|Arthropoda,3SINX@50557|Insecta,455PD@7147|Diptera,45D40@7148|Nematocera","33208|Metazoa","G","Sulfatase","SULF1","GO:0000902,GO:0000904,GO:0001501,GO:0001502,GO:0001655,GO:0001817,GO:0001819,GO:0001822,GO:0001889,GO:0001936,GO:0001937,GO:0002062,GO:0002063,GO:0003002,GO:0003008,GO:0003012,GO:0003014,GO:0003094,GO:0003156,GO:0003674,GO:0003824,GO:0004065,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0005795,GO:0005886,GO:0006022,GO:0006029,GO:0006082,GO:0006355,GO:0006357,GO:0006790,GO:0006807,GO:0006928,GO:0006935,GO:0006936,GO:0006939,GO:0006950,GO:0007154,GO:0007155,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007389,GO:0007399,GO:0007409,GO:0007411,GO:0007444,GO:0007447,GO:0007450,GO:0008037,GO:0008038,GO:0008039,GO:0008045,GO:0008146,GO:0008150,GO:0008152,GO:0008284,GO:0008285,GO:0008449,GO:0008484,GO:0008589,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009605,GO:0009611,GO:0009653,GO:0009790,GO:0009792,GO:0009887,GO:0009888,GO:0009889,GO:0009953,GO:0009966,GO:0009967,GO:0009968,GO:0009986,GO:0009987,GO:0010468,GO:0010556,GO:0010574,GO:0010575,GO:0010646,GO:0010647,GO:0010648,GO:0012505,GO:0014831,GO:0014846,GO:0015012,GO:0015015,GO:0016020,GO:0016043,GO:0016201,GO:0016525,GO:0016740,GO:0016782,GO:0016787,GO:0016788,GO:0017095,GO:0019219,GO:0019222,GO:0019538,GO:0021675,GO:0022008,GO:0022603,GO:0022610,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030030,GO:0030111,GO:0030154,GO:0030166,GO:0030177,GO:0030178,GO:0030182,GO:0030198,GO:0030201,GO:0030202,GO:0030203,GO:0030334,GO:0030336,GO:0030510,GO:0030513,GO:0031099,GO:0031100,GO:0031175,GO:0031323,GO:0031326,GO:0031984,GO:0032501,GO:0032502,GO:0032835,GO:0032836,GO:0032879,GO:0032989,GO:0032990,GO:0034483,GO:0034645,GO:0035107,GO:0035108,GO:0035220,GO:0035222,GO:0035295,GO:0035860,GO:0036022,GO:0040011,GO:0040012,GO:0040013,GO:0040036,GO:0040037,GO:0042058,GO:0042059,GO:0042127,GO:0042221,GO:0042330,GO:0043009,GO:0043062,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044281,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045121,GO:0045765,GO:0045879,GO:0045880,GO:0045992,GO:0045995,GO:0048010,GO:0048190,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048660,GO:0048661,GO:0048666,GO:0048667,GO:0048699,GO:0048705,GO:0048706,GO:0048731,GO:0048732,GO:0048736,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050678,GO:0050680,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0050919,GO:0051093,GO:0051171,GO:0051216,GO:0051239,GO:0051240,GO:0051241,GO:0051252,GO:0051270,GO:0051271,GO:0051716,GO:0060173,GO:0060255,GO:0060348,GO:0060384,GO:0060429,GO:0060685,GO:0060686,GO:0060688,GO:0060828,GO:0061008,GO:0061448,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0071944,GO:0072001,GO:0072006,GO:0080090,GO:0090090,GO:0090092,GO:0090100,GO:0090263,GO:0090287,GO:0090288,GO:0097205,GO:0097421,GO:0097485,GO:0098589,GO:0098743,GO:0098791,GO:0098805,GO:0098857,GO:0120036,GO:0120039,GO:1901135,GO:1901137,GO:1901184,GO:1901185,GO:1901342,GO:1901343,GO:1901564,GO:1901566,GO:1901576,GO:1903506,GO:1903510,GO:1905330,GO:1905331,GO:2000026,GO:2000027,GO:2000112,GO:2000145,GO:2000146,GO:2000181,GO:2000241,GO:2000242,GO:2000345,GO:2001141",NA,"ko:K14607",NA,NA,NA,NA,"ko00000,ko01000",NA,NA,NA,"DUF3740,Sulfatase"
