"uniprot_id","signature_description","interpro_description"
"A0A182GTH0","Glycosyl transferase family 2","Glycosyltransferase 2-like"
"A0A182HC90","Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)","Dolichol phosphate-mannose biosynthesis regulatory"
"A0A182H197","Glycosyl hydrolase family 85","Cytosolic endo-beta-N-acetylglucosaminidase, TIM barrel domain"
"A0A182HDG6","Topoisomerase II-associated protein PAT1","mRNA decay factor PAT1 domain"
"A0A023ED66","Ribosomal protein L36e","Large ribosomal subunit protein eL36"
"A0A182GC25","Fucosyltransferase, N-terminal","Fucosyltransferase, N-terminal"
"UPI0007D62B0F","WD domain, G-beta repeat","WD40 repeat"
"UPI0007D2256D","Integrase zinc binding domain","Integrase zinc-binding domain"
"A0A023EQ67","Serine aminopeptidase, S33","Serine aminopeptidase, S33"
"A0A182GPN4","Neurobeachin-like, DUF1088","Neurobeachin-like, DUF1088"
"UPI0007D24ABE","Mitochondrial ribosomal protein MRP-S35","Small ribosomal subunit protein bS1m"
"A0A182H530","RNase H","Ribonuclease H domain"
"A0A182G0N5","Growth-Arrest-Specific Protein 2 Domain","GAR domain"
"A0A182HAS2","Pleckstrin homology domain","Pleckstrin homology domain 9"
"A0A182GAZ9","Retrotransposon gag protein","Retrotransposon gag domain"
"A0A182H5J7","OTU-like cysteine protease","OTU domain"
"UPI0007D6531F","Hsp90 protein","Heat shock protein Hsp90 family"
"UPI0007D55751","C2H2-type zinc finger","Zinc finger C2H2-type"
"UPI0007D21AEA","Syntaxin-like protein","Syntaxin, N-terminal domain"
"UPI0007D45369","MYND finger","Zinc finger, MYND-type"
"UPI0007D1D433","Nanos RNA binding domain","Zinc finger, nanos-type"
"A0A182GEB4","Glutathione S-transferase, N-terminal domain","Glutathione S-transferase, N-terminal"
"UPI0007D6AC12","Memo-like protein","MEMO1 family"
"A0A182GKQ4","Bromodomain","Bromodomain"
"UPI0007D3B6E2","Rab-GTPase-TBC domain","Rab-GAP-TBC domain"
"UPI0007D13B6C","Roquin II domain","Roquin II"
"UPI0007D3E342","Kelch motif","Kelch repeat type 1"
"A0A023EGI5","Intermembrane space protein MIX23","Intermembrane space protein MIX23"
"A0A182H681","RNase H-like domain found in reverse transcriptase","Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain"
"A0A182HAA6","Cytochrome P450","Cytochrome P450"
"A0A023EID3","ADP-ribosylation factor family","Small GTPase superfamily, ARF/SAR type"
"A0A182H0X1","Protein kinase domain","Protein kinase domain"
"UPI0007D28036","MIF4G domain","MIF4G-like, type 3"
"A0A023EBS4","Complex 1 protein (LYR family)","Complex 1 LYR protein domain"
"A0A182G6N9","Reverse transcriptase (RNA-dependent DNA polymerase)","Reverse transcriptase domain"
"UPI0007D5354F","PAS domain",NA
"UPI0007D68D0E","Protein phosphatase 2C","PPM-type phosphatase-like domain"
"A0A182G5Y8","Calcineurin-like phosphoesterase","Calcineurin-like, phosphoesterase domain"
"A0A182GMZ4","Exonuclease","Ribonuclease H-like domain"
"A0A182HDC1","Poly(A) polymerase predicted RNA binding domain","Poly(A) polymerase, RNA-binding domain"
"UPI0007D1D4B3","RNase H-like domain found in reverse transcriptase","Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain"
"UPI0007D61822","Alcohol dehydrogenase transcription factor Myb/SANT-like","MADF domain"
"A0A182HET5","NB-ARC domain","NB-ARC"
"UPI0007D63967","CRAL/TRIO domain","CRAL-TRIO lipid binding domain"
"UPI0007D42E1B","NLI interacting factor-like phosphatase","FCP1 homology domain"
"A0A182H637","Integrase core domain","Integrase, catalytic core"
"A0A182GP12","Metallopeptidase family M24","Peptidase M24"
"A0A182G5Z9","Variant SH3 domain","SH3 domain"
"A0A182H362","alpha/beta hydrolase fold","Alpha/beta hydrolase fold-1"
"A0A023EQE1","Calcineurin-like phosphoesterase","Calcineurin-like, phosphoesterase domain"
"UPI0007D5511D","Thioredoxin","Thioredoxin domain"
"A0A182G3H7","SOCS box","SOCS box domain"
"A0A182G4S8","Exocyst complex component EXOC6/Sec15, N-terminal","Exocyst complex component EXOC6/Sec15, N-terminal domain"
"UPI0007D5D69B","SNARE domain","Target SNARE coiled-coil homology domain"
"A0A023EMA3","DnaJ domain","DnaJ domain"
"A0A182GM05","Helix-loop-helix DNA-binding domain","Myc-type, basic helix-loop-helix (bHLH) domain"
"A0A182GH02","Ubiquitin carboxyl-terminal hydrolase","Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
"UPI0007D620FD","WD domain, G-beta repeat","WD40 repeat"
"A0A182GYJ6","RNA recognition motif","RNA recognition motif domain"
"UPI0007D36F11","Zinc-finger associated domain (zf-AD)","Zinc finger, AD-type"
"A0A182H959","Ankyrin repeat","Ankyrin repeat"
"UPI0007D0E200","tRNA synthetases class I (I, L, M and V)","Aminoacyl-tRNA synthetase, class Ia"
