microRNA,mRNA,energy,targetStart,targetEnd,score
aal-miR-124,AALF011532-RA.1,-18.44,4203,4224,160
aal-miR-124,AALF011532-RA.1,-17.37,4189,4210,142
aal-miR-124,AALF017035-RA.1,-20.04,799,821,140
aal-miR-124,AALF008961-RA.1,-18.73,219,241,146
aal-miR-124,AALF025948-RA.1,-18.4,13346,13366,141
aal-miR-124,AALF020986-RA.1,-15.03,270,293,142
aal-miR-124,AALF005473-RA.1,-23.38,1069,1092,142
aal-miR-124,AALF021566-RA.1,-14.25,104,125,141
aal-miR-124,AALF001880-RA.1,-19.7,6,29,142
aal-miR-124,AALF027115-RA.1,-25.64,1383,1404,171
aal-miR-124,AALF027115-RA.1,-17.17,10810,10832,150
aal-miR-124,AALF012319-RA.1,-16.25,8294,8317,156
aal-miR-124,AALF012319-RA.1,-19.6,3887,3908,145
aal-miR-124,AALF012319-RA.1,-14.74,16294,16319,142
aal-miR-124,AALF022037-RA.1,-25.34,146,167,150
aal-miR-124,AALF013075-RA.1,-22.45,814,836,155
aal-miR-124,AALF018139-RA.1,-12.6,22,43,141
aal-miR-124,AALF018139-RA.1,-11.72,1,16,140
aal-miR-124,AALF014226-RA.1,-14.68,2370,2394,146
aal-miR-124,AALF008798-RA.1,-22.67,635,656,151
aal-miR-124,AALF004716-RA.1,-17.31,173,194,146
aal-miR-124,AALF007055-RA.1,-19.3,35,57,142
aal-miR-124,AALF023944-RA.1,-19.04,654,679,149
aal-miR-124,AALF012216-RA.1,-21.28,1,20,142
aal-miR-124,AALF003244-RA.1,-16.05,8,29,142
aal-miR-124,AALF013860-RA.1,-18.47,304,325,147
aal-miR-124,AALF004782-RA.1,-18.78,655,675,153
aal-miR-124,AALF009737-RA.1,-19.58,5062,5082,157
aal-miR-124,AALF009737-RA.1,-16.71,6174,6198,146
aal-miR-124,AALF009737-RA.1,-17.66,5208,5228,145
aal-miR-124,AALF014760-RA.1,-25.96,8044,8066,150
aal-miR-124,AALF009525-RA.1,-16.74,59,80,149
