"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF009155-RA","Putative 26s proteasome regulatory complex subunit [Source:UniProtKB/TrEMBL;Acc:A0A023ER33]","A0A023ER33,A0A023ES98","aae-let-7",-15.19,223,266,0.999926135380512
"AALF007520-RA","srpk [Source:Projected from Aedes aegypti lvpagwg (AAEL008507) VB Community Annotation]","A0A182GCI0","aae-let-7",-14.26,15752,15787,0.999770783511913
"AALF017620-RA","ataxia telangiectasia mutated (atm) [Source:Projected from Aedes aegypti (AAEL014900) VB Community Annotation]","A0A182GXJ1","aae-let-7",-14.91,84,130,0.999724314094195
"AALF021374-RA","rhoGTPase [Source:Projected from Aedes aegypti (AAEL014636) VB Community Annotation]","A0A182H480","aae-let-7",-14.26,7251,7286,0.999689041541015
"AALF015017-RA","lethal(2)essential for life protein, l2efl [Source:Projected from Aedes aegypti lvpagwg (AAEL013348) VB Community Annotation]","A0A023EJ33,A0A023EJ46,A0A182GSM1","aae-let-7",-14.55,7,50,0.999459555283648
"AALF002889-RA","gonadotropin inducible transcription factor [Source:Projected from Aedes aegypti lvpagwg (AAEL011812) VB Community Annotation]","A0A023EWC2,A0A182G4Q6","aae-let-7",-14.69,5,45,0.999176113768441
"AALF008498-RA","ATP-dependent DNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A182GEG3]","A0A182GEG3","aae-let-7",-14.1,37,59,0.999070141273181
"AALF008622-RA","DNA helicase recq1 [Source:Projected from Aedes aegypti (AAEL007256) VB Community Annotation]","A0A182GEP8","aae-let-7",-14.1,37,59,0.999070141273181
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aae-let-7",-15.26,6167,6203,0.99905064581473
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aae-let-7",-14.91,16248,16294,0.998697802873895
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aae-let-7",-17,7513,7529,0.998272776005288
"AALF003128-RA","4-nitrophenylphosphatase [Source:Projected from Aedes aegypti (AAEL007090) VB Community Annotation]","A0A182G536","aae-let-7",-15.56,112,144,0.998187729470203
"AALF013464-RA","venom allergen [Source:Projected from Aedes aegypti lvpagwg (AAEL005531) VB Community Annotation]","A0A182GPI3","aae-let-7",-16.3,45,68,0.997970148335002
"AALF014779-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL013028) VB Community Annotation]","A0A023EUS3,A0A023EW10,A0A182GS49","aae-let-7",-15.4,860,879,0.996423745592297
"AALF015087-RA","protein transport protein sec23 [Source:Projected from Aedes aegypti (AAEL007484) VB Community Annotation]","A0A182GSS4","aae-let-7",-14,2659,2683,0.995957731116548
"AALF018948-RA","cytochrome P450 [Source:Projected from Aedes aegypti (AAEL009127) VB Community Annotation]","A0A182GZX3","aae-let-7",-14.96,176,214,0.995701643253406
