#node	identifier	x_position	y_position	color	annotation
AAEL000383	7159.Q0IGE3	0.26220876048462255	0.6611627906976745	rgb(239,131,117)	Hexosyltransferase.
AAEL000469	7159.Q17PB0	0.6144920782851817	0.09186046511627907	rgb(117,239,122)	AAEL000469-PA.
AAEL000532	7159.Q17NX4	0.3041472506989748	0.10023255813953488	rgb(117,149,239)	AAEL000532-PA.
AAEL000534	7159.Q17NW2	0.09445479962721343	0.19232558139534883	rgb(117,239,153)	AAEL000534-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.
AAEL000538	7159.Q17NX3	0.2118825722273998	0.10023255813953488	rgb(117,117,239)	AAEL000538-PA.
AAEL000597	7159.Q17NP6	0.5138397017707362	0.3765116279069768	rgb(117,239,146)	AAEL000597-PA; Cadherins are calcium-dependent cell adhesion proteins.
AAEL000623	7159.Q17NS1	0.09445479962721343	0.38488372093023254	rgb(117,239,178)	AAEL000623-PA.
AAEL000807	7159.Q17N59	0.32092264678471577	0.44683720930232557	rgb(117,239,160)	AAEL000807-PA.
AAEL000857	7159.Q17MT2	0.09445479962721343	0.9039534883720931	rgb(14,178,0)	AAEL000857-PA.
AAEL000863	7159.Q17MV9	0.09445479962721343	0.8704651162790699	rgb(117,239,171)	AAEL000863-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.
AAEL000917	7159.Q17MX4	0.09445479962721343	0.8369767441860466	rgb(117,239,168)	AAEL000917-PA; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.
AAEL000981	7159.Q17MK0	0.7822460391425909	0.9039534883720931	rgb(239,159,117)	AAEL000981-PA.
AAEL001503	7159.Q17L17	0.5222273998136068	0.10023255813953488	rgb(239,184,117)	Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.
AAEL001543	7159.Q17KR6	0.471901211556384	0.8955813953488372	rgb(193,239,117)	AAEL001543-PA.
AAEL001556	7159.Q17KS1	0.27898415657036346	0.8955813953488372	rgb(117,239,125)	AAEL001556-PA.
AAEL001571	7159.Q17KU9	0.18671947809878847	0.8955813953488372	rgb(117,117,239)	AAEL001571-PA.
AAEL001639	7159.Q17KK3	0.5641658900279591	0.8955813953488372	rgb(117,239,157)	AAEL001639-PA.
AAEL001738	7159.Q17KB4	0.11123019571295434	0.4183720930232558	rgb(239,148,117)	AAEL001738-PA.
AAEL001823	7159.Q17K45	0.11123019571295434	0.5272093023255814	rgb(117,239,164)	AAEL001823-PA.
AAEL001847	7159.Q17K00	0.11123019571295434	0.5606976744186046	rgb(239,166,117)	DNA-directed RNA polymerase; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Belongs to the phage and mitochondrial RNA polymerase family.
AAEL001901	7159.Q17JX3	0.11123019571295434	0.728139534883721	rgb(117,239,182)	AAEL001901-PA.
AAEL002313	7159.Q17IM9	0.11123019571295434	0.7616279069767442	rgb(117,239,224)	AAEL002313-PA.
AAEL002369	7159.Q17ID1	0.8828984156570364	0.7783720930232559	rgb(239,229,117)	AAEL002369-PA.
AAEL002376	7159.Q17IF7	0.3712488350419385	0.8872093023255815	rgb(117,117,239)	Carboxylic ester hydrolase; Belongs to the type-B carboxylesterase/lipase family.
AAEL002436	7159.Q1HRE2	0.6899813606710159	0.9123255813953489	rgb(117,163,239)	AAEL002436-PA.
AAEL002896	7159.Q17GU4	0.27898415657036346	0.36060465116279067	rgb(239,226,117)	AAEL002896-PA.
AAEL002925	7159.Q17GN1	0.7319198508853682	0.11697674418604652	rgb(175,239,117)	AAEL002925-PA.
AAEL002928	7159.Q17GN3	0.8828984156570364	0.6862790697674419	rgb(117,121,239)	AAEL002928-PA.
AAEL003014	7159.Q17GH6	0.42996272134203173	0.12534883720930234	rgb(231,239,117)	AAEL003014-PA.
AAEL003046	7159.Q0IGB5	0.2957595526561044	0.728139534883721	rgb(117,205,239)	AAEL003046-PA.
AAEL003092	7159.Q17GF1	0.39808946877912393	0.3430232558139535	rgb(239,134,117)	AAEL003092-PA.
AAEL003118	7159.Q17GC9	0.7587604846225537	0.2927906976744186	rgb(239,236,117)	AAEL003118-PB.
AAEL003122	7159.Q17GD1	0.6396551724137931	0.3103720930232558	rgb(117,117,239)	AAEL003122-PA.
AAEL003208	7159.Q17G33	0.1196178937558248	0.12534883720930234	rgb(117,239,227)	Tubby, putative; Belongs to the TUB family.
AAEL003252	7159.Q17FY6	0.5658434296365331	0.2057209302325581	rgb(117,239,220)	AAEL003252-PA.
AAEL003357	7159.Q17FQ2	0.1196178937558248	0.3346511627906977	rgb(239,138,117)	AAEL003357-PA.
AAEL003375	7159.Q17FK6	0.6857875116495806	0.4351162790697674	rgb(136,239,117)	AAEL003375-PA.
AAEL003381	7159.Q17FK7	0.6564305684995341	0.3430232558139535	rgb(117,239,132)	AAEL003381-PA.
AAEL003407	7159.Q17FE8	0.7604380242311277	0.8034883720930234	rgb(239,201,117)	AAEL003407-PA.
AAEL003414	7159.Q17FE9	0.7210158434296365	0.7691627906976745	rgb(117,146,239)	AAEL003414-PA.
AAEL003420	7159.Q17FH2	0.1196178937558248	0.6276744186046512	rgb(117,219,239)	AAEL003420-PA.
AAEL003428	7159.Q17FF2	0.6564305684995341	0.8788372093023257	rgb(117,239,129)	AAEL003428-PA.
AAEL003548	7159.Q0IG40	0.6044268406337372	0.5439534883720931	rgb(101,199,255)	AAEL003548-PA.
AAEL003560	7159.Q17F60	0.8745107176141659	0.8788372093023257	rgb(239,127,117)	POU domain protein.
