#node	identifier	domain_summary_url	annotation	other_names_and_aliases	kegg_id
MED19	7160.A0A182H615	Mediator of RNA polymerase II transcription subunit 19; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.	https://smart.embl.de/smart/DDvec.cgi?smart=170:Pfam_Med19(1|160)+	109426522,A0A182H615,A0A182H615_AEDAL,MED19,Mediator complex subunit 19,RP20_CCG022468,XP_019557600,aalb:109426522	aalb:109426522
RP20_CCG000039	7160.A0A182GSA0	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=280:SH2(10|97)+SH3(110|166)+SH3(214|271)+	109404640,109411694,A0A182GSA0,A0A182GSA0_AEDAL,Adapter molecule Crk-like,Proto-oncogene C-crk,RP20_CCG000039,Uncharacterized protein,XM_019677558.1,XM_019685268.1,XP_019533103.1,XP_019540813.1,XP_029720243,aalb:109411694	aalb:109411694
RP20_CCG000070	7160.A0A182G0L9	NAD(P)-bd_dom domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=332:TRANS(12|29)+Pfam_Epimerase(133|332)+	109428091,4.1.1.35,A0A182G0L9,A0A182G0L9_AEDAL,EC 4.1.1.35,NAD(P)-bd_dom domain-containing protein,RP20_CCG000070,UDP-glucuronate decarboxylase,XP_019559318,aalb:109428091	aalb:109428091
RP20_CCG000101	7160.A0A182G0N5	GAR domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=803:GAS2(161|233)+	109404964,A0A182G0N5,A0A182G0N5_AEDAL,GAR domain-containing protein,RP20_CCG000101,XP_029719197,aalb:109404964	aalb:109404964
RP20_CCG000121	7160.A0A182G0Q0	Cytidine deaminase; This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis; Belongs to the cytidine and deoxycytidylate deaminase family.	https://smart.embl.de/smart/DDvec.cgi?smart=156:Pfam_dCMP_cyt_deam_1(22|127)+	109404611,3.5.4.5,A0A182G0Q0,A0A182G0Q0_AEDAL,Cytidine aminohydrolase,Cytidine deaminase,EC 3.5.4.5,RP20_CCG000121,Uncharacterized protein LOC109404611,XP_019533057,aalb:109404611	aalb:109404611
RP20_CCG000220	7160.A0A182G0T6	CRAL-TRIO domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=308:CRAL_TRIO_N(49|74)+SEC14(94|252)+	109399317,109433376,A0A182G0T6,A0A182G0T6_AEDAL,CRAL-TRIO domain-containing protein,RP20_CCG000220,XM_019671756.1,XM_019709809.1,XP_019527301.1,XP_019565353,XP_019565354.1,aalb:109433376	aalb:109433376
RP20_CCG000245	7160.A0A182G0U6	SAC domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=594:Pfam_Syja_N(58|344)+TRANS(523|545)+TRANS(552|574)+	115253976,3.1.3.-,A0A182G0U6,A0A182G0U6_AEDAL,EC 3.1.3.-,Phosphatidylinositide phosphatase SAC1-like,Phosphatidylinositol 4-phosphatase,RP20_CCG000245,SAC domain-containing protein,XP_029711783,aalb:115253976	aalb:115253976
RP20_CCG000405	7160.A0A182G131	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=393:Pfam_COMPASS-Shg1(14|111)+	109406924,A0A182G131,A0A182G131_AEDAL,RP20_CCG000405,Uncharacterized protein,XP_019535470,aalb:109406924	aalb:109406924
RP20_CCG000408	7160.A0A182G134	zf_UBZ domain-containing protein.	http://smart.embl.de/smart/DDvec.cgi?smart=144:	109406930,2.7.7.7,A0A182G134,A0A182G134_AEDAL,DNA polymerase eta,EC 2.7.7.7,LOW QUALITY PROTEIN: DNA polymerase eta,RP20_CCG000408,XP_029729117,aalb:109406930,zf_UBZ domain-containing protein	aalb:109406930
RP20_CCG000426	7160.A0A182GXQ2	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=109:	A0A182GXQ2,A0A182GXQ2_AEDAL,RP20_CCG000426,RP20_CCG002789,RP20_CCG017736,Uncharacterized protein	
