microRNA,mRNA,energy,targetStart,targetEnd,score
aal-miR-124,AALF025948-RA.1,-13.7,4460,4481,0.999435980707144
aal-miR-124,AALF025159-RA.1,-13.5,1832,1851,0.994381461909074
aal-miR-124,AALF020986-RA.1,-18.35,247,293,0.999542114427819
aal-miR-124,AALF027115-RA.1,-12.9,9631,9646,0.999612145896276
aal-miR-124,AALF027115-RA.1,-15.5,10816,10831,0.994890237894101
aal-miR-124,AALF012319-RA.1,-14.85,16272,16318,0.999948672434023
aal-miR-124,AALF018139-RA.1,-15.3,18,42,0.998326847841258
aal-miR-124,AALF014226-RA.1,-16.4,2370,2393,0.99990332289577
aal-miR-124,AALF008798-RA.1,-19.65,606,655,0.999594584487819
aal-miR-124,AALF004716-RA.1,-18.42,117,193,0.996192400598395
aal-miR-124,AALF023944-RA.1,-20.8,653,679,0.99801582660983
aal-miR-124,AALF027114-RA.1,-15.5,969,996,0.994381461909074
aal-miR-124,AALF009737-RA.1,-20,5061,5081,0.992726998983238
aal-miR-124,AALF009737-RA.1,-17.8,5204,5228,0.997051386733249
aal-miR-124,AALF009737-RA.1,-15.31,6173,6197,0.995434379297057
aal-miR-124,AALF009525-RA.1,-19.31,45,79,0.997051386733249
aal-miR-124,AALF026525-RA.1,-18.16,532,573,0.999167695836425
aal-miR-124,AALF007937-RA.1,-17.8,4556,4580,0.997051386733249
aal-miR-124,AALF028432-RA.1,-13.9,104,121,0.999125527907125
aal-miR-124,AALF003129-RA.1,-17.5,1,14,0.992714759576727
aal-miR-124,AALF016546-RA.1,-16.86,1503,1547,0.995366311482749
aal-miR-124,AALF023790-RA.1,-12.8,1066,1089,0.999370532104843
aal-miR-124,AALF023790-RA.1,-19.2,12426,12478,0.994381461909074
aal-miR-124,AALF023790-RA.1,-16.4,17638,17661,0.99795259295187
aal-miR-124,AALF023790-RA.1,-17.1,19361,19407,0.996388737477731
aal-miR-124,AALF025482-RA.1,-14.9,49,73,0.998326847841258
aal-miR-124,AALF015905-RA.1,-16.2,8,43,0.998885632899069
aal-miR-124,AALF010411-RA.1,-16.69,290,324,0.999435980707144
aal-miR-124,AALF008262-RA.1,-20.75,116,157,0.998730951170402
aal-miR-124,AALF005612-RA.1,-19.61,755,796,0.999843670531996
aal-miR-124,AALF002233-RA.1,-17.59,7268,7310,0.999510547221702
aal-miR-124,AALF009951-RA.1,-16.7,6108,6132,0.99338527277656
aal-miR-124,AALF027634-RA.1,-17.75,877,915,0.997960001548774
aal-miR-124,AALF008046-RA.1,-15.35,367,421,0.999435980707144
aal-miR-124,AALF023879-RA.1,-20.5,573,598,0.994576926310518
aal-miR-124,AALF004562-RA.1,-16,254,284,0.99131303549548
aal-miR-124,AALF012626-RA.1,-15.6,24461,24479,0.996388737477731
aal-miR-124,AALF008616-RA.1,-17.19,267,308,0.997051386733249
aal-miR-124,AALF008616-RA.1,-13.11,338,377,0.999757645150888
aal-miR-124,AALF013157-RA.1,-14.69,2316,2360,0.999919983736171
aal-miR-124,AALF017499-RA.1,-17.12,1163,1215,0.999717829870689
aal-miR-124,AALF027101-RA.1,-16.69,291,325,0.999435980707144
aal-miR-124,AALF020654-RA.1,-16.4,85,112,0.999542114427819
aal-miR-124,AALF017749-RA.1,-15.3,18,42,0.998326847841258
aal-miR-124,AALF007988-RA.1,-18.8,5323,5340,0.995434379297057
aal-miR-124,AALF007988-RA.1,-18.8,5835,5852,0.995434379297057
aal-miR-124,AALF014961-RA.1,-20.39,2233,2272,0.992426668686493
aal-miR-124,AALF014961-RA.1,-19.11,6243,6294,0.999757645150888
aal-miR-124,AALF014961-RA.1,-16.5,11707,11720,0.995565949301119
aal-miR-124,AALF006140-RA.1,-19.5,54,96,0.998326847841258
aal-miR-124,AALF014587-RA.1,-16,235,278,0.999743762857114
aal-miR-124,AALF027053-RA.1,-15.45,434,476,0.999850070385964
aal-miR-124,AALF000533-RA.1,-17.2,367,386,0.999542114427819
aal-miR-124,AALF024558-RA.1,-18,304,327,0.998545264512298
aal-miR-124,AALF012147-RA.1,-18.9,118,139,0.995542988261075
aal-miR-124,AALF010708-RA.1,-19.5,16,46,0.998885632899069
aal-miR-124,AALF025919-RA.1,-21.2,135,162,0.997051386733249
aal-miR-124,AALF006880-RA.1,-15.02,5965,5996,0.999881200559797
aal-miR-124,AALF000531-RA.1,-13.83,96,127,0.999929007107077
aal-miR-124,AALF007298-RA.1,-19.62,238,287,0.994944761929991
aal-miR-124,AALF016527-RA.1,-11.8,2,13,0.999911721225926
aal-miR-124,AALF020392-RA.1,-16.13,26,78,0.999743762857114
aal-miR-124,AALF000583-RA.1,-13,134,150,0.999553050682933
aal-miR-124,AALF011564-RA.1,-18.43,306,340,0.993001702799447
aal-miR-124,AALF011564-RA.1,-21.64,3775,3810,0.999542114427819
aal-miR-124,AALF002317-RA.1,-11.6,3696,3718,0.994381461909074
aal-miR-124,AALF012144-RA.1,-18.2,578,606,0.991282309455402
aal-miR-124,AALF012144-RA.1,-12.15,789,830,0.999740093066173
aal-miR-124,AALF021651-RA.1,-12.72,3347,3379,0.999678970588915
aal-miR-124,AALF011919-RA.1,-16.15,6054,6088,0.999903823114105
aal-miR-124,AALF016307-RA.1,-15.2,1626,1647,0.995587757546511
aal-miR-124,AALF025916-RA.1,-21.2,137,164,0.997051386733249
aal-miR-124,AALF027668-RA.1,-18.9,637,669,0.998545264512298
aal-miR-124,AALF023649-RA.1,-18.01,4995,5023,0.99988858778822
aal-miR-124,AALF023649-RA.1,-15.7,6267,6287,0.994381461909074
aal-miR-124,AALF023649-RA.1,-14.9,7010,7049,0.999701359249853
aal-miR-124,AALF017164-RA.1,-19.81,17,58,0.999890770248465
aal-miR-124,AALF020491-RA.1,-22.51,262,287,0.997051386733249
aal-miR-124,AALF003159-RA.1,-13.87,9218,9256,0.999701359249853
aal-miR-124,AALF027349-RA.1,-15.9,308,329,0.993151658206108
aal-miR-124,AALF025297-RA.1,-16,4725,4741,0.997243884341208
aal-miR-124,AALF023182-RA.1,-16.8,362,384,0.996388737477731
aal-miR-124,AALF016469-RA.1,-14.49,5967,6007,0.999435980707144
aal-miR-124,AALF009094-RA.1,-11.99,17,60,0.999800381807919
aal-miR-124,AALF009087-RA.1,-18.9,648,680,0.998545264512298
aal-miR-124,AALF005903-RA.1,-18.81,770,823,0.994633908916308
aal-miR-124,AALF002048-RA.1,-15.39,926,965,0.995852624557941
aal-miR-124,AALF011766-RA.1,-16.7,1695,1720,0.994381461909074
aal-miR-124,AALF004430-RA.1,-15.4,525,567,0.999435980707144
aal-miR-124,AALF008811-RA.1,-21.4,30,55,0.99131303549548
aal-miR-124,AALF017413-RA.1,-19.6,870,899,0.99532256666713
