#node	identifier	category	term ID	term description
AAEL000383	7159.Q0IGE3	GO Process	GO:0006486	Protein glycosylation
AAEL000383	7159.Q0IGE3	GO Process	GO:0006807	Nitrogen compound metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0008152	Metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0009058	Biosynthetic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0009059	Macromolecule biosynthetic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0009100	Glycoprotein metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0009101	Glycoprotein biosynthetic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0009987	Cellular process
AAEL000383	7159.Q0IGE3	GO Process	GO:0019538	Protein metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0034645	Cellular macromolecule biosynthetic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0036211	Protein modification process
AAEL000383	7159.Q0IGE3	GO Process	GO:0043170	Macromolecule metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0043412	Macromolecule modification
AAEL000383	7159.Q0IGE3	GO Process	GO:0043413	Macromolecule glycosylation
AAEL000383	7159.Q0IGE3	GO Process	GO:0044237	Cellular metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0044238	Primary metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0044249	Cellular biosynthetic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0044260	Cellular macromolecule metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:0070085	Glycosylation
AAEL000383	7159.Q0IGE3	GO Process	GO:0071704	Organic substance metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:1901135	Carbohydrate derivative metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:1901137	Carbohydrate derivative biosynthetic process
AAEL000383	7159.Q0IGE3	GO Process	GO:1901564	Organonitrogen compound metabolic process
AAEL000383	7159.Q0IGE3	GO Process	GO:1901566	Organonitrogen compound biosynthetic process
AAEL000383	7159.Q0IGE3	GO Process	GO:1901576	Organic substance biosynthetic process
AAEL000383	7159.Q0IGE3	GO Function	GO:0003824	Catalytic activity
AAEL000383	7159.Q0IGE3	GO Function	GO:0008194	UDP-glycosyltransferase activity
AAEL000383	7159.Q0IGE3	GO Function	GO:0016740	Transferase activity
AAEL000383	7159.Q0IGE3	GO Function	GO:0016757	Glycosyltransferase activity
AAEL000383	7159.Q0IGE3	GO Function	GO:0016758	Hexosyltransferase activity
AAEL000383	7159.Q0IGE3	GO Component	GO:0000139	Golgi membrane
AAEL000383	7159.Q0IGE3	GO Component	GO:0005622	Intracellular anatomical structure
AAEL000383	7159.Q0IGE3	GO Component	GO:0005737	Cytoplasm
AAEL000383	7159.Q0IGE3	GO Component	GO:0005794	Golgi apparatus
AAEL000383	7159.Q0IGE3	GO Component	GO:0012505	Endomembrane system
AAEL000383	7159.Q0IGE3	GO Component	GO:0016020	Membrane
AAEL000383	7159.Q0IGE3	GO Component	GO:0016021	Integral component of membrane
AAEL000383	7159.Q0IGE3	GO Component	GO:0031090	Organelle membrane
AAEL000383	7159.Q0IGE3	GO Component	GO:0031224	Intrinsic component of membrane
AAEL000383	7159.Q0IGE3	GO Component	GO:0043226	Organelle
AAEL000383	7159.Q0IGE3	GO Component	GO:0043227	Membrane-bounded organelle
AAEL000383	7159.Q0IGE3	GO Component	GO:0043229	Intracellular organelle
AAEL000383	7159.Q0IGE3	GO Component	GO:0043231	Intracellular membrane-bounded organelle
AAEL000383	7159.Q0IGE3	GO Component	GO:0098588	Bounding membrane of organelle
AAEL000383	7159.Q0IGE3	GO Component	GO:0110165	Cellular anatomical entity
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25579	Mixed, incl. Glycoprotein metabolic process, and HS-GAG biosynthesis
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25580	Mixed, incl. Glycoprotein biosynthetic process, and HS-GAG biosynthesis
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25584	Mixed, incl. Glycosaminoglycan metabolism, and Mannosyl-oligosaccharide mannosidase activity
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25589	Mixed, incl. Glycosaminoglycan metabolism, and Mannosyl-oligosaccharide mannosidase activity
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25594	Mixed, incl. Glycosaminoglycan metabolism, and Mannosyl-oligosaccharide mannosidase activity
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25599	Mixed, incl. Proteoglycan biosynthetic process, and N-glycan antennae elongation in the medial/trans-Golgi
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25600	Mixed, incl. Proteoglycan biosynthetic process, and Nucleotide-sugar transmembrane transport
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25602	Proteoglycan biosynthetic process, and Saf4/Yju2 protein
AAEL000383	7159.Q0IGE3	STRING clusters	CL:25603	Proteoglycan biosynthetic process, and Heparan sulfate sulfotransferase
AAEL000383	7159.Q0IGE3	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
AAEL000383	7159.Q0IGE3	UniProt Keywords	KW-0328	Glycosyltransferase
AAEL000383	7159.Q0IGE3	UniProt Keywords	KW-0333	Golgi apparatus
AAEL000383	7159.Q0IGE3	UniProt Keywords	KW-0472	Membrane
AAEL000383	7159.Q0IGE3	UniProt Keywords	KW-0808	Transferase
AAEL000383	7159.Q0IGE3	UniProt Keywords	KW-0812	Transmembrane
AAEL000383	7159.Q0IGE3	UniProt Keywords	KW-1133	Transmembrane helix
AAEL000383	7159.Q0IGE3	Pfam	PF01762	Galactosyltransferase
AAEL000383	7159.Q0IGE3	InterPro	IPR002659	Glycosyl transferase, family 31
AAEL000469	7159.Q17PB0	GO Process	GO:0006807	Nitrogen compound metabolic process
AAEL000469	7159.Q17PB0	GO Process	GO:0007154	Cell communication
AAEL000469	7159.Q17PB0	GO Process	GO:0007267	Cell-cell signaling
AAEL000469	7159.Q17PB0	GO Process	GO:0008152	Metabolic process
AAEL000469	7159.Q17PB0	GO Process	GO:0009987	Cellular process
AAEL000469	7159.Q17PB0	GO Process	GO:0016567	Protein ubiquitination
AAEL000469	7159.Q17PB0	GO Process	GO:0019538	Protein metabolic process
AAEL000469	7159.Q17PB0	GO Process	GO:0023052	Signaling
AAEL000469	7159.Q17PB0	GO Process	GO:0032446	Protein modification by small protein conjugation
AAEL000469	7159.Q17PB0	GO Process	GO:0036211	Protein modification process
AAEL000469	7159.Q17PB0	GO Process	GO:0043170	Macromolecule metabolic process
AAEL000469	7159.Q17PB0	GO Process	GO:0043412	Macromolecule modification
AAEL000469	7159.Q17PB0	GO Process	GO:0044238	Primary metabolic process
AAEL000469	7159.Q17PB0	GO Process	GO:0070647	Protein modification by small protein conjugation or removal
AAEL000469	7159.Q17PB0	GO Process	GO:0071704	Organic substance metabolic process
AAEL000469	7159.Q17PB0	GO Process	GO:0099536	Synaptic signaling
AAEL000469	7159.Q17PB0	GO Process	GO:1901564	Organonitrogen compound metabolic process
AAEL000469	7159.Q17PB0	GO Function	GO:0003824	Catalytic activity
AAEL000469	7159.Q17PB0	GO Function	GO:0004842	Ubiquitin-protein transferase activity
AAEL000469	7159.Q17PB0	GO Function	GO:0005488	Binding
AAEL000469	7159.Q17PB0	GO Function	GO:0008270	Zinc ion binding
AAEL000469	7159.Q17PB0	GO Function	GO:0016740	Transferase activity
AAEL000469	7159.Q17PB0	GO Function	GO:0019787	Ubiquitin-like protein transferase activity
AAEL000469	7159.Q17PB0	GO Function	GO:0043167	Ion binding
AAEL000469	7159.Q17PB0	GO Function	GO:0043169	Cation binding
AAEL000469	7159.Q17PB0	GO Function	GO:0046872	Metal ion binding
AAEL000469	7159.Q17PB0	GO Function	GO:0046914	Transition metal ion binding
AAEL000469	7159.Q17PB0	GO Function	GO:0061630	Ubiquitin protein ligase activity
AAEL000469	7159.Q17PB0	GO Function	GO:0061659	Ubiquitin-like protein ligase activity
AAEL000469	7159.Q17PB0	GO Function	GO:0140096	Catalytic activity, acting on a protein
AAEL000469	7159.Q17PB0	GO Component	GO:0005886	Plasma membrane
AAEL000469	7159.Q17PB0	GO Component	GO:0016020	Membrane
AAEL000469	7159.Q17PB0	GO Component	GO:0071944	Cell periphery
AAEL000469	7159.Q17PB0	GO Component	GO:0110165	Cellular anatomical entity
AAEL000469	7159.Q17PB0	STRING clusters	CL:6666	Mixed, incl. Cysteine-type deubiquitinase activity, and Ubiquitin-dependent protein catabolic process via the N-end rule pathway
AAEL000469	7159.Q17PB0	STRING clusters	CL:6741	Mixed, incl. Ubiquitin-dependent protein catabolic process via the N-end rule pathway, and RQC complex
AAEL000469	7159.Q17PB0	Reactome	MAP-168249	Innate Immune System
AAEL000469	7159.Q17PB0	Reactome	MAP-168256	Immune System
AAEL000469	7159.Q17PB0	Reactome	MAP-6798695	Neutrophil degranulation
AAEL000469	7159.Q17PB0	COMPARTMENTS	GOCC:0005622	Intracellular
AAEL000469	7159.Q17PB0	UniProt Keywords	KW-0479	Metal-binding
AAEL000469	7159.Q17PB0	UniProt Keywords	KW-0862	Zinc
AAEL000469	7159.Q17PB0	UniProt Keywords	KW-0863	Zinc-finger
AAEL000469	7159.Q17PB0	InterPro	IPR000433	Zinc finger, ZZ-type
AAEL000469	7159.Q17PB0	InterPro	IPR008598	Drought induced 19 protein type, zinc-binding domain
AAEL000469	7159.Q17PB0	InterPro	IPR043145	Zinc finger, ZZ-type superfamily
AAEL000469	7159.Q17PB0	SMART	SM00291	Zinc-binding domain, present in Dystrophin, CREB-binding protein.
AAEL000469	7159.Q17PB0	SMART	SM00355	Zinc finger
AAEL000532	7159.Q17NX4	GO Function	GO:0005488	Binding
AAEL000532	7159.Q17NX4	GO Component	GO:0005886	Plasma membrane
AAEL000532	7159.Q17NX4	GO Component	GO:0016020	Membrane
AAEL000532	7159.Q17NX4	GO Component	GO:0071944	Cell periphery
AAEL000532	7159.Q17NX4	GO Component	GO:0110165	Cellular anatomical entity
AAEL000532	7159.Q17NX4	STRING clusters	CL:17485	Mixed, incl. LDL clearance, and Scavenger receptor activity
AAEL000532	7159.Q17NX4	STRING clusters	CL:17486	Mixed, incl. LDL clearance, and Scavenger receptor activity
AAEL000532	7159.Q17NX4	STRING clusters	CL:17574	Mostly uncharacterized, incl. N-terminal RASSF family, and 5-methylcytosine metabolic process
AAEL000532	7159.Q17NX4	STRING clusters	CL:17608	Mixed, incl. 5-methylcytosine metabolic process, and CXXC-type zinc finger protein CXXC4/CXXC5
AAEL000532	7159.Q17NX4	STRING clusters	CL:17609	Mixed, incl. FGFRL1 modulation of FGFR1 signaling, and Actinin binding
AAEL000532	7159.Q17NX4	STRING clusters	CL:17611	Mixed, incl. Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein., and CHK kinase-like
AAEL000532	7159.Q17NX4	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
AAEL000532	7159.Q17NX4	UniProt Keywords	KW-0472	Membrane
