"","gene_name","microRNA","energy"
"9326","SP110","hsa-let-7b-5p",-22.01
"9329","SP110","hsa-let-7b-5p",-22.01
"12686","SP110","hsa-let-7b-5p",-21.43
"12697","SP110","hsa-let-7b-5p",-21.43
"31167","NEO1","hsa-let-7b-5p",-19.3
"31266","NEO1","hsa-let-7b-5p",-19.3
"31621","NEO1","hsa-let-7b-5p",-19.3
"34422","NEO1","hsa-let-7b-5p",-19
"34549","NEO1","hsa-let-7b-5p",-19
"34943","NEO1","hsa-let-7b-5p",-19
"35589","NEO1","hsa-let-7b-5p",-18.9
"35701","NEO1","hsa-let-7b-5p",-18.9
"36117","NEO1","hsa-let-7b-5p",-18.9
"38299","PTEN","hsa-let-7b-5p",-18.7
"48706","NEO1","hsa-let-7b-3p",-17.95
"48710","NEO1","hsa-let-7b-3p",-17.95
"48734","NEO1","hsa-let-7b-3p",-17.95
"53988","PTEN","hsa-let-7b-5p",-17.6
"60678","PTEN","hsa-miR-548ba",-17.2
"65734","SP110","hsa-let-7b-5p",-16.9
"65962","SP110","hsa-let-7b-5p",-16.9
"71253","LIFR","hsa-let-7b-5p",-16.6
"71874","LIFR","hsa-let-7b-5p",-16.6
"77620","PTEN","hsa-let-7b-5p",-16.3
"85989","SP110","hsa-let-7b-5p",-15.9
"86275","SP110","hsa-let-7b-5p",-15.9
"89867","SP110","hsa-miR-548ba",-15.76
"89879","SP110","hsa-miR-548ba",-15.76
"89971","SP110","hsa-let-7b-5p",-15.75
"89992","SP110","hsa-let-7b-5p",-15.75
"90435","SP110","hsa-let-7b-5p",-15.7
"90750","SP110","hsa-let-7b-5p",-15.7
"92863","LIFR","hsa-let-7b-5p",-15.6
"93231","PTEN","hsa-let-7b-5p",-15.6
"93609","LIFR","hsa-let-7b-5p",-15.6
"95379","SP110","hsa-miR-548ba",-15.5
"95690","SP110","hsa-miR-548ba",-15.5
"97580","NEO1","hsa-let-7b-5p",-15.4
"97788","NEO1","hsa-let-7b-5p",-15.4
"98568","NEO1","hsa-let-7b-5p",-15.4
"109606","LIFR","hsa-let-7b-5p",-14.9
"110429","LIFR","hsa-let-7b-5p",-14.9
"111344","SP110","hsa-let-7b-5p",-14.89
"111361","SP110","hsa-let-7b-5p",-14.89
"111827","LIFR","hsa-let-7b-3p",-14.84
"111846","LIFR","hsa-let-7b-3p",-14.84
"112037","PTEN","hsa-let-7b-3p",-14.81
"114588","NEO1","hsa-let-7b-5p",-14.7
"114859","NEO1","hsa-let-7b-5p",-14.7
"115806","NEO1","hsa-let-7b-5p",-14.7
"120869","LIFR","hsa-let-7b-3p",-14.5
"131052","LIFR","hsa-let-7b-3p",-14.1
"131053","LIFR","hsa-let-7b-5p",-14.1
"132003","LIFR","hsa-let-7b-3p",-14.1
"132004","LIFR","hsa-let-7b-5p",-14.1
"134557","PTEN","hsa-miR-548ba",-14
"137157","SP110","hsa-miR-548ba",-13.9
"137555","SP110","hsa-miR-548ba",-13.9
"145873","SP110","hsa-let-7b-5p",-13.64
"145890","SP110","hsa-let-7b-5p",-13.64
"146527","NEO1","hsa-let-7b-5p",-13.6
"146847","NEO1","hsa-let-7b-5p",-13.6
"147919","NEO1","hsa-let-7b-5p",-13.6
"164136","PTEN","hsa-let-7b-3p",-13.1
"166946","PTEN","hsa-miR-548ba",-13
"169802","NEO1","hsa-let-7b-3p",-12.9
"170111","NEO1","hsa-let-7b-3p",-12.9
"170346","PTEN","hsa-miR-548ba",-12.9
"171198","NEO1","hsa-let-7b-3p",-12.9
"173156","SP110","hsa-let-7b-5p",-12.8
"173650","SP110","hsa-let-7b-5p",-12.8
"173778","PTEN","hsa-let-7b-5p",-12.8
"176741","LIFR","hsa-miR-548ba",-12.7
"177799","LIFR","hsa-miR-548ba",-12.7
"183571","SP110","hsa-let-7b-5p",-12.5
"184094","SP110","hsa-let-7b-5p",-12.5
"191965","LIFR","hsa-let-7b-3p",-12.3
"195059","PTEN","hsa-let-7b-5p",-12.2
"197042","LIFR","hsa-let-7b-5p",-12.16
"197112","LIFR","hsa-let-7b-5p",-12.16
"201590","LIFR","hsa-miR-548ba",-12
"201591","LIFR","hsa-miR-548ba",-12
"202758","LIFR","hsa-miR-548ba",-12
"202759","LIFR","hsa-miR-548ba",-12
"213460","PTEN","hsa-miR-548ba",-11.7
"220331","NEO1","hsa-miR-548ba",-11.51
"220366","NEO1","hsa-miR-548ba",-11.51
"220483","NEO1","hsa-miR-548ba",-11.51
"220695","LIFR","hsa-miR-548ba",-11.5
