species,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,"7159.J9HTN1,7159.J9HTV7,7159.J9HZD6,7159.J9HZV2,7159.Q0IEC2,7159.Q0IFQ3,7159.Q16G66,7159.Q16HG5,7159.Q16HZ7,7159.Q16HZ8,7159.Q16JH7,7159.Q16JQ3,7159.Q16JV4,7159.Q16JZ7,7159.Q16K82,7159.Q16LF8,7159.Q16M89,7159.Q16MZ3,7159.Q16N45,7159.Q16NT2,7159.Q16PA7,7159.Q16PQ3,7159.Q16PY9,7159.Q16Q37,7159.Q16QS4,7159.Q16TH4,7159.Q16TJ0,7159.Q16TV2,7159.Q16U75,7159.Q16U83,7159.Q16VE7,7159.Q16VT5,7159.Q16W25,7159.Q16W86,7159.Q16WA7,7159.Q16WI5,7159.Q16WN0,7159.Q16XQ1,7159.Q16YV5,7159.Q16ZQ0,7159.Q171F2,7159.Q171F9,7159.Q173I2,7159.Q174F6,7159.Q174S1,7159.Q175E6,7159.Q175Q0,7159.Q175T7,7159.Q176D4,7159.Q176R3,7159.Q177Z0,7159.Q17AN7,7159.Q17AN8,7159.Q17BB1,7159.Q17BL6,7159.Q17C29,7159.Q17C40,7159.Q17C42,7159.Q17CH0,7159.Q17CU7,7159.Q17CY1,7159.Q17DB8,7159.Q17E14,7159.Q17E15,7159.Q17E51,7159.Q17E87,7159.Q17EP7,7159.Q17ET2,7159.Q17F60,7159.Q17FE8,7159.Q17FE9,7159.Q17FH2,7159.Q17FK6,7159.Q17FK7,7159.Q17FQ2,7159.Q17FY6,7159.Q17G33,7159.Q17GF1,7159.Q17GH6,7159.Q17GN3,7159.Q17GU4,7159.Q17ID1,7159.Q17JX3,7159.Q17KB4,7159.Q17KU9,7159.Q17MT2,7159.Q17NP6,7159.Q17NS1,7159.Q1DGD9,7159.Q1DGJ8,7159.Q1HR82","GPRGHP4,AAEL801114,J9HZD6_AEDAE,J9HZV2_AEDAE,AAEL011420,AAEL004167,AAEL014507,AAEL014033,AAEL013847,AAEL013849,AAEL012339,AAEL013250,AAEL013203,GPRFZ1,AAEL013086,AAEL012657,AAEL012381,AAEL012138,AAEL012092,AAEL011867,AAEL011709,AAEL011576,AAEL011480,AAEL011432,AAEL011191,AAEL010226,AAEL010222,AAEL010124,AAEL010015,GPRFZ7,AAEL009588,AAEL009437,AAEL009364,AAEL009300,AAEL009304,AAEL009212,AAEL009171,AAEL008816,AAEL008421,AAEL008122,AAEL007664,AAEL007659,AAEL007144,AAEL006911,AAEL006783,AAEL006664,AAEL006596,AAEL006555,AAEL006439,fru,AAEL005985,AAEL005246,AAEL005247,AAEL005033,AAEL004918,AAEL004715,AAEL004720,AAEL004731,AAEL004542,AAEL004420,AAEL004391,AAEL004259,AAEL003989,AAEL003979,AAEL003978,AAEL003901,AAEL003731,AAEL003688,AAEL003560,AAEL003407,AAEL003414,AAEL003420,AAEL003375,AAEL003381,AAEL003357,AAEL003252,AAEL003208,AAEL003092,AAEL003014,AAEL002928,AAEL002896,AAEL002369,AAEL001901,AAEL001738,AAEL001571,AAEL000857,AAEL000597,AAEL000623,AAEL015672,AAEL015603,AAEL013359",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,GO:0050794,Regulation of cellular process,86,4893,0.22,0.49,0.00014,"7159.J9HTN1,7159.J9HTV7,7159.J9HZD6,7159.J9HZV2,7159.Q0IEC2,7159.Q0IFQ3,7159.Q16G66,7159.Q16HG5,7159.Q16HZ7,7159.Q16HZ8,7159.Q16JH7,7159.Q16JQ3,7159.Q16JV4,7159.Q16JZ7,7159.Q16K82,7159.Q16LF8,7159.Q16M89,7159.Q16MZ3,7159.Q16N45,7159.Q16NT2,7159.Q16PA7,7159.Q16PQ3,7159.Q16PY9,7159.Q16Q37,7159.Q16QS4,7159.Q16TH4,7159.Q16TJ0,7159.Q16TV2,7159.Q16U75,7159.Q16U83,7159.Q16VE7,7159.Q16VT5,7159.Q16W25,7159.Q16W86,7159.Q16WA7,7159.Q16WI5,7159.Q16WN0,7159.Q16XQ1,7159.Q16YV5,7159.Q16ZQ0,7159.Q171F2,7159.Q171F9,7159.Q174F6,7159.Q174S1,7159.Q175E6,7159.Q175Q0,7159.Q175T7,7159.Q176D4,7159.Q176R3,7159.Q177Z0,7159.Q17AN7,7159.Q17AN8,7159.Q17BB1,7159.Q17BL6,7159.Q17C29,7159.Q17C40,7159.Q17C42,7159.Q17CH0,7159.Q17CY1,7159.Q17DB8,7159.Q17E14,7159.Q17E15,7159.Q17E51,7159.Q17EP7,7159.Q17ET2,7159.Q17F60,7159.Q17FE8,7159.Q17FE9,7159.Q17FH2,7159.Q17FK6,7159.Q17FK7,7159.Q17FQ2,7159.Q17G33,7159.Q17GH6,7159.Q17GN3,7159.Q17GU4,7159.Q17ID1,7159.Q17JX3,7159.Q17KB4,7159.Q17KU9,7159.Q17MT2,7159.Q17NP6,7159.Q17NS1,7159.Q1DGD9,7159.Q1DGJ8,7159.Q1HR82","GPRGHP4,AAEL801114,J9HZD6_AEDAE,J9HZV2_AEDAE,AAEL011420,AAEL004167,AAEL014507,AAEL014033,AAEL013847,AAEL013849,AAEL012339,AAEL013250,AAEL013203,GPRFZ1,AAEL013086,AAEL012657,AAEL012381,AAEL012138,AAEL012092,AAEL011867,AAEL011709,AAEL011576,AAEL011480,AAEL011432,AAEL011191,AAEL010226,AAEL010222,AAEL010124,AAEL010015,GPRFZ7,AAEL009588,AAEL009437,AAEL009364,AAEL009300,AAEL009304,AAEL009212,AAEL009171,AAEL008816,AAEL008421,AAEL008122,AAEL007664,AAEL007659,AAEL006911,AAEL006783,AAEL006664,AAEL006596,AAEL006555,AAEL006439,fru,AAEL005985,AAEL005246,AAEL005247,AAEL005033,AAEL004918,AAEL004715,AAEL004720,AAEL004731,AAEL004542,AAEL004391,AAEL004259,AAEL003989,AAEL003979,AAEL003978,AAEL003731,AAEL003688,AAEL003560,AAEL003407,AAEL003414,AAEL003420,AAEL003375,AAEL003381,AAEL003357,AAEL003208,AAEL003014,AAEL002928,AAEL002896,AAEL002369,AAEL001901,AAEL001738,AAEL001571,AAEL000857,AAEL000597,AAEL000623,AAEL015672,AAEL015603,AAEL013359",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,GO:0065007,Biological regulation,99,5986,0.19,0.47,0.00014,"7159.J9HTN1,7159.J9HTV7,7159.J9HZD6,7159.J9HZV2,7159.Q0IEC2,7159.Q0IFQ3,7159.Q0IGB5,7159.Q16F45,7159.Q16G66,7159.Q16HG5,7159.Q16HZ7,7159.Q16HZ8,7159.Q16JH7,7159.Q16JQ3,7159.Q16JV4,7159.Q16JZ7,7159.Q16K82,7159.Q16LF8,7159.Q16LV3,7159.Q16M89,7159.Q16MZ3,7159.Q16N45,7159.Q16NT2,7159.Q16NV1,7159.Q16PA7,7159.Q16PQ3,7159.Q16PY9,7159.Q16Q37,7159.Q16QS4,7159.Q16RM3,7159.Q16TH4,7159.Q16TJ0,7159.Q16TV2,7159.Q16U75,7159.Q16U83,7159.Q16VE7,7159.Q16VT5,7159.Q16W25,7159.Q16W86,7159.Q16WA7,7159.Q16WI5,7159.Q16WN0,7159.Q16XQ1,7159.Q16YV5,7159.Q16ZQ0,7159.Q171F2,7159.Q171F9,7159.Q173I2,7159.Q174F6,7159.Q174S1,7159.Q175E6,7159.Q175Q0,7159.Q175T7,7159.Q176D4,7159.Q176R3,7159.Q177Z0,7159.Q179N7,7159.Q17AN7,7159.Q17AN8,7159.Q17B94,7159.Q17BB1,7159.Q17BL6,7159.Q17C29,7159.Q17C40,7159.Q17C42,7159.Q17CH0,7159.Q17CU7,7159.Q17CY1,7159.Q17DB8,7159.Q17E14,7159.Q17E15,7159.Q17E51,7159.Q17E87,7159.Q17EP7,7159.Q17ET2,7159.Q17F60,7159.Q17FE8,7159.Q17FE9,7159.Q17FH2,7159.Q17FK6,7159.Q17FK7,7159.Q17FQ2,7159.Q17FY6,7159.Q17G33,7159.Q17GF1,7159.Q17GH6,7159.Q17GN3,7159.Q17GU4,7159.Q17ID1,7159.Q17JX3,7159.Q17KB4,7159.Q17KU9,7159.Q17L17,7159.Q17MT2,7159.Q17NP6,7159.Q17NS1,7159.Q1DGD9,7159.Q1DGJ8,7159.Q1HR82","GPRGHP4,AAEL801114,J9HZD6_AEDAE,J9HZV2_AEDAE,AAEL011420,AAEL004167,AAEL003046,AAEL014902,AAEL014507,AAEL014033,AAEL013847,AAEL013849,AAEL012339,AAEL013250,AAEL013203,GPRFZ1,AAEL013086,AAEL012657,AAEL012513,AAEL012381,AAEL012138,AAEL012092,AAEL011867,CYP315A1,AAEL011709,AAEL011576,AAEL011480,AAEL011432,AAEL011191,AAEL010902,AAEL010226,AAEL010222,AAEL010124,AAEL010015,GPRFZ7,AAEL009588,AAEL009437,AAEL009364,AAEL009300,AAEL009304,AAEL009212,AAEL009171,AAEL008816,AAEL008421,AAEL008122,AAEL007664,AAEL007659,AAEL007144,AAEL006911,AAEL006783,AAEL006664,AAEL006596,AAEL006555,AAEL006439,fru,AAEL005985,AAEL005581,AAEL005246,AAEL005247,AAEL005014,AAEL005033,AAEL004918,AAEL004715,AAEL004720,AAEL004731,AAEL004542,AAEL004420,AAEL004391,AAEL004259,AAEL003989,AAEL003979,AAEL003978,AAEL003901,AAEL003731,AAEL003688,AAEL003560,AAEL003407,AAEL003414,AAEL003420,AAEL003375,AAEL003381,AAEL003357,AAEL003252,AAEL003208,AAEL003092,AAEL003014,AAEL002928,AAEL002896,AAEL002369,AAEL001901,AAEL001738,AAEL001571,AAEL001503,AAEL000857,AAEL000597,AAEL000623,AAEL015672,AAEL015603,AAEL013359",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,GO:0046834,Lipid phosphorylation,5,14,1.53,0.75,0.0018,"7159.Q16HZ7,7159.Q16HZ8,7159.Q16PA7,7159.Q17CH0,7159.Q1DGJ8","AAEL013847,AAEL013849,AAEL011709,AAEL004542,AAEL015603",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,GO:0043484,Regulation of RNA splicing,9,121,0.85,0.5,0.0093,"7159.J9HZV2,7159.Q0IEC2,7159.Q0IFQ3,7159.Q16HG5,7159.Q175T7,7159.Q17E15,7159.Q17FE8,7159.Q17FE9,7159.Q1HR82","J9HZV2_AEDAE,AAEL011420,AAEL004167,AAEL014033,AAEL006555,AAEL003979,AAEL003407,AAEL003414,AAEL013359",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,GO:0046425,Regulation of receptor signaling pathway via JAK-STAT,5,22,1.33,0.55,0.0093,"7159.Q16JH7,7159.Q16N45,7159.Q16VT5,7159.Q175E6,7159.Q17DB8","AAEL012339,AAEL012092,AAEL009437,AAEL006664,AAEL004259",GO Biological Process,immune,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,GO:0003730,mRNA 3-UTR binding,8,47,1.21,0.93,0.0002,"7159.J9HZV2,7159.Q16PQ3,7159.Q16ZQ0,7159.Q175T7,7159.Q17BL6,7159.Q17DB8,7159.Q17FE8,7159.Q17FE9","J9HZV2_AEDAE,AAEL011576,AAEL008122,AAEL006555,AAEL004918,AAEL004259,AAEL003407,AAEL003414",GO Molecular Function,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,GO:0003729,mRNA binding,13,230,0.73,0.62,0.0017,"7159.J9HTV7,7159.J9HZV2,7159.Q0IEC2,7159.Q0IFQ3,7159.Q16HG5,7159.Q16PQ3,7159.Q16ZQ0,7159.Q175T7,7159.Q17BL6,7159.Q17DB8,7159.Q17E15,7159.Q17FE8,7159.Q17FE9","AAEL801114,J9HZV2_AEDAE,AAEL011420,AAEL004167,AAEL014033,AAEL011576,AAEL008122,AAEL006555,AAEL004918,AAEL004259,AAEL003979,AAEL003407,AAEL003414",GO Molecular Function,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,CL:19623,"Mixed, incl. RNA binding protein fox-1 homolog 1-like, and H zone",6,10,1.75,1.24,0.0000271,"7159.J9HZV2,7159.Q16HG5,7159.Q175T7,7159.Q17E15,7159.Q17FE8,7159.Q17FE9","J9HZV2_AEDAE,AAEL014033,AAEL006555,AAEL003979,AAEL003407,AAEL003414",Local Network Cluster String,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
Aedes aegypti,CL:19626,"RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,0.0000438,"7159.J9HZV2,7159.Q175T7,7159.Q17E15,7159.Q17FE8,7159.Q17FE9","J9HZV2_AEDAE,AAEL006555,AAEL003979,AAEL003407,AAEL003414",Local Network Cluster String,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes
