#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
1	tr|A0A182H691|A0A182H691_AEDAL	7160.A0A182H691	100	624.8	RP20_CCG007915	CCHC-type domain-containing protein.
2	tr|A0A182GMZ4|A0A182GMZ4_AEDAL	7160.A0A182GMZ4	100	398.7	RP20_CCG012728	Exonuclease domain-containing protein.
3	UPI0007D21AEA	7160.A0A182G2N5	100	448.7	RP20_CCG001549	t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.
4	tr|A0A182H8W0|A0A182H8W0_AEDAL	7160.A0A182H8W0	100	696.4	RP20_CCG024306	AB hydrolase-1 domain-containing protein.
5	tr|A0A182H245|A0A182H245_AEDAL	7160.A0A182H245	100	524.6	RP20_CCG020202	Peptidase S1 domain-containing protein.
6	UPI0007D23BD4	7160.A0A182GUP1	100	1057.4	RP20_CCG009340	GB1/RHD3-type G domain-containing protein.
7	tr|A0A182GVZ2|A0A182GVZ2_AEDAL	7160.A0A182GVZ2	100	907.5	RP20_CCG011829	MFS domain-containing protein; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
8	tr|A0A182GS33|A0A182GS33_AEDAL	7160.A0A182GFQ8	36.8	324.3	RP20_CCG009132	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.
9	UPI0007D1E953	7160.A0A182H8F7	100	960.7	RP20_CCG024021	ZAD domain-containing protein.
10	UPI0007D4491A	7160.A0A182H898	100	181.8	RP20_CCG023897	Uncharacterized protein.
11	tr|A0A182GXV2|A0A182GXV2_AEDAL	7160.A0A182HEJ7	92	336.3	RP20_CCG027949	PAS domain-containing protein.
12	tr|A0A182GSS4|A0A182GSS4_AEDAL	7160.A0A182GSS4	100	1587	RP20_CCG015087	Protein transport protein SEC23; Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules; Belongs to the SEC23/SEC24 family. SEC23 subfamily.
13	tr|A0A182G3U2|A0A182G3U2_AEDAL	7160.A0A182G3U2	100	1328.9	RP20_CCG002318	Uncharacterized protein.
14	tr|A0A182G4S8|A0A182G4S8_AEDAL	7160.A0A182G4S8	100	1482.6	RP20_CCG002937	Exocyst complex component; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.
15	tr|A0A182GQ91|A0A182GQ91_AEDAL	7160.A0A182GQ91	100	371.3	RP20_CCG013827	Uncharacterized protein.
16	UPI0007D5B080	7160.A0A182G3N4	100	2637.1	RP20_CCG002230	Uncharacterized protein.
17	tr|A0A1W7R852|A0A1W7R852_AEDAL	7160.A0A182HET8	98.2	1586.2	RP20_CCG028127	C2H2-type domain-containing protein.
18	UPI0007D1403D	7160.A0A182HC61	100	892.1	RP20_CCG026368	Uncharacterized protein.
19	UPI0007D66FF6	7160.A0A182GBT2	100	1571.6	RP20_CCG007128	DEP domain-containing protein.
21	tr|A0A023ERV3|A0A023ERV3_AEDAL	7160.A0A182GIH3	99.3	818.5	RP20_CCG010480	Uncharacterized protein.
22	tr|A0A182GA81|A0A182GA81_AEDAL	7160.A0A182GA81	100	1639.4	RP20_CCG006215	Aminopeptidase.
23	UPI0007D382DA	7160.A0A182H404	100	355.5	RP20_CCG021254	Uncharacterized protein.
24	UPI0007D6AC6B	7160.A0A182GE26	100	641.3	RP20_CCG008319	Serine/threonine-protein phosphatase; Belongs to the PPP phosphatase family.
