"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","protein_name","cc_function","go_p","go_f","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182G158","RP20_CCG000451","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182G4I0","RP20_CCG002743","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182G6A9","RP20_CCG003891","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GB50","RP20_CCG006763","Integrase catalytic domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GBY5","RP20_CCG007211","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GBZ5","RP20_CCG007238","Integrase catalytic domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GGV5","RP20_CCG009682","Integrase catalytic domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GM03","RP20_CCG012239","Integrase catalytic domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GM87","RP20_CCG012365","Uncharacterized protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","CL:27025","DDE transposase retroviral integrase sub-family, and Reverse transcriptase/Diguanylate cyclase domain",22,183,0.53,0.47,0.0067,"A0A182GT83","RP20_CCG015350","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
